model,layer,depth_index,C_in,C_out,k,d,r_max,n_samples,n_over_d,kernel_erank_over_rmax,kernel_cond_top_rmax,data_erank_over_rmax,out_0.9,kernel_0.9,data_0.9,ortho_0.9,out_0.95,kernel_0.95,data_0.95,ortho_0.95,out_0.99,kernel_0.99,data_0.99,ortho_0.99,out_0.999,kernel_0.999,data_0.999,ortho_0.999
vgg16_bn,features.0,0,3,64,9,27,27,307200,11377.777777777777,0.22055220074399948,2289.519251271759,0.07299724498399131,0.18518518518518517,0.2222222222222222,0.07407407407407407,0.07407407407407407,0.18518518518518517,0.25925925925925924,0.14814814814814814,0.14814814814814814,0.2222222222222222,0.2962962962962963,0.25925925925925924,0.25925925925925924,0.2962962962962963,0.4444444444444444,0.48148148148148145,0.48148148148148145
vgg16_bn,features.3,1,64,64,9,576,64,307200,533.3333333333334,0.4282502171549887,1192118.7106686563,0.4905896169640112,0.171875,0.40625,0.453125,0.359375,0.21875,0.515625,0.625,0.484375,0.375,0.75,1.0,0.734375,0.640625,0.921875,1.0,0.9375
vgg16_bn,features.7,2,64,128,9,576,128,307200,533.3333333333334,0.3129076469299279,38464650.64435142,0.5279884028674955,0.171875,0.3203125,0.8046875,0.3515625,0.234375,0.4375,1.0,0.515625,0.3984375,0.65625,1.0,0.8203125,0.6484375,0.78125,1.0,0.9765625
vgg16_bn,features.10,3,128,128,9,1152,128,307200,266.6666666666667,0.6305645232147049,19315375.037709184,1.0,0.296875,0.5625,1.0,0.546875,0.3984375,0.6953125,1.0,0.703125,0.640625,0.8828125,1.0,0.9140625,0.890625,0.953125,1.0,0.9921875
vgg16_bn,features.14,4,128,256,9,1152,256,307200,266.6666666666667,0.49831138636595373,12561425.1470009,1.0,0.22265625,0.45703125,1.0,0.5234375,0.3125,0.59765625,1.0,0.6953125,0.55859375,0.8203125,1.0,0.91796875,0.8359375,0.92578125,1.0,0.9921875
vgg16_bn,features.17,5,256,256,9,2304,256,307200,133.33333333333334,0.6010134558006023,24.6866361139994,1.0,0.29296875,0.5859375,1.0,0.58984375,0.421875,0.734375,1.0,0.75,0.72265625,0.921875,1.0,0.9375,0.9453125,0.98828125,1.0,0.99609375
vgg16_bn,features.20,6,256,256,9,2304,256,307200,133.33333333333334,0.6981089850172523,7.025245750121145,1.0,0.34765625,0.65625,1.0,0.625,0.484375,0.79296875,1.0,0.77734375,0.77734375,0.9453125,1.0,0.9453125,0.96484375,0.99609375,1.0,0.99609375
vgg16_bn,features.24,7,256,512,9,2304,512,307200,133.33333333333334,0.5660976861259394,24.382956857656964,1.0,0.24609375,0.52734375,1.0,0.59765625,0.361328125,0.67578125,1.0,0.76171875,0.65234375,0.892578125,1.0,0.943359375,0.91796875,0.984375,1.0,0.994140625
vgg16_bn,features.27,8,512,512,9,4608,512,307200,66.66666666666667,0.628815346857618,269.59035417052024,1.0,0.30859375,0.62109375,1.0,0.638671875,0.458984375,0.759765625,1.0,0.79296875,0.763671875,0.927734375,1.0,0.951171875,0.953125,0.982421875,1.0,0.99609375
vgg16_bn,features.30,9,512,512,9,4608,512,307200,66.66666666666667,0.653368110171492,402.23479505279903,1.0,0.3359375,0.666015625,1.0,0.669921875,0.498046875,0.794921875,1.0,0.810546875,0.796875,0.939453125,1.0,0.951171875,0.958984375,0.982421875,1.0,0.990234375
vgg16_bn,features.34,10,512,512,9,4608,512,307200,66.66666666666667,0.7055919505989422,7.798652536227413,1.0,0.365234375,0.662109375,1.0,0.6875,0.52734375,0.791015625,1.0,0.826171875,0.818359375,0.9453125,1.0,0.9609375,0.97265625,0.994140625,1.0,0.99609375
vgg16_bn,features.37,11,512,512,9,4608,512,307200,66.66666666666667,0.6078116520224618,16.009355027506857,1.0,0.326171875,0.626953125,1.0,0.68359375,0.484375,0.763671875,1.0,0.82421875,0.78515625,0.93359375,1.0,0.9609375,0.96484375,0.9921875,1.0,0.99609375
vgg16_bn,features.40,12,512,512,9,4608,512,307200,66.66666666666667,0.5839065876862514,79996859.77348113,1.0,0.298828125,0.607421875,1.0,0.708984375,0.44140625,0.74609375,1.0,0.8359375,0.7421875,0.92578125,1.0,0.962890625,0.94921875,0.98828125,1.0,0.99609375
