model,layer,depth_index,C_in,C_out,k,d,r_max,n_samples,n_over_d,kernel_erank_over_rmax,kernel_cond_top_rmax,data_erank_over_rmax,rank_W,n_null,kappa,ostrowski_ok,bound_0.9,bound_ok_0.9,bound_lo_0.9,bound_lo_ok_0.9,out_0.9,kernel_0.9,data_0.9,ortho_0.9,bound_0.95,bound_ok_0.95,bound_lo_0.95,bound_lo_ok_0.95,out_0.95,kernel_0.95,data_0.95,ortho_0.95,bound_0.99,bound_ok_0.99,bound_lo_0.99,bound_lo_ok_0.99,out_0.99,kernel_0.99,data_0.99,ortho_0.99,bound_0.999,bound_ok_0.999,bound_lo_0.999,bound_lo_ok_0.999,out_0.999,kernel_0.999,data_0.999,ortho_0.999,rho_align,rho_align_sigma
resnet50_random,conv1,0,3,64,49,147,64,307200,2089.795918367347,0.8007680272378918,4.355951567603632,0.04551182017672623,64,0,4.355951567603632,True,0.40625,True,0.015625,True,0.0625,0.6875,0.0625,0.046875,0.53125,True,0.015625,True,0.109375,0.8125,0.109375,0.078125,0.765625,True,0.03125,True,0.328125,0.953125,0.421875,0.3125,0.953125,True,0.203125,True,0.671875,1.0,0.953125,0.6875,-0.36927655677655674,0.12126405636092669
resnet50_random,layer1.0.conv1,1,64,64,1,64,64,307200,4800.0,0.5974986629385403,131.5210050289498,0.0886788790950011,64,0,131.5210050289498,True,1.0,True,0.015625,True,0.09375,0.515625,0.109375,0.109375,1.0,True,0.015625,True,0.171875,0.609375,0.21875,0.21875,1.0,True,0.015625,True,0.4375,0.765625,0.703125,0.703125,1.0,True,0.015625,True,0.734375,0.890625,0.96875,0.96875,0.20384615384615382,-0.20155677655677653
resnet50_random,layer1.0.conv2,2,64,64,9,576,64,307200,533.3333333333334,0.9429031993655838,1.9677092086133148,0.2019984225315593,64,0,1.9677092086133148,True,0.609375,True,0.0625,True,0.234375,0.828125,0.34375,0.25,0.78125,True,0.140625,True,0.421875,0.90625,1.0,0.4375,0.953125,True,0.53125,True,0.796875,0.984375,1.0,0.828125,1.0,True,0.921875,True,0.984375,1.0,1.0,0.984375,-0.07948717948717948,-0.009192718667253482
resnet50_random,layer1.0.conv3,3,64,256,1,64,64,307200,4800.0,0.8762110827484639,2.923602989914179,0.16045894238604688,64,0,2.923602989914179,True,0.65625,True,0.03125,True,0.203125,0.765625,0.234375,0.234375,0.734375,True,0.0625,True,0.359375,0.859375,0.40625,0.40625,0.875,True,0.296875,True,0.640625,0.96875,0.6875,0.6875,0.953125,True,0.703125,True,0.859375,1.0,0.890625,0.890625,0.17834249084249082,0.13424908424908424
resnet50_random,layer1.0.downsample.0,4,64,256,1,64,64,307200,4800.0,0.8868565431839623,2.711025983092791,0.08866180815112042,64,0,2.711025983092791,True,0.59375,True,0.015625,True,0.109375,0.78125,0.109375,0.109375,0.765625,True,0.046875,True,0.21875,0.875,0.21875,0.21875,0.953125,True,0.15625,True,0.640625,0.96875,0.703125,0.703125,1.0,True,0.765625,True,0.9375,1.0,0.96875,0.96875,-0.2146062271062271,-0.12788461538461535
resnet50_random,layer1.1.conv1,5,256,64,1,256,64,307200,1200.0,0.8780370447815126,2.868176546816918,0.18805590280733428,64,0,2.868176546816918,True,0.71875,True,0.03125,True,0.21875,0.765625,0.3125,0.234375,0.84375,True,0.0625,True,0.359375,0.859375,0.671875,0.40625,0.96875,True,0.296875,True,0.71875,0.96875,1.0,0.765625,1.0,True,0.796875,True,0.953125,1.0,1.0,0.96875,-0.04752747252747252,0.061372810208313595
resnet50_random,layer1.1.conv2,6,64,64,9,576,64,307200,533.3333333333334,0.9456213807774022,1.8974214346421485,0.2601668771864006,64,0,1.8974214346421485,True,0.671875,True,0.078125,True,0.296875,0.828125,0.625,0.3125,0.8125,True,0.171875,True,0.5,0.90625,1.0,0.53125,0.96875,True,0.625,True,0.84375,0.984375,1.0,0.859375,1.0,True,0.953125,True,0.984375,1.0,1.0,0.984375,-0.021886446886446885,-0.0018265030164343666
resnet50_random,layer1.1.conv3,7,64,256,1,64,64,307200,4800.0,0.8886767284984847,2.710818169037359,0.18056532892174387,64,0,2.710818169037359,True,0.625,True,0.03125,True,0.265625,0.765625,0.28125,0.28125,0.703125,True,0.078125,True,0.40625,0.875,0.4375,0.4375,0.828125,True,0.359375,True,0.65625,0.96875,0.671875,0.671875,0.90625,True,0.703125,True,0.828125,1.0,0.84375,0.84375,-0.08795787545787545,-0.014592933947772658
resnet50_random,layer1.2.conv1,8,256,64,1,256,64,307200,1200.0,0.8830027837501403,2.747559986179338,0.23246173980108706,64,0,2.747559986179338,True,0.75,True,0.03125,True,0.25,0.78125,0.421875,0.265625,0.859375,True,0.078125,True,0.421875,0.875,0.8125,0.453125,0.96875,True,0.359375,True,0.765625,0.96875,1.0,0.8125,1.0,True,0.84375,True,0.96875,1.0,1.0,0.984375,-0.20444139194139194,-0.08648560285490825
resnet50_random,layer1.2.conv2,9,64,64,9,576,64,307200,533.3333333333334,0.9477888683147819,1.9613553187291017,0.30172350329609904,64,0,1.9613553187291017,True,0.71875,True,0.078125,True,0.34375,0.828125,0.796875,0.34375,0.84375,True,0.1875,True,0.546875,0.90625,1.0,0.5625,0.96875,True,0.640625,True,0.859375,0.984375,1.0,0.875,1.0,True,0.953125,True,0.984375,1.0,1.0,0.984375,-0.1413003663003663,-0.024000975579366233
resnet50_random,layer1.2.conv3,10,64,256,1,64,64,307200,4800.0,0.885894906478282,2.936756292372551,0.17125456873544112,64,0,2.936756292372551,True,0.65625,True,0.03125,True,0.265625,0.765625,0.28125,0.28125,0.71875,True,0.0625,True,0.40625,0.875,0.4375,0.4375,0.84375,True,0.328125,True,0.65625,0.96875,0.671875,0.671875,0.921875,True,0.6875,True,0.828125,1.0,0.84375,0.84375,-0.003846153846153846,-0.12456797235023041
resnet50_random,layer2.0.conv1,11,256,128,1,256,128,307200,1200.0,0.7771190043995135,5.695929168139657,0.11204448949515092,128,0,5.695929168139657,True,0.84375,True,0.0078125,True,0.15625,0.6640625,0.21875,0.1796875,0.9140625,True,0.0078125,True,0.2734375,0.78125,0.4140625,0.3203125,0.984375,True,0.0546875,True,0.5703125,0.9296875,1.0,0.6796875,1.0,True,0.421875,True,0.875,0.9921875,1.0,0.9453125,0.02010277421717634,0.06582619268179712
resnet50_random,layer2.0.conv2,12,128,128,9,1152,128,307200,266.6666666666667,0.9456068211749847,1.960221710169798,0.15811798642148828,128,0,1.960221710169798,True,0.640625,True,0.046875,True,0.2578125,0.828125,0.5078125,0.2734375,0.7890625,True,0.1328125,True,0.453125,0.90625,1.0,0.484375,0.953125,True,0.5703125,True,0.8125,0.984375,1.0,0.8359375,1.0,True,0.9296875,True,0.9765625,1.0,1.0,0.984375,-0.03512978392235854,0.008794835142699119
resnet50_random,layer2.0.conv3,13,128,512,1,128,128,307200,2400.0,0.8832094589211175,2.9053142389204543,0.10772895704893017,128,0,2.9053142389204543,False,0.5703125,True,0.015625,True,0.2109375,0.765625,0.21875,0.21875,0.6484375,True,0.046875,True,0.34375,0.8671875,0.3671875,0.3671875,0.7734375,True,0.2734375,True,0.578125,0.96875,0.6015625,0.6015625,0.859375,True,0.6171875,True,0.765625,1.0,0.78125,0.78125,-0.06770165720563999,0.0034663820422244328
resnet50_random,layer2.0.downsample.0,14,256,512,1,256,256,307200,1200.0,0.779334030197773,5.529904715083519,0.05516477181985114,256,0,5.529904715083519,True,0.69921875,True,0.00390625,True,0.08984375,0.66796875,0.10546875,0.10546875,0.7890625,True,0.00390625,True,0.171875,0.77734375,0.19921875,0.19921875,0.890625,True,0.03125,True,0.43359375,0.9296875,0.51953125,0.51953125,0.94921875,True,0.29296875,True,0.76171875,0.9921875,0.83203125,0.83203125,0.08580767910276949,-0.020575694720326897
resnet50_random,layer2.1.conv1,15,512,128,1,512,128,307200,600.0,0.8813225759023852,2.9144417959055917,0.11258308600679875,128,0,2.9144417959055917,True,0.6796875,True,0.015625,True,0.171875,0.765625,0.2890625,0.1953125,0.8046875,True,0.03125,True,0.3203125,0.8671875,0.6015625,0.359375,0.953125,True,0.2421875,True,0.6640625,0.96875,1.0,0.7265625,1.0,True,0.7578125,True,0.9296875,1.0,1.0,0.9609375,0.04268906793627541,-0.06683074978148042
resnet50_random,layer2.1.conv2,16,128,128,9,1152,128,307200,266.6666666666667,0.9472255240278942,1.9562620817568617,0.15451561640447856,128,0,1.9562620817568617,True,0.6640625,True,0.0390625,True,0.2734375,0.828125,0.6171875,0.28125,0.8125,True,0.125,True,0.484375,0.90625,1.0,0.5078125,0.9609375,True,0.59375,True,0.828125,0.984375,1.0,0.8515625,1.0,True,0.9375,True,0.984375,1.0,1.0,0.984375,-0.15293673319904777,0.03188239294707312
resnet50_random,layer2.1.conv3,17,128,512,1,128,128,307200,2400.0,0.8813674772825181,2.894791260072054,0.09829098716729089,128,0,2.894791260072054,True,0.609375,True,0.015625,True,0.21875,0.765625,0.234375,0.234375,0.6796875,True,0.0390625,True,0.359375,0.8671875,0.390625,0.390625,0.7734375,True,0.2890625,True,0.609375,0.96875,0.640625,0.640625,0.8671875,True,0.65625,True,0.765625,1.0,0.78125,0.78125,0.003771058414209851,0.0583813742032246
resnet50_random,layer2.2.conv1,18,512,128,1,512,128,307200,600.0,0.8803145319075835,3.0399392266417795,0.10271287362549222,128,0,3.0399392266417795,True,0.6953125,True,0.0078125,True,0.1796875,0.765625,0.296875,0.1953125,0.8203125,True,0.0234375,True,0.3359375,0.859375,0.59375,0.3671875,0.953125,True,0.234375,True,0.671875,0.96875,1.0,0.7265625,1.0,True,0.7421875,True,0.9375,1.0,1.0,0.9609375,0.018935405603369343,-0.015915850665175882
resnet50_random,layer2.2.conv2,19,128,128,9,1152,128,307200,266.6666666666667,0.9462101387577726,1.9860273901761638,0.12901084715179575,128,0,1.9860273901761638,True,0.6484375,True,0.03125,True,0.2421875,0.828125,0.515625,0.25,0.796875,True,0.109375,True,0.453125,0.90625,1.0,0.4765625,0.953125,True,0.5625,True,0.8125,0.984375,1.0,0.8359375,1.0,True,0.9296875,True,0.9765625,1.0,1.0,0.984375,0.005464887383263139,-0.01844053065074158
resnet50_random,layer2.2.conv3,20,128,512,1,128,128,307200,2400.0,0.881996917729171,2.925388720942376,0.07794332530398361,128,0,2.925388720942376,True,0.515625,True,0.0078125,True,0.15625,0.765625,0.1875,0.1875,0.5859375,True,0.03125,True,0.28125,0.859375,0.3203125,0.3203125,0.734375,True,0.2265625,True,0.5078125,0.96875,0.5390625,0.5390625,0.875,True,0.5546875,True,0.71875,1.0,0.7421875,0.7421875,0.055381340413843606,-0.04806464510969806
resnet50_random,layer2.3.conv1,21,512,128,1,512,128,307200,600.0,0.8816264450968295,2.87027941127895,0.08029283050862988,128,0,2.87027941127895,True,0.6484375,True,0.0078125,True,0.1484375,0.765625,0.25,0.1640625,0.78125,True,0.0234375,True,0.296875,0.8671875,0.546875,0.3359375,0.9453125,True,0.2265625,True,0.6484375,0.96875,1.0,0.703125,1.0,True,0.7421875,True,0.9296875,1.0,1.0,0.953125,0.054019410364402116,0.043649077565729215
resnet50_random,layer2.3.conv2,22,128,128,9,1152,128,307200,266.6666666666667,0.9452302411191237,1.955230126796354,0.0726164364286611,128,0,1.955230126796354,True,0.546875,True,0.0234375,True,0.140625,0.828125,0.234375,0.1484375,0.7265625,True,0.0546875,True,0.34375,0.90625,0.90625,0.3671875,0.9296875,True,0.4609375,True,0.75,0.984375,1.0,0.78125,0.9921875,True,0.90625,True,0.96875,1.0,1.0,0.9765625,-0.05347578282365866,0.03974945389506983
resnet50_random,layer2.3.conv3,23,128,512,1,128,128,307200,2400.0,0.8808052581794017,2.95121142120589,0.04391119220443098,128,0,2.95121142120589,True,0.4765625,True,0.0078125,True,0.109375,0.765625,0.1015625,0.1015625,0.5546875,True,0.015625,True,0.234375,0.8671875,0.2421875,0.2421875,0.6796875,True,0.140625,True,0.484375,0.96875,0.5,0.5,0.8203125,True,0.5234375,True,0.6796875,1.0,0.6953125,0.6953125,-0.10429065189525727,-0.01946176123643721
resnet50_random,layer3.0.conv1,24,512,256,1,512,256,307200,600.0,0.776075153528449,5.658513893743132,0.026743786146686776,256,0,5.658513893743132,True,0.703125,True,0.00390625,True,0.0703125,0.6640625,0.078125,0.07421875,0.8125,True,0.00390625,True,0.16015625,0.77734375,0.19921875,0.17578125,0.94140625,True,0.01171875,True,0.4296875,0.9296875,0.6640625,0.5,0.9921875,True,0.26171875,True,0.78515625,0.9921875,1.0,0.86328125,0.021295634012359805,0.030291725845870025
