model,layer,depth_index,C_in,C_out,k,d,r_max,n_samples,n_over_d,kernel_erank_over_rmax,kernel_cond_top_rmax,data_erank_over_rmax,rank_W,n_null,kappa,ostrowski_ok,bound_0.9,bound_ok_0.9,bound_lo_0.9,bound_lo_ok_0.9,out_0.9,kernel_0.9,data_0.9,ortho_0.9,bound_0.95,bound_ok_0.95,bound_lo_0.95,bound_lo_ok_0.95,out_0.95,kernel_0.95,data_0.95,ortho_0.95,bound_0.99,bound_ok_0.99,bound_lo_0.99,bound_lo_ok_0.99,out_0.99,kernel_0.99,data_0.99,ortho_0.99,bound_0.999,bound_ok_0.999,bound_lo_0.999,bound_lo_ok_0.999,out_0.999,kernel_0.999,data_0.999,ortho_0.999,rho_align,rho_align_sigma
timm:densenet121.tv_in1k_random,features.conv0,0,3,64,49,147,64,307200,2089.795918367347,0.7991816421053786,4.487465673320363,0.04539749971363449,64,0,4.487465673320363,True,0.453125,True,0.015625,True,0.0625,0.6875,0.0625,0.0625,0.5625,True,0.015625,True,0.109375,0.8125,0.109375,0.09375,0.78125,True,0.03125,True,0.3125,0.953125,0.421875,0.328125,0.953125,True,0.21875,True,0.65625,1.0,0.953125,0.703125,-0.06973443223443222,-0.03353038949709373
timm:densenet121.tv_in1k_random,features.denseblock1.denselayer1.conv1,1,64,128,1,64,64,307200,4800.0,0.7744876709474496,5.3909408766309275,0.0877303228769225,64,0,5.3909408766309275,True,0.859375,True,0.015625,True,0.109375,0.671875,0.109375,0.109375,0.9375,True,0.015625,True,0.203125,0.78125,0.21875,0.21875,1.0,True,0.046875,True,0.5625,0.9375,0.6875,0.6875,1.0,True,0.390625,True,0.890625,1.0,0.96875,0.96875,-0.0570054945054945,-0.1714285714285714
timm:densenet121.tv_in1k_random,features.denseblock1.denselayer1.conv2,2,128,32,9,1152,32,307200,266.6666666666667,0.9867753297266945,1.3930090907899206,0.466291927896753,32,0,1.3930090907899206,True,0.59375,True,0.25,True,0.40625,0.875,0.9375,0.40625,0.78125,True,0.4375,True,0.59375,0.9375,1.0,0.625,0.96875,True,0.8125,True,0.90625,1.0,1.0,0.90625,1.0,True,1.0,True,1.0,1.0,1.0,1.0,-0.15469208211143692,0.03631425654717912
timm:densenet121.tv_in1k_random,features.denseblock1.denselayer2.conv1,3,96,128,1,96,96,307200,3200.0,0.6813522694657189,13.077173757588314,0.07534755938279644,96,0,13.077173757588314,True,0.9375,True,0.010416666666666666,True,0.10416666666666667,0.5833333333333334,0.11458333333333333,0.11458333333333333,0.9583333333333334,True,0.010416666666666666,True,0.20833333333333334,0.6979166666666666,0.2604166666666667,0.2604166666666667,0.9895833333333334,True,0.010416666666666666,True,0.5,0.8645833333333334,0.6770833333333334,0.6770833333333334,1.0,True,0.07291666666666667,True,0.8020833333333334,0.96875,0.9270833333333334,0.9270833333333334,-0.028920238741182856,0.15679598480737927
timm:densenet121.tv_in1k_random,features.denseblock1.denselayer2.conv2,4,128,32,9,1152,32,307200,266.6666666666667,0.9852239246487653,1.392560370353665,0.4742484026673562,32,0,1.392560370353665,True,0.5625,True,0.1875,True,0.375,0.875,1.0,0.34375,0.75,True,0.375,True,0.59375,0.9375,1.0,0.5625,0.9375,True,0.8125,True,0.875,1.0,1.0,0.875,1.0,True,1.0,True,1.0,1.0,1.0,1.0,-0.20931085043988265,-0.011724371626489875
timm:densenet121.tv_in1k_random,features.denseblock1.denselayer3.conv1,5,128,128,1,128,128,307200,2400.0,0.6099953380991188,1716.6554479423821,0.0659673298881,128,0,1716.6554479423821,True,0.9921875,True,0.0078125,True,0.1015625,0.515625,0.109375,0.109375,0.9921875,True,0.0078125,True,0.203125,0.6171875,0.2578125,0.2578125,1.0,True,0.0078125,True,0.46875,0.7734375,0.640625,0.640625,1.0,True,0.0078125,True,0.71875,0.890625,0.890625,0.890625,-0.08743247573704449,0.0983197412823397
timm:densenet121.tv_in1k_random,features.denseblock1.denselayer3.conv2,6,128,32,9,1152,32,307200,266.6666666666667,0.9867187930284421,1.3253521441869616,0.5031228328407578,32,0,1.3253521441869616,True,0.5625,True,0.25,True,0.375,0.875,1.0,0.375,0.75,True,0.4375,True,0.59375,0.9375,1.0,0.625,0.9375,True,0.84375,True,0.90625,1.0,1.0,0.90625,1.0,True,1.0,True,1.0,1.0,1.0,1.0,0.1378299120234604,0.043269120840946855
timm:densenet121.tv_in1k_random,features.denseblock1.denselayer4.conv1,7,160,128,1,160,128,307200,1920.0,0.6675754471226564,17.984456750061256,0.07563378096670367,128,0,17.984456750061256,True,0.9609375,True,0.0078125,True,0.125,0.5625,0.1328125,0.1328125,0.9765625,True,0.0078125,True,0.234375,0.671875,0.328125,0.296875,1.0,True,0.0078125,True,0.5234375,0.84375,0.7890625,0.6875,1.0,True,0.03125,True,0.796875,0.9609375,1.0,0.921875,-0.10446232375022889,-0.01351720117341338
timm:densenet121.tv_in1k_random,features.denseblock1.denselayer4.conv2,8,128,32,9,1152,32,307200,266.6666666666667,0.9850308799464119,1.393074159532127,0.6510896664945144,32,0,1.393074159532127,True,0.65625,True,0.25,True,0.46875,0.875,1.0,0.4375,0.8125,True,0.46875,True,0.65625,0.9375,1.0,0.65625,0.96875,True,0.84375,True,0.90625,1.0,1.0,0.9375,1.0,True,1.0,True,1.0,1.0,1.0,1.0,-0.15762463343108502,-0.000961375369109612
timm:densenet121.tv_in1k_random,features.denseblock1.denselayer5.conv1,9,192,128,1,192,128,307200,1600.0,0.7118589572372204,9.109201561418857,0.08241441618196649,128,0,9.109201561418857,True,0.921875,True,0.0078125,True,0.1171875,0.609375,0.1640625,0.1484375,0.953125,True,0.0078125,True,0.2421875,0.71875,0.3828125,0.3203125,0.9921875,True,0.015625,True,0.5546875,0.8828125,0.9375,0.703125,1.0,True,0.203125,True,0.84375,0.984375,1.0,0.9375,0.012125755356161875,-0.10291724684715921
