model,layer,depth_index,C_in,C_out,k,d,r_max,n_samples,n_over_d,kernel_erank_over_rmax,kernel_cond_top_rmax,data_erank_over_rmax,rank_W,n_null,kappa,ostrowski_ok,bound_0.9,bound_ok_0.9,bound_lo_0.9,bound_lo_ok_0.9,out_0.9,kernel_0.9,data_0.9,ortho_0.9,bound_0.95,bound_ok_0.95,bound_lo_0.95,bound_lo_ok_0.95,out_0.95,kernel_0.95,data_0.95,ortho_0.95,bound_0.99,bound_ok_0.99,bound_lo_0.99,bound_lo_ok_0.99,out_0.99,kernel_0.99,data_0.99,ortho_0.99,bound_0.999,bound_ok_0.999,bound_lo_0.999,bound_lo_ok_0.999,out_0.999,kernel_0.999,data_0.999,ortho_0.999,rho_align,rho_align_sigma
timm:efficientnet_b0.ra_in1k,conv_stem,0,3,32,9,27,27,307200,11377.777777777777,0.26912676296541754,176.70748453324444,0.07300234556690996,27,0,176.70748453324444,True,0.9629629629629629,True,0.037037037037037035,True,0.14814814814814814,0.2222222222222222,0.07407407407407407,0.07407407407407407,0.9629629629629629,True,0.037037037037037035,True,0.18518518518518517,0.2962962962962963,0.14814814814814814,0.14814814814814814,1.0,True,0.037037037037037035,True,0.25925925925925924,0.5185185185185185,0.25925925925925924,0.25925925925925924,1.0,True,0.037037037037037035,True,0.2962962962962963,0.7037037037037037,0.48148148148148145,0.48148148148148145,0.6233211233211233,0.7338217338217338
timm:efficientnet_b0.ra_in1k,blocks.0.0.conv_pw,3,32,16,1,32,16,307200,9600.0,0.8149325858418118,3.5911430574526966,0.873962618997329,16,0,3.5911430574526966,True,0.9375,True,0.1875,True,0.625,0.75,0.8125,0.625,1.0,True,0.3125,True,0.75,0.875,1.0,0.75,1.0,True,0.625,True,0.9375,1.0,1.0,0.9375,1.0,True,0.9375,True,1.0,1.0,1.0,1.0,-0.5294117647058824,0.5465542521994133
timm:efficientnet_b0.ra_in1k,blocks.1.0.conv_pw,4,16,96,1,16,16,307200,19200.0,0.7722343342559294,3.28667349998405,0.737913239258846,16,0,3.28667349998405,True,0.9375,True,0.25,True,0.5625,0.75,0.6875,0.6875,1.0,True,0.375,True,0.6875,0.875,0.8125,0.8125,1.0,True,0.6875,True,0.875,1.0,0.9375,0.9375,1.0,True,0.9375,True,1.0,1.0,1.0,1.0,0.17941176470588235,0.05294117647058824
timm:efficientnet_b0.ra_in1k,blocks.1.0.conv_pwl,7,96,24,1,96,24,307200,3200.0,0.8244051549727773,3.3361047736445673,1.0,24,0,3.3361047736445673,True,0.875,True,0.125,True,0.5416666666666666,0.7083333333333334,1.0,0.5833333333333334,0.9583333333333334,True,0.25,True,0.6666666666666666,0.8333333333333334,1.0,0.7083333333333334,1.0,True,0.5416666666666666,True,0.8333333333333334,0.9583333333333334,1.0,0.875,1.0,True,0.875,True,1.0,1.0,1.0,1.0,-0.3304347826086956,0.5170916983179599
timm:efficientnet_b0.ra_in1k,blocks.1.1.conv_pw,8,24,144,1,24,24,307200,12800.0,0.8164807588164426,3.3780569732549344,0.6091988649512109,24,0,3.3780569732549344,True,0.875,True,0.16666666666666666,True,0.375,0.75,0.5833333333333334,0.5833333333333334,0.9166666666666666,True,0.25,True,0.5416666666666666,0.875,0.7083333333333334,0.7083333333333334,1.0,True,0.5833333333333334,True,0.7916666666666666,1.0,0.875,0.875,1.0,True,0.875,True,0.9583333333333334,1.0,1.0,1.0,0.7713043478260868,0.3608695652173913
timm:efficientnet_b0.ra_in1k,blocks.1.1.conv_pwl,11,144,24,1,144,24,307200,2133.3333333333335,0.8140767164845761,4.808779904949046,1.0,24,0,4.808779904949046,True,1.0,True,0.125,True,0.625,0.75,1.0,0.75,1.0,True,0.25,True,0.75,0.8333333333333334,1.0,0.875,1.0,True,0.5833333333333334,True,0.9166666666666666,0.9583333333333334,1.0,1.0,1.0,True,0.9583333333333334,True,1.0,1.0,1.0,1.0,-0.1843478260869565,0.018017040430833534
timm:efficientnet_b0.ra_in1k,blocks.2.0.conv_pw,12,24,144,1,24,24,307200,12800.0,0.8978533099518772,2.2990495373425137,0.7969663898605677,24,0,2.2990495373425137,True,0.9166666666666666,True,0.375,True,0.625,0.8333333333333334,0.75,0.75,0.9583333333333334,True,0.5416666666666666,True,0.75,0.9166666666666666,0.8333333333333334,0.8333333333333334,1.0,True,0.8333333333333334,True,0.9583333333333334,1.0,0.9583333333333334,0.9583333333333334,1.0,True,1.0,True,1.0,1.0,1.0,1.0,0.6313043478260869,0.42173913043478256
timm:efficientnet_b0.ra_in1k,blocks.2.0.conv_pwl,15,144,40,1,144,40,307200,2133.3333333333335,0.9109288301627941,2.774161207107357,1.0,40,0,2.774161207107357,True,0.875,True,0.175,True,0.575,0.8,1.0,0.6,0.925,True,0.325,True,0.7,0.875,1.0,0.725,1.0,True,0.675,True,0.9,0.975,1.0,0.9,1.0,True,0.925,True,0.975,1.0,1.0,1.0,-0.12945590994371484,0.6420705731050559
timm:efficientnet_b0.ra_in1k,blocks.2.1.conv_pw,16,40,240,1,40,40,307200,7680.0,0.8028850127038114,4.498823830711941,0.7237197735058015,40,0,4.498823830711941,True,0.95,True,0.125,True,0.475,0.725,0.65,0.65,0.975,True,0.225,True,0.6,0.825,0.775,0.775,1.0,True,0.55,True,0.85,0.95,0.925,0.925,1.0,True,0.875,True,0.975,1.0,1.0,1.0,0.7048780487804879,0.5116322701688556
timm:efficientnet_b0.ra_in1k,blocks.2.1.conv_pwl,19,240,40,1,240,40,307200,1280.0,0.8071801800114752,4.256403424576506,1.0,40,0,4.256403424576506,True,1.0,True,0.15,True,0.625,0.725,1.0,0.75,1.0,True,0.3,True,0.75,0.825,1.0,0.85,1.0,True,0.675,True,0.925,0.95,1.0,0.975,1.0,True,0.95,True,1.0,1.0,1.0,1.0,0.16772983114446532,-0.19852254379416306
