model,layer,depth_index,C_in,C_out,k,d,r_max,n_samples,n_over_d,kernel_erank_over_rmax,kernel_cond_top_rmax,data_erank_over_rmax,rank_W,n_null,kappa,ostrowski_ok,bound_0.9,bound_ok_0.9,bound_lo_0.9,bound_lo_ok_0.9,out_0.9,kernel_0.9,data_0.9,ortho_0.9,bound_0.95,bound_ok_0.95,bound_lo_0.95,bound_lo_ok_0.95,out_0.95,kernel_0.95,data_0.95,ortho_0.95,bound_0.99,bound_ok_0.99,bound_lo_0.99,bound_lo_ok_0.99,out_0.99,kernel_0.99,data_0.99,ortho_0.99,bound_0.999,bound_ok_0.999,bound_lo_0.999,bound_lo_ok_0.999,out_0.999,kernel_0.999,data_0.999,ortho_0.999,rho_align,rho_align_sigma
timm:mobilenetv2_100.ra_in1k,conv_stem,0,3,32,9,27,27,307200,11377.777777777777,0.28392752210878874,17359390757.713882,0.07317133623603708,25,2,199778.0001927473,True,1.0,True,0.037037037037037035,True,0.18518518518518517,0.25925925925925924,0.07407407407407407,0.07407407407407407,1.0,True,0.037037037037037035,True,0.2222222222222222,0.3333333333333333,0.14814814814814814,0.14814814814814814,1.0,True,0.037037037037037035,True,0.25925925925925924,0.48148148148148145,0.25925925925925924,0.25925925925925924,1.0,True,0.037037037037037035,True,0.3333333333333333,0.7407407407407407,0.48148148148148145,0.48148148148148145,0.11230769230769232,0.39010989010989006
timm:mobilenetv2_100.ra_in1k,blocks.0.0.conv_pw,1,32,16,1,32,16,307200,9600.0,0.8475594981296823,3.06585996708184,0.746082397504584,16,0,3.06585996708184,True,0.875,True,0.1875,True,0.5625,0.75,0.6875,0.625,0.9375,True,0.3125,True,0.6875,0.875,0.875,0.75,1.0,True,0.625,True,0.875,1.0,1.0,0.9375,1.0,True,0.9375,True,1.0,1.0,1.0,1.0,-0.3588235294117647,0.22869565217391302
timm:mobilenetv2_100.ra_in1k,blocks.1.0.conv_pw,2,16,96,1,16,16,307200,19200.0,0.8511075600785057,2.77699844915565,0.7065545988207641,16,0,2.77699844915565,True,0.875,True,0.25,True,0.625,0.8125,0.6875,0.6875,0.9375,True,0.375,True,0.6875,0.875,0.75,0.75,1.0,True,0.75,True,0.875,1.0,0.9375,0.9375,1.0,True,0.9375,True,1.0,1.0,1.0,1.0,0.44117647058823534,0.22941176470588234
timm:mobilenetv2_100.ra_in1k,blocks.1.0.conv_pwl,3,96,24,1,96,24,307200,3200.0,0.8469586592979486,5.479016688014412,1.0,24,0,5.479016688014412,True,0.9583333333333334,True,0.041666666666666664,True,0.5416666666666666,0.75,1.0,0.5416666666666666,0.9583333333333334,True,0.08333333333333333,True,0.6666666666666666,0.8333333333333334,1.0,0.7083333333333334,1.0,True,0.3333333333333333,True,0.875,0.9583333333333334,1.0,0.875,1.0,True,0.7916666666666666,True,1.0,1.0,1.0,1.0,-0.5834782608695652,0.3600115594408121
timm:mobilenetv2_100.ra_in1k,blocks.1.1.conv_pw,4,24,144,1,24,24,307200,12800.0,0.8044826608007051,3.956236684454329,0.6188432976787682,24,0,3.956236684454329,True,0.9166666666666666,True,0.125,True,0.4166666666666667,0.7083333333333334,0.5833333333333334,0.5833333333333334,0.9583333333333334,True,0.20833333333333334,True,0.5833333333333334,0.8333333333333334,0.7083333333333334,0.7083333333333334,1.0,True,0.5,True,0.8333333333333334,0.9583333333333334,0.875,0.875,1.0,True,0.8333333333333334,True,1.0,1.0,1.0,1.0,0.25913043478260867,-0.03565217391304347
timm:mobilenetv2_100.ra_in1k,blocks.1.1.conv_pwl,5,144,24,1,144,24,307200,2133.3333333333335,0.8160533399614925,3.997853167481007,1.0,24,0,3.997853167481007,True,1.0,True,0.16666666666666666,True,0.6666666666666666,0.75,1.0,0.75,1.0,True,0.2916666666666667,True,0.7916666666666666,0.8333333333333334,1.0,0.875,1.0,True,0.6666666666666666,True,0.9583333333333334,0.9583333333333334,1.0,0.9583333333333334,1.0,True,0.9583333333333334,True,1.0,1.0,1.0,1.0,-0.20347826086956516,-0.3699316323338844
timm:mobilenetv2_100.ra_in1k,blocks.2.0.conv_pw,6,24,144,1,24,24,307200,12800.0,0.8801589170147244,2.586069448510515,0.7515634420119893,24,0,2.586069448510515,True,0.9583333333333334,True,0.2916666666666667,True,0.5416666666666666,0.7916666666666666,0.7083333333333334,0.7083333333333334,1.0,True,0.4166666666666667,True,0.7083333333333334,0.875,0.8333333333333334,0.8333333333333334,1.0,True,0.7916666666666666,True,0.9166666666666666,1.0,0.9583333333333334,0.9583333333333334,1.0,True,1.0,True,1.0,1.0,1.0,1.0,0.6904347826086955,0.6904347826086955
timm:mobilenetv2_100.ra_in1k,blocks.2.0.conv_pwl,7,144,32,1,144,32,307200,2133.3333333333335,0.9201845298242227,2.50601278861571,1.0,32,0,2.50601278861571,True,0.875,True,0.21875,True,0.625,0.8125,1.0,0.59375,0.9375,True,0.34375,True,0.75,0.90625,1.0,0.75,1.0,True,0.71875,True,0.90625,0.96875,1.0,0.9375,1.0,True,0.96875,True,1.0,1.0,1.0,1.0,-0.6810850439882697,0.4180009645526887
timm:mobilenetv2_100.ra_in1k,blocks.2.1.conv_pw,8,32,192,1,32,32,307200,9600.0,0.8122159736580521,5.342975201645977,0.7220186197064097,32,0,5.342975201645977,True,0.96875,True,0.09375,True,0.5,0.71875,0.6875,0.6875,1.0,True,0.15625,True,0.625,0.8125,0.8125,0.8125,1.0,True,0.46875,True,0.875,0.9375,0.9375,0.9375,1.0,True,0.875,True,1.0,1.0,1.0,1.0,0.845307917888563,0.43731671554252194
timm:mobilenetv2_100.ra_in1k,blocks.2.1.conv_pwl,9,192,32,1,192,32,307200,1600.0,0.8115727393495179,3.4492359042431286,1.0,32,0,3.4492359042431286,True,0.96875,True,0.21875,True,0.6875,0.71875,1.0,0.78125,1.0,True,0.375,True,0.8125,0.84375,1.0,0.875,1.0,True,0.75,True,0.96875,0.96875,1.0,0.96875,1.0,True,0.96875,True,1.0,1.0,1.0,1.0,-0.3881964809384164,-0.4648857132026838
