model,layer,depth_index,C_in,C_out,k,d,r_max,n_samples,n_over_d,kernel_erank_over_rmax,kernel_cond_top_rmax,data_erank_over_rmax,rank_W,n_null,kappa,ostrowski_ok,bound_0.9,bound_ok_0.9,bound_lo_0.9,bound_lo_ok_0.9,out_0.9,kernel_0.9,data_0.9,ortho_0.9,bound_0.95,bound_ok_0.95,bound_lo_0.95,bound_lo_ok_0.95,out_0.95,kernel_0.95,data_0.95,ortho_0.95,bound_0.99,bound_ok_0.99,bound_lo_0.99,bound_lo_ok_0.99,out_0.99,kernel_0.99,data_0.99,ortho_0.99,bound_0.999,bound_ok_0.999,bound_lo_0.999,bound_lo_ok_0.999,out_0.999,kernel_0.999,data_0.999,ortho_0.999,rho_align,rho_align_sigma
timm:mobilenetv2_100.ra_in1k_random,conv_stem,0,3,32,9,27,27,307200,11377.777777777777,0.664724404874422,21.337520740687175,0.07317133623603708,27,0,21.337520740687175,True,0.6296296296296297,True,0.037037037037037035,True,0.07407407407407407,0.5925925925925926,0.07407407407407407,0.07407407407407407,0.7037037037037037,True,0.037037037037037035,True,0.14814814814814814,0.6666666666666666,0.14814814814814814,0.14814814814814814,0.8518518518518519,True,0.037037037037037035,True,0.25925925925925924,0.8518518518518519,0.25925925925925924,0.25925925925925924,0.9629629629629629,True,0.037037037037037035,True,0.48148148148148145,0.9629629629629629,0.48148148148148145,0.48148148148148145,-0.4877899877899878,-0.2686202686202686
timm:mobilenetv2_100.ra_in1k_random,blocks.0.0.conv_pw,1,32,16,1,32,16,307200,9600.0,0.7495704198784163,4.953004059953095,0.2183903328198746,16,0,4.953004059953095,True,0.875,True,0.0625,True,0.1875,0.6875,0.25,0.25,0.9375,True,0.0625,True,0.3125,0.8125,0.4375,0.4375,1.0,True,0.1875,True,0.625,0.9375,1.0,0.75,1.0,True,0.5625,True,0.875,1.0,1.0,1.0,0.10294117647058824,-0.10740469208211142
timm:mobilenetv2_100.ra_in1k_random,blocks.1.0.conv_pw,2,16,96,1,16,16,307200,19200.0,0.9212159513648276,2.291168912937595,0.19973259835101698,16,0,2.291168912937595,True,0.5,True,0.0625,True,0.25,0.8125,0.1875,0.1875,0.625,True,0.125,True,0.375,0.875,0.3125,0.3125,0.875,True,0.3125,True,0.625,1.0,0.625,0.625,1.0,True,0.75,True,0.875,1.0,0.875,0.875,-0.3029411764705882,-0.055882352941176466
timm:mobilenetv2_100.ra_in1k_random,blocks.1.0.conv_pwl,3,96,24,1,96,24,307200,3200.0,0.8859219610275306,2.7598879605743587,0.17701894325911907,24,0,2.7598879605743587,True,0.7083333333333334,True,0.041666666666666664,True,0.20833333333333334,0.7916666666666666,0.25,0.20833333333333334,0.8333333333333334,True,0.041666666666666664,True,0.375,0.875,0.625,0.375,0.9583333333333334,True,0.2916666666666667,True,0.75,1.0,1.0,0.75,1.0,True,0.8333333333333334,True,0.9583333333333334,1.0,1.0,1.0,-0.1452173913043478,-0.03295072788353863
timm:mobilenetv2_100.ra_in1k_random,blocks.1.1.conv_pw,4,24,144,1,24,24,307200,12800.0,0.8958866628715985,2.3809147639711323,0.1478476339444846,24,0,2.3809147639711323,True,0.5833333333333334,True,0.041666666666666664,True,0.20833333333333334,0.7916666666666666,0.20833333333333334,0.20833333333333334,0.75,True,0.08333333333333333,True,0.375,0.875,0.375,0.375,0.9583333333333334,True,0.3333333333333333,True,0.7083333333333334,1.0,0.75,0.75,1.0,True,0.8333333333333334,True,0.9583333333333334,1.0,0.9583333333333334,0.9583333333333334,-0.03565217391304347,-0.40782608695652167
timm:mobilenetv2_100.ra_in1k_random,blocks.1.1.conv_pwl,5,144,24,1,144,24,307200,2133.3333333333335,0.914198956638721,2.127090104160269,0.3248666756979,24,0,2.127090104160269,True,0.7083333333333334,True,0.08333333333333333,True,0.3333333333333333,0.7916666666666666,0.5416666666666666,0.375,0.8333333333333334,True,0.20833333333333334,True,0.5,0.9166666666666666,1.0,0.5416666666666666,0.9583333333333334,True,0.5833333333333334,True,0.8333333333333334,1.0,1.0,0.875,1.0,True,0.9166666666666666,True,1.0,1.0,1.0,1.0,0.07826086956521738,0.041583627507931535
timm:mobilenetv2_100.ra_in1k_random,blocks.2.0.conv_pw,6,24,144,1,24,24,307200,12800.0,0.9164808732431484,2.1054717026312346,0.2640376685356122,24,0,2.1054717026312346,True,0.75,True,0.08333333333333333,True,0.375,0.8333333333333334,0.375,0.375,0.8333333333333334,True,0.20833333333333334,True,0.5416666666666666,0.9166666666666666,0.5833333333333334,0.5833333333333334,1.0,True,0.625,True,0.8333333333333334,1.0,0.875,0.875,1.0,True,0.9583333333333334,True,1.0,1.0,1.0,1.0,-0.13565217391304346,0.17130434782608694
timm:mobilenetv2_100.ra_in1k_random,blocks.2.0.conv_pwl,7,144,32,1,144,32,307200,2133.3333333333335,0.8841896078784132,2.749866131319604,0.21973662149529602,32,0,2.749866131319604,True,0.75,True,0.03125,True,0.25,0.78125,0.40625,0.28125,0.84375,True,0.0625,True,0.40625,0.875,0.84375,0.4375,0.96875,True,0.34375,True,0.75,0.96875,1.0,0.78125,1.0,True,0.84375,True,0.96875,1.0,1.0,0.96875,0.00879765395894428,-0.07408284552482237
timm:mobilenetv2_100.ra_in1k_random,blocks.2.1.conv_pw,8,32,192,1,32,32,307200,9600.0,0.9196312118259482,2.293654439898406,0.14168551412768746,32,0,2.293654439898406,True,0.59375,True,0.03125,True,0.25,0.8125,0.25,0.25,0.75,True,0.09375,True,0.40625,0.90625,0.40625,0.40625,0.9375,True,0.40625,True,0.71875,1.0,0.75,0.75,1.0,True,0.84375,True,0.96875,1.0,0.96875,0.96875,-0.10373900293255131,-0.10813782991202345
timm:mobilenetv2_100.ra_in1k_random,blocks.2.1.conv_pwl,9,192,32,1,192,32,307200,1600.0,0.9196512687923682,2.1741237794747774,0.4369043748477684,32,0,2.1741237794747774,True,0.8125,True,0.125,True,0.4375,0.8125,1.0,0.4375,0.90625,True,0.25,True,0.59375,0.90625,1.0,0.625,1.0,True,0.65625,True,0.875,1.0,1.0,0.90625,1.0,True,0.96875,True,1.0,1.0,1.0,1.0,-0.0879765395894428,-0.0371683396351328
