model,layer,depth_index,C_in,C_out,k,d,r_max,n_samples,n_over_d,kernel_erank_over_rmax,kernel_cond_top_rmax,data_erank_over_rmax,rank_W,n_null,kappa,ostrowski_ok,bound_0.9,bound_ok_0.9,bound_lo_0.9,bound_lo_ok_0.9,out_0.9,kernel_0.9,data_0.9,ortho_0.9,bound_0.95,bound_ok_0.95,bound_lo_0.95,bound_lo_ok_0.95,out_0.95,kernel_0.95,data_0.95,ortho_0.95,bound_0.99,bound_ok_0.99,bound_lo_0.99,bound_lo_ok_0.99,out_0.99,kernel_0.99,data_0.99,ortho_0.99,bound_0.999,bound_ok_0.999,bound_lo_0.999,bound_lo_ok_0.999,out_0.999,kernel_0.999,data_0.999,ortho_0.999,rho_align,rho_align_sigma
timm:mobilenetv3_large_100.ra_in1k,conv_stem,0,3,16,9,27,16,307200,11377.777777777777,0.39784680488918234,74.13629348817435,0.12300733935759547,16,0,74.13629348817435,True,1.0,True,0.0625,True,0.25,0.375,0.125,0.125,1.0,True,0.0625,True,0.375,0.4375,0.25,0.1875,1.0,True,0.0625,True,0.4375,0.625,0.4375,0.375,1.0,True,0.0625,True,0.5,0.75,0.8125,0.6875,0.1323529411764706,0.7606837606837606
timm:mobilenetv3_large_100.ra_in1k,blocks.0.0.conv_pw,1,16,16,1,16,16,307200,19200.0,0.5408238758671361,41.58796983444486,0.5782619697440176,16,0,41.58796983444486,True,1.0,True,0.0625,True,0.4375,0.5625,0.5,0.5,1.0,True,0.0625,True,0.5,0.625,0.625,0.625,1.0,True,0.0625,True,0.625,0.75,0.8125,0.8125,1.0,True,0.125,True,0.75,0.9375,1.0,1.0,0.4823529411764706,0.411764705882353
timm:mobilenetv3_large_100.ra_in1k,blocks.1.0.conv_pw,2,16,64,1,16,16,307200,19200.0,0.8061796002892643,3.7554335525614784,0.6578317828300179,16,0,3.7554335525614784,True,0.875,True,0.125,True,0.5625,0.75,0.625,0.625,0.9375,True,0.25,True,0.6875,0.875,0.75,0.75,1.0,True,0.625,True,0.875,1.0,0.875,0.875,1.0,True,0.875,True,0.9375,1.0,1.0,1.0,0.2764705882352941,0.4264705882352941
timm:mobilenetv3_large_100.ra_in1k,blocks.1.0.conv_pwl,3,64,24,1,64,24,307200,4800.0,0.8311611660542081,5.3670729460145346,1.0,24,0,5.3670729460145346,True,1.0,True,0.041666666666666664,True,0.5416666666666666,0.7083333333333334,1.0,0.625,1.0,True,0.125,True,0.6666666666666666,0.8333333333333334,1.0,0.75,1.0,True,0.4166666666666667,True,0.875,0.9583333333333334,1.0,0.9583333333333334,1.0,True,0.8333333333333334,True,0.9583333333333334,1.0,1.0,1.0,-0.023478260869565212,0.11543040293040291
timm:mobilenetv3_large_100.ra_in1k,blocks.1.1.conv_pw,4,24,72,1,24,24,307200,12800.0,0.6997815590591854,8.676779296625085,0.5479183309362328,24,0,8.676779296625085,True,0.9583333333333334,True,0.041666666666666664,True,0.2916666666666667,0.625,0.5833333333333334,0.5833333333333334,0.9583333333333334,True,0.041666666666666664,True,0.4583333333333333,0.75,0.7083333333333334,0.7083333333333334,1.0,True,0.20833333333333334,True,0.7083333333333334,0.9166666666666666,0.875,0.875,1.0,True,0.625,True,0.9166666666666666,1.0,0.9583333333333334,0.9583333333333334,0.5156521739130434,0.2208695652173913
timm:mobilenetv3_large_100.ra_in1k,blocks.1.1.conv_pwl,5,72,24,1,72,24,307200,4266.666666666667,0.7091923153732319,8.023582239262481,1.0,24,0,8.023582239262481,True,1.0,True,0.041666666666666664,True,0.5416666666666666,0.6666666666666666,1.0,0.75,1.0,True,0.08333333333333333,True,0.6666666666666666,0.75,1.0,0.875,1.0,True,0.3333333333333333,True,0.8333333333333334,0.9166666666666666,1.0,1.0,1.0,True,0.8333333333333334,True,1.0,1.0,1.0,1.0,-0.03652173913043478,0.06540613544279376
timm:mobilenetv3_large_100.ra_in1k,blocks.2.0.conv_pw,6,24,72,1,24,24,307200,12800.0,0.8767647439174605,2.90914804718917,0.7141707797064293,24,0,2.90914804718917,True,0.9166666666666666,True,0.20833333333333334,True,0.5833333333333334,0.7916666666666666,0.6666666666666666,0.6666666666666666,0.9583333333333334,True,0.375,True,0.7083333333333334,0.875,0.7916666666666666,0.7916666666666666,1.0,True,0.7083333333333334,True,0.875,1.0,0.9583333333333334,0.9583333333333334,1.0,True,0.9583333333333334,True,1.0,1.0,1.0,1.0,0.28782608695652173,0.3930434782608695
timm:mobilenetv3_large_100.ra_in1k,blocks.2.0.conv_pwl,9,72,40,1,72,40,307200,4266.666666666667,0.8421087735069239,5.697328446433767,0.8958046304217099,40,0,5.697328446433767,True,0.95,True,0.05,True,0.525,0.7,0.95,0.575,0.975,True,0.075,True,0.65,0.8,1.0,0.725,1.0,True,0.325,True,0.825,0.925,1.0,0.9,1.0,True,0.8,True,0.95,1.0,1.0,0.975,-0.16660412757973736,0.38362595665316107
timm:mobilenetv3_large_100.ra_in1k,blocks.2.1.conv_pw,10,40,120,1,40,40,307200,7680.0,0.6891347187571655,17.71475982475011,0.6113831816873475,40,0,17.71475982475011,True,1.0,True,0.025,True,0.35,0.6,0.575,0.575,1.0,True,0.025,True,0.45,0.7,0.675,0.675,1.0,True,0.075,True,0.675,0.85,0.825,0.825,1.0,True,0.375,True,0.925,0.975,0.95,0.95,0.6994371482176361,0.2212007504690432
timm:mobilenetv3_large_100.ra_in1k,blocks.2.1.conv_pwl,13,120,40,1,120,40,307200,2560.0,0.7069654418478175,10.22672097224153,1.0,40,0,10.22672097224153,True,1.0,True,0.025,True,0.5,0.6,1.0,0.675,1.0,True,0.05,True,0.625,0.725,1.0,0.8,1.0,True,0.225,True,0.85,0.9,1.0,0.95,1.0,True,0.7,True,0.975,0.975,1.0,1.0,-0.06904315196998126,-0.3742985329725111
