model,layer,depth_index,C_in,C_out,k,d,r_max,n_samples,n_over_d,kernel_erank_over_rmax,kernel_cond_top_rmax,data_erank_over_rmax,rank_W,n_null,kappa,ostrowski_ok,bound_0.9,bound_ok_0.9,bound_lo_0.9,bound_lo_ok_0.9,out_0.9,kernel_0.9,data_0.9,ortho_0.9,bound_0.95,bound_ok_0.95,bound_lo_0.95,bound_lo_ok_0.95,out_0.95,kernel_0.95,data_0.95,ortho_0.95,bound_0.99,bound_ok_0.99,bound_lo_0.99,bound_lo_ok_0.99,out_0.99,kernel_0.99,data_0.99,ortho_0.99,bound_0.999,bound_ok_0.999,bound_lo_0.999,bound_lo_ok_0.999,out_0.999,kernel_0.999,data_0.999,ortho_0.999,rho_align,rho_align_sigma
timm:resnet101.tv_in1k,conv1,0,3,64,49,147,64,307200,2089.795918367347,0.29268658000978587,119124945.91185561,0.045504075061633766,50,14,946.6866622646025,True,1.0,True,0.015625,True,0.09375,0.25,0.0625,0.0625,1.0,True,0.015625,True,0.140625,0.296875,0.109375,0.09375,1.0,True,0.015625,True,0.234375,0.40625,0.421875,0.34375,1.0,True,0.015625,True,0.375,0.625,0.953125,0.734375,-0.1497719087635054,0.9094444866681426
timm:resnet101.tv_in1k,layer1.0.conv1,1,64,64,1,64,64,307200,4800.0,0.2686247542794783,576745505.0130724,0.19687601937188998,50,14,2357.607554275916,True,0.765625,True,0.015625,True,0.109375,0.21875,0.25,0.25,0.765625,True,0.015625,True,0.140625,0.28125,0.375,0.375,0.765625,True,0.015625,True,0.234375,0.40625,0.578125,0.578125,0.765625,True,0.015625,True,0.390625,0.578125,0.71875,0.71875,0.6612725090036015,0.8723469387755102
timm:resnet101.tv_in1k,layer1.0.conv2,2,64,64,9,576,64,307200,533.3333333333334,0.4158572335760233,7653914.174955179,0.679332176508735,62,2,15.65145203337699,True,1.0,True,0.015625,True,0.140625,0.390625,1.0,0.375,1.0,True,0.015625,True,0.203125,0.515625,1.0,0.578125,1.0,True,0.015625,True,0.421875,0.765625,1.0,0.859375,1.0,True,0.1875,True,0.75,0.9375,1.0,0.984375,0.7779960212535569,0.9477899760625722
timm:resnet101.tv_in1k,layer1.0.conv3,3,64,256,1,64,64,307200,4800.0,0.38751373393622124,12933820.973870074,0.14855325055975474,62,2,36.354496201983025,True,0.96875,True,0.015625,True,0.0625,0.359375,0.234375,0.234375,0.96875,True,0.015625,True,0.125,0.46875,0.359375,0.359375,0.96875,True,0.015625,True,0.21875,0.71875,0.65625,0.65625,0.96875,True,0.015625,True,0.421875,0.90625,0.90625,0.90625,0.9444486414343632,0.9177557855506031
timm:resnet101.tv_in1k,layer1.0.downsample.0,4,64,256,1,64,64,307200,4800.0,0.3725562806006148,35487897.34727009,0.1970097140481946,50,14,437.9489870488626,True,0.765625,True,0.015625,True,0.109375,0.34375,0.25,0.25,0.765625,True,0.015625,True,0.15625,0.421875,0.375,0.375,0.765625,True,0.015625,True,0.296875,0.578125,0.578125,0.578125,0.765625,True,0.015625,True,0.5,0.71875,0.71875,0.71875,0.9087635054021608,0.623469387755102
timm:resnet101.tv_in1k,layer1.1.conv1,5,256,64,1,256,64,307200,1200.0,0.23839799892435892,8727109.192387322,0.4421870161889352,44,20,163125.69394528502,True,1.0,True,0.015625,True,0.078125,0.25,0.5,0.296875,1.0,True,0.015625,True,0.140625,0.3125,0.84375,0.421875,1.0,True,0.015625,True,0.25,0.46875,1.0,0.71875,1.0,True,0.015625,True,0.40625,0.546875,1.0,0.953125,0.7639182522903454,0.9328454545362502
timm:resnet101.tv_in1k,layer1.1.conv2,6,64,64,9,576,64,307200,533.3333333333334,0.19618447768868033,13011155.470158838,0.2582882253748824,49,15,788606.0266817546,True,1.0,True,0.015625,True,0.09375,0.203125,0.625,0.25,1.0,True,0.015625,True,0.15625,0.28125,1.0,0.390625,1.0,True,0.015625,True,0.265625,0.4375,1.0,0.6875,1.0,True,0.015625,True,0.453125,0.59375,1.0,0.921875,0.5054081632653061,0.9133824900415289
timm:resnet101.tv_in1k,layer1.1.conv3,7,64,256,1,64,64,307200,4800.0,0.24809823731268965,9450808.171562104,0.181251188442569,49,15,698591.3281336547,True,0.65625,True,0.015625,True,0.09375,0.21875,0.203125,0.203125,0.65625,True,0.015625,True,0.125,0.28125,0.28125,0.28125,0.65625,True,0.015625,True,0.21875,0.421875,0.4375,0.4375,0.65625,True,0.015625,True,0.328125,0.578125,0.578125,0.578125,0.9901020408163265,0.9507333279312861
timm:resnet101.tv_in1k,layer1.2.conv1,8,256,64,1,256,64,307200,1200.0,0.399711457300518,7272986.301182938,0.6313229203820272,60,4,4853.981263461346,True,1.0,True,0.015625,True,0.15625,0.375,0.65625,0.40625,1.0,True,0.015625,True,0.21875,0.5,1.0,0.546875,1.0,True,0.015625,True,0.390625,0.734375,1.0,0.828125,1.0,True,0.015625,True,0.671875,0.875,1.0,0.984375,0.7453737149208115,0.9748285381159769
timm:resnet101.tv_in1k,layer1.2.conv2,9,64,64,9,576,64,307200,533.3333333333334,0.6009627993725596,13.921148850666274,1.0,64,0,13.921148850666274,True,1.0,True,0.015625,True,0.40625,0.5625,1.0,0.59375,1.0,True,0.015625,True,0.53125,0.703125,1.0,0.75,1.0,True,0.0625,True,0.765625,0.890625,1.0,0.9375,1.0,True,0.46875,True,0.953125,0.984375,1.0,1.0,0.053937728937728927,0.9692757637618189
