model,layer,depth_index,C_in,C_out,k,d,r_max,n_samples,n_over_d,kernel_erank_over_rmax,kernel_cond_top_rmax,data_erank_over_rmax,rank_W,n_null,kappa,ostrowski_ok,bound_0.9,bound_ok_0.9,bound_lo_0.9,bound_lo_ok_0.9,out_0.9,kernel_0.9,data_0.9,ortho_0.9,bound_0.95,bound_ok_0.95,bound_lo_0.95,bound_lo_ok_0.95,out_0.95,kernel_0.95,data_0.95,ortho_0.95,bound_0.99,bound_ok_0.99,bound_lo_0.99,bound_lo_ok_0.99,out_0.99,kernel_0.99,data_0.99,ortho_0.99,bound_0.999,bound_ok_0.999,bound_lo_0.999,bound_lo_ok_0.999,out_0.999,kernel_0.999,data_0.999,ortho_0.999,rho_align,rho_align_sigma
timm:resnet34.a1_in1k,conv1,0,3,64,49,147,64,307200,2089.795918367347,0.3931255341684022,1.5266532913973424e+16,0.04541424746449777,61,3,5034.299567389842,True,1.0,True,0.015625,True,0.046875,0.375,0.0625,0.046875,1.0,True,0.015625,True,0.078125,0.484375,0.109375,0.09375,1.0,True,0.015625,True,0.1875,0.6875,0.421875,0.328125,1.0,True,0.015625,True,0.40625,0.859375,0.953125,0.71875,0.202644103648863,0.9138724675419089
timm:resnet34.a1_in1k,layer1.0.conv1,1,64,64,9,576,64,307200,533.3333333333334,0.6978683575799602,6.540240474161724,0.6155993733360094,64,0,6.540240474161724,True,0.9375,True,0.015625,True,0.203125,0.65625,1.0,0.3125,0.953125,True,0.03125,True,0.3125,0.796875,1.0,0.5,1.0,True,0.109375,True,0.625,0.9375,1.0,0.8125,1.0,True,0.546875,True,0.921875,1.0,1.0,0.96875,0.6241300366300365,0.7200771531376232
timm:resnet34.a1_in1k,layer1.0.conv2,2,64,64,9,576,64,307200,533.3333333333334,0.7631370940982201,4.684338145264204,0.5837899886055745,64,0,4.684338145264204,True,0.921875,True,0.015625,True,0.203125,0.671875,1.0,0.34375,0.953125,True,0.03125,True,0.359375,0.796875,1.0,0.53125,1.0,True,0.1875,True,0.703125,0.953125,1.0,0.859375,1.0,True,0.734375,True,0.953125,1.0,1.0,0.984375,0.36703296703296695,0.9001625097330019
timm:resnet34.a1_in1k,layer1.1.conv1,3,64,64,9,576,64,307200,533.3333333333334,0.7542457087682568,4.952867585033576,1.0,64,0,4.952867585033576,True,0.953125,True,0.046875,True,0.328125,0.6875,1.0,0.53125,0.984375,True,0.09375,True,0.484375,0.8125,1.0,0.6875,1.0,True,0.328125,True,0.78125,0.953125,1.0,0.90625,1.0,True,0.828125,True,0.96875,1.0,1.0,0.984375,0.7178113553113552,0.787955002134981
timm:resnet34.a1_in1k,layer1.1.conv2,4,64,64,9,576,64,307200,533.3333333333334,0.811163186034601,4.117607781301874,1.0,64,0,4.117607781301874,True,0.96875,True,0.03125,True,0.359375,0.71875,1.0,0.59375,0.984375,True,0.09375,True,0.53125,0.828125,1.0,0.75,1.0,True,0.484375,True,0.828125,0.96875,1.0,0.9375,1.0,True,0.90625,True,0.984375,1.0,1.0,1.0,0.1911172161172161,0.8746229874664054
timm:resnet34.a1_in1k,layer1.2.conv1,5,64,64,9,576,64,307200,533.3333333333334,0.8060659117813692,3.6886569539338887,1.0,64,0,3.6886569539338887,True,0.9375,True,0.078125,True,0.4375,0.71875,1.0,0.5625,0.96875,True,0.171875,True,0.578125,0.84375,1.0,0.703125,1.0,True,0.515625,True,0.84375,0.96875,1.0,0.921875,1.0,True,0.890625,True,0.984375,1.0,1.0,1.0,0.533974358974359,0.8806826287895915
timm:resnet34.a1_in1k,layer1.2.conv2,6,64,64,9,576,64,307200,533.3333333333334,0.8112341875794522,4.227609819423363,1.0,64,0,4.227609819423363,True,0.96875,True,0.0625,True,0.484375,0.71875,1.0,0.6875,0.984375,True,0.171875,True,0.65625,0.828125,1.0,0.828125,1.0,True,0.578125,True,0.890625,0.953125,1.0,0.953125,1.0,True,0.921875,True,0.984375,1.0,1.0,1.0,0.2858974358974359,0.857364499642383
timm:resnet34.a1_in1k,layer2.0.conv1,7,64,128,9,576,128,307200,533.3333333333334,0.7731761997278032,5.184468131201155,1.0,128,0,5.184468131201155,True,0.96875,True,0.046875,True,0.421875,0.6640625,1.0,0.578125,0.984375,True,0.109375,True,0.5546875,0.78125,1.0,0.7265625,1.0,True,0.3828125,True,0.7890625,0.9375,1.0,0.921875,1.0,True,0.828125,True,0.9609375,0.9921875,1.0,0.9921875,0.8661302874931331,0.9545784668324419
timm:resnet34.a1_in1k,layer2.0.conv2,8,128,128,9,1152,128,307200,266.6666666666667,0.7336488491821093,5.674408853104852,1.0,128,0,5.674408853104852,True,0.9609375,True,0.03125,True,0.4609375,0.65625,1.0,0.6328125,0.9765625,True,0.078125,True,0.6015625,0.78125,1.0,0.78125,0.9921875,True,0.3671875,True,0.8515625,0.9375,1.0,0.9296875,1.0,True,0.84375,True,0.9765625,0.9921875,1.0,0.984375,0.42935703167917966,0.7647509580021956
timm:resnet34.a1_in1k,layer2.0.downsample.0,9,64,128,1,64,64,307200,4800.0,0.5927141338431589,15.888519873016111,0.6557566406235604,64,0,15.888519873016111,True,1.0,True,0.015625,True,0.375,0.515625,0.609375,0.609375,1.0,True,0.03125,True,0.484375,0.625,0.734375,0.734375,1.0,True,0.078125,True,0.71875,0.8125,0.921875,0.921875,1.0,True,0.4375,True,0.921875,0.96875,0.984375,0.984375,-0.009706959706959705,0.08282967032967033
timm:resnet34.a1_in1k,layer2.1.conv1,10,128,128,9,1152,128,307200,266.6666666666667,0.7951521594239614,5.528181354559547,1.0,128,0,5.528181354559547,True,0.9609375,True,0.0390625,True,0.40625,0.71875,1.0,0.5625,0.984375,True,0.078125,True,0.5625,0.828125,1.0,0.71875,1.0,True,0.328125,True,0.828125,0.953125,1.0,0.9140625,1.0,True,0.8046875,True,0.9765625,1.0,1.0,0.9921875,0.7858221937374106,0.8897001305787402
timm:resnet34.a1_in1k,layer2.1.conv2,11,128,128,9,1152,128,307200,266.6666666666667,0.7620440562094342,5.478112694804111,1.0,128,0,5.478112694804111,True,0.9765625,True,0.0625,True,0.546875,0.7109375,1.0,0.6796875,0.9921875,True,0.125,True,0.6953125,0.828125,1.0,0.8046875,1.0,True,0.4453125,True,0.90625,0.9609375,1.0,0.9453125,1.0,True,0.8671875,True,0.9921875,1.0,1.0,0.9921875,0.34395028383080023,0.6887071956107903
timm:resnet34.a1_in1k,layer2.2.conv1,12,128,128,9,1152,128,307200,266.6666666666667,0.795123841128427,4.347144371007545,1.0,128,0,4.347144371007545,True,0.96875,True,0.09375,True,0.484375,0.71875,1.0,0.671875,0.984375,True,0.1875,True,0.6328125,0.8359375,1.0,0.8046875,1.0,True,0.546875,True,0.8828125,0.9609375,1.0,0.953125,1.0,True,0.9140625,True,0.984375,1.0,1.0,0.9921875,0.8820900476103277,0.906744147872207
timm:resnet34.a1_in1k,layer2.2.conv2,13,128,128,9,1152,128,307200,266.6666666666667,0.7745491864969477,5.809336020505579,1.0,128,0,5.809336020505579,True,0.984375,True,0.0625,True,0.6015625,0.71875,1.0,0.734375,0.9921875,True,0.140625,True,0.7421875,0.828125,1.0,0.84375,1.0,True,0.4921875,True,0.921875,0.9609375,1.0,0.9609375,1.0,True,0.890625,True,0.9921875,1.0,1.0,1.0,0.35023919611792714,0.7217917246316374
timm:resnet34.a1_in1k,layer2.3.conv1,14,128,128,9,1152,128,307200,266.6666666666667,0.721843279689964,6.083544655400333,1.0,128,0,6.083544655400333,True,0.9921875,True,0.0390625,True,0.46875,0.6796875,1.0,0.6953125,0.9921875,True,0.09375,True,0.625,0.8046875,1.0,0.828125,1.0,True,0.40625,True,0.8671875,0.9453125,1.0,0.9609375,1.0,True,0.8671875,True,0.984375,1.0,1.0,1.0,0.7914587529756454,0.9142217264472565
timm:resnet34.a1_in1k,layer2.3.conv2,15,128,128,9,1152,128,307200,266.6666666666667,0.7839936075083015,5.887241429731397,1.0,128,0,5.887241429731397,True,0.984375,True,0.0625,True,0.6015625,0.7109375,1.0,0.75,0.9921875,True,0.140625,True,0.734375,0.8203125,1.0,0.8515625,1.0,True,0.5,True,0.9140625,0.953125,1.0,0.9609375,1.0,True,0.890625,True,0.9921875,1.0,1.0,1.0,0.4026792254165903,0.7524597801084695
timm:resnet34.a1_in1k,layer3.0.conv1,16,128,256,9,1152,256,307200,266.6666666666667,0.672236653699668,8.728357879503031,1.0,256,0,8.728357879503031,True,0.98828125,True,0.01171875,True,0.32421875,0.59765625,1.0,0.58984375,0.99609375,True,0.02734375,True,0.453125,0.7265625,1.0,0.74609375,1.0,True,0.16015625,True,0.71484375,0.9140625,1.0,0.9296875,1.0,True,0.671875,True,0.9375,0.9921875,1.0,0.9921875,0.9724100194552526,0.9498013012177654
timm:resnet34.a1_in1k,layer3.0.conv2,17,256,256,9,2304,256,307200,133.33333333333334,0.774629755806743,5.673830291675164,1.0,256,0,5.673830291675164,True,0.984375,True,0.03515625,True,0.46484375,0.703125,1.0,0.67578125,0.9921875,True,0.0859375,True,0.62109375,0.8203125,1.0,0.81640625,1.0,True,0.3984375,True,0.87109375,0.95703125,1.0,0.95703125,1.0,True,0.87890625,True,0.984375,0.99609375,1.0,0.99609375,0.9345602540627145,0.9541899433886261
timm:resnet34.a1_in1k,layer3.0.downsample.0,18,128,256,1,128,128,307200,2400.0,0.6432103425494413,14.698681565690592,0.6951772814361729,128,0,14.698681565690592,True,0.9921875,True,0.0078125,True,0.3828125,0.5703125,0.6953125,0.6953125,0.9921875,True,0.015625,True,0.5078125,0.6875,0.8125,0.8125,1.0,True,0.09375,True,0.7578125,0.8671875,0.9375,0.9375,1.0,True,0.546875,True,0.9375,0.9765625,0.984375,0.984375,0.6366164621864127,0.7514878227430872
timm:resnet34.a1_in1k,layer3.1.conv1,19,256,256,9,2304,256,307200,133.33333333333334,0.7781364179587195,7.182699583154166,1.0,256,0,7.182699583154166,True,0.984375,True,0.01953125,True,0.4140625,0.71875,1.0,0.609375,0.9921875,True,0.04296875,True,0.5703125,0.83203125,1.0,0.76171875,1.0,True,0.24609375,True,0.84375,0.95703125,1.0,0.9375,1.0,True,0.765625,True,0.9765625,0.99609375,1.0,0.9921875,0.9104071297779811,0.9514306432270172
timm:resnet34.a1_in1k,layer3.1.conv2,20,256,256,9,2304,256,307200,133.33333333333334,0.7300114820132174,7.284155150866491,1.0,256,0,7.284155150866491,True,0.98828125,True,0.02734375,True,0.54296875,0.703125,1.0,0.73046875,0.99609375,True,0.0625,True,0.6953125,0.82421875,1.0,0.84375,1.0,True,0.3515625,True,0.90625,0.95703125,1.0,0.95703125,1.0,True,0.84375,True,0.98828125,0.99609375,1.0,0.99609375,0.7481181334401464,0.8472499058644534
timm:resnet34.a1_in1k,layer3.2.conv1,21,256,256,9,2304,256,307200,133.33333333333334,0.7969031049009677,5.647626279661462,1.0,256,0,5.647626279661462,True,0.984375,True,0.03515625,True,0.45703125,0.734375,1.0,0.67578125,0.9921875,True,0.08203125,True,0.625,0.84765625,1.0,0.8125,1.0,True,0.40234375,True,0.87890625,0.96484375,1.0,0.95703125,1.0,True,0.875,True,0.984375,0.99609375,1.0,0.99609375,0.9284583142595557,0.9666917957934085
timm:resnet34.a1_in1k,layer3.2.conv2,22,256,256,9,2304,256,307200,133.33333333333334,0.7750035096450045,6.082841357248011,1.0,256,0,6.082841357248011,True,0.98828125,True,0.046875,True,0.578125,0.72265625,1.0,0.76171875,0.99609375,True,0.1171875,True,0.7265625,0.8359375,1.0,0.8671875,1.0,True,0.48046875,True,0.91796875,0.9609375,1.0,0.96484375,1.0,True,0.8984375,True,0.9921875,0.99609375,1.0,0.99609375,0.8487911993591211,0.9237729100449176
timm:resnet34.a1_in1k,layer3.3.conv1,23,256,256,9,2304,256,307200,133.33333333333334,0.7739418934402993,10.412734341420343,1.0,256,0,10.412734341420343,True,0.99609375,True,0.0078125,True,0.44921875,0.7265625,1.0,0.69140625,1.0,True,0.01953125,True,0.62109375,0.83984375,1.0,0.82421875,1.0,True,0.140625,True,0.875,0.9609375,1.0,0.9609375,1.0,True,0.6953125,True,0.984375,0.99609375,1.0,0.99609375,0.9198701075761041,0.9840524519795456
timm:resnet34.a1_in1k,layer3.3.conv2,24,256,256,9,2304,256,307200,133.33333333333334,0.7505271533323602,7.337160426864936,1.0,256,0,7.337160426864936,True,0.98828125,True,0.03125,True,0.57421875,0.71484375,1.0,0.765625,0.99609375,True,0.078125,True,0.72265625,0.83203125,1.0,0.8671875,1.0,True,0.390625,True,0.91796875,0.95703125,1.0,0.96484375,1.0,True,0.8671875,True,0.9921875,0.99609375,1.0,0.9921875,0.8380657759212634,0.9707898774661942
timm:resnet34.a1_in1k,layer3.4.conv1,25,256,256,9,2304,256,307200,133.33333333333334,0.7519710106260588,6.95926509245467,1.0,256,0,6.95926509245467,True,0.9921875,True,0.0234375,True,0.453125,0.71875,1.0,0.69921875,0.99609375,True,0.0546875,True,0.62109375,0.8359375,1.0,0.83203125,1.0,True,0.3203125,True,0.87890625,0.9609375,1.0,0.9609375,1.0,True,0.84375,True,0.984375,0.99609375,1.0,0.99609375,0.8885571641107805,0.9774309702535188
timm:resnet34.a1_in1k,layer3.4.conv2,26,256,256,9,2304,256,307200,133.33333333333334,0.7786729958758701,6.545537910245872,1.0,256,0,6.545537910245872,True,0.9921875,True,0.04296875,True,0.57421875,0.71484375,1.0,0.7734375,0.99609375,True,0.10546875,True,0.71875,0.83203125,1.0,0.875,1.0,True,0.45703125,True,0.91796875,0.95703125,1.0,0.97265625,1.0,True,0.8984375,True,0.9921875,0.99609375,1.0,1.0,0.8921599622339207,0.9581618170805107
timm:resnet34.a1_in1k,layer3.5.conv1,27,256,256,9,2304,256,307200,133.33333333333334,0.7151069106675754,7.970281557521052,1.0,256,0,7.970281557521052,True,0.99609375,True,0.015625,True,0.45703125,0.70703125,1.0,0.69921875,1.0,True,0.0390625,True,0.625,0.82421875,1.0,0.828125,1.0,True,0.2578125,True,0.875,0.95703125,1.0,0.9609375,1.0,True,0.80078125,True,0.984375,0.99609375,1.0,0.99609375,0.9057950904097046,0.9813955148335237
timm:resnet34.a1_in1k,layer3.5.conv2,28,256,256,9,2304,256,307200,133.33333333333334,0.7534544832245824,7.925836553167414,1.0,256,0,7.925836553167414,True,0.9921875,True,0.0234375,True,0.54296875,0.6875,1.0,0.765625,0.99609375,True,0.0625,True,0.68359375,0.8046875,1.0,0.8671875,1.0,True,0.34375,True,0.89453125,0.94921875,1.0,0.96875,1.0,True,0.84765625,True,0.98828125,0.99609375,1.0,0.99609375,0.8831318665598533,0.9167802961979549
timm:resnet34.a1_in1k,layer4.0.conv1,29,256,512,9,2304,512,307200,133.33333333333334,0.5699703399129902,16.803081597388445,1.0,512,0,16.803081597388445,True,0.998046875,True,0.00390625,True,0.25,0.541015625,1.0,0.580078125,1.0,True,0.005859375,True,0.36328125,0.685546875,1.0,0.73828125,1.0,True,0.029296875,True,0.630859375,0.8984375,1.0,0.931640625,1.0,True,0.345703125,True,0.90625,0.98828125,1.0,0.9921875,0.9831246387944748,0.9796368438915696
timm:resnet34.a1_in1k,layer4.0.conv2,30,512,512,9,4608,512,307200,66.66666666666667,0.795913779648241,12.558073181026737,1.0,512,0,12.558073181026737,True,0.998046875,True,0.005859375,True,0.55859375,0.732421875,1.0,0.755859375,1.0,True,0.01171875,True,0.708984375,0.84375,1.0,0.8671875,1.0,True,0.123046875,True,0.912109375,0.9609375,1.0,0.96875,1.0,True,0.68359375,True,0.986328125,0.994140625,1.0,0.99609375,0.8822139180714343,0.9589634265013176
timm:resnet34.a1_in1k,layer4.0.downsample.0,31,256,512,1,256,256,307200,1200.0,0.649680468363516,16.425242832011104,0.6530838668312269,256,0,16.425242832011104,True,0.99609375,True,0.00390625,True,0.40625,0.58203125,0.70703125,0.70703125,1.0,True,0.0078125,True,0.546875,0.703125,0.8359375,0.8359375,1.0,True,0.0546875,True,0.79296875,0.8828125,0.95703125,0.95703125,1.0,True,0.4921875,True,0.953125,0.9765625,0.9921875,0.9921875,0.5508604657816433,0.8299646658274202
timm:resnet34.a1_in1k,layer4.1.conv1,32,512,512,9,4608,512,307200,66.66666666666667,0.746750692673655,13.889197909585052,1.0,512,0,13.889197909585052,True,0.99609375,True,0.001953125,True,0.46875,0.720703125,1.0,0.693359375,0.998046875,True,0.005859375,True,0.6328125,0.833984375,1.0,0.826171875,1.0,True,0.052734375,True,0.875,0.95703125,1.0,0.95703125,1.0,True,0.556640625,True,0.98046875,0.994140625,1.0,0.994140625,0.9074841784827365,0.9760415753465417
timm:resnet34.a1_in1k,layer4.1.conv2,33,512,512,9,4608,512,307200,66.66666666666667,0.6160505538564887,16.088548179198277,1.0,512,0,16.088548179198277,True,0.99609375,True,0.00390625,True,0.498046875,0.703125,1.0,0.72265625,0.998046875,True,0.01171875,True,0.6484375,0.822265625,1.0,0.837890625,1.0,True,0.083984375,True,0.87890625,0.955078125,1.0,0.95703125,1.0,True,0.5390625,True,0.984375,0.99609375,1.0,0.994140625,0.9524678562845469,0.9522318661537394
timm:resnet34.a1_in1k,layer4.2.conv1,34,512,512,9,4608,512,307200,66.66666666666667,0.7196092650377031,12.531358440200366,1.0,512,0,12.531358440200366,True,0.99609375,True,0.001953125,True,0.40625,0.716796875,1.0,0.708984375,0.998046875,True,0.005859375,True,0.578125,0.83203125,1.0,0.8359375,1.0,True,0.087890625,True,0.849609375,0.958984375,1.0,0.9609375,1.0,True,0.630859375,True,0.978515625,0.99609375,1.0,0.99609375,0.9182635705988718,0.9889917028702077
