model,layer,depth_index,C_in,C_out,k,d,r_max,n_samples,n_over_d,kernel_erank_over_rmax,kernel_cond_top_rmax,data_erank_over_rmax,rank_W,n_null,kappa,ostrowski_ok,bound_0.9,bound_ok_0.9,bound_lo_0.9,bound_lo_ok_0.9,out_0.9,kernel_0.9,data_0.9,ortho_0.9,bound_0.95,bound_ok_0.95,bound_lo_0.95,bound_lo_ok_0.95,out_0.95,kernel_0.95,data_0.95,ortho_0.95,bound_0.99,bound_ok_0.99,bound_lo_0.99,bound_lo_ok_0.99,out_0.99,kernel_0.99,data_0.99,ortho_0.99,bound_0.999,bound_ok_0.999,bound_lo_0.999,bound_lo_ok_0.999,out_0.999,kernel_0.999,data_0.999,ortho_0.999,rho_align,rho_align_sigma
timm:resnet34.a1_in1k_random,conv1,0,3,64,49,147,64,307200,2089.795918367347,0.8037440466288128,4.273522221646153,0.04541424746449777,64,0,4.273522221646153,True,0.421875,True,0.015625,True,0.0625,0.703125,0.0625,0.0625,0.546875,True,0.015625,True,0.109375,0.8125,0.109375,0.09375,0.78125,True,0.03125,True,0.328125,0.953125,0.421875,0.328125,0.953125,True,0.234375,True,0.671875,1.0,0.953125,0.703125,-0.24954212454212454,-0.047825497900013544
timm:resnet34.a1_in1k_random,layer1.0.conv1,1,64,64,9,576,64,307200,533.3333333333334,0.9444542736335622,2.0020518178143236,0.17029378374128418,64,0,2.0020518178143236,True,0.578125,True,0.0625,True,0.1875,0.828125,0.28125,0.203125,0.765625,True,0.125,True,0.359375,0.90625,0.859375,0.390625,0.953125,True,0.46875,True,0.78125,0.984375,1.0,0.8125,1.0,True,0.921875,True,0.96875,1.0,1.0,0.984375,0.0689102564102564,0.03646886695300531
timm:resnet34.a1_in1k_random,layer1.0.conv2,2,64,64,9,576,64,307200,533.3333333333334,0.9458192302091204,1.9815978711490503,0.27090957466411286,64,0,1.9815978711490503,True,0.6875,True,0.0625,True,0.28125,0.828125,0.625,0.296875,0.828125,True,0.15625,True,0.46875,0.90625,1.0,0.515625,0.96875,True,0.59375,True,0.828125,0.984375,1.0,0.859375,1.0,True,0.9375,True,0.984375,1.0,1.0,0.984375,0.09473443223443223,0.00999023593107171
timm:resnet34.a1_in1k_random,layer1.1.conv1,3,64,64,9,576,64,307200,533.3333333333334,0.9454198277899146,1.9426093352965765,0.1699547119244627,64,0,1.9426093352965765,True,0.578125,True,0.0625,True,0.21875,0.828125,0.28125,0.21875,0.765625,True,0.125,True,0.40625,0.90625,0.859375,0.40625,0.953125,True,0.515625,True,0.796875,0.984375,1.0,0.828125,1.0,True,0.9375,True,0.984375,1.0,1.0,0.984375,-0.2110347985347985,0.03108959385125462
timm:resnet34.a1_in1k_random,layer1.1.conv2,4,64,64,9,576,64,307200,533.3333333333334,0.944746891133918,1.957163699840139,0.2615909484943568,64,0,1.957163699840139,True,0.703125,True,0.078125,True,0.328125,0.828125,0.671875,0.34375,0.84375,True,0.1875,True,0.53125,0.90625,1.0,0.546875,0.96875,True,0.640625,True,0.84375,0.984375,1.0,0.875,1.0,True,0.953125,True,0.984375,1.0,1.0,0.984375,0.16149267399267397,-0.10033568772930739
timm:resnet34.a1_in1k_random,layer1.2.conv1,5,64,64,9,576,64,307200,533.3333333333334,0.9479772953886123,1.8698817142909823,0.16926331809187126,64,0,1.8698817142909823,True,0.546875,True,0.0625,True,0.1875,0.828125,0.28125,0.203125,0.734375,True,0.125,True,0.359375,0.90625,0.859375,0.390625,0.9375,True,0.515625,True,0.765625,0.984375,1.0,0.8125,1.0,True,0.9375,True,0.96875,1.0,1.0,0.984375,0.2070054945054945,-0.016014806721422654
timm:resnet34.a1_in1k_random,layer1.2.conv2,6,64,64,9,576,64,307200,533.3333333333334,0.9471443557147636,1.895506234111799,0.31460333899417053,64,0,1.895506234111799,True,0.703125,True,0.109375,True,0.34375,0.828125,0.75,0.359375,0.84375,True,0.21875,True,0.546875,0.90625,1.0,0.578125,0.96875,True,0.671875,True,0.859375,0.984375,1.0,0.890625,1.0,True,0.953125,True,0.984375,1.0,1.0,1.0,0.07413003663003662,0.018085727734456426
timm:resnet34.a1_in1k_random,layer2.0.conv1,7,64,128,9,576,128,307200,533.3333333333334,0.891984135125464,2.7122011771048755,0.08416139445772748,128,0,2.7122011771048755,True,0.6171875,True,0.015625,True,0.1015625,0.7734375,0.1328125,0.1015625,0.7890625,True,0.03125,True,0.234375,0.8671875,0.421875,0.2421875,0.953125,True,0.1640625,True,0.65625,0.96875,1.0,0.71875,1.0,True,0.78125,True,0.9453125,1.0,1.0,0.96875,-0.08200192272477567,-0.03842136990430262
timm:resnet34.a1_in1k_random,layer2.0.conv2,8,128,128,9,1152,128,307200,266.6666666666667,0.9455434107025633,1.972823529299958,0.235315083923963,128,0,1.972823529299958,True,0.6875,True,0.0546875,True,0.28125,0.828125,0.671875,0.2890625,0.828125,True,0.1484375,True,0.4921875,0.90625,1.0,0.515625,0.9609375,True,0.6015625,True,0.8359375,0.984375,1.0,0.8671875,1.0,True,0.9453125,True,0.984375,1.0,1.0,0.984375,-0.011393288774949642,0.06023335835934887
timm:resnet34.a1_in1k_random,layer2.0.downsample.0,9,64,128,1,64,64,307200,4800.0,0.7674656903734676,5.921623758369637,0.09555261485886934,64,0,5.921623758369637,True,0.890625,True,0.015625,True,0.109375,0.671875,0.109375,0.109375,0.9375,True,0.015625,True,0.203125,0.78125,0.234375,0.234375,1.0,True,0.046875,True,0.578125,0.921875,0.703125,0.703125,1.0,True,0.34375,True,0.890625,1.0,0.96875,0.96875,-0.09377289377289376,0.005036630036630036
