model,layer,depth_index,C_in,C_out,k,d,r_max,n_samples,n_over_d,kernel_erank_over_rmax,kernel_cond_top_rmax,data_erank_over_rmax,rank_W,n_null,kappa,ostrowski_ok,bound_0.9,bound_ok_0.9,bound_lo_0.9,bound_lo_ok_0.9,out_0.9,kernel_0.9,data_0.9,ortho_0.9,bound_0.95,bound_ok_0.95,bound_lo_0.95,bound_lo_ok_0.95,out_0.95,kernel_0.95,data_0.95,ortho_0.95,bound_0.99,bound_ok_0.99,bound_lo_0.99,bound_lo_ok_0.99,out_0.99,kernel_0.99,data_0.99,ortho_0.99,bound_0.999,bound_ok_0.999,bound_lo_0.999,bound_lo_ok_0.999,out_0.999,kernel_0.999,data_0.999,ortho_0.999,rho_align,rho_align_sigma
timm:resnet50.fb_ssl_yfcc100m_ft_in1k,conv1,0,3,64,49,147,64,307200,2089.795918367347,0.3901680596175056,62.48757313282704,0.04551182017672623,64,0,62.48757313282704,True,0.984375,True,0.015625,True,0.125,0.328125,0.0625,0.0625,1.0,True,0.015625,True,0.1875,0.40625,0.109375,0.09375,1.0,True,0.015625,True,0.34375,0.5625,0.421875,0.34375,1.0,True,0.015625,True,0.515625,0.8125,0.953125,0.734375,-0.1738095238095238,0.8179447229372712
timm:resnet50.fb_ssl_yfcc100m_ft_in1k,layer1.0.conv1,1,64,64,1,64,64,307200,4800.0,0.40539127027839,591.1255137416066,0.2043350760712935,64,0,591.1255137416066,True,1.0,True,0.015625,True,0.109375,0.34375,0.296875,0.296875,1.0,True,0.015625,True,0.15625,0.421875,0.46875,0.46875,1.0,True,0.015625,True,0.3125,0.578125,0.8125,0.8125,1.0,True,0.015625,True,0.546875,0.78125,0.96875,0.96875,0.726190476190476,0.6961080586080586
timm:resnet50.fb_ssl_yfcc100m_ft_in1k,layer1.0.conv2,2,64,64,9,576,64,307200,533.3333333333334,0.545478602169611,66644499867.491425,0.4837298431211186,63,1,12.685099497538513,True,0.984375,True,0.015625,True,0.203125,0.53125,1.0,0.359375,1.0,True,0.015625,True,0.296875,0.671875,1.0,0.515625,1.0,True,0.03125,True,0.546875,0.875,1.0,0.828125,1.0,True,0.28125,True,0.84375,0.96875,1.0,0.984375,0.47983870967741943,0.935395224109309
timm:resnet50.fb_ssl_yfcc100m_ft_in1k,layer1.0.conv3,3,64,256,1,64,64,307200,4800.0,0.5551196742441864,83929881695.4228,0.07723468073597102,63,1,14.554588884989606,True,0.953125,True,0.015625,True,0.015625,0.546875,0.21875,0.21875,0.96875,True,0.015625,True,0.046875,0.671875,0.359375,0.359375,0.984375,True,0.015625,True,0.234375,0.875,0.703125,0.703125,0.984375,True,0.109375,True,0.546875,0.96875,0.9375,0.9375,0.9442204301075269,0.9564132104454686
timm:resnet50.fb_ssl_yfcc100m_ft_in1k,layer1.0.downsample.0,4,64,256,1,64,64,307200,4800.0,0.5260764660751541,39.259672772268345,0.20429032127114066,64,0,39.259672772268345,True,1.0,True,0.015625,True,0.0625,0.515625,0.296875,0.296875,1.0,True,0.015625,True,0.125,0.625,0.46875,0.46875,1.0,True,0.015625,True,0.328125,0.8125,0.8125,0.8125,1.0,True,0.03125,True,0.65625,0.953125,0.96875,0.96875,0.8166666666666665,0.6576923076923077
timm:resnet50.fb_ssl_yfcc100m_ft_in1k,layer1.1.conv1,5,256,64,1,256,64,307200,1200.0,0.6545624087534602,9.506760713133696,0.9452266602371556,64,0,9.506760713133696,True,0.984375,True,0.015625,True,0.28125,0.578125,1.0,0.484375,1.0,True,0.03125,True,0.375,0.703125,1.0,0.65625,1.0,True,0.140625,True,0.625,0.90625,1.0,0.890625,1.0,True,0.53125,True,0.890625,0.984375,1.0,1.0,0.9366758241758242,0.9251194062092966
timm:resnet50.fb_ssl_yfcc100m_ft_in1k,layer1.1.conv2,6,64,64,9,576,64,307200,533.3333333333334,0.7135698468952788,6.632010568163879,1.0,64,0,6.632010568163879,True,0.984375,True,0.03125,True,0.453125,0.625,1.0,0.59375,1.0,True,0.0625,True,0.578125,0.75,1.0,0.734375,1.0,True,0.28125,True,0.796875,0.921875,1.0,0.9375,1.0,True,0.765625,True,0.953125,1.0,1.0,1.0,0.27449633699633696,0.9020775877226033
timm:resnet50.fb_ssl_yfcc100m_ft_in1k,layer1.1.conv3,7,64,256,1,64,64,307200,4800.0,0.6923637981138123,7.8690603815298585,0.6521263964966504,64,0,7.8690603815298585,True,0.984375,True,0.03125,True,0.375,0.625,0.625,0.625,1.0,True,0.0625,True,0.5,0.75,0.75,0.75,1.0,True,0.25,True,0.75,0.921875,0.921875,0.921875,1.0,True,0.71875,True,0.9375,1.0,1.0,1.0,0.8438644688644688,0.8118589743589744
timm:resnet50.fb_ssl_yfcc100m_ft_in1k,layer1.2.conv1,8,256,64,1,256,64,307200,1200.0,0.6027643725379379,8.845934822733803,1.0,64,0,8.845934822733803,True,0.984375,True,0.03125,True,0.25,0.5625,1.0,0.515625,1.0,True,0.046875,True,0.34375,0.6875,1.0,0.6875,1.0,True,0.140625,True,0.625,0.890625,1.0,0.90625,1.0,True,0.59375,True,0.90625,1.0,1.0,1.0,0.9053113553113553,0.7214405620053886
timm:resnet50.fb_ssl_yfcc100m_ft_in1k,layer1.2.conv2,9,64,64,9,576,64,307200,533.3333333333334,0.7588910693198772,4.220097977023672,1.0,64,0,4.220097977023672,True,0.96875,True,0.078125,True,0.46875,0.671875,1.0,0.640625,0.984375,True,0.171875,True,0.609375,0.796875,1.0,0.796875,1.0,True,0.53125,True,0.84375,0.953125,1.0,0.953125,1.0,True,0.921875,True,0.984375,1.0,1.0,1.0,0.5014652014652013,0.9378897596262528
