model,layer,depth_index,C_in,C_out,k,d,r_max,n_samples,n_over_d,kernel_erank_over_rmax,kernel_cond_top_rmax,data_erank_over_rmax,rank_W,n_null,kappa,ostrowski_ok,bound_0.9,bound_ok_0.9,bound_lo_0.9,bound_lo_ok_0.9,out_0.9,kernel_0.9,data_0.9,ortho_0.9,bound_0.95,bound_ok_0.95,bound_lo_0.95,bound_lo_ok_0.95,out_0.95,kernel_0.95,data_0.95,ortho_0.95,bound_0.99,bound_ok_0.99,bound_lo_0.99,bound_lo_ok_0.99,out_0.99,kernel_0.99,data_0.99,ortho_0.99,bound_0.999,bound_ok_0.999,bound_lo_0.999,bound_lo_ok_0.999,out_0.999,kernel_0.999,data_0.999,ortho_0.999,rho_align,rho_align_sigma
timm:resnet50.gluon_in1k,conv1,0,3,64,49,147,64,307200,2089.795918367347,0.4022189415934446,64.6581733352323,0.04551182017672623,64,0,64.6581733352323,True,0.984375,True,0.015625,True,0.09375,0.34375,0.0625,0.0625,1.0,True,0.015625,True,0.15625,0.421875,0.109375,0.109375,1.0,True,0.015625,True,0.296875,0.59375,0.421875,0.359375,1.0,True,0.015625,True,0.5,0.8125,0.953125,0.765625,0.04551282051282051,0.8903061915729573
timm:resnet50.gluon_in1k,layer1.0.conv1,1,64,64,1,64,64,307200,4800.0,0.31236412252477064,744.6179255849462,0.14796207195451244,64,0,744.6179255849462,True,1.0,True,0.015625,True,0.109375,0.265625,0.234375,0.234375,1.0,True,0.015625,True,0.15625,0.328125,0.40625,0.40625,1.0,True,0.015625,True,0.25,0.53125,0.765625,0.765625,1.0,True,0.015625,True,0.421875,0.75,0.953125,0.953125,0.8418956043956043,0.653617216117216
timm:resnet50.gluon_in1k,layer1.0.conv2,2,64,64,9,576,64,307200,533.3333333333334,0.3505862142351613,37.28236552367913,0.22897205910962531,64,0,37.28236552367913,True,1.0,True,0.015625,True,0.125,0.296875,0.515625,0.25,1.0,True,0.015625,True,0.203125,0.40625,1.0,0.390625,1.0,True,0.015625,True,0.34375,0.703125,1.0,0.75,1.0,True,0.015625,True,0.609375,0.921875,1.0,0.96875,0.22119963369963366,0.9603306080928341
timm:resnet50.gluon_in1k,layer1.0.conv3,3,64,256,1,64,64,307200,4800.0,0.3778534139363825,56.13069098613588,0.054533729413458756,64,0,56.13069098613588,True,0.984375,True,0.015625,True,0.015625,0.375,0.140625,0.140625,0.984375,True,0.015625,True,0.015625,0.484375,0.25,0.25,1.0,True,0.015625,True,0.15625,0.734375,0.53125,0.53125,1.0,True,0.015625,True,0.328125,0.921875,0.859375,0.859375,0.9529304029304028,0.9690934065934064
timm:resnet50.gluon_in1k,layer1.0.downsample.0,4,64,256,1,64,64,307200,4800.0,0.4501643585859303,30.53671970467289,0.14803562406589355,64,0,30.53671970467289,True,1.0,True,0.015625,True,0.03125,0.4375,0.234375,0.234375,1.0,True,0.015625,True,0.09375,0.546875,0.40625,0.40625,1.0,True,0.015625,True,0.265625,0.765625,0.765625,0.765625,1.0,True,0.03125,True,0.515625,0.953125,0.953125,0.953125,0.9205128205128204,0.8905677655677655
timm:resnet50.gluon_in1k,layer1.1.conv1,5,256,64,1,256,64,307200,1200.0,0.4823657749201976,14.214141792166282,0.7600794319052461,64,0,14.214141792166282,True,1.0,True,0.015625,True,0.171875,0.453125,0.828125,0.421875,1.0,True,0.015625,True,0.25,0.59375,1.0,0.59375,1.0,True,0.0625,True,0.4375,0.84375,1.0,0.859375,1.0,True,0.3125,True,0.75,0.984375,1.0,0.984375,0.9115842490842491,0.9485926672983692
timm:resnet50.gluon_in1k,layer1.1.conv2,6,64,64,9,576,64,307200,533.3333333333334,0.6738809635201857,6.482353116836528,1.0,64,0,6.482353116836528,True,0.984375,True,0.03125,True,0.421875,0.578125,1.0,0.578125,1.0,True,0.046875,True,0.515625,0.71875,1.0,0.734375,1.0,True,0.265625,True,0.75,0.921875,1.0,0.9375,1.0,True,0.765625,True,0.953125,1.0,1.0,1.0,0.35320512820512817,0.9619736643809812
timm:resnet50.gluon_in1k,layer1.1.conv3,7,64,256,1,64,64,307200,4800.0,0.6831315821128594,8.55288729960535,0.6584476646433454,64,0,8.55288729960535,True,0.984375,True,0.03125,True,0.375,0.5625,0.59375,0.59375,1.0,True,0.0625,True,0.46875,0.6875,0.734375,0.734375,1.0,True,0.234375,True,0.671875,0.890625,0.921875,0.921875,1.0,True,0.671875,True,0.90625,0.984375,0.984375,0.984375,0.9035714285714285,0.9062271062271061
timm:resnet50.gluon_in1k,layer1.2.conv1,8,256,64,1,256,64,307200,1200.0,0.5978779449596885,8.744570328543498,1.0,64,0,8.744570328543498,True,0.984375,True,0.03125,True,0.3125,0.546875,1.0,0.5625,1.0,True,0.0625,True,0.421875,0.6875,1.0,0.703125,1.0,True,0.203125,True,0.65625,0.890625,1.0,0.921875,1.0,True,0.640625,True,0.921875,1.0,1.0,1.0,0.9519688644688644,0.939677657480315
timm:resnet50.gluon_in1k,layer1.2.conv2,9,64,64,9,576,64,307200,533.3333333333334,0.7232687572332042,5.190721495003477,1.0,64,0,5.190721495003477,True,0.984375,True,0.0625,True,0.46875,0.640625,1.0,0.671875,1.0,True,0.140625,True,0.59375,0.78125,1.0,0.8125,1.0,True,0.46875,True,0.84375,0.9375,1.0,0.953125,1.0,True,0.890625,True,0.984375,1.0,1.0,1.0,0.6245421245421244,0.9472735036294678
