model,layer,depth_index,C_in,C_out,k,d,r_max,n_samples,n_over_d,kernel_erank_over_rmax,kernel_cond_top_rmax,data_erank_over_rmax,rank_W,n_null,kappa,ostrowski_ok,bound_0.9,bound_ok_0.9,bound_lo_0.9,bound_lo_ok_0.9,out_0.9,kernel_0.9,data_0.9,ortho_0.9,bound_0.95,bound_ok_0.95,bound_lo_0.95,bound_lo_ok_0.95,out_0.95,kernel_0.95,data_0.95,ortho_0.95,bound_0.99,bound_ok_0.99,bound_lo_0.99,bound_lo_ok_0.99,out_0.99,kernel_0.99,data_0.99,ortho_0.99,bound_0.999,bound_ok_0.999,bound_lo_0.999,bound_lo_ok_0.999,out_0.999,kernel_0.999,data_0.999,ortho_0.999,rho_align,rho_align_sigma
timm:resnet50.tv2_in1k,conv1,0,3,64,49,147,64,307200,2089.795918367347,0.4158159353511289,71.82651173530313,0.04551182017672623,64,0,71.82651173530313,True,0.96875,True,0.015625,True,0.109375,0.359375,0.0625,0.046875,0.984375,True,0.015625,True,0.171875,0.4375,0.109375,0.09375,1.0,True,0.015625,True,0.3125,0.609375,0.421875,0.3125,1.0,True,0.015625,True,0.53125,0.8125,0.953125,0.703125,-0.3028388278388278,0.7777604660615091
timm:resnet50.tv2_in1k,layer1.0.conv1,1,64,64,1,64,64,307200,4800.0,0.4806002825872295,1215.3886353491728,0.16488601300280503,64,0,1215.3886353491728,True,1.0,True,0.015625,True,0.125,0.390625,0.265625,0.265625,1.0,True,0.015625,True,0.171875,0.484375,0.453125,0.453125,1.0,True,0.015625,True,0.328125,0.625,0.828125,0.828125,1.0,True,0.015625,True,0.5625,0.796875,0.96875,0.96875,0.8772435897435896,0.8388736263736263
timm:resnet50.tv2_in1k,layer1.0.conv2,2,64,64,9,576,64,307200,533.3333333333334,0.5763150104766729,12.41882332014251,0.46697519539437066,64,0,12.41882332014251,True,0.984375,True,0.015625,True,0.171875,0.53125,1.0,0.328125,1.0,True,0.015625,True,0.28125,0.65625,1.0,0.46875,1.0,True,0.015625,True,0.53125,0.859375,1.0,0.8125,1.0,True,0.265625,True,0.8125,0.984375,1.0,0.984375,0.2227106227106227,0.9000685077738428
timm:resnet50.tv2_in1k,layer1.0.conv3,3,64,256,1,64,64,307200,4800.0,0.5773544100525306,14.949732525939647,0.05067015929299172,64,0,14.949732525939647,True,0.921875,True,0.015625,True,0.015625,0.578125,0.140625,0.140625,0.9375,True,0.015625,True,0.015625,0.703125,0.3125,0.3125,0.984375,True,0.015625,True,0.15625,0.890625,0.640625,0.640625,1.0,True,0.03125,True,0.5,0.984375,0.890625,0.890625,0.930631868131868,0.8855311355311355
timm:resnet50.tv2_in1k,layer1.0.downsample.0,4,64,256,1,64,64,307200,4800.0,0.5617698617539654,23.461342593309006,0.16509376935776188,64,0,23.461342593309006,True,1.0,True,0.015625,True,0.03125,0.5625,0.265625,0.265625,1.0,True,0.015625,True,0.109375,0.671875,0.453125,0.453125,1.0,True,0.015625,True,0.34375,0.84375,0.828125,0.828125,1.0,True,0.046875,True,0.65625,0.96875,0.96875,0.96875,0.7976648351648351,0.6925824175824175
timm:resnet50.tv2_in1k,layer1.1.conv1,5,256,64,1,256,64,307200,1200.0,0.677597514584702,6959376845.173018,0.9810990587844427,63,1,8.907705892522426,True,0.984375,True,0.015625,True,0.28125,0.59375,1.0,0.46875,1.0,True,0.03125,True,0.390625,0.71875,1.0,0.640625,1.0,True,0.125,True,0.625,0.90625,1.0,0.890625,1.0,True,0.546875,True,0.890625,0.96875,1.0,0.984375,0.8461981566820277,0.8753200079933157
timm:resnet50.tv2_in1k,layer1.1.conv2,6,64,64,9,576,64,307200,533.3333333333334,0.7791548684852907,3.979186806845273,1.0,64,0,3.979186806845273,True,0.96875,True,0.125,True,0.53125,0.6875,1.0,0.65625,0.984375,True,0.21875,True,0.640625,0.8125,1.0,0.796875,1.0,True,0.578125,True,0.875,0.953125,1.0,0.953125,1.0,True,0.921875,True,0.984375,1.0,1.0,1.0,0.16771978021978018,0.8944795589398187
timm:resnet50.tv2_in1k,layer1.1.conv3,7,64,256,1,64,64,307200,4800.0,0.7457404007675714,5.9444160304463,0.727487754349807,64,0,5.9444160304463,True,0.953125,True,0.078125,True,0.453125,0.640625,0.640625,0.640625,0.96875,True,0.140625,True,0.546875,0.75,0.78125,0.78125,1.0,True,0.40625,True,0.765625,0.921875,0.921875,0.921875,1.0,True,0.828125,True,0.953125,1.0,0.96875,0.96875,0.8908882783882782,0.8605311355311354
timm:resnet50.tv2_in1k,layer1.2.conv1,8,256,64,1,256,64,307200,1200.0,0.6757805224707617,7.460839719537879,1.0,64,0,7.460839719537879,True,0.984375,True,0.046875,True,0.359375,0.609375,1.0,0.5625,1.0,True,0.078125,True,0.46875,0.734375,1.0,0.71875,1.0,True,0.25,True,0.71875,0.921875,1.0,0.9375,1.0,True,0.71875,True,0.9375,1.0,1.0,1.0,0.9167124542124542,0.8055926699473563
timm:resnet50.tv2_in1k,layer1.2.conv2,9,64,64,9,576,64,307200,533.3333333333334,0.7746410952402846,4.5993395205338485,1.0,64,0,4.5993395205338485,True,0.984375,True,0.109375,True,0.5,0.671875,1.0,0.703125,1.0,True,0.21875,True,0.625,0.796875,1.0,0.828125,1.0,True,0.5625,True,0.859375,0.953125,1.0,0.96875,1.0,True,0.921875,True,0.984375,1.0,1.0,1.0,0.8445970695970696,0.9150622912114135
timm:resnet50.tv2_in1k,layer1.2.conv3,10,64,256,1,64,64,307200,4800.0,0.7547071804471746,7.9472626888329545,0.7224132368017678,64,0,7.9472626888329545,True,0.96875,True,0.046875,True,0.453125,0.640625,0.671875,0.671875,0.984375,True,0.078125,True,0.578125,0.75,0.796875,0.796875,0.984375,True,0.296875,True,0.8125,0.921875,0.9375,0.9375,1.0,True,0.78125,True,0.953125,0.984375,0.984375,0.984375,0.9128663003663003,0.7309981684981685
timm:resnet50.tv2_in1k,layer2.0.conv1,11,256,128,1,256,128,307200,1200.0,0.5718720199097537,13.935876844983094,0.9284897128981191,128,0,13.935876844983094,True,1.0,True,0.0078125,True,0.296875,0.5078125,1.0,0.5859375,1.0,True,0.015625,True,0.3984375,0.640625,1.0,0.7421875,1.0,True,0.078125,True,0.640625,0.8515625,1.0,0.9296875,1.0,True,0.453125,True,0.8984375,0.9765625,1.0,0.9921875,0.9262955502655191,0.9111660276951248
timm:resnet50.tv2_in1k,layer2.0.conv2,12,128,128,9,1152,128,307200,266.6666666666667,0.7737447687517981,5.483830155519432,1.0,128,0,5.483830155519432,True,0.9765625,True,0.046875,True,0.4453125,0.6640625,1.0,0.640625,0.9921875,True,0.09375,True,0.5703125,0.7734375,1.0,0.78125,1.0,True,0.3984375,True,0.8046875,0.9296875,1.0,0.9453125,1.0,True,0.859375,True,0.96875,0.9921875,1.0,1.0,0.9132885460538362,0.9523147883020384
timm:resnet50.tv2_in1k,layer2.0.conv3,13,128,512,1,128,128,307200,2400.0,0.74182926254005,8.671303195836316,0.6465782463822418,128,0,8.671303195836316,True,0.984375,True,0.0234375,True,0.3984375,0.625,0.6171875,0.6171875,0.9921875,True,0.046875,True,0.515625,0.734375,0.7578125,0.7578125,1.0,True,0.21875,True,0.7578125,0.90625,0.9296875,0.9296875,1.0,True,0.6953125,True,0.9453125,0.984375,0.9921875,0.9921875,0.9038465940303974,0.9193828969053287
timm:resnet50.tv2_in1k,layer2.0.downsample.0,14,256,512,1,256,256,307200,1200.0,0.3551640261183772,30.54686993770528,0.4608115250282793,256,0,30.54686993770528,True,0.9921875,True,0.00390625,True,0.1484375,0.40234375,0.5078125,0.5078125,0.99609375,True,0.00390625,True,0.23828125,0.5390625,0.6640625,0.6640625,0.99609375,True,0.01171875,True,0.484375,0.79296875,0.875,0.875,0.99609375,True,0.1015625,True,0.8046875,0.95703125,0.97265625,0.97265625,0.687344071869993,0.7906235694666971
timm:resnet50.tv2_in1k,layer2.1.conv1,15,512,128,1,512,128,307200,600.0,0.5972172248888966,10.053480821167996,0.8716114997011449,128,0,10.053480821167996,True,0.984375,True,0.0078125,True,0.203125,0.5546875,1.0,0.46875,0.9921875,True,0.015625,True,0.3203125,0.6875,1.0,0.625,1.0,True,0.09375,True,0.578125,0.890625,1.0,0.875,1.0,True,0.484375,True,0.8671875,0.984375,1.0,0.984375,0.9360808459989013,0.9189791498791293
timm:resnet50.tv2_in1k,layer2.1.conv2,16,128,128,9,1152,128,307200,266.6666666666667,0.6453472686528675,6.428970245070213,1.0,128,0,6.428970245070213,True,0.9765625,True,0.0234375,True,0.3359375,0.6015625,1.0,0.5703125,0.9921875,True,0.0546875,True,0.4765625,0.75,1.0,0.7265625,1.0,True,0.2578125,True,0.7578125,0.9296875,1.0,0.921875,1.0,True,0.765625,True,0.9609375,0.9921875,1.0,0.9921875,0.7643231550997986,0.8976480003184883
timm:resnet50.tv2_in1k,layer2.1.conv3,17,128,512,1,128,128,307200,2400.0,0.6645595361798051,9.395238739064865,0.6229470544854684,128,0,9.395238739064865,True,0.9765625,True,0.0234375,True,0.328125,0.5859375,0.6015625,0.6015625,0.984375,True,0.0390625,True,0.4609375,0.71875,0.7421875,0.7421875,0.9921875,True,0.1796875,True,0.734375,0.90625,0.90625,0.90625,0.9921875,True,0.6484375,True,0.9375,0.9921875,0.9765625,0.9765625,0.8422392876762497,0.6418638985533784
timm:resnet50.tv2_in1k,layer2.2.conv1,18,512,128,1,512,128,307200,600.0,0.6679590287739582,9.681666330957855,1.0,128,0,9.681666330957855,True,0.9921875,True,0.015625,True,0.328125,0.59375,1.0,0.5625,1.0,True,0.03125,True,0.4609375,0.7265625,1.0,0.71875,1.0,True,0.1484375,True,0.7265625,0.90625,1.0,0.921875,1.0,True,0.6015625,True,0.9375,0.984375,1.0,0.9921875,0.8911600439479948,0.7894169999771118
timm:resnet50.tv2_in1k,layer2.2.conv2,19,128,128,9,1152,128,307200,266.6666666666667,0.7497975747463973,5.1635632591514575,1.0,128,0,5.1635632591514575,True,0.96875,True,0.0390625,True,0.3828125,0.65625,1.0,0.6171875,0.984375,True,0.109375,True,0.515625,0.78125,1.0,0.765625,1.0,True,0.4140625,True,0.796875,0.9375,1.0,0.9296875,1.0,True,0.859375,True,0.96875,0.9921875,1.0,0.9921875,0.8942386925471524,0.8559769616600973
timm:resnet50.tv2_in1k,layer2.2.conv3,20,128,512,1,128,128,307200,2400.0,0.6839032318186951,11.058533784937747,0.6636807866730494,128,0,11.058533784937747,True,0.9609375,True,0.015625,True,0.4140625,0.59375,0.6328125,0.6328125,0.9765625,True,0.03125,True,0.5390625,0.71875,0.75,0.75,1.0,True,0.15625,True,0.7734375,0.890625,0.890625,0.890625,1.0,True,0.6171875,True,0.9296875,0.984375,0.9609375,0.9609375,0.6532285753524996,0.4067421259842519
timm:resnet50.tv2_in1k,layer2.3.conv1,21,512,128,1,512,128,307200,600.0,0.6702982961445089,8.597231265761058,1.0,128,0,8.597231265761058,True,0.9921875,True,0.0234375,True,0.3359375,0.609375,1.0,0.6015625,1.0,True,0.0390625,True,0.46875,0.734375,1.0,0.7578125,1.0,True,0.1875,True,0.7421875,0.9140625,1.0,0.9375,1.0,True,0.6875,True,0.9453125,0.9921875,1.0,0.9921875,0.941797518769456,0.8067467291230359
timm:resnet50.tv2_in1k,layer2.3.conv2,22,128,128,9,1152,128,307200,266.6666666666667,0.772464117742456,4.577485369298383,1.0,128,0,4.577485369298383,True,0.9765625,True,0.0703125,True,0.46875,0.6875,1.0,0.6640625,0.984375,True,0.1484375,True,0.609375,0.8125,1.0,0.8046875,1.0,True,0.515625,True,0.859375,0.953125,1.0,0.953125,1.0,True,0.90625,True,0.984375,1.0,1.0,1.0,0.8553664621864128,0.927150451647938
