model,layer,depth_index,C_in,C_out,k,d,r_max,n_samples,n_over_d,kernel_erank_over_rmax,kernel_cond_top_rmax,data_erank_over_rmax,rank_W,n_null,kappa,ostrowski_ok,bound_0.9,bound_ok_0.9,bound_lo_0.9,bound_lo_ok_0.9,out_0.9,kernel_0.9,data_0.9,ortho_0.9,bound_0.95,bound_ok_0.95,bound_lo_0.95,bound_lo_ok_0.95,out_0.95,kernel_0.95,data_0.95,ortho_0.95,bound_0.99,bound_ok_0.99,bound_lo_0.99,bound_lo_ok_0.99,out_0.99,kernel_0.99,data_0.99,ortho_0.99,bound_0.999,bound_ok_0.999,bound_lo_0.999,bound_lo_ok_0.999,out_0.999,kernel_0.999,data_0.999,ortho_0.999,rho_align,rho_align_sigma
timm:resnext50_32x4d.tv_in1k,conv1,0,3,64,49,147,64,307200,2089.795918367347,0.31708709910876404,94755835.17686874,0.045398215339710606,62,2,706.5372868250852,True,1.0,True,0.015625,True,0.09375,0.28125,0.0625,0.046875,1.0,True,0.015625,True,0.125,0.34375,0.109375,0.09375,1.0,True,0.015625,True,0.265625,0.484375,0.421875,0.34375,1.0,True,0.015625,True,0.4375,0.734375,0.953125,0.75,-0.002694467527888998,0.884412681208508
timm:resnext50_32x4d.tv_in1k,layer1.0.conv1,1,64,128,1,64,64,307200,4800.0,0.33130318363442474,30433243.89364174,0.21339691826865165,62,2,465.87788684583415,True,0.96875,True,0.015625,True,0.109375,0.28125,0.28125,0.28125,0.96875,True,0.015625,True,0.140625,0.375,0.421875,0.421875,0.96875,True,0.015625,True,0.234375,0.59375,0.6875,0.6875,0.96875,True,0.015625,True,0.46875,0.796875,0.875,0.875,0.8310291858678955,0.8551031200423057
timm:resnext50_32x4d.tv_in1k,layer1.0.conv3,2,128,256,1,128,128,307200,2400.0,0.3432156274403435,8456878.96583137,0.3385191109071992,121,7,705017.6376918548,False,0.90625,True,0.0078125,True,0.1171875,0.3203125,0.3671875,0.3671875,0.90625,True,0.0078125,True,0.1640625,0.4296875,0.5078125,0.5078125,0.90625,True,0.0078125,True,0.2890625,0.6484375,0.7421875,0.7421875,0.90625,True,0.0078125,True,0.5390625,0.8359375,0.875,0.875,0.9752879013683781,0.9710221812170838
timm:resnext50_32x4d.tv_in1k,layer1.0.downsample.0,3,64,256,1,64,64,307200,4800.0,0.4570831296452148,27306836.545683008,0.21395190225286428,62,2,302.00151727761187,True,0.953125,True,0.015625,True,0.125,0.40625,0.28125,0.28125,0.96875,True,0.015625,True,0.1875,0.5,0.421875,0.421875,0.96875,True,0.015625,True,0.328125,0.703125,0.6875,0.6875,0.96875,True,0.015625,True,0.578125,0.890625,0.875,0.875,0.8659313540328876,0.8772632268137291
timm:resnext50_32x4d.tv_in1k,layer1.1.conv1,4,256,128,1,256,128,307200,1200.0,0.33207459445001236,15785588.053058375,0.4023314858182032,113,15,672771.8581720485,True,1.0,True,0.0078125,True,0.109375,0.3125,0.4375,0.328125,1.0,True,0.0078125,True,0.15625,0.4140625,0.6953125,0.4765625,1.0,True,0.0078125,True,0.2890625,0.6171875,1.0,0.7890625,1.0,True,0.0078125,True,0.5234375,0.7421875,1.0,0.96875,0.9103566438219444,0.9736850879386513
timm:resnext50_32x4d.tv_in1k,layer1.1.conv3,5,128,256,1,128,128,307200,2400.0,0.4478633519145151,15971680.108564839,0.4939920744394083,119,9,881625.8051672876,True,0.8046875,True,0.0078125,True,0.203125,0.390625,0.484375,0.484375,0.8046875,True,0.0078125,True,0.28125,0.5078125,0.609375,0.609375,0.8046875,True,0.0078125,True,0.484375,0.6953125,0.7578125,0.7578125,0.8046875,True,0.0078125,True,0.7109375,0.7890625,0.8046875,0.8046875,0.9836490528414757,0.9748715019988579
timm:resnext50_32x4d.tv_in1k,layer1.2.conv1,6,256,128,1,256,128,307200,1200.0,0.45288826492038553,16332129.068113137,0.6594133528638324,120,8,16.252761455249562,True,1.0,True,0.0078125,True,0.1953125,0.4296875,0.734375,0.4609375,1.0,True,0.015625,True,0.265625,0.5625,1.0,0.640625,1.0,True,0.046875,True,0.4765625,0.78125,1.0,0.890625,1.0,True,0.28125,True,0.765625,0.9140625,1.0,0.9921875,0.9287797763733592,0.9791027385363594
timm:resnext50_32x4d.tv_in1k,layer1.2.conv3,7,128,256,1,128,128,307200,2400.0,0.5020378409231171,17091631.033230167,0.6108729955340996,121,7,157.24520969574354,True,0.9453125,True,0.0078125,True,0.28125,0.4453125,0.625,0.625,0.9453125,True,0.0078125,True,0.3828125,0.5625,0.7578125,0.7578125,0.9453125,True,0.0078125,True,0.609375,0.7734375,0.890625,0.890625,0.9453125,True,0.0078125,True,0.8359375,0.90625,0.9375,0.9375,0.9582780111096054,0.9256198347107435
timm:resnext50_32x4d.tv_in1k,layer2.0.conv1,8,256,256,1,256,256,307200,1200.0,0.352029947520747,246914252.44842744,0.407306588019467,254,2,112480.82706762018,True,1.0,True,0.00390625,True,0.140625,0.3125,0.45703125,0.45703125,1.0,True,0.00390625,True,0.1953125,0.41015625,0.62890625,0.62890625,1.0,True,0.00390625,True,0.33984375,0.61328125,0.8671875,0.8671875,1.0,True,0.00390625,True,0.578125,0.80859375,0.97265625,0.97265625,0.9763790512003251,0.9876759555962461
timm:resnext50_32x4d.tv_in1k,layer2.0.conv3,9,256,512,1,256,256,307200,1200.0,0.48201171601827697,194038.2836781781,0.48650884659478616,256,0,194038.2836781781,True,0.9921875,True,0.00390625,True,0.20703125,0.421875,0.53515625,0.53515625,0.9921875,True,0.00390625,True,0.28125,0.55078125,0.69140625,0.69140625,0.9921875,True,0.00390625,True,0.5,0.79296875,0.8984375,0.8984375,0.9921875,True,0.00390625,True,0.78515625,0.953125,0.98046875,0.98046875,0.985209000915541,0.9841326042103374
