model,layer,depth_index,C_in,C_out,k,d,r_max,n_samples,n_over_d,kernel_erank_over_rmax,kernel_cond_top_rmax,data_erank_over_rmax,rank_W,n_null,kappa,ostrowski_ok,bound_0.9,bound_ok_0.9,bound_lo_0.9,bound_lo_ok_0.9,out_0.9,kernel_0.9,data_0.9,ortho_0.9,bound_0.95,bound_ok_0.95,bound_lo_0.95,bound_lo_ok_0.95,out_0.95,kernel_0.95,data_0.95,ortho_0.95,bound_0.99,bound_ok_0.99,bound_lo_0.99,bound_lo_ok_0.99,out_0.99,kernel_0.99,data_0.99,ortho_0.99,bound_0.999,bound_ok_0.999,bound_lo_0.999,bound_lo_ok_0.999,out_0.999,kernel_0.999,data_0.999,ortho_0.999,rho_align,rho_align_sigma
timm:resnext50_32x4d.tv_in1k_random,conv1,0,3,64,49,147,64,307200,2089.795918367347,0.8092606299808405,4.17121206822992,0.045398215339710606,64,0,4.17121206822992,True,0.4375,True,0.015625,True,0.078125,0.6875,0.0625,0.0625,0.5625,True,0.015625,True,0.109375,0.8125,0.109375,0.109375,0.796875,True,0.046875,True,0.34375,0.953125,0.421875,0.359375,0.953125,True,0.265625,True,0.65625,1.0,0.953125,0.71875,-0.0802197802197802,0.24404552228695292
timm:resnext50_32x4d.tv_in1k_random,layer1.0.conv1,1,64,128,1,64,64,307200,4800.0,0.7799110634526667,5.313231828161309,0.1002333978092824,64,0,5.313231828161309,True,0.875,True,0.015625,True,0.109375,0.671875,0.109375,0.109375,0.9375,True,0.015625,True,0.21875,0.78125,0.25,0.25,1.0,True,0.0625,True,0.59375,0.9375,0.71875,0.71875,1.0,True,0.4375,True,0.90625,1.0,0.96875,0.96875,-0.12779304029304028,-0.08978937728937728
timm:resnext50_32x4d.tv_in1k_random,layer1.0.conv3,2,128,256,1,128,128,307200,2400.0,0.7759662501254575,5.767326975196391,0.09117330882976733,128,0,5.767326975196391,True,0.7578125,True,0.0078125,True,0.125,0.6640625,0.1640625,0.1640625,0.8203125,True,0.0078125,True,0.234375,0.78125,0.296875,0.296875,0.9140625,True,0.046875,True,0.515625,0.9296875,0.6171875,0.6171875,0.96875,True,0.390625,True,0.796875,0.9921875,0.8515625,0.8515625,0.14390679362754075,-0.09283441677348471
timm:resnext50_32x4d.tv_in1k_random,layer1.0.downsample.0,3,64,256,1,64,64,307200,4800.0,0.8859556515428844,2.858902862671224,0.10073946998739479,64,0,2.858902862671224,True,0.65625,True,0.015625,True,0.109375,0.765625,0.109375,0.109375,0.8125,True,0.046875,True,0.203125,0.875,0.25,0.25,0.96875,True,0.15625,True,0.625,0.96875,0.71875,0.71875,1.0,True,0.765625,True,0.9375,1.0,0.96875,0.96875,0.22847985347985347,0.10750915750915749
timm:resnext50_32x4d.tv_in1k_random,layer1.1.conv1,4,256,128,1,256,128,307200,1200.0,0.7793157436697831,5.481845726128547,0.06570901355377631,128,0,5.481845726128547,True,0.7109375,True,0.0078125,True,0.0703125,0.671875,0.078125,0.078125,0.828125,True,0.0078125,True,0.15625,0.78125,0.1953125,0.171875,0.953125,True,0.03125,True,0.4296875,0.9296875,0.6875,0.5078125,1.0,True,0.2734375,True,0.796875,0.9921875,1.0,0.890625,0.06612227613990111,-0.021945873366619687
timm:resnext50_32x4d.tv_in1k_random,layer1.1.conv3,5,128,256,1,128,128,307200,2400.0,0.7768940344822524,5.557549473400095,0.07238002233897436,128,0,5.557549473400095,True,0.6953125,True,0.0078125,True,0.109375,0.6640625,0.125,0.125,0.7578125,True,0.0078125,True,0.21875,0.7734375,0.25,0.25,0.859375,True,0.03125,True,0.4921875,0.9296875,0.5625,0.5625,0.921875,True,0.359375,True,0.75,0.9921875,0.796875,0.796875,-0.009779573338216442,0.08474347158218125
timm:resnext50_32x4d.tv_in1k_random,layer1.2.conv1,6,256,128,1,256,128,307200,1200.0,0.7744426473439492,5.451377578340086,0.06582002194558928,128,0,5.451377578340086,True,0.7109375,True,0.0078125,True,0.078125,0.6640625,0.078125,0.078125,0.828125,True,0.0078125,True,0.1640625,0.7734375,0.1953125,0.1796875,0.953125,True,0.03125,True,0.4375,0.9296875,0.6875,0.515625,1.0,True,0.28125,True,0.8046875,0.9921875,1.0,0.8828125,-0.11051661783556123,-0.031749489811797246
timm:resnext50_32x4d.tv_in1k_random,layer1.2.conv3,7,128,256,1,128,128,307200,2400.0,0.7807847794564091,5.6312710755616635,0.10276551815746517,128,0,5.6312710755616635,True,0.7109375,True,0.0078125,True,0.15625,0.671875,0.1796875,0.1796875,0.7734375,True,0.015625,True,0.265625,0.7890625,0.3203125,0.3203125,0.8828125,True,0.0546875,True,0.53125,0.9296875,0.6015625,0.6015625,0.9453125,True,0.4140625,True,0.765625,0.9921875,0.8125,0.8125,-0.012062809009338947,0.18377202849643795
timm:resnext50_32x4d.tv_in1k_random,layer2.0.conv1,8,256,256,1,256,256,307200,1200.0,0.6075257001891085,944.181606612747,0.03300239424184922,256,0,944.181606612747,True,0.98828125,True,0.00390625,True,0.0390625,0.51171875,0.0390625,0.0390625,0.98828125,True,0.00390625,True,0.08984375,0.61328125,0.1015625,0.1015625,0.9921875,True,0.00390625,True,0.2734375,0.7734375,0.34765625,0.34765625,0.99609375,True,0.00390625,True,0.578125,0.89453125,0.7578125,0.7578125,0.011688887617303727,0.043005493878482584
timm:resnext50_32x4d.tv_in1k_random,layer2.0.conv3,9,256,512,1,256,256,307200,1200.0,0.780075857299864,5.516548346838373,0.06114356763900833,256,0,5.516548346838373,True,0.71484375,True,0.00390625,True,0.11328125,0.66796875,0.12109375,0.12109375,0.7890625,True,0.0078125,True,0.2265625,0.78125,0.26171875,0.26171875,0.8828125,True,0.03125,True,0.5078125,0.9296875,0.5859375,0.5859375,0.94921875,True,0.37890625,True,0.77734375,0.9921875,0.828125,0.828125,-0.09357404440375369,0.03131246442800228
