model,layer,depth_index,C_in,C_out,k,d,r_max,n_samples,n_over_d,kernel_erank_over_rmax,kernel_cond_top_rmax,data_erank_over_rmax,rank_W,n_null,kappa,ostrowski_ok,bound_0.9,bound_ok_0.9,bound_lo_0.9,bound_lo_ok_0.9,out_0.9,kernel_0.9,data_0.9,ortho_0.9,bound_0.95,bound_ok_0.95,bound_lo_0.95,bound_lo_ok_0.95,out_0.95,kernel_0.95,data_0.95,ortho_0.95,bound_0.99,bound_ok_0.99,bound_lo_0.99,bound_lo_ok_0.99,out_0.99,kernel_0.99,data_0.99,ortho_0.99,bound_0.999,bound_ok_0.999,bound_lo_0.999,bound_lo_ok_0.999,out_0.999,kernel_0.999,data_0.999,ortho_0.999,rho_align,rho_align_sigma
timm:vgg16.tv_in1k,features.0,0,3,64,9,27,27,307200,11377.777777777777,0.3269912798447939,78.07568364085898,0.07299727188607771,27,0,78.07568364085898,True,0.8518518518518519,True,0.037037037037037035,True,0.18518518518518517,0.2962962962962963,0.07407407407407407,0.07407407407407407,0.9259259259259259,True,0.037037037037037035,True,0.2222222222222222,0.37037037037037035,0.14814814814814814,0.14814814814814814,1.0,True,0.037037037037037035,True,0.3333333333333333,0.5185185185185185,0.25925925925925924,0.25925925925925924,1.0,True,0.037037037037037035,True,0.4444444444444444,0.7037037037037037,0.48148148148148145,0.48148148148148145,0.44017094017094016,0.753968253968254
timm:vgg16.tv_in1k,features.2,1,64,64,9,576,64,307200,533.3333333333334,0.5031761075205965,10.00677971361521,0.4958873149963055,64,0,10.00677971361521,True,0.953125,True,0.015625,True,0.1875,0.484375,0.46875,0.3125,0.984375,True,0.03125,True,0.265625,0.640625,0.875,0.421875,1.0,True,0.078125,True,0.421875,0.890625,1.0,0.71875,1.0,True,0.328125,True,0.71875,1.0,1.0,0.953125,0.9298992673992673,0.9760551201868738
timm:vgg16.tv_in1k,features.5,2,64,128,9,576,128,307200,533.3333333333334,0.45887437942405657,13.456331497969424,0.49976428112583576,128,0,13.456331497969424,True,0.984375,True,0.0078125,True,0.171875,0.453125,0.7578125,0.3515625,1.0,True,0.0078125,True,0.234375,0.6015625,1.0,0.515625,1.0,True,0.0390625,True,0.453125,0.859375,1.0,0.828125,1.0,True,0.2578125,True,0.78125,0.984375,1.0,0.9765625,0.8321850393700787,0.9719797553562908
timm:vgg16.tv_in1k,features.7,3,128,128,9,1152,128,307200,266.6666666666667,0.6586062054224816,6.1246024645229475,1.0,128,0,6.1246024645229475,True,0.9765625,True,0.03125,True,0.2734375,0.625,1.0,0.515625,0.9921875,True,0.0625,True,0.390625,0.7734375,1.0,0.6875,1.0,True,0.25,True,0.6875,0.9375,1.0,0.9140625,1.0,True,0.7578125,True,0.9375,0.9921875,1.0,0.9921875,0.9648473264969786,0.9879755628111256
timm:vgg16.tv_in1k,features.10,4,128,256,9,1152,256,307200,266.6666666666667,0.5234627158584463,11.303695038216413,0.9735272549209322,256,0,11.303695038216413,True,0.9921875,True,0.00390625,True,0.1953125,0.51171875,1.0,0.5,0.99609375,True,0.0078125,True,0.29296875,0.6640625,1.0,0.6796875,1.0,True,0.06640625,True,0.5625,0.890625,1.0,0.9140625,1.0,True,0.46484375,True,0.87890625,0.98828125,1.0,0.9921875,0.9478084229800868,0.9887786906266256
timm:vgg16.tv_in1k,features.12,5,256,256,9,2304,256,307200,133.33333333333334,0.6258908726001605,7.809813549926813,1.0,256,0,7.809813549926813,True,0.98828125,True,0.01171875,True,0.24609375,0.625,1.0,0.5390625,0.99609375,True,0.02734375,True,0.37109375,0.7734375,1.0,0.71484375,1.0,True,0.16015625,True,0.6875,0.94140625,1.0,0.92578125,1.0,True,0.68359375,True,0.94140625,0.99609375,1.0,0.9921875,0.9731989585717554,0.9942523745317575
timm:vgg16.tv_in1k,features.14,6,256,256,9,2304,256,307200,133.33333333333334,0.660739920330872,8.523671442049068,1.0,256,0,8.523671442049068,True,0.9921875,True,0.01171875,True,0.2890625,0.66015625,1.0,0.58984375,0.99609375,True,0.02734375,True,0.4296875,0.796875,1.0,0.75390625,1.0,True,0.16015625,True,0.74609375,0.94921875,1.0,0.94140625,1.0,True,0.6875,True,0.95703125,0.99609375,1.0,0.99609375,0.9785605973907071,0.9948734589719027
timm:vgg16.tv_in1k,features.17,7,256,512,9,2304,512,307200,133.33333333333334,0.5336695460551399,13.713214202367823,1.0,512,0,13.713214202367823,True,0.99609375,True,0.001953125,True,0.1875,0.533203125,1.0,0.5546875,0.998046875,True,0.00390625,True,0.294921875,0.685546875,1.0,0.73046875,1.0,True,0.0390625,True,0.591796875,0.900390625,1.0,0.93359375,1.0,True,0.41015625,True,0.896484375,0.98828125,1.0,0.994140625,0.9776527327164943,0.9968150921696965
timm:vgg16.tv_in1k,features.19,8,512,512,9,4608,512,307200,66.66666666666667,0.6229241684334628,10.984672561397918,1.0,512,0,10.984672561397918,True,0.99609375,True,0.00390625,True,0.234375,0.64453125,1.0,0.59765625,0.998046875,True,0.009765625,True,0.380859375,0.78515625,1.0,0.765625,1.0,True,0.078125,True,0.71875,0.9453125,1.0,0.9453125,1.0,True,0.576171875,True,0.951171875,0.994140625,1.0,0.994140625,0.984954269949989,0.9964435028973804
timm:vgg16.tv_in1k,features.21,9,512,512,9,4608,512,307200,66.66666666666667,0.6201731225161837,13.401222070747565,1.0,512,0,13.401222070747565,True,0.998046875,True,0.00390625,True,0.263671875,0.669921875,1.0,0.638671875,1.0,True,0.0078125,True,0.423828125,0.802734375,1.0,0.791015625,1.0,True,0.056640625,True,0.755859375,0.951171875,1.0,0.951171875,1.0,True,0.51171875,True,0.9609375,0.99609375,1.0,0.99609375,0.9845815308819996,0.9974115202709017
timm:vgg16.tv_in1k,features.24,10,512,512,9,4608,512,307200,66.66666666666667,0.6749294535637409,9.148954930407612,1.0,512,0,9.148954930407612,True,0.994140625,True,0.005859375,True,0.287109375,0.65625,1.0,0.64453125,0.998046875,True,0.017578125,True,0.443359375,0.791015625,1.0,0.798828125,1.0,True,0.142578125,True,0.765625,0.9453125,1.0,0.953125,1.0,True,0.7109375,True,0.962890625,0.994140625,1.0,0.99609375,0.9821907794600656,0.9974949438432189
timm:vgg16.tv_in1k,features.26,11,512,512,9,4608,512,307200,66.66666666666667,0.6358591617977085,12.41230438551064,1.0,512,0,12.41230438551064,True,0.998046875,True,0.00390625,True,0.275390625,0.642578125,1.0,0.63671875,1.0,True,0.0078125,True,0.427734375,0.779296875,1.0,0.791015625,1.0,True,0.064453125,True,0.74609375,0.94140625,1.0,0.951171875,1.0,True,0.552734375,True,0.955078125,0.994140625,1.0,0.99609375,0.9832954067531843,0.9978302283256151
