model,layer,depth_index,C_in,C_out,k,d,r_max,n_samples,n_over_d,kernel_erank_over_rmax,kernel_cond_top_rmax,data_erank_over_rmax,rank_W,n_null,kappa,ostrowski_ok,bound_0.9,bound_ok_0.9,bound_lo_0.9,bound_lo_ok_0.9,out_0.9,kernel_0.9,data_0.9,ortho_0.9,bound_0.95,bound_ok_0.95,bound_lo_0.95,bound_lo_ok_0.95,out_0.95,kernel_0.95,data_0.95,ortho_0.95,bound_0.99,bound_ok_0.99,bound_lo_0.99,bound_lo_ok_0.99,out_0.99,kernel_0.99,data_0.99,ortho_0.99,bound_0.999,bound_ok_0.999,bound_lo_0.999,bound_lo_ok_0.999,out_0.999,kernel_0.999,data_0.999,ortho_0.999,rho_align,rho_align_sigma
timm:wide_resnet50_2.tv_in1k_random,conv1,0,3,64,49,147,64,307200,2089.795918367347,0.7986032515927735,4.857722978984122,0.04551182017672623,64,0,4.857722978984122,True,0.453125,True,0.015625,True,0.046875,0.703125,0.0625,0.0625,0.578125,True,0.015625,True,0.09375,0.8125,0.109375,0.09375,0.78125,True,0.03125,True,0.28125,0.9375,0.421875,0.3125,0.953125,True,0.171875,True,0.625,1.0,0.953125,0.6875,-0.029258241758241755,-0.0580680124644357
timm:wide_resnet50_2.tv_in1k_random,layer1.0.conv1,1,64,128,1,64,64,307200,4800.0,0.7665410404730904,5.996647990430207,0.0779245202276815,64,0,5.996647990430207,True,0.875,True,0.015625,True,0.09375,0.65625,0.09375,0.09375,0.9375,True,0.015625,True,0.15625,0.78125,0.1875,0.1875,1.0,True,0.03125,True,0.5,0.921875,0.65625,0.65625,1.0,True,0.296875,True,0.859375,1.0,0.953125,0.953125,0.19358974358974357,0.12298534798534796
timm:wide_resnet50_2.tv_in1k_random,layer1.0.conv2,2,128,128,9,1152,128,307200,266.6666666666667,0.9452530165741027,1.9362533083607618,0.07157127952056347,128,0,1.9362533083607618,True,0.453125,True,0.03125,True,0.125,0.828125,0.125,0.1328125,0.65625,True,0.0703125,True,0.2734375,0.90625,0.40625,0.2890625,0.90625,True,0.3828125,True,0.6875,0.984375,1.0,0.7265625,0.9921875,True,0.875,True,0.953125,1.0,1.0,0.96875,0.07917505951290972,-0.0026488974858293788
timm:wide_resnet50_2.tv_in1k_random,layer1.0.conv3,3,128,256,1,128,128,307200,2400.0,0.7730650207169207,5.4740428731930715,0.0800864426407823,128,0,5.4740428731930715,True,0.75,True,0.0078125,True,0.1328125,0.6640625,0.1484375,0.1484375,0.8125,True,0.0078125,True,0.25,0.78125,0.2890625,0.2890625,0.8828125,True,0.0390625,True,0.5390625,0.9296875,0.625,0.625,0.953125,True,0.421875,True,0.796875,0.9921875,0.84375,0.84375,0.013956921809192455,-0.13271378868339131
timm:wide_resnet50_2.tv_in1k_random,layer1.0.downsample.0,4,64,256,1,64,64,307200,4800.0,0.8809154891603015,2.94664015794649,0.07783814620113882,64,0,2.94664015794649,True,0.59375,True,0.015625,True,0.09375,0.765625,0.09375,0.09375,0.765625,True,0.03125,True,0.203125,0.859375,0.1875,0.1875,0.953125,True,0.109375,True,0.609375,0.96875,0.65625,0.65625,1.0,True,0.703125,True,0.9375,1.0,0.953125,0.953125,-0.1684065934065934,-0.2629578754578754
timm:wide_resnet50_2.tv_in1k_random,layer1.1.conv1,5,256,128,1,256,128,307200,1200.0,0.7751131336414024,5.6624905686693925,0.045343229133123504,128,0,5.6624905686693925,True,0.6796875,True,0.0078125,True,0.046875,0.6640625,0.0625,0.046875,0.796875,True,0.0078125,True,0.109375,0.78125,0.171875,0.1171875,0.9453125,True,0.015625,True,0.390625,0.9296875,0.6640625,0.453125,1.0,True,0.203125,True,0.765625,0.9921875,1.0,0.859375,-0.004801089544039553,-0.12670217272892328
timm:wide_resnet50_2.tv_in1k_random,layer1.1.conv2,6,128,128,9,1152,128,307200,266.6666666666667,0.9455963403907657,1.9522644686168376,0.07199561030435415,128,0,1.9522644686168376,True,0.453125,True,0.015625,True,0.109375,0.828125,0.1484375,0.109375,0.65625,True,0.0546875,True,0.265625,0.90625,0.5625,0.2734375,0.9140625,True,0.3671875,True,0.703125,0.984375,1.0,0.7265625,0.9921875,True,0.8828125,True,0.953125,1.0,1.0,0.96875,-0.00023461820179454312,0.018208338042376242
timm:wide_resnet50_2.tv_in1k_random,layer1.1.conv3,7,128,256,1,128,128,307200,2400.0,0.7762729969282123,5.897434968003656,0.056507777356872194,128,0,5.897434968003656,True,0.7578125,True,0.0078125,True,0.1171875,0.6640625,0.1171875,0.1171875,0.8203125,True,0.0078125,True,0.2421875,0.78125,0.2734375,0.2734375,0.90625,True,0.0234375,True,0.5390625,0.9296875,0.6328125,0.6328125,0.9609375,True,0.375,True,0.796875,0.9921875,0.84375,0.84375,-0.024091283647683575,0.14135133108361456
timm:wide_resnet50_2.tv_in1k_random,layer1.2.conv1,8,256,128,1,256,128,307200,1200.0,0.7784029763833749,6.090778229986072,0.04522671856386695,128,0,6.090778229986072,True,0.7421875,True,0.0078125,True,0.0703125,0.6640625,0.0625,0.0625,0.84375,True,0.0078125,True,0.15625,0.78125,0.171875,0.15625,0.9609375,True,0.0234375,True,0.4375,0.9296875,0.6640625,0.5,1.0,True,0.21875,True,0.796875,0.9921875,1.0,0.8828125,-0.15139168650430324,-0.06375482979069048
timm:wide_resnet50_2.tv_in1k_random,layer1.2.conv2,9,128,128,9,1152,128,307200,266.6666666666667,0.9449398297035866,1.9898789696084629,0.11881700951491157,128,0,1.9898789696084629,True,0.59375,True,0.03125,True,0.1953125,0.828125,0.2890625,0.203125,0.765625,True,0.09375,True,0.390625,0.90625,0.9609375,0.4140625,0.9453125,True,0.5,True,0.78125,0.984375,1.0,0.8125,1.0,True,0.9140625,True,0.96875,1.0,1.0,0.9765625,0.0017281633400476103,-0.019469562112583067
timm:wide_resnet50_2.tv_in1k_random,layer1.2.conv3,10,128,256,1,128,128,307200,2400.0,0.7747923145555403,5.8058119624428235,0.10921705870952471,128,0,5.8058119624428235,True,0.765625,True,0.0078125,True,0.1953125,0.6640625,0.2109375,0.2109375,0.8125,True,0.0078125,True,0.328125,0.7734375,0.3828125,0.3828125,0.8828125,True,0.0546875,True,0.6015625,0.9296875,0.671875,0.671875,0.9453125,True,0.4765625,True,0.8046875,0.9921875,0.8359375,0.8359375,-0.1473745650979674,-0.2186728110599078
timm:wide_resnet50_2.tv_in1k_random,layer2.0.conv1,11,256,256,1,256,256,307200,1200.0,0.6065835394283431,775.4405732372362,0.022675622166813104,256,0,775.4405732372362,False,0.9765625,True,0.00390625,True,0.02734375,0.51171875,0.03125,0.03125,0.98046875,True,0.00390625,True,0.0703125,0.61328125,0.0859375,0.0859375,0.98046875,True,0.00390625,True,0.24609375,0.7734375,0.33203125,0.33203125,0.984375,True,0.00390625,True,0.55078125,0.89453125,0.75390625,0.75390625,0.057431620508125426,0.07061289366974902
timm:wide_resnet50_2.tv_in1k_random,layer2.0.conv2,12,256,256,9,2304,256,307200,133.33333333333334,0.9458343130702861,1.9688167799164036,0.04092087364696589,256,0,1.9688167799164036,True,0.3828125,True,0.01171875,True,0.06640625,0.82421875,0.0859375,0.0703125,0.59765625,True,0.03125,True,0.1953125,0.90625,0.3515625,0.20703125,0.88671875,True,0.2890625,True,0.63671875,0.98046875,1.0,0.671875,0.98828125,True,0.84375,True,0.94140625,1.0,1.0,0.953125,0.03712806134126802,0.01849398885152796
timm:wide_resnet50_2.tv_in1k_random,layer2.0.conv3,13,256,512,1,256,256,307200,1200.0,0.7778420217846685,5.657298818611521,0.034600242659692804,256,0,5.657298818611521,True,0.6953125,True,0.00390625,True,0.06640625,0.6640625,0.078125,0.078125,0.7578125,True,0.00390625,True,0.16796875,0.77734375,0.2109375,0.2109375,0.84765625,True,0.015625,True,0.46875,0.9296875,0.5625,0.5625,0.91015625,True,0.328125,True,0.7421875,0.9921875,0.7890625,0.7890625,0.07775520714122224,0.1139772662363626
timm:wide_resnet50_2.tv_in1k_random,layer2.0.downsample.0,14,256,512,1,256,256,307200,1200.0,0.778800487468503,5.568133117259813,0.022832098722715997,256,0,5.568133117259813,True,0.54296875,True,0.00390625,True,0.03125,0.66796875,0.03125,0.03125,0.6796875,True,0.00390625,True,0.078125,0.77734375,0.08203125,0.08203125,0.8515625,True,0.01171875,True,0.2890625,0.92578125,0.33203125,0.33203125,0.9375,True,0.14453125,True,0.66796875,0.9921875,0.75390625,0.75390625,-0.007449502174410618,0.015380839014933968
timm:wide_resnet50_2.tv_in1k_random,layer2.1.conv1,15,512,256,1,512,256,307200,600.0,0.7777894808955801,5.636872382771028,0.02806954024389881,256,0,5.636872382771028,True,0.6640625,True,0.00390625,True,0.046875,0.6640625,0.046875,0.046875,0.79296875,True,0.00390625,True,0.109375,0.77734375,0.12109375,0.11328125,0.94140625,True,0.01171875,True,0.3671875,0.92578125,0.55859375,0.421875,0.9921875,True,0.18359375,True,0.76171875,0.9921875,1.0,0.85546875,-0.09780556191348133,0.042010312452762585
timm:wide_resnet50_2.tv_in1k_random,layer2.1.conv2,16,256,256,9,2304,256,307200,133.33333333333334,0.9459071016929833,1.9761715631636887,0.07705720431672952,256,0,1.9761715631636887,True,0.51171875,True,0.01953125,True,0.1328125,0.82421875,0.21875,0.140625,0.69921875,True,0.05859375,True,0.3125,0.90625,0.76171875,0.328125,0.921875,True,0.41796875,True,0.7265625,0.98046875,1.0,0.7578125,0.9921875,True,0.890625,True,0.9609375,1.0,1.0,0.96875,0.03026722362096589,0.03327262281143626
timm:wide_resnet50_2.tv_in1k_random,layer2.1.conv3,17,256,512,1,256,256,307200,1200.0,0.7785388020013101,5.584331290976865,0.049447739186088004,256,0,5.584331290976865,True,0.7421875,True,0.00390625,True,0.12890625,0.6640625,0.140625,0.140625,0.796875,True,0.00390625,True,0.2578125,0.77734375,0.3046875,0.3046875,0.8828125,True,0.02734375,True,0.546875,0.9296875,0.62890625,0.62890625,0.953125,True,0.42578125,True,0.7890625,0.9921875,0.828125,0.828125,-0.048023718242160666,-0.003550939531768016
