model,layer,depth_index,C_in,C_out,k,d,r_max,n_samples,n_over_d,kernel_erank_over_rmax,kernel_cond_top_rmax,data_erank_over_rmax,rank_W,n_null,kappa,ostrowski_ok,bound_0.9,bound_ok_0.9,bound_lo_0.9,bound_lo_ok_0.9,out_0.9,kernel_0.9,data_0.9,ortho_0.9,bound_0.95,bound_ok_0.95,bound_lo_0.95,bound_lo_ok_0.95,out_0.95,kernel_0.95,data_0.95,ortho_0.95,bound_0.99,bound_ok_0.99,bound_lo_0.99,bound_lo_ok_0.99,out_0.99,kernel_0.99,data_0.99,ortho_0.99,bound_0.999,bound_ok_0.999,bound_lo_0.999,bound_lo_ok_0.999,out_0.999,kernel_0.999,data_0.999,ortho_0.999,rho_align,rho_align_sigma
vgg16_bn,features.0,0,3,64,9,27,27,307200,11377.777777777777,0.22055220074399975,2289.519251271735,0.07299727188607771,27,0,2289.519251271735,True,1.0,True,0.037037037037037035,True,0.18518518518518517,0.2222222222222222,0.07407407407407407,0.07407407407407407,1.0,True,0.037037037037037035,True,0.18518518518518517,0.25925925925925924,0.14814814814814814,0.14814814814814814,1.0,True,0.037037037037037035,True,0.2222222222222222,0.2962962962962963,0.25925925925925924,0.25925925925925924,1.0,True,0.037037037037037035,True,0.2962962962962963,0.4444444444444444,0.48148148148148145,0.48148148148148145,0.5927960927960928,0.5757020757020758
vgg16_bn,features.3,1,64,64,9,576,64,307200,533.3333333333334,0.42825021715498884,1192118.710674878,0.4905896460933427,63,1,32511.37418323332,True,1.0,True,0.015625,True,0.171875,0.40625,0.453125,0.359375,1.0,True,0.015625,True,0.21875,0.515625,0.625,0.484375,1.0,True,0.015625,True,0.375,0.75,1.0,0.734375,1.0,True,0.015625,True,0.640625,0.921875,1.0,0.9375,0.8256048387096774,0.9720259360262937
vgg16_bn,features.7,2,64,128,9,576,128,307200,533.3333333333334,0.31290764692992806,38464650.65288137,0.5279930428084669,126,2,256017.17049434973,True,1.0,True,0.0078125,True,0.171875,0.3203125,0.8046875,0.3515625,1.0,True,0.0078125,True,0.234375,0.4375,1.0,0.515625,1.0,True,0.0078125,True,0.3984375,0.65625,1.0,0.8203125,1.0,True,0.0078125,True,0.6484375,0.78125,1.0,0.9765625,0.5442549681289839,0.9373954799292283
vgg16_bn,features.10,3,128,128,9,1152,128,307200,266.6666666666667,0.6305645232147049,19315375.027611114,1.0,126,2,625824.1699741711,True,1.0,True,0.0078125,True,0.296875,0.5625,1.0,0.546875,1.0,True,0.0078125,True,0.3984375,0.6953125,1.0,0.703125,1.0,True,0.0078125,True,0.640625,0.8828125,1.0,0.9140625,1.0,True,0.0078125,True,0.890625,0.953125,1.0,0.9921875,0.9670821147356581,0.9870172984264813
vgg16_bn,features.14,4,128,256,9,1152,256,307200,266.6666666666667,0.4983113863659542,12561425.155125776,1.0,253,3,735200.4557060751,True,1.0,True,0.00390625,True,0.22265625,0.45703125,1.0,0.5234375,1.0,True,0.00390625,True,0.3125,0.59765625,1.0,0.6953125,1.0,True,0.00390625,True,0.55859375,0.8203125,1.0,0.91796875,1.0,True,0.00390625,True,0.8359375,0.92578125,1.0,0.9921875,0.9014999607262533,0.9783757861667767
vgg16_bn,features.17,5,256,256,9,2304,256,307200,133.33333333333334,0.6010134558006023,24.68663611399936,1.0,256,0,24.68663611399936,True,1.0,True,0.00390625,True,0.29296875,0.5859375,1.0,0.58984375,1.0,True,0.00390625,True,0.421875,0.734375,1.0,0.75,1.0,True,0.01953125,True,0.72265625,0.921875,1.0,0.9375,1.0,True,0.203125,True,0.9453125,0.98828125,1.0,0.99609375,0.9494242103456167,0.9943965160795344
vgg16_bn,features.20,6,256,256,9,2304,256,307200,133.33333333333334,0.6981089850172517,7.025245750121146,1.0,256,0,7.025245750121146,True,0.98828125,True,0.02734375,True,0.34765625,0.65625,1.0,0.625,0.99609375,True,0.05859375,True,0.484375,0.79296875,1.0,0.77734375,1.0,True,0.26953125,True,0.77734375,0.9453125,1.0,0.9453125,1.0,True,0.7890625,True,0.96484375,0.99609375,1.0,0.99609375,0.9797443636987869,0.9957465469918987
vgg16_bn,features.24,7,256,512,9,2304,512,307200,133.33333333333334,0.5660976861259388,24.382956857656936,1.0,512,0,24.382956857656936,True,1.0,True,0.001953125,True,0.24609375,0.52734375,1.0,0.59765625,1.0,True,0.001953125,True,0.361328125,0.67578125,1.0,0.76171875,1.0,True,0.013671875,True,0.65234375,0.892578125,1.0,0.943359375,1.0,True,0.1875,True,0.91796875,0.984375,1.0,0.994140625,0.9688961809489476,0.9957719027635052
vgg16_bn,features.27,8,512,512,9,4608,512,307200,66.66666666666667,0.6288153468576191,269.5903541705201,1.0,512,0,269.5903541705201,True,1.0,True,0.001953125,True,0.30859375,0.62109375,1.0,0.638671875,1.0,True,0.001953125,True,0.458984375,0.759765625,1.0,0.79296875,1.0,True,0.001953125,True,0.763671875,0.927734375,1.0,0.951171875,1.0,True,0.001953125,True,0.953125,0.982421875,1.0,0.99609375,0.9531655015106258,0.9972960372473573
vgg16_bn,features.30,9,512,512,9,4608,512,307200,66.66666666666667,0.653368110171492,402.2347950527982,1.0,512,0,402.2347950527982,True,1.0,True,0.001953125,True,0.3359375,0.666015625,1.0,0.669921875,1.0,True,0.001953125,True,0.498046875,0.794921875,1.0,0.810546875,1.0,True,0.001953125,True,0.796875,0.939453125,1.0,0.951171875,1.0,True,0.001953125,True,0.958984375,0.982421875,1.0,0.990234375,0.9786406834723796,0.9980019875972516
