model,layer,depth_index,C_in,C_out,k,d,r_max,n_samples,n_over_d,kernel_erank_over_rmax,kernel_cond_top_rmax,data_erank_over_rmax,rank_W,n_null,kappa,ostrowski_ok,bound_0.9,bound_ok_0.9,bound_lo_0.9,bound_lo_ok_0.9,out_0.9,kernel_0.9,data_0.9,ortho_0.9,bound_0.95,bound_ok_0.95,bound_lo_0.95,bound_lo_ok_0.95,out_0.95,kernel_0.95,data_0.95,ortho_0.95,bound_0.99,bound_ok_0.99,bound_lo_0.99,bound_lo_ok_0.99,out_0.99,kernel_0.99,data_0.99,ortho_0.99,bound_0.999,bound_ok_0.999,bound_lo_0.999,bound_lo_ok_0.999,out_0.999,kernel_0.999,data_0.999,ortho_0.999,rho_align,rho_align_sigma
resnet18_random,conv1,0,3,64,49,147,64,307200,2089.795918367347,0.7933498943320361,4.430240844838666,0.04551550625612386,64,0,4.430240844838666,True,0.4375,True,0.015625,True,0.046875,0.6875,0.0625,0.0625,0.5625,True,0.015625,True,0.09375,0.796875,0.109375,0.109375,0.796875,True,0.03125,True,0.296875,0.953125,0.421875,0.34375,0.953125,True,0.234375,True,0.640625,1.0,0.953125,0.71875,0.16437728937728935,0.06007316081831729
resnet18_random,layer1.0.conv1,1,64,64,9,576,64,307200,533.3333333333334,0.9447911672250773,1.9871813734796853,0.14147153602249665,64,0,1.9871813734796853,True,0.5,True,0.03125,True,0.15625,0.828125,0.234375,0.15625,0.703125,True,0.078125,True,0.3125,0.90625,0.703125,0.3125,0.9375,True,0.390625,True,0.734375,0.984375,1.0,0.765625,1.0,True,0.890625,True,0.96875,1.0,1.0,0.984375,-0.08809523809523809,-0.0045859392660688725
resnet18_random,layer1.0.conv2,2,64,64,9,576,64,307200,533.3333333333334,0.9444896690948662,1.912002569560483,0.20855576317370428,64,0,1.912002569560483,True,0.6875,True,0.078125,True,0.296875,0.828125,0.484375,0.328125,0.828125,True,0.1875,True,0.5,0.90625,1.0,0.546875,0.96875,True,0.640625,True,0.84375,0.984375,1.0,0.875,1.0,True,0.953125,True,0.984375,1.0,1.0,0.984375,0.0608058608058608,-0.05980337575114882
resnet18_random,layer1.1.conv1,3,64,64,9,576,64,307200,533.3333333333334,0.9452679953216843,1.922154713271271,0.27477712068533017,64,0,1.922154713271271,True,0.6875,True,0.078125,True,0.3125,0.828125,0.6875,0.328125,0.828125,True,0.1875,True,0.515625,0.90625,1.0,0.546875,0.96875,True,0.640625,True,0.84375,0.984375,1.0,0.875,1.0,True,0.953125,True,0.984375,1.0,1.0,0.984375,-0.10494505494505493,0.037723293898977724
resnet18_random,layer1.1.conv2,4,64,64,9,576,64,307200,533.3333333333334,0.9453117673446584,1.8979178020464813,0.25466064912448233,64,0,1.8979178020464813,True,0.6875,True,0.078125,True,0.3125,0.828125,0.734375,0.328125,0.828125,True,0.1875,True,0.515625,0.90625,1.0,0.546875,0.96875,True,0.640625,True,0.84375,0.984375,1.0,0.875,1.0,True,0.953125,True,0.984375,1.0,1.0,0.984375,-0.008653846153846153,0.02402033321477725
resnet18_random,layer2.0.conv1,5,64,128,9,576,128,307200,533.3333333333334,0.8945113903470222,2.731491905041157,0.12940057265108706,128,0,2.731491905041157,True,0.75,True,0.015625,True,0.203125,0.7734375,0.3515625,0.21875,0.859375,True,0.0390625,True,0.390625,0.875,0.921875,0.4296875,0.96875,True,0.3203125,True,0.7578125,0.96875,1.0,0.8125,1.0,True,0.8515625,True,0.9609375,1.0,1.0,0.9765625,-0.02688381248855521,0.02690385049798589
resnet18_random,layer2.0.conv2,6,128,128,9,1152,128,307200,266.6666666666667,0.944378555425431,1.9977202230012288,0.1694972337763439,128,0,1.9977202230012288,True,0.6875,True,0.046875,True,0.2734375,0.828125,0.59375,0.2890625,0.828125,True,0.1328125,True,0.484375,0.90625,1.0,0.5234375,0.9609375,True,0.59375,True,0.8359375,0.984375,1.0,0.859375,1.0,True,0.9453125,True,0.9765625,1.0,1.0,0.984375,0.04292368613806995,0.04227249063751056
resnet18_random,layer2.0.downsample.0,7,64,128,1,64,64,307200,4800.0,0.7714147872044719,5.362069766594426,0.15575403638696633,64,0,5.362069766594426,True,0.828125,True,0.015625,True,0.234375,0.671875,0.28125,0.28125,0.875,True,0.015625,True,0.390625,0.78125,0.46875,0.46875,0.9375,True,0.109375,True,0.65625,0.921875,0.734375,0.734375,0.984375,True,0.59375,True,0.875,1.0,0.90625,0.90625,-0.060393772893772894,-0.1710164835164835
resnet18_random,layer2.1.conv1,8,128,128,9,1152,128,307200,266.6666666666667,0.9451328555031898,1.953628597160997,0.18146488279122022,128,0,1.953628597160997,True,0.6796875,True,0.046875,True,0.28125,0.828125,0.671875,0.3046875,0.8203125,True,0.1484375,True,0.484375,0.90625,1.0,0.53125,0.9609375,True,0.6171875,True,0.8359375,0.984375,1.0,0.8671875,1.0,True,0.9453125,True,0.984375,1.0,1.0,0.984375,0.15210698590001828,-0.041156672039553505
resnet18_random,layer2.1.conv2,9,128,128,9,1152,128,307200,266.6666666666667,0.9454347310883692,1.969340149228383,0.18884803677813783,128,0,1.969340149228383,True,0.6953125,True,0.046875,True,0.2890625,0.828125,0.7265625,0.3046875,0.828125,True,0.1484375,True,0.5,0.90625,1.0,0.5390625,0.9609375,True,0.6171875,True,0.84375,0.984375,1.0,0.8671875,1.0,True,0.9453125,True,0.984375,1.0,1.0,0.984375,0.06560726057498625,0.005338981973896433
resnet18_random,layer3.0.conv1,10,128,256,9,1152,256,307200,266.6666666666667,0.8954194850887622,2.6651792952178934,0.09477901449796766,256,0,2.6651792952178934,True,0.7578125,True,0.01171875,True,0.21484375,0.7734375,0.3984375,0.234375,0.8671875,True,0.03515625,True,0.41015625,0.87109375,1.0,0.4609375,0.96875,True,0.3671875,True,0.7734375,0.96875,1.0,0.828125,1.0,True,0.87109375,True,0.96484375,1.0,1.0,0.98046875,-0.07639405470359348,0.013598028322051873
resnet18_random,layer3.0.conv2,11,256,256,9,2304,256,307200,133.33333333333334,0.9458702856677862,1.9793509591185536,0.1339089630981748,256,0,1.9793509591185536,True,0.69921875,True,0.03125,True,0.27734375,0.82421875,0.7265625,0.296875,0.83203125,True,0.12890625,True,0.49609375,0.90625,1.0,0.53515625,0.9609375,True,0.6171875,True,0.83984375,0.98046875,1.0,0.8671875,0.99609375,True,0.9453125,True,0.98046875,1.0,1.0,0.984375,0.06303215838864729,0.02103589796251716
resnet18_random,layer3.0.downsample.0,12,128,256,1,128,128,307200,2400.0,0.7780448183737235,5.568953902931112,0.10837552505060442,128,0,5.568953902931112,True,0.796875,True,0.0078125,True,0.203125,0.671875,0.2421875,0.2421875,0.84375,True,0.0078125,True,0.34375,0.78125,0.4140625,0.4140625,0.9140625,True,0.0703125,True,0.6171875,0.9296875,0.703125,0.703125,0.9609375,True,0.5234375,True,0.8359375,0.9921875,0.8671875,0.8671875,-0.0506718091924556,0.09251396264420436
resnet18_random,layer3.1.conv1,13,256,256,9,2304,256,307200,133.33333333333334,0.9452581268508214,1.972900397902541,0.1187672623435741,256,0,1.972900397902541,True,0.67578125,True,0.02734375,True,0.25390625,0.82421875,0.62109375,0.26953125,0.81640625,True,0.109375,True,0.4765625,0.90625,1.0,0.5078125,0.95703125,True,0.59375,True,0.828125,0.98046875,1.0,0.85546875,0.99609375,True,0.9375,True,0.98046875,1.0,1.0,0.984375,-0.029239385442893104,-0.02378804475628642
resnet18_random,layer3.1.conv2,14,256,256,9,2304,256,307200,133.33333333333334,0.9459848795317647,1.9641717208786371,0.12130739350419303,256,0,1.9641717208786371,True,0.6953125,True,0.03125,True,0.27734375,0.82421875,0.72265625,0.29296875,0.83203125,True,0.12109375,True,0.5,0.90625,1.0,0.53515625,0.9609375,True,0.62109375,True,0.84375,0.98046875,1.0,0.87109375,0.99609375,True,0.9453125,True,0.98046875,1.0,1.0,0.984375,0.00511987869077592,-0.035850494321496756
resnet18_random,layer4.0.conv1,15,256,512,9,2304,512,307200,133.33333333333334,0.8946737689411288,2.744342514731293,0.04750990883198617,512,0,2.744342514731293,True,0.75,True,0.005859375,True,0.1875,0.7734375,0.306640625,0.19921875,0.861328125,True,0.013671875,True,0.38671875,0.87109375,0.90625,0.4296875,0.96875,True,0.314453125,True,0.7578125,0.96875,1.0,0.8125,0.998046875,True,0.8515625,True,0.962890625,0.998046875,1.0,0.9765625,-0.03008788380769275,-0.011280403044186526
resnet18_random,layer4.0.conv2,16,512,512,9,4608,512,307200,66.66666666666667,0.9459082865682978,1.9777766717721463,0.061309745387967976,512,0,1.9777766717721463,True,0.65625,True,0.013671875,True,0.208984375,0.822265625,0.4453125,0.224609375,0.806640625,True,0.06640625,True,0.443359375,0.904296875,1.0,0.478515625,0.955078125,True,0.56640625,True,0.818359375,0.98046875,1.0,0.849609375,0.99609375,True,0.935546875,True,0.9765625,0.998046875,1.0,0.982421875,0.03990087232922489,-0.013373903116361593
resnet18_random,layer4.0.downsample.0,17,256,512,1,256,256,307200,1200.0,0.7776300880978402,5.705844173146118,0.06194616208896837,256,0,5.705844173146118,True,0.7734375,True,0.00390625,True,0.1796875,0.6640625,0.2109375,0.2109375,0.828125,True,0.00390625,True,0.31640625,0.77734375,0.38671875,0.38671875,0.90625,True,0.0390625,True,0.58984375,0.9296875,0.66796875,0.66796875,0.953125,True,0.48828125,True,0.8125,0.9921875,0.85546875,0.85546875,-0.0374449244678416,0.02249051872468511
resnet18_random,layer4.1.conv1,18,512,512,9,4608,512,307200,66.66666666666667,0.9461775495190864,1.9929192014842072,0.06537646219505709,512,0,1.9929192014842072,True,0.654296875,True,0.013671875,True,0.20703125,0.82421875,0.484375,0.21875,0.806640625,True,0.060546875,True,0.4375,0.904296875,1.0,0.470703125,0.955078125,True,0.5546875,True,0.81640625,0.98046875,1.0,0.845703125,0.99609375,True,0.931640625,True,0.9765625,0.998046875,1.0,0.982421875,-0.020868023368924595,-0.019808814725542682
