model,layer,depth_index,C_in,C_out,k,d,r_max,n_samples,n_over_d,kernel_erank_over_rmax,kernel_cond_top_rmax,data_erank_over_rmax,rank_W,n_null,kappa,ostrowski_ok,bound_0.9,bound_ok_0.9,bound_lo_0.9,bound_lo_ok_0.9,out_0.9,kernel_0.9,data_0.9,ortho_0.9,bound_0.95,bound_ok_0.95,bound_lo_0.95,bound_lo_ok_0.95,out_0.95,kernel_0.95,data_0.95,ortho_0.95,bound_0.99,bound_ok_0.99,bound_lo_0.99,bound_lo_ok_0.99,out_0.99,kernel_0.99,data_0.99,ortho_0.99,bound_0.999,bound_ok_0.999,bound_lo_0.999,bound_lo_ok_0.999,out_0.999,kernel_0.999,data_0.999,ortho_0.999,rho_align,rho_align_sigma
timm:densenet121.tv_in1k_random,features.conv0,0,3,64,49,147,64,307200,2089.795918367347,0.8111644148015626,4.22419166382023,0.04538333825733459,64,0,4.22419166382023,True,0.4375,True,0.015625,True,0.0625,0.703125,0.0625,0.0625,0.5625,True,0.015625,True,0.109375,0.8125,0.109375,0.109375,0.78125,True,0.03125,True,0.328125,0.953125,0.421875,0.359375,0.953125,True,0.25,True,0.65625,1.0,0.953125,0.703125,-0.03988095238095237,0.08933071399539355
timm:densenet121.tv_in1k_random,features.denseblock1.denselayer1.conv1,1,64,128,1,64,64,307200,4800.0,0.7738317538408426,5.363730416788896,0.08509327088462874,64,0,5.363730416788896,True,0.875,True,0.015625,True,0.09375,0.671875,0.09375,0.09375,0.9375,True,0.015625,True,0.203125,0.78125,0.234375,0.234375,1.0,True,0.046875,True,0.5625,0.921875,0.703125,0.703125,1.0,True,0.40625,True,0.890625,1.0,0.96875,0.96875,-0.07467948717948716,-0.05572344322344321
timm:densenet121.tv_in1k_random,features.denseblock1.denselayer1.conv2,2,128,32,9,1152,32,307200,266.6666666666667,0.9860865502527306,1.3677499723663606,0.40296086298559386,32,0,1.3677499723663606,True,0.5625,True,0.21875,True,0.375,0.875,0.75,0.375,0.71875,True,0.40625,True,0.5625,0.9375,1.0,0.59375,0.9375,True,0.8125,True,0.875,1.0,1.0,0.90625,1.0,True,1.0,True,1.0,1.0,1.0,1.0,0.3739002932551319,-0.041578206130009746
timm:densenet121.tv_in1k_random,features.denseblock1.denselayer2.conv1,3,96,128,1,96,96,307200,3200.0,0.6900341451957247,12.906258785344788,0.07337872185012574,96,0,12.906258785344788,True,0.9166666666666666,True,0.010416666666666666,True,0.09375,0.59375,0.11458333333333333,0.11458333333333333,0.9375,True,0.010416666666666666,True,0.1875,0.6979166666666666,0.2604166666666667,0.2604166666666667,0.9791666666666666,True,0.010416666666666666,True,0.4895833333333333,0.8645833333333334,0.6770833333333334,0.6770833333333334,0.9895833333333334,True,0.07291666666666667,True,0.7916666666666666,0.96875,0.90625,0.90625,0.09437059142702116,0.0049376017362995125
timm:densenet121.tv_in1k_random,features.denseblock1.denselayer2.conv2,4,128,32,9,1152,32,307200,266.6666666666667,0.9848174676293183,1.4147329187635405,0.41755023331997143,32,0,1.4147329187635405,True,0.5625,True,0.1875,True,0.34375,0.875,1.0,0.34375,0.75,True,0.375,True,0.5625,0.9375,1.0,0.59375,0.9375,True,0.8125,True,0.875,1.0,1.0,0.90625,1.0,True,1.0,True,1.0,1.0,1.0,1.0,0.05205278592375366,-0.01006398997342425
timm:densenet121.tv_in1k_random,features.denseblock1.denselayer3.conv1,5,128,128,1,128,128,307200,2400.0,0.6072452244518154,1116.4396821363096,0.06304180148057101,128,0,1116.4396821363096,True,1.0,True,0.0078125,True,0.09375,0.515625,0.109375,0.109375,1.0,True,0.0078125,True,0.1953125,0.609375,0.265625,0.265625,1.0,True,0.0078125,True,0.4609375,0.7734375,0.671875,0.671875,1.0,True,0.0078125,True,0.7265625,0.890625,0.90625,0.90625,0.013750915583226515,-0.14483382164438746
timm:densenet121.tv_in1k_random,features.denseblock1.denselayer3.conv2,6,128,32,9,1152,32,307200,266.6666666666667,0.9858759338299093,1.3801541987843062,0.4852497914015805,32,0,1.3801541987843062,True,0.5625,True,0.1875,True,0.34375,0.875,1.0,0.34375,0.75,True,0.375,True,0.59375,0.9375,1.0,0.59375,0.9375,True,0.8125,True,0.90625,1.0,1.0,0.90625,1.0,True,1.0,True,1.0,1.0,1.0,1.0,-0.2716275659824047,-0.0405340594340913
timm:densenet121.tv_in1k_random,features.denseblock1.denselayer4.conv1,7,160,128,1,160,128,307200,1920.0,0.676193986045859,16.985295198554773,0.07238764351849276,128,0,16.985295198554773,True,0.9609375,True,0.0078125,True,0.109375,0.5703125,0.1328125,0.125,0.9765625,True,0.0078125,True,0.2265625,0.6796875,0.328125,0.2890625,1.0,True,0.0078125,True,0.5234375,0.8515625,0.8125,0.6875,1.0,True,0.03125,True,0.796875,0.9609375,1.0,0.921875,-0.09330365317707379,-0.07840735966248681
timm:densenet121.tv_in1k_random,features.denseblock1.denselayer4.conv2,8,128,32,9,1152,32,307200,266.6666666666667,0.9874197762840144,1.3588235538581048,0.491096099716767,32,0,1.3588235538581048,True,0.59375,True,0.25,True,0.40625,0.875,1.0,0.40625,0.78125,True,0.4375,True,0.625,0.9375,1.0,0.625,0.96875,True,0.84375,True,0.90625,1.0,1.0,0.90625,1.0,True,1.0,True,1.0,1.0,1.0,1.0,-0.044721407624633426,-0.014499079042968889
timm:densenet121.tv_in1k_random,features.denseblock1.denselayer5.conv1,9,192,128,1,192,128,307200,1600.0,0.7151081728591949,9.007374732591861,0.07883020095756847,128,0,9.007374732591861,True,0.921875,True,0.0078125,True,0.125,0.609375,0.15625,0.15625,0.9609375,True,0.0078125,True,0.2578125,0.71875,0.375,0.3359375,0.9921875,True,0.015625,True,0.5625,0.890625,0.9375,0.71875,1.0,True,0.2265625,True,0.8515625,0.984375,1.0,0.9375,0.01147340230726973,-0.06782171397079086
timm:densenet121.tv_in1k_random,features.denseblock1.denselayer5.conv2,10,128,32,9,1152,32,307200,266.6666666666667,0.9864561619666872,1.345831060724357,0.5835476841301451,32,0,1.345831060724357,True,0.59375,True,0.25,True,0.40625,0.875,1.0,0.40625,0.78125,True,0.46875,True,0.625,0.9375,1.0,0.65625,0.96875,True,0.84375,True,0.90625,1.0,1.0,0.90625,1.0,True,1.0,True,1.0,1.0,1.0,1.0,-0.14662756598240467,0.0159046089623128
timm:densenet121.tv_in1k_random,features.denseblock1.denselayer6.conv1,11,224,128,1,224,128,307200,1371.4285714285713,0.7533149237356818,6.941142267609151,0.08359206492507387,128,0,6.941142267609151,True,0.8984375,True,0.0078125,True,0.125,0.640625,0.1796875,0.1484375,0.9453125,True,0.0078125,True,0.2578125,0.7578125,0.4375,0.328125,0.9921875,True,0.0234375,True,0.5859375,0.9140625,1.0,0.7265625,1.0,True,0.3515625,True,0.875,0.9921875,1.0,0.9453125,0.11484274858084599,0.008413482348459926
timm:densenet121.tv_in1k_random,features.denseblock1.denselayer6.conv2,12,128,32,9,1152,32,307200,266.6666666666667,0.9851629078058359,1.376412444050579,0.47761207357036856,32,0,1.376412444050579,True,0.5625,True,0.21875,True,0.375,0.875,1.0,0.375,0.75,True,0.40625,True,0.59375,0.9375,1.0,0.59375,0.96875,True,0.84375,True,0.90625,1.0,1.0,0.90625,1.0,True,1.0,True,1.0,1.0,1.0,1.0,-0.038489736070381225,-0.033507752304874974
timm:densenet121.tv_in1k_random,features.transition1.conv,13,256,128,1,256,128,307200,1200.0,0.7740244362769093,5.845399179341212,0.08597153305907705,128,0,5.845399179341212,True,0.8828125,True,0.0078125,True,0.1328125,0.6640625,0.1875,0.1640625,0.9375,True,0.0078125,True,0.2734375,0.78125,0.4765625,0.3515625,0.984375,True,0.0390625,True,0.609375,0.9296875,1.0,0.7421875,1.0,True,0.46875,True,0.890625,0.9921875,1.0,0.953125,0.03335011902581945,0.1056553410944534
timm:densenet121.tv_in1k_random,features.denseblock2.denselayer1.conv1,14,128,128,1,128,128,307200,2400.0,0.603262912920252,638.2177668188881,0.064926742251164,128,0,638.2177668188881,False,0.9609375,True,0.0078125,True,0.0859375,0.5078125,0.09375,0.09375,0.96875,True,0.0078125,True,0.15625,0.609375,0.1953125,0.1953125,0.9765625,True,0.0078125,True,0.375,0.7734375,0.5,0.5,0.984375,True,0.0078125,True,0.6171875,0.8984375,0.734375,0.734375,-0.08101767075627174,0.02371309540699849
timm:densenet121.tv_in1k_random,features.denseblock2.denselayer1.conv2,15,128,32,9,1152,32,307200,266.6666666666667,0.9856171705939111,1.3509105464916802,0.4827230349849858,32,0,1.3509105464916802,True,0.5625,True,0.21875,True,0.40625,0.875,1.0,0.375,0.71875,True,0.4375,True,0.59375,0.9375,1.0,0.59375,0.9375,True,0.8125,True,0.90625,1.0,1.0,0.90625,1.0,True,1.0,True,1.0,1.0,1.0,1.0,-0.45344574780058644,0.006149478149478149
timm:densenet121.tv_in1k_random,features.denseblock2.denselayer2.conv1,16,160,128,1,160,128,307200,1920.0,0.6693855052835109,15.588613583816318,0.07465045733638652,128,0,15.588613583816318,True,0.875,True,0.0078125,True,0.1015625,0.5703125,0.125,0.1171875,0.9140625,True,0.0078125,True,0.1875,0.6796875,0.265625,0.234375,0.96875,True,0.0078125,True,0.4375,0.84375,0.6328125,0.5546875,1.0,True,0.046875,True,0.7109375,0.9609375,0.921875,0.8203125,0.06613944332539827,-0.006212453611629384
timm:densenet121.tv_in1k_random,features.denseblock2.denselayer2.conv2,17,128,32,9,1152,32,307200,266.6666666666667,0.9867013438374809,1.378165140787017,0.5439995032553259,32,0,1.378165140787017,True,0.625,True,0.28125,True,0.4375,0.875,1.0,0.4375,0.78125,True,0.46875,True,0.65625,0.9375,1.0,0.65625,0.96875,True,0.84375,True,0.90625,1.0,1.0,0.90625,1.0,True,1.0,True,1.0,1.0,1.0,1.0,-0.12719941348973607,0.006279926588566484
timm:densenet121.tv_in1k_random,features.denseblock2.denselayer3.conv1,18,192,128,1,192,128,307200,1600.0,0.711845759655653,9.789126077970186,0.08737932818011512,128,0,9.789126077970186,True,0.8671875,True,0.0078125,True,0.1171875,0.609375,0.15625,0.1484375,0.9140625,True,0.0078125,True,0.21875,0.71875,0.3359375,0.2890625,0.9765625,True,0.015625,True,0.4921875,0.890625,0.7734375,0.625,1.0,True,0.171875,True,0.78125,0.984375,1.0,0.8828125,0.06655145577733015,0.0448249332408376
timm:densenet121.tv_in1k_random,features.denseblock2.denselayer3.conv2,19,128,32,9,1152,32,307200,266.6666666666667,0.9864557869247186,1.4011198808177208,0.49210445542485076,32,0,1.4011198808177208,True,0.59375,True,0.25,True,0.40625,0.875,1.0,0.40625,0.78125,True,0.40625,True,0.59375,0.9375,1.0,0.625,0.96875,True,0.8125,True,0.90625,1.0,1.0,0.90625,1.0,True,1.0,True,1.0,1.0,1.0,1.0,-0.029325513196480937,0.008664703476412806
timm:densenet121.tv_in1k_random,features.denseblock2.denselayer4.conv1,20,224,128,1,224,128,307200,1371.4285714285713,0.7498397364140137,7.168877740456053,0.09199866223171956,128,0,7.168877740456053,True,0.8671875,True,0.0078125,True,0.1484375,0.640625,0.1796875,0.1640625,0.921875,True,0.0078125,True,0.2734375,0.7578125,0.390625,0.3203125,0.9765625,True,0.0234375,True,0.5625,0.9140625,0.90625,0.671875,1.0,True,0.328125,True,0.8515625,0.9921875,1.0,0.921875,-0.02730726973081853,-0.04900550580600657
timm:densenet121.tv_in1k_random,features.denseblock2.denselayer4.conv2,21,128,32,9,1152,32,307200,266.6666666666667,0.9858853954760699,1.3661283792876193,0.6260242837144152,32,0,1.3661283792876193,True,0.65625,True,0.3125,True,0.5,0.875,1.0,0.5,0.8125,True,0.53125,True,0.6875,0.9375,1.0,0.6875,0.96875,True,0.875,True,0.9375,1.0,1.0,0.9375,1.0,True,1.0,True,1.0,1.0,1.0,1.0,-0.2855571847507331,-0.032436560297449894
timm:densenet121.tv_in1k_random,features.denseblock2.denselayer5.conv1,22,256,128,1,256,128,307200,1200.0,0.7794002527390055,5.8551778431899475,0.09766748925784927,128,0,5.8551778431899475,True,0.84375,True,0.0078125,True,0.1484375,0.6640625,0.203125,0.1640625,0.90625,True,0.0078125,True,0.28125,0.78125,0.4375,0.328125,0.9765625,True,0.046875,True,0.5859375,0.9296875,1.0,0.6875,1.0,True,0.4296875,True,0.875,0.9921875,1.0,0.9296875,-0.13311435634499175,-0.037121296606074126
timm:densenet121.tv_in1k_random,features.denseblock2.denselayer5.conv2,23,128,32,9,1152,32,307200,266.6666666666667,0.9864832567055896,1.3651301650301255,0.5299919684324318,32,0,1.3651301650301255,True,0.5625,True,0.1875,True,0.375,0.875,1.0,0.375,0.75,True,0.40625,True,0.59375,0.9375,1.0,0.625,0.96875,True,0.84375,True,0.90625,1.0,1.0,0.90625,1.0,True,1.0,True,1.0,1.0,1.0,1.0,0.126099706744868,-0.03272054564972534
timm:densenet121.tv_in1k_random,features.denseblock2.denselayer6.conv1,24,288,128,1,288,128,307200,1066.6666666666667,0.7982746449736186,4.988486967140712,0.09316832849331211,128,0,4.988486967140712,True,0.8203125,True,0.0078125,True,0.15625,0.6875,0.2109375,0.15625,0.8984375,True,0.0078125,True,0.296875,0.796875,0.4765625,0.3203125,0.9765625,True,0.0546875,True,0.6171875,0.9375,1.0,0.703125,1.0,True,0.5078125,True,0.8984375,0.9921875,1.0,0.9453125,-0.11788134041384363,-0.010098806303185865
timm:densenet121.tv_in1k_random,features.denseblock2.denselayer6.conv2,25,128,32,9,1152,32,307200,266.6666666666667,0.9872579896464209,1.354009470752241,0.5419101197719772,32,0,1.354009470752241,True,0.5625,True,0.21875,True,0.375,0.875,1.0,0.40625,0.75,True,0.4375,True,0.59375,0.9375,1.0,0.625,0.96875,True,0.84375,True,0.90625,1.0,1.0,0.90625,1.0,True,1.0,True,1.0,1.0,1.0,1.0,0.38269794721407624,0.05527304193199947
timm:densenet121.tv_in1k_random,features.denseblock2.denselayer7.conv1,26,320,128,1,320,128,307200,960.0,0.8193321142670291,4.300663795501145,0.0928476340650477,128,0,4.300663795501145,True,0.796875,True,0.0078125,True,0.140625,0.703125,0.21875,0.1640625,0.8828125,True,0.0078125,True,0.28125,0.8125,0.5078125,0.3359375,0.96875,True,0.0859375,True,0.625,0.9453125,1.0,0.7109375,1.0,True,0.59375,True,0.90625,1.0,1.0,0.9453125,0.1015381798205457,-0.005047106545597686
timm:densenet121.tv_in1k_random,features.denseblock2.denselayer7.conv2,27,128,32,9,1152,32,307200,266.6666666666667,0.9854736926774538,1.3857543191674007,0.44786708378127565,32,0,1.3857543191674007,True,0.5625,True,0.1875,True,0.34375,0.875,1.0,0.34375,0.75,True,0.375,True,0.5625,0.9375,1.0,0.59375,0.9375,True,0.8125,True,0.90625,1.0,1.0,0.90625,1.0,True,1.0,True,1.0,1.0,1.0,1.0,-0.09970674486803517,-0.003738442201496153
timm:densenet121.tv_in1k_random,features.denseblock2.denselayer8.conv1,28,352,128,1,352,128,307200,872.7272727272727,0.8375410552760743,3.7692426455038235,0.09480618643266614,128,0,3.7692426455038235,True,0.78125,True,0.0078125,True,0.15625,0.7265625,0.234375,0.1875,0.8671875,True,0.015625,True,0.3125,0.8359375,0.5546875,0.3671875,0.96875,True,0.1328125,True,0.65625,0.953125,1.0,0.734375,1.0,True,0.6796875,True,0.921875,1.0,1.0,0.953125,0.0784197033510346,-0.030323267499517415
timm:densenet121.tv_in1k_random,features.denseblock2.denselayer8.conv2,29,128,32,9,1152,32,307200,266.6666666666667,0.9864256789446844,1.370921425905433,0.4874292884466764,32,0,1.370921425905433,True,0.65625,True,0.3125,True,0.46875,0.875,1.0,0.5,0.8125,True,0.53125,True,0.6875,0.9375,1.0,0.6875,0.96875,True,0.875,True,0.9375,1.0,1.0,0.9375,1.0,True,1.0,True,1.0,1.0,1.0,1.0,0.0722140762463343,-0.029409566217372698
