model,layer,depth_index,C_in,C_out,k,d,r_max,n_samples,n_over_d,kernel_erank_over_rmax,kernel_cond_top_rmax,data_erank_over_rmax,rank_W,n_null,kappa,ostrowski_ok,bound_0.9,bound_ok_0.9,bound_lo_0.9,bound_lo_ok_0.9,out_0.9,kernel_0.9,data_0.9,ortho_0.9,bound_0.95,bound_ok_0.95,bound_lo_0.95,bound_lo_ok_0.95,out_0.95,kernel_0.95,data_0.95,ortho_0.95,bound_0.99,bound_ok_0.99,bound_lo_0.99,bound_lo_ok_0.99,out_0.99,kernel_0.99,data_0.99,ortho_0.99,bound_0.999,bound_ok_0.999,bound_lo_0.999,bound_lo_ok_0.999,out_0.999,kernel_0.999,data_0.999,ortho_0.999,rho_align,rho_align_sigma
timm:efficientnet_b0.ra_in1k_random,conv_stem,0,3,32,9,27,27,307200,11377.777777777777,0.631192361407806,27.291974591904935,0.07305149871963532,27,0,27.291974591904935,True,0.6666666666666666,True,0.037037037037037035,True,0.07407407407407407,0.5555555555555556,0.07407407407407407,0.07407407407407407,0.7407407407407407,True,0.037037037037037035,True,0.1111111111111111,0.6666666666666666,0.14814814814814814,0.14814814814814814,0.8888888888888888,True,0.037037037037037035,True,0.2222222222222222,0.8148148148148148,0.25925925925925924,0.25925925925925924,1.0,True,0.037037037037037035,True,0.4444444444444444,0.9259259259259259,0.48148148148148145,0.48148148148148145,-0.10927960927960927,-0.16910866910866912
timm:efficientnet_b0.ra_in1k_random,blocks.0.0.conv_pw,3,32,16,1,32,16,307200,9600.0,0.7292119153931752,5.33378606499096,0.1604637126157449,16,0,5.33378606499096,True,0.8125,True,0.0625,True,0.125,0.6875,0.1875,0.1875,0.9375,True,0.0625,True,0.1875,0.75,0.3125,0.3125,1.0,True,0.0625,True,0.5,0.9375,1.0,0.6875,1.0,True,0.4375,True,0.8125,1.0,1.0,0.9375,0.3735294117647059,-0.2595307917888563
timm:efficientnet_b0.ra_in1k_random,blocks.1.0.conv_pw,4,16,96,1,16,16,307200,19200.0,0.9041110624769474,2.4612984041879304,0.12181353894777362,16,0,2.4612984041879304,True,0.375,True,0.0625,True,0.125,0.8125,0.125,0.125,0.5,True,0.0625,True,0.1875,0.9375,0.1875,0.1875,0.8125,True,0.1875,True,0.4375,1.0,0.5,0.5,1.0,True,0.5625,True,0.8125,1.0,0.8125,0.8125,0.07352941176470588,0.4264705882352941
timm:efficientnet_b0.ra_in1k_random,blocks.1.0.conv_pwl,7,96,24,1,96,24,307200,3200.0,0.8806953915845388,2.8648535965733735,0.10179222263921602,24,0,2.8648535965733735,True,0.5416666666666666,True,0.041666666666666664,True,0.16666666666666666,0.7916666666666666,0.125,0.16666666666666666,0.7083333333333334,True,0.041666666666666664,True,0.20833333333333334,0.875,0.20833333333333334,0.20833333333333334,0.9166666666666666,True,0.16666666666666666,True,0.5416666666666666,1.0,0.9166666666666666,0.5833333333333334,1.0,True,0.6666666666666666,True,0.9166666666666666,1.0,1.0,0.9583333333333334,0.05130434782608695,0.08198589256646772
timm:efficientnet_b0.ra_in1k_random,blocks.1.1.conv_pw,8,24,144,1,24,24,307200,12800.0,0.9050102183943496,2.299557197878545,0.10922055179762424,24,0,2.299557197878545,True,0.375,True,0.041666666666666664,True,0.16666666666666666,0.7916666666666666,0.16666666666666666,0.16666666666666666,0.5416666666666666,True,0.041666666666666664,True,0.20833333333333334,0.875,0.20833333333333334,0.20833333333333334,0.8333333333333334,True,0.20833333333333334,True,0.5416666666666666,1.0,0.5416666666666666,0.5416666666666666,1.0,True,0.6666666666666666,True,0.875,1.0,0.9166666666666666,0.9166666666666666,-0.13565217391304346,0.08608695652173912
timm:efficientnet_b0.ra_in1k_random,blocks.1.1.conv_pwl,11,144,24,1,144,24,307200,2133.3333333333335,0.9195876922700377,2.113545993364472,0.15646613369502546,24,0,2.113545993364472,True,0.4583333333333333,True,0.041666666666666664,True,0.125,0.8333333333333334,0.20833333333333334,0.16666666666666666,0.6666666666666666,True,0.08333333333333333,True,0.25,0.9166666666666666,0.5,0.2916666666666667,0.875,True,0.3333333333333333,True,0.625,1.0,1.0,0.6666666666666666,1.0,True,0.8333333333333334,True,0.9166666666666666,1.0,1.0,0.9583333333333334,0.39652173913043476,-0.1711679125472229
timm:efficientnet_b0.ra_in1k_random,blocks.2.0.conv_pw,12,24,144,1,24,24,307200,12800.0,0.9181731157391374,2.209210790783884,0.12262886523583881,24,0,2.209210790783884,True,0.4583333333333333,True,0.041666666666666664,True,0.16666666666666666,0.8333333333333334,0.16666666666666666,0.16666666666666666,0.625,True,0.08333333333333333,True,0.2916666666666667,0.9166666666666666,0.25,0.25,0.875,True,0.2916666666666667,True,0.625,1.0,0.6666666666666666,0.6666666666666666,1.0,True,0.7916666666666666,True,0.9583333333333334,1.0,0.9583333333333334,0.9583333333333334,-0.29739130434782607,-0.21130434782608692
timm:efficientnet_b0.ra_in1k_random,blocks.2.0.conv_pwl,15,144,40,1,144,40,307200,2133.3333333333335,0.8692517183104507,2.8790352323369905,0.24018297839788055,40,0,2.8790352323369905,True,0.8,True,0.05,True,0.3,0.775,0.45,0.35,0.9,True,0.125,True,0.45,0.875,0.9,0.525,1.0,True,0.425,True,0.775,0.975,1.0,0.85,1.0,True,0.875,True,0.975,1.0,1.0,1.0,0.33283302063789877,0.10737480909894703
timm:efficientnet_b0.ra_in1k_random,blocks.2.1.conv_pw,16,40,240,1,40,40,307200,7680.0,0.9202141539434752,2.254660893949591,0.23365585838740582,40,0,2.254660893949591,True,0.65,True,0.075,True,0.275,0.8,0.3,0.3,0.775,True,0.15,True,0.425,0.9,0.45,0.45,0.95,True,0.45,True,0.75,0.975,0.775,0.775,1.0,True,0.875,True,0.95,1.0,0.975,0.975,0.005065666041275799,0.04840525328330207
timm:efficientnet_b0.ra_in1k_random,blocks.2.1.conv_pwl,19,240,40,1,240,40,307200,1280.0,0.9162550857467539,2.20402874500169,0.5175202262711359,40,0,2.20402874500169,True,0.8,True,0.1,True,0.425,0.8,1.0,0.45,0.9,True,0.225,True,0.6,0.9,1.0,0.65,1.0,True,0.675,True,0.875,0.975,1.0,0.9,1.0,True,0.95,True,1.0,1.0,1.0,1.0,-0.2909943714821764,-0.04327505685862601
