model,layer,depth_index,C_in,C_out,k,d,r_max,n_samples,n_over_d,kernel_erank_over_rmax,kernel_cond_top_rmax,data_erank_over_rmax,rank_W,n_null,kappa,ostrowski_ok,bound_0.9,bound_ok_0.9,bound_lo_0.9,bound_lo_ok_0.9,out_0.9,kernel_0.9,data_0.9,ortho_0.9,bound_0.95,bound_ok_0.95,bound_lo_0.95,bound_lo_ok_0.95,out_0.95,kernel_0.95,data_0.95,ortho_0.95,bound_0.99,bound_ok_0.99,bound_lo_0.99,bound_lo_ok_0.99,out_0.99,kernel_0.99,data_0.99,ortho_0.99,bound_0.999,bound_ok_0.999,bound_lo_0.999,bound_lo_ok_0.999,out_0.999,kernel_0.999,data_0.999,ortho_0.999,rho_align,rho_align_sigma
timm:resnet34.a1_in1k_random,conv1,0,3,64,49,147,64,307200,2089.795918367347,0.7995035579005887,4.363542158811595,0.045387515519892764,64,0,4.363542158811595,True,0.453125,True,0.015625,True,0.0625,0.6875,0.0625,0.0625,0.578125,True,0.015625,True,0.09375,0.796875,0.109375,0.109375,0.796875,True,0.03125,True,0.3125,0.9375,0.421875,0.359375,0.953125,True,0.25,True,0.65625,1.0,0.953125,0.71875,-0.06785714285714285,-0.06957729304972224
timm:resnet34.a1_in1k_random,layer1.0.conv1,1,64,64,9,576,64,307200,533.3333333333334,0.942838801134492,1.962085346651645,0.15732923575413485,64,0,1.962085346651645,True,0.5625,True,0.046875,True,0.1875,0.828125,0.25,0.1875,0.75,True,0.109375,True,0.359375,0.90625,0.765625,0.375,0.953125,True,0.46875,True,0.765625,0.984375,1.0,0.796875,1.0,True,0.921875,True,0.96875,1.0,1.0,0.984375,0.08557692307692306,-0.08787324492000101
timm:resnet34.a1_in1k_random,layer1.0.conv2,2,64,64,9,576,64,307200,533.3333333333334,0.9459110042482001,1.8644199400280743,0.3698689893533965,64,0,1.8644199400280743,True,0.703125,True,0.109375,True,0.359375,0.828125,0.828125,0.359375,0.828125,True,0.234375,True,0.5625,0.90625,1.0,0.578125,0.96875,True,0.6875,True,0.859375,0.984375,1.0,0.890625,1.0,True,0.953125,True,0.984375,1.0,1.0,1.0,-0.2423076923076923,-0.02121656242935725
timm:resnet34.a1_in1k_random,layer1.1.conv1,3,64,64,9,576,64,307200,533.3333333333334,0.945526051300783,1.9871591627767622,0.15882623581394653,64,0,1.9871591627767622,True,0.53125,True,0.046875,True,0.171875,0.828125,0.25,0.1875,0.734375,True,0.109375,True,0.328125,0.90625,0.78125,0.359375,0.9375,True,0.4375,True,0.75,0.984375,1.0,0.78125,1.0,True,0.90625,True,0.96875,1.0,1.0,0.984375,0.1402930402930403,0.0021130660839424314
timm:resnet34.a1_in1k_random,layer1.1.conv2,4,64,64,9,576,64,307200,533.3333333333334,0.9435226062758851,1.956121769814786,0.20468177894963194,64,0,1.956121769814786,True,0.671875,True,0.078125,True,0.296875,0.828125,0.453125,0.3125,0.8125,True,0.171875,True,0.5,0.90625,1.0,0.53125,0.96875,True,0.609375,True,0.84375,0.984375,1.0,0.859375,1.0,True,0.953125,True,0.984375,1.0,1.0,0.984375,-0.04033882783882784,-0.005565895561751188
timm:resnet34.a1_in1k_random,layer1.2.conv1,5,64,64,9,576,64,307200,533.3333333333334,0.9460898977928107,2.001800660987801,0.15764127994623292,64,0,2.001800660987801,True,0.515625,True,0.046875,True,0.15625,0.828125,0.25,0.15625,0.71875,True,0.09375,True,0.328125,0.90625,0.765625,0.328125,0.9375,True,0.40625,True,0.734375,0.984375,1.0,0.78125,1.0,True,0.90625,True,0.96875,1.0,1.0,0.984375,-0.009615384615384614,0.015730037927310175
timm:resnet34.a1_in1k_random,layer1.2.conv2,6,64,64,9,576,64,307200,533.3333333333334,0.9424199838261446,1.957025618417437,0.2032651059405063,64,0,1.957025618417437,True,0.640625,True,0.0625,True,0.234375,0.828125,0.4375,0.25,0.796875,True,0.125,True,0.4375,0.90625,1.0,0.46875,0.953125,True,0.5625,True,0.8125,0.984375,1.0,0.84375,1.0,True,0.9375,True,0.984375,1.0,1.0,0.984375,0.04963369963369963,0.015433417772887611
timm:resnet34.a1_in1k_random,layer2.0.conv1,7,64,128,9,576,128,307200,533.3333333333334,0.8935020617975772,2.836575601095547,0.07785665631324716,128,0,2.836575601095547,True,0.6328125,True,0.015625,True,0.0859375,0.7734375,0.1171875,0.09375,0.796875,True,0.0234375,True,0.203125,0.875,0.3671875,0.2265625,0.9609375,True,0.140625,True,0.6328125,0.96875,1.0,0.7109375,1.0,True,0.7578125,True,0.9375,1.0,1.0,0.96875,0.0624427760483428,-0.015545613241905912
timm:resnet34.a1_in1k_random,layer2.0.conv2,8,128,128,9,1152,128,307200,266.6666666666667,0.9458038696115353,1.9420557070762086,0.19191837475194012,128,0,1.9420557070762086,True,0.6484375,True,0.0546875,True,0.2421875,0.828125,0.5,0.265625,0.8046875,True,0.140625,True,0.4453125,0.90625,1.0,0.484375,0.9609375,True,0.578125,True,0.8203125,0.984375,1.0,0.8515625,1.0,True,0.9375,True,0.9765625,1.0,1.0,0.984375,0.08351835744369163,0.01746354877644242
timm:resnet34.a1_in1k_random,layer2.0.downsample.0,9,64,128,1,64,64,307200,4800.0,0.7879740487348917,4.8945035852542595,0.08821635278867676,64,0,4.8945035852542595,True,0.84375,True,0.015625,True,0.109375,0.671875,0.09375,0.09375,0.921875,True,0.015625,True,0.203125,0.78125,0.21875,0.21875,0.984375,True,0.0625,True,0.578125,0.9375,0.6875,0.6875,1.0,True,0.453125,True,0.890625,1.0,0.96875,0.96875,-0.12417582417582416,-0.11945970695970695
