model,layer,depth_index,C_in,C_out,k,d,r_max,n_samples,n_over_d,kernel_erank_over_rmax,kernel_cond_top_rmax,data_erank_over_rmax,rank_W,n_null,kappa,ostrowski_ok,bound_0.9,bound_ok_0.9,bound_lo_0.9,bound_lo_ok_0.9,out_0.9,kernel_0.9,data_0.9,ortho_0.9,bound_0.95,bound_ok_0.95,bound_lo_0.95,bound_lo_ok_0.95,out_0.95,kernel_0.95,data_0.95,ortho_0.95,bound_0.99,bound_ok_0.99,bound_lo_0.99,bound_lo_ok_0.99,out_0.99,kernel_0.99,data_0.99,ortho_0.99,bound_0.999,bound_ok_0.999,bound_lo_0.999,bound_lo_ok_0.999,out_0.999,kernel_0.999,data_0.999,ortho_0.999,rho_align,rho_align_sigma
timm:mobilenetv3_large_100.ra_in1k_random,conv_stem,0,3,16,9,27,16,307200,11377.777777777777,0.7233913827756886,9.21936863004294,0.12303529886434711,16,0,9.21936863004294,True,0.6875,True,0.0625,True,0.1875,0.625,0.125,0.125,0.75,True,0.0625,True,0.25,0.75,0.25,0.25,0.875,True,0.0625,True,0.4375,0.875,0.4375,0.4375,1.0,True,0.125,True,0.625,1.0,0.8125,0.75,-0.3058823529411765,0.1794871794871795
timm:mobilenetv3_large_100.ra_in1k_random,blocks.0.0.conv_pw,1,16,16,1,16,16,307200,19200.0,0.6241601938984372,94.45922603843864,0.24922137110488557,16,0,94.45922603843864,True,1.0,True,0.0625,True,0.25,0.5625,0.375,0.375,1.0,True,0.0625,True,0.375,0.6875,0.5625,0.5625,1.0,True,0.0625,True,0.625,0.8125,0.8125,0.8125,1.0,True,0.0625,True,0.875,0.9375,0.9375,0.9375,0.02941176470588235,-0.02941176470588235
timm:mobilenetv3_large_100.ra_in1k_random,blocks.1.0.conv_pw,2,16,64,1,16,16,307200,19200.0,0.876180468420026,2.561409708628112,0.19510169752887926,16,0,2.561409708628112,True,0.625,True,0.0625,True,0.1875,0.8125,0.25,0.25,0.8125,True,0.125,True,0.3125,0.875,0.4375,0.4375,0.9375,True,0.375,True,0.6875,1.0,0.75,0.75,1.0,True,0.8125,True,0.9375,1.0,1.0,1.0,0.4617647058823529,-0.14411764705882352
timm:mobilenetv3_large_100.ra_in1k_random,blocks.1.0.conv_pwl,3,64,24,1,64,24,307200,4800.0,0.8291000899413645,3.396772045245746,0.1524132002531158,24,0,3.396772045245746,True,0.625,True,0.041666666666666664,True,0.125,0.7083333333333334,0.16666666666666666,0.125,0.7916666666666666,True,0.041666666666666664,True,0.20833333333333334,0.8333333333333334,0.2916666666666667,0.25,0.9583333333333334,True,0.125,True,0.5416666666666666,0.9583333333333334,0.9583333333333334,0.625,1.0,True,0.625,True,0.875,1.0,1.0,0.9583333333333334,0.43478260869565216,-0.1320970695970696
timm:mobilenetv3_large_100.ra_in1k_random,blocks.1.1.conv_pw,4,24,72,1,24,24,307200,12800.0,0.8315590230710935,3.674907405793901,0.1116709904412524,24,0,3.674907405793901,True,0.5833333333333334,True,0.041666666666666664,True,0.125,0.75,0.125,0.125,0.7083333333333334,True,0.041666666666666664,True,0.16666666666666666,0.8333333333333334,0.20833333333333334,0.20833333333333334,0.9166666666666666,True,0.08333333333333333,True,0.4583333333333333,0.9583333333333334,0.5416666666666666,0.5416666666666666,1.0,True,0.5,True,0.8333333333333334,1.0,0.875,0.875,-0.00608695652173913,0.04347826086956521
timm:mobilenetv3_large_100.ra_in1k_random,blocks.1.1.conv_pwl,5,72,24,1,72,24,307200,4266.666666666667,0.8494830735360743,3.54177809443309,0.1456885540485172,24,0,3.54177809443309,True,0.7083333333333334,True,0.041666666666666664,True,0.16666666666666666,0.75,0.16666666666666666,0.16666666666666666,0.8333333333333334,True,0.041666666666666664,True,0.2916666666666667,0.8333333333333334,0.375,0.2916666666666667,0.9583333333333334,True,0.16666666666666666,True,0.625,0.9583333333333334,1.0,0.6666666666666666,1.0,True,0.625,True,0.9166666666666666,1.0,1.0,0.9583333333333334,-0.3208695652173913,-0.026191934213979525
timm:mobilenetv3_large_100.ra_in1k_random,blocks.2.0.conv_pw,6,24,72,1,24,24,307200,12800.0,0.8376480569282546,3.431014352392066,0.18567231740493317,24,0,3.431014352392066,True,0.7916666666666666,True,0.041666666666666664,True,0.25,0.75,0.25,0.25,0.875,True,0.041666666666666664,True,0.4166666666666667,0.8333333333333334,0.4166666666666667,0.4166666666666667,1.0,True,0.25,True,0.7083333333333334,0.9583333333333334,0.7916666666666666,0.7916666666666666,1.0,True,0.75,True,0.9583333333333334,1.0,1.0,1.0,-0.3869565217391304,0.1060869565217391
timm:mobilenetv3_large_100.ra_in1k_random,blocks.2.0.conv_pwl,9,72,40,1,72,40,307200,4266.666666666667,0.7618593921263044,5.234036062577366,0.2320835699474181,40,0,5.234036062577366,True,0.85,True,0.025,True,0.225,0.65,0.375,0.275,0.9,True,0.025,True,0.375,0.775,0.55,0.425,0.975,True,0.125,True,0.625,0.925,1.0,0.725,1.0,True,0.55,True,0.875,1.0,1.0,0.95,0.08442776735459663,0.010032799536947716
timm:mobilenetv3_large_100.ra_in1k_random,blocks.2.1.conv_pw,10,40,120,1,40,40,307200,7680.0,0.8302183405788632,3.7360995440989773,0.16645216999450946,40,0,3.7360995440989773,True,0.65,True,0.025,True,0.2,0.725,0.225,0.225,0.75,True,0.05,True,0.325,0.825,0.375,0.375,0.9,True,0.2,True,0.575,0.95,0.625,0.625,1.0,True,0.575,True,0.825,1.0,0.875,0.875,0.07467166979362101,-0.0827392120075047
timm:mobilenetv3_large_100.ra_in1k_random,blocks.2.1.conv_pwl,13,120,40,1,120,40,307200,2560.0,0.8476477822694012,3.381927717537403,0.24522586608123698,40,0,3.381927717537403,True,0.85,True,0.025,True,0.325,0.725,0.55,0.375,0.925,True,0.075,True,0.475,0.85,0.925,0.55,1.0,True,0.35,True,0.775,0.975,1.0,0.85,1.0,True,0.825,True,0.975,1.0,1.0,1.0,0.08536585365853659,-0.029155390969947306
