model,layer,depth_index,C_in,C_out,k,d,r_max,n_samples,n_over_d,kernel_erank_over_rmax,kernel_cond_top_rmax,data_erank_over_rmax,rank_W,n_null,kappa,ostrowski_ok,bound_0.9,bound_ok_0.9,bound_lo_0.9,bound_lo_ok_0.9,out_0.9,kernel_0.9,data_0.9,ortho_0.9,bound_0.95,bound_ok_0.95,bound_lo_0.95,bound_lo_ok_0.95,out_0.95,kernel_0.95,data_0.95,ortho_0.95,bound_0.99,bound_ok_0.99,bound_lo_0.99,bound_lo_ok_0.99,out_0.99,kernel_0.99,data_0.99,ortho_0.99,bound_0.999,bound_ok_0.999,bound_lo_0.999,bound_lo_ok_0.999,out_0.999,kernel_0.999,data_0.999,ortho_0.999,rho_align,rho_align_sigma
vgg16_bn_random,features.0,0,3,64,9,27,27,307200,11377.777777777777,0.8021680669954269,3.7652688176304583,0.0730359003287851,27,0,3.7652688176304583,True,0.2962962962962963,True,0.037037037037037035,True,0.07407407407407407,0.7037037037037037,0.07407407407407407,0.07407407407407407,0.37037037037037035,True,0.037037037037037035,True,0.1111111111111111,0.8148148148148148,0.14814814814814814,0.14814814814814814,0.5185185185185185,True,0.07407407407407407,True,0.25925925925925924,0.9629629629629629,0.25925925925925924,0.25925925925925924,0.7777777777777778,True,0.2222222222222222,True,0.48148148148148145,1.0,0.48148148148148145,0.48148148148148145,-0.1398046398046398,-0.10805860805860806
vgg16_bn_random,features.3,1,64,64,9,576,64,307200,533.3333333333334,0.9459710227939603,1.8992015880211113,0.0725938155964177,64,0,1.8992015880211113,True,0.265625,True,0.03125,True,0.09375,0.828125,0.09375,0.09375,0.4375,True,0.046875,True,0.171875,0.90625,0.203125,0.1875,0.796875,True,0.234375,True,0.5,0.984375,1.0,0.53125,0.984375,True,0.75,True,0.890625,1.0,1.0,0.90625,0.1124084249084249,-0.04253686310155027
vgg16_bn_random,features.7,2,64,128,9,576,128,307200,533.3333333333334,0.892072616519906,2.730167808766355,0.07715992221384738,128,0,2.730167808766355,True,0.609375,True,0.015625,True,0.1171875,0.7734375,0.125,0.1171875,0.7734375,True,0.0234375,True,0.2421875,0.875,0.3515625,0.2578125,0.9453125,True,0.1796875,True,0.640625,0.96875,1.0,0.703125,1.0,True,0.765625,True,0.9375,1.0,1.0,0.9609375,-0.03025430324116462,0.06568470097706779
vgg16_bn_random,features.10,3,128,128,9,1152,128,307200,266.6666666666667,0.9458712640808005,1.9415680199666547,0.10950634211246554,128,0,1.9415680199666547,True,0.5390625,True,0.0234375,True,0.171875,0.828125,0.2578125,0.171875,0.7265625,True,0.078125,True,0.3515625,0.90625,0.8359375,0.3671875,0.9296875,True,0.4609375,True,0.7578125,0.984375,1.0,0.7890625,0.9921875,True,0.90625,True,0.96875,1.0,1.0,0.9765625,-0.10049670390038454,-0.027377279710995905
vgg16_bn_random,features.14,4,128,256,9,1152,256,307200,266.6666666666667,0.8950646737795102,2.7896030563515812,0.05831293390388002,256,0,2.7896030563515812,True,0.6796875,True,0.0078125,True,0.10546875,0.7734375,0.140625,0.109375,0.8203125,True,0.015625,True,0.26171875,0.87109375,0.53125,0.29296875,0.95703125,True,0.1796875,True,0.6796875,0.96875,1.0,0.75390625,0.99609375,True,0.796875,True,0.9453125,1.0,1.0,0.96875,0.037514305333028145,-0.0034359874515749707
vgg16_bn_random,features.17,5,256,256,9,2304,256,307200,133.33333333333334,0.9456172193660065,1.9722384282036587,0.06213161990629016,256,0,1.9722384282036587,True,0.515625,True,0.015625,True,0.1328125,0.82421875,0.19140625,0.12890625,0.7109375,True,0.05078125,True,0.3125,0.90625,0.76171875,0.32421875,0.9296875,True,0.41796875,True,0.73828125,0.98046875,1.0,0.76953125,0.9921875,True,0.89453125,True,0.96484375,1.0,1.0,0.97265625,-0.04738570038910505,-0.019728236433930103
vgg16_bn_random,features.20,6,256,256,9,2304,256,307200,133.33333333333334,0.9456275195150858,1.953655208126639,0.06140271922914618,256,0,1.953655208126639,True,0.53515625,True,0.015625,True,0.13671875,0.82421875,0.20703125,0.14453125,0.72265625,True,0.0546875,True,0.328125,0.90625,0.8515625,0.34765625,0.93359375,True,0.44921875,True,0.75,0.98046875,1.0,0.78125,0.99609375,True,0.90625,True,0.96484375,1.0,1.0,0.97265625,-0.0016193636987869076,0.023226075401632025
vgg16_bn_random,features.24,7,256,512,9,2304,512,307200,133.33333333333334,0.8947119645098448,2.737412284649477,0.03474790345255791,512,0,2.737412284649477,True,0.6484375,True,0.005859375,True,0.072265625,0.7734375,0.087890625,0.078125,0.796875,True,0.009765625,True,0.224609375,0.87109375,0.447265625,0.25390625,0.94921875,True,0.150390625,True,0.66015625,0.96875,1.0,0.732421875,0.99609375,True,0.787109375,True,0.939453125,0.998046875,1.0,0.9609375,0.04352857386045021,0.029637555125993045
vgg16_bn_random,features.27,8,512,512,9,4608,512,307200,66.66666666666667,0.9458955759274176,1.9753097529395978,0.04465519867785705,512,0,1.9753097529395978,True,0.50390625,True,0.01171875,True,0.10546875,0.82421875,0.146484375,0.10546875,0.701171875,True,0.037109375,True,0.291015625,0.904296875,0.732421875,0.306640625,0.923828125,True,0.400390625,True,0.728515625,0.98046875,1.0,0.759765625,0.9921875,True,0.890625,True,0.9609375,0.998046875,1.0,0.96875,-0.04267088955264875,-0.015069366779818313
vgg16_bn_random,features.30,9,512,512,9,4608,512,307200,66.66666666666667,0.9459180597714631,1.9934203807452247,0.045345932730968694,512,0,1.9934203807452247,True,0.5546875,True,0.01171875,True,0.12890625,0.82421875,0.1796875,0.1328125,0.73828125,True,0.04296875,True,0.333984375,0.904296875,0.861328125,0.353515625,0.935546875,True,0.44140625,True,0.755859375,0.98046875,1.0,0.7890625,0.994140625,True,0.904296875,True,0.966796875,0.998046875,1.0,0.97265625,0.004908282406930567,-0.006704847969582177
vgg16_bn_random,features.34,10,512,512,9,4608,512,307200,66.66666666666667,0.9458616268961448,1.9730036007931642,0.03731836654705599,512,0,1.9730036007931642,True,0.501953125,True,0.0078125,True,0.07421875,0.822265625,0.091796875,0.078125,0.716796875,True,0.025390625,True,0.255859375,0.904296875,0.701171875,0.27734375,0.93359375,True,0.38671875,True,0.734375,0.98046875,1.0,0.77734375,0.994140625,True,0.90234375,True,0.962890625,0.998046875,1.0,0.97265625,0.06111972997562399,-0.020345143158379698
vgg16_bn_random,features.37,11,512,512,9,4608,512,307200,66.66666666666667,0.9458615134834788,1.9708430360095164,0.03850811227309601,512,0,1.9708430360095164,True,0.48046875,True,0.009765625,True,0.076171875,0.822265625,0.095703125,0.076171875,0.693359375,True,0.025390625,True,0.25390625,0.904296875,0.62890625,0.26953125,0.923828125,True,0.373046875,True,0.71875,0.98046875,1.0,0.755859375,0.9921875,True,0.890625,True,0.958984375,0.998046875,1.0,0.96875,-0.058019978599466705,0.007114498680618145
vgg16_bn_random,features.40,12,512,512,9,4608,512,307200,66.66666666666667,0.9457297887842294,1.9967668665072547,0.03862085081217661,512,0,1.9967668665072547,True,0.498046875,True,0.009765625,True,0.0859375,0.822265625,0.10546875,0.0859375,0.703125,True,0.02734375,True,0.267578125,0.904296875,0.642578125,0.283203125,0.92578125,True,0.375,True,0.72265625,0.98046875,1.0,0.7578125,0.9921875,True,0.888671875,True,0.9609375,0.998046875,1.0,0.96875,-0.05431002234467447,0.015396573451166042
