model,layer,depth_index,C_in,C_out,k,d,r_max,n_samples,n_over_d,kernel_erank_over_rmax,kernel_cond_top_rmax,data_erank_over_rmax,rank_W,n_null,kappa,ostrowski_ok,bound_0.9,bound_ok_0.9,out_0.9,kernel_0.9,data_0.9,ortho_0.9,bound_0.95,bound_ok_0.95,out_0.95,kernel_0.95,data_0.95,ortho_0.95,bound_0.99,bound_ok_0.99,out_0.99,kernel_0.99,data_0.99,ortho_0.99,bound_0.999,bound_ok_0.999,out_0.999,kernel_0.999,data_0.999,ortho_0.999
resnet50,conv1,0,3,64,49,147,64,307200,2089.795918367347,0.3476835789543991,49137525.02801445,0.0455118093993365,63,1,116.40660399966633,True,1.0,True,0.09375,0.296875,0.0625,0.046875,1.0,True,0.15625,0.375,0.109375,0.09375,1.0,True,0.296875,0.515625,0.421875,0.34375,1.0,True,0.484375,0.75,0.953125,0.75
resnet50,layer1.0.conv1,1,64,64,1,64,64,307200,4800.0,0.34980363927901564,1082914358.6416736,0.22033945437689073,59,5,158.49778147314186,True,0.984375,True,0.125,0.28125,0.296875,0.296875,0.984375,True,0.171875,0.359375,0.453125,0.453125,0.984375,True,0.28125,0.546875,0.71875,0.71875,0.984375,True,0.5,0.75,0.90625,0.90625
resnet50,layer1.0.conv2,2,64,64,9,576,64,307200,533.3333333333334,0.38963996382604293,19575610.963109102,0.49698961571250294,61,3,133.47915044001138,True,1.0,True,0.171875,0.34375,1.0,0.296875,1.0,True,0.234375,0.46875,1.0,0.46875,1.0,True,0.390625,0.734375,1.0,0.8125,1.0,True,0.71875,0.90625,1.0,0.984375
resnet50,layer1.0.conv3,3,64,256,1,64,64,307200,4800.0,0.40916222509275546,23647566.435894266,0.202523139881367,61,3,165.95834825431245,True,0.9375,True,0.09375,0.359375,0.28125,0.28125,0.9375,True,0.15625,0.46875,0.375,0.375,0.9375,True,0.28125,0.71875,0.65625,0.65625,0.9375,True,0.453125,0.890625,0.875,0.875
resnet50,layer1.0.downsample.0,4,64,256,1,64,64,307200,4800.0,0.49177611950765643,27752589.01871842,0.2202692553215745,63,1,49.84906145009802,True,0.984375,True,0.125,0.4375,0.296875,0.296875,0.984375,True,0.171875,0.53125,0.453125,0.453125,0.984375,True,0.359375,0.75,0.71875,0.71875,0.984375,True,0.625,0.921875,0.90625,0.90625
resnet50,layer1.1.conv1,5,256,64,1,256,64,307200,1200.0,0.4711143853956756,9197826.03604968,0.6619223911081487,60,4,12.30802698750097,True,0.984375,True,0.15625,0.4375,0.71875,0.390625,1.0,True,0.234375,0.5625,1.0,0.546875,1.0,True,0.4375,0.796875,1.0,0.828125,1.0,True,0.703125,0.921875,1.0,0.984375
resnet50,layer1.1.conv2,6,64,64,9,576,64,307200,533.3333333333334,0.5897492593466381,7.552455316220076,1.0,64,0,7.552455316220076,True,1.0,True,0.390625,0.5625,1.0,0.59375,1.0,True,0.515625,0.71875,1.0,0.75,1.0,True,0.765625,0.90625,1.0,0.9375,1.0,True,0.953125,1.0,1.0,1.0
resnet50,layer1.1.conv3,7,64,256,1,64,64,307200,4800.0,0.6055879127355208,10.54167291344516,0.5616469746642898,64,0,10.54167291344516,True,1.0,True,0.296875,0.53125,0.53125,0.53125,1.0,True,0.375,0.65625,0.6875,0.6875,1.0,True,0.609375,0.875,0.90625,0.90625,1.0,True,0.875,0.984375,1.0,1.0
resnet50,layer1.2.conv1,8,256,64,1,256,64,307200,1200.0,0.48063432494938996,11.18354017837458,0.959030338699528,64,0,11.18354017837458,True,1.0,True,0.203125,0.46875,1.0,0.5,1.0,True,0.296875,0.625,1.0,0.671875,1.0,True,0.53125,0.875,1.0,0.90625,1.0,True,0.84375,0.984375,1.0,1.0
resnet50,layer1.2.conv2,9,64,64,9,576,64,307200,533.3333333333334,0.6625404756316101,6.060380180214281,1.0,64,0,6.060380180214281,True,0.984375,True,0.390625,0.609375,1.0,0.65625,1.0,True,0.515625,0.765625,1.0,0.796875,1.0,True,0.796875,0.9375,1.0,0.953125,1.0,True,0.96875,1.0,1.0,1.0
