layer,C_ours,C_garg,k_ours,k_garg,ratio_ours,ratio_garg,n_over_C,abs_diff
features.0,64,64,14,11,0.21875,0.171875,2500.0,0.046875
features.3,64,64,47,42,0.734375,0.65625,2500.0,0.078125
features.7,128,128,107,103,0.8359375,0.8046875,1250.0,0.03125
features.10,128,128,121,118,0.9453125,0.921875,1250.0,0.0234375
features.14,256,256,238,238,0.9296875,0.9296875,625.0,0.0
features.17,256,256,247,249,0.96484375,0.97265625,625.0,0.0078125
features.20,256,256,250,249,0.9765625,0.97265625,625.0,0.00390625
features.24,512,512,457,424,0.892578125,0.828125,312.5,0.064453125
features.27,512,512,373,271,0.728515625,0.529296875,312.5,0.19921875
features.30,512,512,265,160,0.517578125,0.3125,312.5,0.205078125
features.34,512,512,40,36,0.078125,0.0703125,78.125,0.0078125
features.37,512,512,40,38,0.078125,0.07421875,78.125,0.00390625
features.40,512,512,40,42,0.078125,0.08203125,78.125,0.00390625
