layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,dataset,head,n_classes,test_acc
features.0,conv,0,64,1,False,27.0,0,32.0,32.0,160000,11.756148584109456,5.249990586786643,0.0820311029185413,6.901750311755428,0.10783984862117857,3.216899436832135,0.05026405370050211,15.590814814980734,10,64,0.9650428013983436,43,6,8,11,14,0.09375,0.125,0.171875,0.21875,2500.0,cifar10,small,10,94.11
features.3,conv,1,64,1,False,64.0,0,32.0,32.0,160000,7.585553178787606,12.343789573285209,0.1928717120825814,17.110843640029508,0.26735693187546106,6.599998558148166,0.1031249774710651,4.43051847142246,10,64,0.9653371021095887,64,15,19,30,47,0.234375,0.296875,0.46875,0.734375,2500.0,cifar10,small,10,94.11
features.7,conv,2,128,1,False,128.0,0,16.0,16.0,160000,11.832480452025347,18.155585941638517,0.1418405151690509,29.75928209248677,0.2324943913475529,6.526172012104146,0.05098571884456364,3.0473994879223696,10,128,0.9549988782140222,128,28,39,68,107,0.21875,0.3046875,0.53125,0.8359375,1250.0,cifar10,small,10,94.11
features.10,conv,3,128,1,False,128.0,0,16.0,16.0,160000,6.534292746278,24.020025986466194,0.18765645301926714,37.6370662284128,0.294039579909475,9.807141283254877,0.07661829127542873,2.3710058279566963,10,128,0.9744252678242343,128,36,51,89,121,0.28125,0.3984375,0.6953125,0.9453125,1250.0,cifar10,small,10,94.11
features.14,conv,4,256,1,False,256.0,0,8.0,8.0,160000,12.133281422373692,32.156335066541814,0.12561068385367896,63.25039608595714,0.2470718597107701,8.640795203197447,0.03375310626249003,2.16643946350815,10,256,0.9513780698978009,256,67,97,171,238,0.26171875,0.37890625,0.66796875,0.9296875,625.0,cifar10,small,10,94.11
features.17,conv,5,256,1,False,256.0,0,8.0,8.0,160000,4.775305128247409,29.869129393055573,0.11667628669162333,68.92984852871142,0.269257220815279,7.215325321261417,0.02818486453617741,1.8769620564069502,10,256,0.9647829160575428,256,78,115,196,247,0.3046875,0.44921875,0.765625,0.96484375,625.0,cifar10,small,10,94.11
features.20,conv,6,256,1,False,256.0,0,8.0,8.0,160000,2.5390674636424295,50.69630154561229,0.19803242791254802,88.69901560902738,0.3464805297227632,14.132959352721457,0.05520687247156819,1.7477747098878376,10,256,0.9664921813242963,256,91,131,210,250,0.35546875,0.51171875,0.8203125,0.9765625,625.0,cifar10,small,10,94.11
features.24,conv,7,512,1,False,512.0,0,4.0,4.0,160000,4.440633928820432,42.836334440301925,0.0836647157037147,86.19610270691508,0.16835176309944352,11.365571691550427,0.022198382210059427,2.1967578948553026,10,512,0.9658983492996626,512,91,140,291,457,0.177734375,0.2734375,0.568359375,0.892578125,312.5,cifar10,small,10,94.11
features.27,conv,8,512,1,False,512.0,0,4.0,4.0,160000,1.4061511825601833,22.114418632123638,0.04319222389086648,44.655742123310546,0.08721824633459091,7.069113649533936,0.013806862596745968,2.59776432670697,10,512,0.9801950324900369,512,47,73,171,373,0.091796875,0.142578125,0.333984375,0.728515625,312.5,cifar10,small,10,94.11
features.30,conv,9,512,1,False,512.0,0,4.0,4.0,160000,0.9142503302216037,25.157738628863136,0.04913620825949831,42.53882955636553,0.08308365147727642,8.100507986494922,0.015821304661122894,3.157409908053479,10,512,0.9818471883373193,512,39,55,112,265,0.076171875,0.107421875,0.21875,0.517578125,312.5,cifar10,small,10,94.11
features.34,conv,10,512,1,False,512.0,0,2.0,2.0,40000,0.742024727972144,17.51333027826154,0.034205723199729574,22.9582670682987,0.0448403653677709,8.741803119034405,0.01707383421686407,3.885364500881355,10,512,0.968338160532565,512,20,25,34,40,0.0390625,0.048828125,0.06640625,0.078125,78.125,cifar10,small,10,94.11
features.37,conv,11,512,1,False,512.0,0,2.0,2.0,40000,0.19834560530187417,21.07586129458039,0.04116379159097732,26.986998951276497,0.05270898232671191,10.983934532185293,0.0214529971331744,4.957548550605842,10,512,0.9779409177989082,512,24,30,37,40,0.046875,0.05859375,0.072265625,0.078125,78.125,cifar10,small,10,94.11
features.40,conv,12,512,1,False,512.0,0,2.0,2.0,40000,0.277669610184858,29.341262283001832,0.05730715289648795,34.40902221484476,0.06720512151336867,13.640458896739572,0.026641521282694477,5.720410561878772,10,512,0.9828652091298411,512,32,35,39,40,0.0625,0.068359375,0.076171875,0.078125,78.125,cifar10,small,10,94.11
classifier,linear,13,10,1,False,,0,,,10000,93.43138855897676,7.757634120798681,0.7757634120798681,8.398483702013941,0.8398483702013941,4.4588539086859456,0.4458853908685946,,10,10,,10,8,9,9,9,0.8,0.9,0.9,0.9,1000.0,cifar10,small,10,94.11
