layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,model
features.conv0,conv,0,64,1,False,64.0,0,112.0,112.0,512,159.87011669479944,1.8894717811298058,0.029522996580153216,3.0166632818677552,0.047135363779183675,1.4222412574414227,0.02222251964752223,3.5527725203821285,10,64,0.9378298935374344,64,3,6,17,38,0.046875,0.09375,0.265625,0.59375,1,timm:densenet121.tv_in1k_random
features.conv0,conv,0,64,1,False,64.0,0,112.0,112.0,512,159.87011669479944,1.8894717811298058,0.029522996580153216,3.0166632818677552,0.047135363779183675,1.4222412574414227,0.02222251964752223,3.5527725203821285,10,64,0.9378298935374344,64,3,6,17,38,0.046875,0.09375,0.265625,0.59375,2,timm:densenet121.tv_in1k_random
features.conv0,conv,0,64,1,False,64.0,0,112.0,112.0,512,159.87011669479944,1.8894717811298058,0.029522996580153216,3.0166632818677552,0.047135363779183675,1.4222412574414227,0.02222251964752223,3.5527725203821285,10,64,0.9378298935374344,64,3,6,17,38,0.046875,0.09375,0.265625,0.59375,5,timm:densenet121.tv_in1k_random
features.conv0,conv,0,64,1,False,64.0,0,112.0,112.0,1024,169.37326731899904,1.8222997261789358,0.02847343322154587,3.1575809768928083,0.04933720276395013,1.3755035444731263,0.021492242882392598,3.4065969360234245,10,64,0.9294464350522685,64,4,7,21,41,0.0625,0.109375,0.328125,0.640625,10,timm:densenet121.tv_in1k_random
features.conv0,conv,0,64,1,False,64.0,0,112.0,112.0,2048,171.6706444671565,1.812481990236005,0.028320031097437578,3.1797826740532886,0.049684104282082635,1.3678485249964336,0.021372633203069275,3.3728907206389573,10,64,0.9317706610309062,64,4,7,21,41,0.0625,0.109375,0.328125,0.640625,25,timm:densenet121.tv_in1k_random
features.conv0,conv,0,64,1,False,64.0,0,112.0,112.0,3584,166.5706030325307,1.7443302101938551,0.027255159534278987,3.0791335225138154,0.048111461289278366,1.3364765117922472,0.020882445496753863,3.315127297850884,10,64,0.9303723665325231,64,4,7,21,42,0.0625,0.109375,0.328125,0.65625,50,timm:densenet121.tv_in1k_random
features.conv0,conv,0,64,1,False,64.0,0,112.0,112.0,6656,165.868658392005,1.7308220723783714,0.027044094880912053,3.036668837086222,0.047447950579472216,1.3313529861947113,0.020802390409292364,3.2669337414422497,10,64,0.9292503709150353,64,4,7,21,42,0.0625,0.109375,0.328125,0.65625,100,timm:densenet121.tv_in1k_random
features.conv0,conv,0,64,1,False,64.0,0,112.0,112.0,16384,163.49289759225235,1.7271915542599747,0.026987368035312105,3.016790496038778,0.047137351500605905,1.3301691237426199,0.020783892558478435,3.255855856807021,10,64,0.9300988995254236,64,4,7,21,42,0.0625,0.109375,0.328125,0.65625,250,timm:densenet121.tv_in1k_random
features.norm0.act,act,1,64,1,False,,0,112.0,112.0,512,54.312841008553995,3.202231377752985,0.05003486527739039,6.682300120936517,0.10441093938963308,1.8925709645247035,0.029571421320698493,2.023243084214528,10,64,0.9788565972091595,64,8,17,40,60,0.125,0.265625,0.625,0.9375,1,timm:densenet121.tv_in1k_random
features.norm0.act,act,1,64,1,False,,0,112.0,112.0,512,54.312841008553995,3.202231377752985,0.05003486527739039,6.682300120936517,0.10441093938963308,1.8925709645247035,0.029571421320698493,2.023243084214528,10,64,0.9788565972091595,64,8,17,40,60,0.125,0.265625,0.625,0.9375,2,timm:densenet121.tv_in1k_random
