layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,model,weights,source,n_over_C,n_over_C_ok,k_star_rmax_0.9,k_star_rmax_0.95,k_star_rmax_0.99,k_star_rmax_0.999,r_max_over_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,pooled_n_over_C_ok
features.conv0,conv,0,64,1,False,64.0,0,112.0,112.0,102400,162.3863737535351,1.7390294874608132,0.027172335741575206,3.02077506632959,0.04719961041139984,1.3361588848080301,0.02087748257512547,3.2458031460620553,10,64,0.9313414761642755,64,4,7,21,42,0.0625,0.109375,0.328125,0.65625,timm:densenet121.tv_in1k_random,random_init(seed=1),imagenet_val[6400],1600.0,True,0.0625,0.109375,0.328125,0.65625,1.0,6400.0,42.89472040343797,1.5718738848418181,0.024560529450653408,1.8637451665434155,0.029121018227240867,1.2965103721018487,0.020257974564091386,6.578081732651454,10.0,64.0,0.9866490790292309,52.0,2.0,2.0,3.0,3.0,0.03125,0.03125,0.046875,0.046875,100.0,True
features.norm0.act,act,1,64,1,False,,0,112.0,112.0,102400,53.66875965942044,2.6775264671766204,0.04183635104963469,5.830144649408783,0.09109601014701224,1.69333037684471,0.026458287138198595,1.6497309753067695,10,64,0.9939459888485247,64,9,18,44,62,0.140625,0.28125,0.6875,0.96875,timm:densenet121.tv_in1k_random,random_init(seed=1),imagenet_val[6400],1600.0,True,,,,,,6400.0,13.548534355584879,2.286334390887019,0.03572397485760967,3.2481429340209056,0.05075223334407665,1.5987631255509922,0.024980673836734253,3.295414873050291,10.0,64.0,0.9872110855201952,64.0,3.0,4.0,7.0,13.0,0.046875,0.0625,0.109375,0.203125,100.0,True
features.denseblock1.denselayer1.norm1.act,act,2,64,1,False,,0,56.0,56.0,102400,74.78679112550779,2.6551668441313794,0.0414869819395528,5.427855468865183,0.08481024170101849,1.693777147596947,0.026465267931202296,1.3150533999260883,10,64,0.9960728710064326,64,6,15,45,62,0.09375,0.234375,0.703125,0.96875,timm:densenet121.tv_in1k_random,random_init(seed=1),imagenet_val[6400],1600.0,True,,,,,,6400.0,19.328379568898516,2.499129450256711,0.03904889766026111,3.5458807926236164,0.05540438738474401,1.7024401181726685,0.026600626846447945,2.627970484147933,10.0,64.0,0.995801077990004,64.0,3.0,5.0,7.0,22.0,0.046875,0.078125,0.109375,0.34375,100.0,True
features.denseblock1.denselayer1.conv1,conv,3,128,1,False,64.0,0,56.0,56.0,102400,288.1084534239856,2.688636324916481,0.02100497128841001,5.306285219221138,0.04145535327516514,1.7144470517893649,0.013394117592104413,9.516715795581804,10,128,0.6414847898051765,95,6,13,36,57,0.046875,0.1015625,0.28125,0.4453125,timm:densenet121.tv_in1k_random,random_init(seed=1),imagenet_val[6400],800.0,True,0.09375,0.203125,0.5625,0.890625,0.5,6400.0,74.40179457951024,2.6066951737838564,0.020364806045186378,3.590225977983756,0.028048640452998094,1.7719432376676048,0.013843306544278162,8.94754432412542,10.0,128.0,0.7314946532992147,96.0,3.0,4.0,7.0,20.0,0.0234375,0.03125,0.0546875,0.15625,50.0,True
features.denseblock1.denselayer1.norm2.act,act,4,128,1,False,,0,56.0,56.0,102400,132.82872957794265,3.1611929265113545,0.024696819738369957,6.573906711289859,0.051358646181952024,1.9394289605784776,0.015151788754519356,2.4726203786429584,10,128,0.5673460867672433,127,9,21,61,106,0.0703125,0.1640625,0.4765625,0.828125,timm:densenet121.tv_in1k_random,random_init(seed=1),imagenet_val[6400],800.0,True,,,,,,6400.0,33.5843378328172,2.943982070733122,0.022999859927602517,4.064600689887212,0.03175469288974384,1.9898079201682468,0.015545374376314428,3.315463165992601,10.0,128.0,0.7497584039469531,127.0,3.0,5.0,10.0,37.0,0.0234375,0.0390625,0.078125,0.2890625,50.0,True
features.denseblock1.denselayer1.conv2,conv,5,32,1,False,32.0,0,56.0,56.0,102400,59.4636078078095,4.010973325631322,0.1253429164259788,8.105704840081367,0.25330327625254273,2.192468321819128,0.06851463505684775,1.6007480126646907,10,32,0.9958823713057625,32,12,18,28,32,0.375,0.5625,0.875,1.0,timm:densenet121.tv_in1k_random,random_init(seed=1),imagenet_val[6400],3200.0,True,0.375,0.5625,0.875,1.0,1.0,6400.0,13.85796798507459,2.8087887373525984,0.0877746480422687,3.830073639966793,0.11968980124896228,1.902775875086156,0.05946174609644238,3.3173761157277126,10.0,32.0,0.9809336429206741,32.0,3.0,5.0,9.0,21.0,0.09375,0.15625,0.28125,0.65625,200.0,True
features.denseblock1.denselayer1,block,6,32,1,False,,0,56.0,56.0,102400,59.253344725257634,4.0060510865427945,0.12518909645446233,8.095469999134483,0.2529834374729526,2.1903518367406085,0.06844849489814402,1.5975200113081134,10,32,0.9961893921352163,32,12,18,28,32,0.375,0.5625,0.875,1.0,timm:densenet121.tv_in1k_random,random_init(seed=1),imagenet_val[6400],3200.0,True,,,,,,6400.0,13.85796798507459,2.8087887373525984,0.0877746480422687,3.830073639966793,0.11968980124896228,1.902775875086156,0.05946174609644238,3.3173761157277126,10.0,32.0,0.9809336429206741,32.0,3.0,5.0,9.0,21.0,0.09375,0.15625,0.28125,0.65625,200.0,True
features.denseblock1.denselayer2.norm1.act,act,7,96,1,False,,0,56.0,56.0,102400,94.59986192225585,3.071717148962291,0.031997053635023864,7.049135046973036,0.07342849007263579,1.8397431269805484,0.01916399090604738,1.784455904331414,10,96,0.7608771436378018,96,11,25,64,87,0.11458333333333333,0.2604166666666667,0.6666666666666666,0.90625,timm:densenet121.tv_in1k_random,random_init(seed=1),imagenet_val[6400],1066.6666666666667,True,,,,,,6400.0,24.05450588351978,2.7038230808062766,0.028164823758398714,3.823986025414856,0.039833187764738084,1.807611500067937,0.01882928645904101,2.9046097298986173,10.0,96.0,0.8977131511713851,96.0,3.0,5.0,8.0,32.0,0.03125,0.052083333333333336,0.08333333333333333,0.3333333333333333,66.66666666666667,True
features.denseblock1.denselayer2.conv1,conv,8,128,1,False,96.0,0,56.0,56.0,102400,270.89064077138426,2.6315680031333843,0.020559125024479565,5.854753614201442,0.04574026261094877,1.6723135991177551,0.013064949993107462,6.022217798843847,10,128,0.4874108314398007,112,9,18,48,76,0.0703125,0.140625,0.375,0.59375,timm:densenet121.tv_in1k_random,random_init(seed=1),imagenet_val[6400],800.0,True,0.09375,0.1875,0.5,0.7916666666666666,0.75,6400.0,68.68217694104429,2.34134510097583,0.01829175860137367,3.450929679090707,0.02696038811789615,1.6196946152985598,0.012653864182019999,6.208068769967289,10.0,128.0,0.6142163789359224,110.0,3.0,5.0,8.0,26.0,0.0234375,0.0390625,0.0625,0.203125,50.0,True
features.denseblock1.denselayer2.norm2.act,act,9,128,1,False,,0,56.0,56.0,102400,103.61795038552295,2.914295186947878,0.022767931148030298,7.193140749105948,0.056196412102390216,1.7711148819163913,0.013836835014971807,2.3925226119367915,10,128,0.6111453203340957,128,13,28,72,109,0.1015625,0.21875,0.5625,0.8515625,timm:densenet121.tv_in1k_random,random_init(seed=1),imagenet_val[6400],800.0,True,,,,,,6400.0,25.425090307924847,2.4907719277380664,0.019459155685453644,3.846492939374122,0.03005072608886033,1.6806695032774137,0.013130230494354795,3.3389415006882257,10.0,128.0,0.7189177039760465,128.0,4.0,6.0,11.0,43.0,0.03125,0.046875,0.0859375,0.3359375,50.0,True
