layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,model
conv_stem,conv,0,16,1,False,16.0,0,112.0,112.0,512,10.330787542981414,1.4097404379319944,0.08810877737074965,1.8384335276908301,0.11490209548067688,1.2008262035654504,0.07505163772284065,,10,16,,16,2,2,5,9,0.125,0.125,0.3125,0.5625,1,timm:mobilenetv3_large_100.ra_in1k_random
conv_stem,conv,0,16,1,False,16.0,0,112.0,112.0,512,10.330787542981414,1.4097404379319944,0.08810877737074965,1.8384335276908301,0.11490209548067688,1.2008262035654504,0.07505163772284065,,10,16,,16,2,2,5,9,0.125,0.125,0.3125,0.5625,2,timm:mobilenetv3_large_100.ra_in1k_random
conv_stem,conv,0,16,1,False,16.0,0,112.0,112.0,512,10.330787542981414,1.4097404379319944,0.08810877737074965,1.8384335276908301,0.11490209548067688,1.2008262035654504,0.07505163772284065,,10,16,,16,2,2,5,9,0.125,0.125,0.3125,0.5625,5,timm:mobilenetv3_large_100.ra_in1k_random
conv_stem,conv,0,16,1,False,16.0,0,112.0,112.0,512,10.330787542981414,1.4097404379319944,0.08810877737074965,1.8384335276908301,0.11490209548067688,1.2008262035654504,0.07505163772284065,,10,16,,16,2,2,5,9,0.125,0.125,0.3125,0.5625,10,timm:mobilenetv3_large_100.ra_in1k_random
conv_stem,conv,0,16,1,False,16.0,0,112.0,112.0,512,10.330787542981414,1.4097404379319944,0.08810877737074965,1.8384335276908301,0.11490209548067688,1.2008262035654504,0.07505163772284065,,10,16,,16,2,2,5,9,0.125,0.125,0.3125,0.5625,25,timm:mobilenetv3_large_100.ra_in1k_random
conv_stem,conv,0,16,1,False,16.0,0,112.0,112.0,1024,11.010286659368699,1.4023302421055135,0.0876456401315946,1.8826097828017971,0.11766311142511232,1.194654057109299,0.07466587856933118,,10,16,,16,2,3,5,10,0.125,0.1875,0.3125,0.625,50,timm:mobilenetv3_large_100.ra_in1k_random
conv_stem,conv,0,16,1,False,16.0,0,112.0,112.0,2048,11.215447430763097,1.3814748277113895,0.08634217673196184,1.862133825210895,0.11638336407568094,1.1838119250271808,0.0739882453141988,,10,16,,16,2,3,5,10,0.125,0.1875,0.3125,0.625,100,timm:mobilenetv3_large_100.ra_in1k_random
conv_stem,conv,0,16,1,False,16.0,0,112.0,112.0,4096,10.858016867337401,1.342188070705752,0.0838867544191095,1.804593693723335,0.11278710585770843,1.1647721960625397,0.07279826225390873,,10,16,,16,2,3,5,10,0.125,0.1875,0.3125,0.625,250,timm:mobilenetv3_large_100.ra_in1k_random
bn1.act,act,1,16,1,False,,0,112.0,112.0,512,2.9649406272604506,1.9168995104275335,0.11980621940172084,2.885480132371943,0.18034250827324644,1.4200984034326556,0.08875615021454097,,10,16,,16,3,4,8,13,0.1875,0.25,0.5,0.8125,1,timm:mobilenetv3_large_100.ra_in1k_random
bn1.act,act,1,16,1,False,,0,112.0,112.0,512,2.9649406272604506,1.9168995104275335,0.11980621940172084,2.885480132371943,0.18034250827324644,1.4200984034326556,0.08875615021454097,,10,16,,16,3,4,8,13,0.1875,0.25,0.5,0.8125,2,timm:mobilenetv3_large_100.ra_in1k_random
bn1.act,act,1,16,1,False,,0,112.0,112.0,512,2.9649406272604506,1.9168995104275335,0.11980621940172084,2.885480132371943,0.18034250827324644,1.4200984034326556,0.08875615021454097,,10,16,,16,3,4,8,13,0.1875,0.25,0.5,0.8125,5,timm:mobilenetv3_large_100.ra_in1k_random
bn1.act,act,1,16,1,False,,0,112.0,112.0,512,2.9649406272604506,1.9168995104275335,0.11980621940172084,2.885480132371943,0.18034250827324644,1.4200984034326556,0.08875615021454097,,10,16,,16,3,4,8,13,0.1875,0.25,0.5,0.8125,10,timm:mobilenetv3_large_100.ra_in1k_random
bn1.act,act,1,16,1,False,,0,112.0,112.0,512,2.9649406272604506,1.9168995104275335,0.11980621940172084,2.885480132371943,0.18034250827324644,1.4200984034326556,0.08875615021454097,,10,16,,16,3,4,8,13,0.1875,0.25,0.5,0.8125,25,timm:mobilenetv3_large_100.ra_in1k_random
bn1.act,act,1,16,1,False,,0,112.0,112.0,1024,3.2073005170478086,1.88356844216988,0.1177230276356175,2.868072007722408,0.1792545004826505,1.404296951616107,0.08776855947600669,,10,16,,16,3,4,8,13,0.1875,0.25,0.5,0.8125,50,timm:mobilenetv3_large_100.ra_in1k_random
bn1.act,act,1,16,1,False,,0,112.0,112.0,2048,3.2803950605566103,1.8092996837743178,0.11308123023589486,2.7352067407367056,0.1709504212960441,1.3728441358091468,0.08580275848807167,,10,16,,16,3,4,8,13,0.1875,0.25,0.5,0.8125,100,timm:mobilenetv3_large_100.ra_in1k_random
bn1.act,act,1,16,1,False,,0,112.0,112.0,4096,3.186943290003053,1.7735022286338613,0.11084388928961633,2.6691197339784742,0.16681998337365464,1.3578781512753169,0.0848673844547073,,10,16,,16,3,4,8,13,0.1875,0.25,0.5,0.8125,250,timm:mobilenetv3_large_100.ra_in1k_random
