layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,model,weights,source,n_over_C,n_over_C_ok,k_star_rmax_0.9,k_star_rmax_0.95,k_star_rmax_0.99,k_star_rmax_0.999,r_max_over_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,pooled_n_over_C_ok
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,102400,7.959698762417799,1.6289361937497246,0.025452128027339448,2.8081619153450967,0.043877529927267137,1.2866501925135632,0.020103909258024424,3.24973617890373,10,64,0.9367937887782272,64,4,6,20,42,0.0625,0.09375,0.3125,0.65625,timm:wide_resnet50_2.tv_in1k_random,random_init(seed=1),imagenet_val[6400],1600.0,True,0.0625,0.09375,0.3125,0.65625,1.0,6400.0,2.1143141480421144,1.5018084096308402,0.023465756400481878,1.8296276983325754,0.02858793278644649,1.2514128715889437,0.019553326118577245,6.573806351978715,10.0,64.0,0.9882735347803395,52.0,2.0,2.0,3.0,3.0,0.03125,0.03125,0.046875,0.046875,100.0,True
act1,act,1,64,1,False,,0,112.0,112.0,102400,2.6423026505383103,2.64842240309876,0.04138160004841813,5.595255195544498,0.08742586243038278,1.6968008531075143,0.02651251332980491,1.7131616155287874,10,64,0.9932543235206892,64,8,17,43,61,0.125,0.265625,0.671875,0.953125,timm:wide_resnet50_2.tv_in1k_random,random_init(seed=1),imagenet_val[6400],1600.0,True,,,,,,6400.0,0.6856984245948312,2.2585214102952524,0.03528939703586332,3.2269855787,0.0504216496671875,1.586923045654697,0.02479567258835464,3.3512031396932085,10.0,64.0,0.9919345083292307,64.0,3.0,4.0,7.0,13.0,0.046875,0.0625,0.109375,0.203125,100.0,True
layer1.0.conv1,conv,2,128,1,False,64.0,0,56.0,56.0,102400,6.3982119349280335,2.6264626631533026,0.020519239555885176,5.344241788298657,0.041751888971083256,1.6784897522498847,0.013113201189452224,9.438137204909399,10,128,0.6320821658763424,94,7,13,37,57,0.0546875,0.1015625,0.2890625,0.4453125,timm:wide_resnet50_2.tv_in1k_random,random_init(seed=1),imagenet_val[6400],800.0,True,0.109375,0.203125,0.578125,0.890625,0.5,6400.0,1.680889403964811,2.3413356202347275,0.01829168453308381,3.4549407287336757,0.026991724443231842,1.6116293042454304,0.012590853939417425,9.03587226131215,10.0,128.0,0.7384376496836221,98.0,4.0,5.0,8.0,21.0,0.03125,0.0390625,0.0625,0.1640625,50.0,True
layer1.0.act1,act,3,128,1,False,,0,56.0,56.0,102400,2.553587571553504,3.639357283753043,0.028432478779320647,7.821107345626431,0.06110240113770649,2.0936051270174847,0.0163562900548241,2.3968730458081717,10,128,0.7123118637949881,128,10,23,65,107,0.078125,0.1796875,0.5078125,0.8359375,timm:wide_resnet50_2.tv_in1k_random,random_init(seed=1),imagenet_val[6400],800.0,True,,,,,,6400.0,0.6626267231788211,2.9086596305187578,0.022723903363427795,4.28526405410319,0.03347862542268117,1.890535944952743,0.014769812069943305,3.296461861068027,10.0,128.0,0.8274651784121396,128.0,4.0,5.0,11.0,40.0,0.03125,0.0390625,0.0859375,0.3125,50.0,True
layer1.0.conv2,conv,4,128,1,False,128.0,0,56.0,56.0,102400,5.778528544956791,3.8306441073948174,0.02992690708902201,9.870742651614123,0.07711517696573533,2.1075839482113365,0.016465499595401067,1.482378789540039,10,128,0.9923027598218893,128,18,40,94,123,0.140625,0.3125,0.734375,0.9609375,timm:wide_resnet50_2.tv_in1k_random,random_init(seed=1),imagenet_val[6400],800.0,True,0.140625,0.3125,0.734375,0.9609375,1.0,6400.0,1.4355615245114524,2.5849617250486423,0.020195013476942518,3.8090027220346223,0.029757833765895487,1.7466947031406272,0.01364605236828615,3.648337281077147,10.0,128.0,0.9446347370299838,128.0,4.0,5.0,10.0,34.0,0.03125,0.0390625,0.078125,0.265625,50.0,True
layer1.0.act2,act,5,128,1,False,,0,56.0,56.0,102400,2.481691825680678,4.889470449999426,0.03819898789062052,12.21493431851775,0.09542917436341992,2.6551051142544826,0.020743008705113145,2.4539832656061877,10,128,0.5042113353351598,128,24,46,87,109,0.1875,0.359375,0.6796875,0.8515625,timm:wide_resnet50_2.tv_in1k_random,random_init(seed=1),imagenet_val[6400],800.0,True,,,,,,6400.0,0.5873450892058433,3.0652950968540997,0.023947617944172654,4.300805421483581,0.033600042355340476,2.2047756334351623,0.017224809636212205,3.531427805006017,10.0,128.0,0.6954836220978164,128.0,4.0,5.0,13.0,48.0,0.03125,0.0390625,0.1015625,0.375,50.0,True
layer1.0.conv3,conv,6,256,1,False,128.0,0,56.0,56.0,102400,4.888872749699501,5.02850030313973,0.019642579309139572,11.84577782650753,0.04627256963479504,2.794296783758405,0.01091522181155627,8.089239186628271,10,256,0.6457370951399846,190,21,38,75,105,0.08203125,0.1484375,0.29296875,0.41015625,timm:wide_resnet50_2.tv_in1k_random,random_init(seed=1),imagenet_val[6400],400.0,True,0.1640625,0.296875,0.5859375,0.8203125,0.5,6400.0,1.171076810125857,3.1835909514315994,0.012435902154029685,4.372072382801038,0.017078407745316555,2.386148935941761,0.009320894281022504,7.51271064169915,10.0,256.0,0.7547027061348842,191.0,4.0,5.0,12.0,43.0,0.015625,0.01953125,0.046875,0.16796875,25.0,False
layer1.0.downsample.0,conv,7,256,1,False,64.0,0,56.0,56.0,102400,7.313594457247175,2.5152754136792232,0.009825294584684466,5.009519862181785,0.019568436961647596,1.6424061606020117,0.006415649064851608,9.548462139556337,10,256,0.8149870280800174,158,6,12,38,59,0.0234375,0.046875,0.1484375,0.23046875,timm:wide_resnet50_2.tv_in1k_random,random_init(seed=1),imagenet_val[6400],400.0,True,0.09375,0.1875,0.59375,0.921875,0.25,6400.0,1.9456888530970935,2.3658317759024396,0.009241530374618905,3.4088542344520425,0.013315836853328291,1.6307335209979383,0.006370052816398197,8.470211421725569,10.0,256.0,0.8687518405353104,161.0,3.0,4.0,7.0,21.0,0.01171875,0.015625,0.02734375,0.08203125,25.0,False
layer1.0.act3,act,8,256,1,False,,0,56.0,56.0,102400,3.0751670151467203,2.8764714573954775,0.011236216630451084,6.22914149398735,0.024332583960888086,1.804388640654658,0.007048393127557258,2.4011902027414997,10,256,0.7113220464478571,256,8,21,80,190,0.03125,0.08203125,0.3125,0.7421875,timm:wide_resnet50_2.tv_in1k_random,random_init(seed=1),imagenet_val[6400],400.0,True,,,,,,6400.0,0.7985541858639145,2.613741853016735,0.010209929113346622,3.784566661457517,0.014783463521318426,1.7745607787123614,0.006931878041845162,3.228019089557203,10.0,256.0,0.7987427247651653,256.0,3.0,5.0,10.0,42.0,0.01171875,0.01953125,0.0390625,0.1640625,25.0,False
layer1.0,block,9,256,1,False,,0,56.0,56.0,102400,3.0783254651928704,2.889288367257185,0.01128628268459838,6.2496433963998905,0.024412669517187072,1.8101205968393685,0.007070783581403783,2.4231850073534833,10,256,0.6815683209130035,256,8,21,80,190,0.03125,0.08203125,0.3125,0.7421875,timm:wide_resnet50_2.tv_in1k_random,random_init(seed=1),imagenet_val[6400],400.0,True,,,,,,6400.0,0.7985541858639145,2.613741853016735,0.010209929113346622,3.784566661457517,0.014783463521318426,1.7745607787123614,0.006931878041845162,3.228019089557203,10.0,256.0,0.7987427247651653,256.0,3.0,5.0,10.0,42.0,0.01171875,0.01953125,0.0390625,0.1640625,25.0,False
