layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,model
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,512,11.385268890670513,1.2713227454663378,0.03972883579582306,1.6473662499612167,0.05148019531128802,1.132089509556768,0.035377797173649,9.908344648719183,10,32,0.888931223516468,29,2,2,5,10,0.0625,0.0625,0.15625,0.3125,1,timm:efficientnet_b0.ra_in1k_random
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,512,11.385268890670513,1.2713227454663378,0.03972883579582306,1.6473662499612167,0.05148019531128802,1.132089509556768,0.035377797173649,9.908344648719183,10,32,0.888931223516468,29,2,2,5,10,0.0625,0.0625,0.15625,0.3125,2,timm:efficientnet_b0.ra_in1k_random
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,512,11.385268890670513,1.2713227454663378,0.03972883579582306,1.6473662499612167,0.05148019531128802,1.132089509556768,0.035377797173649,9.908344648719183,10,32,0.888931223516468,29,2,2,5,10,0.0625,0.0625,0.15625,0.3125,5,timm:efficientnet_b0.ra_in1k_random
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,512,11.385268890670513,1.2713227454663378,0.03972883579582306,1.6473662499612167,0.05148019531128802,1.132089509556768,0.035377797173649,9.908344648719183,10,32,0.888931223516468,29,2,2,5,10,0.0625,0.0625,0.15625,0.3125,10,timm:efficientnet_b0.ra_in1k_random
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,1024,11.487566420894286,1.262824762892147,0.03946327384037959,1.664501287466173,0.05201566523331791,1.127181026807201,0.03522440708772503,9.894415548684359,10,32,0.8697861026636258,29,2,2,5,11,0.0625,0.0625,0.15625,0.34375,25,timm:efficientnet_b0.ra_in1k_random
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,2048,11.456617743430987,1.2523436738235028,0.03913573980698446,1.6492371228516776,0.051538660089114924,1.1220137804090882,0.035062930637784005,9.065640212293504,10,32,0.8826162021167574,28,2,2,5,11,0.0625,0.0625,0.15625,0.34375,50,timm:efficientnet_b0.ra_in1k_random
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,3584,10.807392724702304,1.2411218558305295,0.038785057994704046,1.633834682880447,0.05105733384001397,1.1165159260734354,0.03489112268979486,10.096841827888955,10,32,0.8496034787419271,29,2,3,5,11,0.0625,0.09375,0.15625,0.34375,100,timm:efficientnet_b0.ra_in1k_random
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,8192,10.97932682927912,1.2220893368348116,0.03819029177608786,1.5901827342307049,0.04969321044470953,1.1075881808078716,0.03461213065024599,10.740427158626488,10,32,0.7908723694821006,29,1,2,5,11,0.03125,0.0625,0.15625,0.34375,250,timm:efficientnet_b0.ra_in1k_random
bn1.act,act,1,32,1,False,,0,112.0,112.0,512,3.2099876413140045,1.5288152433725488,0.04777547635539215,2.2318711087422396,0.06974597214819499,1.2483663585642453,0.039011448705132665,4.200081397018487,10,32,0.9766067249922975,32,3,3,7,17,0.09375,0.09375,0.21875,0.53125,1,timm:efficientnet_b0.ra_in1k_random
bn1.act,act,1,32,1,False,,0,112.0,112.0,512,3.2099876413140045,1.5288152433725488,0.04777547635539215,2.2318711087422396,0.06974597214819499,1.2483663585642453,0.039011448705132665,4.200081397018487,10,32,0.9766067249922975,32,3,3,7,17,0.09375,0.09375,0.21875,0.53125,2,timm:efficientnet_b0.ra_in1k_random
bn1.act,act,1,32,1,False,,0,112.0,112.0,512,3.2099876413140045,1.5288152433725488,0.04777547635539215,2.2318711087422396,0.06974597214819499,1.2483663585642453,0.039011448705132665,4.200081397018487,10,32,0.9766067249922975,32,3,3,7,17,0.09375,0.09375,0.21875,0.53125,5,timm:efficientnet_b0.ra_in1k_random
bn1.act,act,1,32,1,False,,0,112.0,112.0,512,3.2099876413140045,1.5288152433725488,0.04777547635539215,2.2318711087422396,0.06974597214819499,1.2483663585642453,0.039011448705132665,4.200081397018487,10,32,0.9766067249922975,32,3,3,7,17,0.09375,0.09375,0.21875,0.53125,10,timm:efficientnet_b0.ra_in1k_random
bn1.act,act,1,32,1,False,,0,112.0,112.0,1024,3.491429136166169,1.5096599930049028,0.047176874781403214,2.2242560150616204,0.06950800047067564,1.2393491549563471,0.03872966109238585,3.809322044484223,10,32,0.9769215560248159,32,3,3,8,18,0.09375,0.09375,0.25,0.5625,25,timm:efficientnet_b0.ra_in1k_random
bn1.act,act,1,32,1,False,,0,112.0,112.0,2048,3.607421883426198,1.4889737390995008,0.0465304293468594,2.1854082425957797,0.06829400758111812,1.230269571593282,0.038445924112290066,3.7861533165529844,10,32,0.9763789996691384,32,2,3,8,19,0.0625,0.09375,0.25,0.59375,50,timm:efficientnet_b0.ra_in1k_random
bn1.act,act,1,32,1,False,,0,112.0,112.0,3584,3.353620571357024,1.4996089268055561,0.04686277896267363,2.2141505924485454,0.06919220601401704,1.2351677464974782,0.03859899207804619,3.7142231124651803,10,32,0.9786069873216056,32,2,4,8,19,0.0625,0.125,0.25,0.59375,100,timm:efficientnet_b0.ra_in1k_random
