layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,model
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,512,12.068570289479755,1.3268259786137047,0.04146331183167827,1.6926080110257133,0.05289400034455354,1.1612666847137174,0.03628958389730367,9.85760823422909,10,32,0.8615034703774634,30,2,2,5,10,0.0625,0.0625,0.15625,0.3125,1,timm:mobilenetv2_100.ra_in1k_random
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,512,12.068570289479755,1.3268259786137047,0.04146331183167827,1.6926080110257133,0.05289400034455354,1.1612666847137174,0.03628958389730367,9.85760823422909,10,32,0.8615034703774634,30,2,2,5,10,0.0625,0.0625,0.15625,0.3125,2,timm:mobilenetv2_100.ra_in1k_random
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,512,12.068570289479755,1.3268259786137047,0.04146331183167827,1.6926080110257133,0.05289400034455354,1.1612666847137174,0.03628958389730367,9.85760823422909,10,32,0.8615034703774634,30,2,2,5,10,0.0625,0.0625,0.15625,0.3125,5,timm:mobilenetv2_100.ra_in1k_random
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,512,12.068570289479755,1.3268259786137047,0.04146331183167827,1.6926080110257133,0.05289400034455354,1.1612666847137174,0.03628958389730367,9.85760823422909,10,32,0.8615034703774634,30,2,2,5,10,0.0625,0.0625,0.15625,0.3125,10,timm:mobilenetv2_100.ra_in1k_random
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,1024,12.23609690794123,1.2821880057359079,0.04006837517924712,1.652484484202133,0.05164014013131665,1.1381390015366344,0.035566843798019825,9.439219490605222,10,32,0.8851947187699833,30,2,2,5,11,0.0625,0.0625,0.15625,0.34375,25,timm:mobilenetv2_100.ra_in1k_random
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,2048,12.507467433154844,1.2682764687768697,0.03963363964927718,1.62911128175316,0.05090972755478625,1.131246057365168,0.0353514392926615,10.195159815974456,10,32,0.8751317468075657,31,2,2,5,11,0.0625,0.0625,0.15625,0.34375,50,timm:mobilenetv2_100.ra_in1k_random
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,3584,11.800695530416569,1.2554989322662478,0.03923434163332024,1.617525485806491,0.05054767143145284,1.1246942828579394,0.035146696339310605,10.29076344226442,10,32,0.8608915860721232,31,2,2,5,11,0.0625,0.0625,0.15625,0.34375,100,timm:mobilenetv2_100.ra_in1k_random
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,8192,11.98169881738461,1.2373286149129672,0.038666519216030225,1.5797607720663382,0.04936752412707307,1.1160157967196676,0.03487549364748961,9.762001392769692,10,32,0.8565929326170993,30,2,2,5,11,0.0625,0.0625,0.15625,0.34375,250,timm:mobilenetv2_100.ra_in1k_random
blocks.0.0.conv_dw,conv,1,32,32,True,32.0,0,112.0,112.0,512,5.617176960009185,2.135024145359757,0.06671950454249241,3.8954085422765066,0.12173151694614083,1.490978877039739,0.04659308990749184,3.2316115987047502,10,32,0.943979294842031,32,5,8,17,27,0.15625,0.25,0.53125,0.84375,1,timm:mobilenetv2_100.ra_in1k_random
blocks.0.0.conv_dw,conv,1,32,32,True,32.0,0,112.0,112.0,512,5.617176960009185,2.135024145359757,0.06671950454249241,3.8954085422765066,0.12173151694614083,1.490978877039739,0.04659308990749184,3.2316115987047502,10,32,0.943979294842031,32,5,8,17,27,0.15625,0.25,0.53125,0.84375,2,timm:mobilenetv2_100.ra_in1k_random
