layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,model,weights,source,n_over_C,n_over_C_ok,k_star_rmax_0.9,k_star_rmax_0.95,k_star_rmax_0.99,k_star_rmax_0.999,r_max_over_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,pooled_n_over_C_ok
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,102400,11.68407421428362,1.2493854067328176,0.03904329396040055,1.5993641138331889,0.04998012855728715,1.1219771656935553,0.035061786427923604,11.535058203625558,10,32,0.7921397923075861,31,2,2,5,11,0.0625,0.0625,0.15625,0.34375,timm:mobilenetv2_100.ra_in1k_random,random_init(seed=2),imagenet_val[6400],3200.0,True,0.07407407407407407,0.07407407407407407,0.18518518518518517,0.4074074074074074,0.84375,6400.0,3.113624242735899,1.3423935354784895,0.0419497979837028,1.5928299049053494,0.04977593452829217,1.1727572820874914,0.03664866506523411,10.303900767411145,10.0,32.0,0.9583006415701778,25.0,2.0,2.0,3.0,3.0,0.0625,0.0625,0.09375,0.09375,200.0,True
blocks.0.0.conv_dw,conv,1,32,32,True,32.0,0,112.0,112.0,102400,5.48197782602504,2.2313505360743258,0.06972970425232268,4.148097189619623,0.12962803717561322,1.5266913735749361,0.047709105424216754,3.016184401771566,10,32,0.9512520465411818,32,5,8,19,28,0.15625,0.25,0.59375,0.875,timm:mobilenetv2_100.ra_in1k_random,random_init(seed=2),imagenet_val[6400],3200.0,True,0.15625,0.25,0.59375,0.875,1.0,6400.0,1.2519793605320129,1.7308131711428214,0.05408791159821317,2.452261709920389,0.07663317843501216,1.3425041606831252,0.04195325502134766,6.187203579348472,10.0,32.0,0.9370535024651925,32.0,3.0,3.0,6.0,10.0,0.09375,0.09375,0.1875,0.3125,200.0,True
blocks.0.0.conv_pw,conv,2,16,1,False,16.0,0,112.0,112.0,102400,2.4423267897811227,2.2854680604824122,0.14284175378015077,3.710744891377948,0.23192155571112175,1.5733257077208391,0.09833285673255245,,10,16,,16,4,6,11,15,0.25,0.375,0.6875,0.9375,timm:mobilenetv2_100.ra_in1k_random,random_init(seed=2),imagenet_val[6400],6400.0,True,0.25,0.375,0.6875,0.9375,1.0,6400.0,0.5660851892748147,1.7858175069583861,0.11161359418489913,2.426090498193344,0.151630656137084,1.381836033313929,0.08636475208212056,,10.0,16.0,,16.0,2.0,3.0,5.0,9.0,0.125,0.1875,0.3125,0.5625,400.0,True
blocks.0.0,block,3,16,1,False,,0,112.0,112.0,102400,2.4255042164429894,2.3016813815530366,0.1438550863470648,3.735622481439457,0.23347640508996606,1.5801269107899998,0.09875793192437499,,10,16,,16,4,6,11,15,0.25,0.375,0.6875,0.9375,timm:mobilenetv2_100.ra_in1k_random,random_init(seed=2),imagenet_val[6400],6400.0,True,,,,,,6400.0,0.5660795246485901,1.7858175219530947,0.11161359512206842,2.4260905510587807,0.1516306594411738,1.3818360396970448,0.0863647524810653,,10.0,16.0,,16.0,2.0,3.0,5.0,9.0,0.125,0.1875,0.3125,0.5625,400.0,True
blocks.1.0.conv_pw,conv,4,96,1,False,16.0,0,112.0,112.0,102400,4.809846064127615,2.6181858850922404,0.027272769636377505,4.111665233097276,0.042829846178096626,1.7253520544146426,0.01797241723348586,9.798814475749573,10,96,0.745611238507176,56,5,6,11,14,0.052083333333333336,0.0625,0.11458333333333333,0.14583333333333334,timm:mobilenetv2_100.ra_in1k_random,random_init(seed=2),imagenet_val[6400],1066.6666666666667,True,0.3125,0.375,0.6875,0.875,0.16666666666666666,6400.0,1.0845558342661716,1.9155348014298987,0.01995348751489478,2.6164731975128634,0.027254929140758995,1.441003791573798,0.015010456162227064,8.625823858344779,10.0,96.0,0.7764767477478943,56.0,3.0,3.0,5.0,9.0,0.03125,0.03125,0.052083333333333336,0.09375,66.66666666666667,True
blocks.1.0.conv_dw,conv,5,96,96,True,96.0,0,56.0,56.0,102400,4.712755137329398,2.9695694432213453,0.03093301503355568,6.374375150305289,0.06639974114901342,1.8471104913785976,0.019240734285193725,2.4632546218773634,10,96,0.8319468445452215,96,10,20,51,80,0.10416666666666667,0.20833333333333334,0.53125,0.8333333333333334,timm:mobilenetv2_100.ra_in1k_random,random_init(seed=2),imagenet_val[6400],1066.6666666666667,True,0.10416666666666667,0.20833333333333334,0.53125,0.8333333333333334,1.0,6400.0,1.1930809104760167,2.0191583189007263,0.0210328991552159,2.669107971296962,0.027803208034343354,1.5277260549790654,0.0159138130726986,3.75156971896246,10.0,96.0,0.9521045137879163,96.0,2.0,3.0,6.0,14.0,0.020833333333333332,0.03125,0.0625,0.14583333333333334,66.66666666666667,True
blocks.1.0.conv_pwl,conv,6,24,1,False,24.0,0,56.0,56.0,102400,3.453721342298958,2.8486647944580676,0.11869436643575282,4.927198528670567,0.20529993869460694,1.8043755408989712,0.0751823142041238,2.5133524951584376,10,24,0.9636702710503772,24,5,9,18,23,0.20833333333333334,0.375,0.75,0.9583333333333334,timm:mobilenetv2_100.ra_in1k_random,random_init(seed=2),imagenet_val[6400],4266.666666666667,True,0.20833333333333334,0.375,0.75,0.9583333333333334,1.0,6400.0,0.8159299059567053,1.957887698763177,0.08157865411513238,2.612469805813319,0.10885290857555496,1.4701105206837148,0.06125460502848812,4.081334166870925,10.0,24.0,0.981368643791438,24.0,3.0,3.0,5.0,12.0,0.125,0.125,0.20833333333333334,0.5,266.6666666666667,True
blocks.1.0,block,7,24,1,False,,0,56.0,56.0,102400,3.4587907664549444,2.8274615058335857,0.1178108960763994,4.893191129071281,0.20388296371130335,1.7964734132935483,0.07485305888723118,2.4999012152022115,10,24,0.9645831506604091,24,5,9,18,23,0.20833333333333334,0.375,0.75,0.9583333333333334,timm:mobilenetv2_100.ra_in1k_random,random_init(seed=2),imagenet_val[6400],4266.666666666667,True,,,,,,6400.0,0.8159217314686197,1.9578876899907118,0.081578653749613,2.612469762555589,0.10885290677314953,1.4701105173497278,0.06125460488957199,4.081343788741186,10.0,24.0,0.9813672628796709,24.0,3.0,3.0,5.0,12.0,0.125,0.125,0.20833333333333334,0.5,266.6666666666667,True
blocks.1.1.conv_pw,conv,8,144,1,False,24.0,0,56.0,56.0,102400,7.270720950845332,2.604153476136111,0.018084399139834104,4.508866972609955,0.03131157619868024,1.697071265779199,0.011785217123466661,10.312033510632164,10,144,0.8168925997368963,81,5,8,16,23,0.034722222222222224,0.05555555555555555,0.1111111111111111,0.1597222222222222,timm:mobilenetv2_100.ra_in1k_random,random_init(seed=2),imagenet_val[6400],711.1111111111111,True,0.20833333333333334,0.3333333333333333,0.6666666666666666,0.9583333333333334,0.16666666666666666,6400.0,1.73133284979393,1.8891272246252622,0.013118939059897654,2.5373003149178572,0.017620141075818455,1.4301279122414527,0.009931443835010089,8.864632413809959,10.0,144.0,0.8450911569135482,83.0,3.0,3.0,5.0,11.0,0.020833333333333332,0.020833333333333332,0.034722222222222224,0.0763888888888889,44.44444444444444,False
blocks.1.1.conv_dw,conv,9,144,144,True,144.0,0,56.0,56.0,102400,5.532196900734873,4.132086021024518,0.028695041812670265,10.662317823445594,0.07404387377392774,2.216448151810476,0.015392001054239416,2.10355442803618,10,144,0.8305768178116525,144,20,40,89,125,0.1388888888888889,0.2777777777777778,0.6180555555555556,0.8680555555555556,timm:mobilenetv2_100.ra_in1k_random,random_init(seed=2),imagenet_val[6400],711.1111111111111,True,0.1388888888888889,0.2777777777777778,0.6180555555555556,0.8680555555555556,1.0,6400.0,1.2408788281871836,2.1201802217648904,0.014723473762256183,2.8204539127444987,0.01958648550517013,1.5715017213620748,0.010913206398347742,3.9381033288233436,10.0,144.0,0.9587086791762818,144.0,3.0,3.0,7.0,20.0,0.020833333333333332,0.020833333333333332,0.04861111111111111,0.1388888888888889,44.44444444444444,False
