layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,model,weights,source,n_over_C,n_over_C_ok,k_star_rmax_0.9,k_star_rmax_0.95,k_star_rmax_0.99,k_star_rmax_0.999,r_max_over_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,pooled_n_over_C_ok
conv_stem,conv,0,16,1,False,16.0,0,112.0,112.0,102400,6.159170184035948,1.4756822150601925,0.09223013844126203,2.156260865153572,0.13476630407209825,1.2228361208075187,0.07642725755046992,,10,16,,16,3,4,7,10,0.1875,0.25,0.4375,0.625,timm:mobilenetv3_large_100.ra_in1k_random,random_init(seed=2),imagenet_val[6400],6400.0,True,0.1875,0.25,0.4375,0.625,1.0,6400.0,1.5706065231068742,1.4823818538142355,0.09264886586338972,1.8272349544169606,0.11420218465106004,1.2382137781572125,0.07738836113482578,,10.0,16.0,,16.0,2.0,3.0,3.0,3.0,0.125,0.1875,0.1875,0.1875,400.0,True
bn1.act,act,1,16,1,False,,0,112.0,112.0,102400,1.6517225352245521,1.6983312796060621,0.10614570497537888,2.6760464956887176,0.16725290598054485,1.317997519042313,0.08237484494014456,,10,16,,16,3,5,9,14,0.1875,0.3125,0.5625,0.875,timm:mobilenetv3_large_100.ra_in1k_random,random_init(seed=2),imagenet_val[6400],6400.0,True,,,,,,6400.0,0.42614430566067985,1.6699336796347175,0.10437085497716984,2.268952548076418,0.14180953425477613,1.3175527052617024,0.0823470440788564,,10.0,16.0,,16.0,3.0,3.0,4.0,7.0,0.1875,0.1875,0.25,0.4375,400.0,True
blocks.0.0.conv_dw,conv,2,16,16,True,16.0,0,112.0,112.0,102400,3.2324626812201283,1.961274171404797,0.12257963571279981,3.3652678381303973,0.21032923988314983,1.4232962414277823,0.0889560150892364,,10,16,,16,4,7,12,15,0.25,0.4375,0.75,0.9375,timm:mobilenetv3_large_100.ra_in1k_random,random_init(seed=2),imagenet_val[6400],6400.0,True,0.25,0.4375,0.75,0.9375,1.0,6400.0,0.802945646006867,1.67376787417223,0.10461049213576437,2.2815697840102187,0.14259811150063867,1.3161693124382485,0.08226058202739053,,10.0,16.0,,16.0,3.0,4.0,4.0,6.0,0.1875,0.25,0.25,0.375,400.0,True
blocks.0.0.bn1.act,act,3,16,1,False,,0,112.0,112.0,102400,1.0237684183957796,2.3444935745966484,0.14653084841229053,3.976034820247674,0.24850217626547963,1.6029609234738562,0.10018505771711601,,10,16,,16,6,9,13,15,0.375,0.5625,0.8125,0.9375,timm:mobilenetv3_large_100.ra_in1k_random,random_init(seed=2),imagenet_val[6400],6400.0,True,,,,,,6400.0,0.24154969245377253,1.970544806921974,0.12315905043262337,2.769007226423744,0.173062951651484,1.4690632456371497,0.09181645285232186,,10.0,16.0,,16.0,3.0,4.0,6.0,10.0,0.1875,0.25,0.375,0.625,400.0,True
blocks.0.0.conv_pw,conv,4,16,1,False,16.0,0,112.0,112.0,102400,2.4012746617919913,1.7892562793848863,0.1118285174615554,2.893297576052863,0.18083109850330395,1.3567124513126092,0.08479452820703808,,10,16,,16,4,6,10,14,0.25,0.375,0.625,0.875,timm:mobilenetv3_large_100.ra_in1k_random,random_init(seed=2),imagenet_val[6400],6400.0,True,0.25,0.375,0.625,0.875,1.0,6400.0,0.5700216956457415,1.6053365434787543,0.10033353396742214,2.217411491932437,0.1385882182457773,1.289280870240579,0.08058005439003618,,10.0,16.0,,16.0,2.0,3.0,6.0,9.0,0.125,0.1875,0.375,0.5625,400.0,True
blocks.0.0,block,5,16,1,False,,0,112.0,112.0,102400,3.9986930837558656,1.8493527967865764,0.11558454979916102,3.1263172955307006,0.1953948309706688,1.3787454139777728,0.0861715883736108,,10,16,,16,4,7,12,16,0.25,0.4375,0.75,1.0,timm:mobilenetv3_large_100.ra_in1k_random,random_init(seed=2),imagenet_val[6400],6400.0,True,,,,,,6400.0,1.0117689056299288,1.7138432521415663,0.1071152032588479,2.4090745130644606,0.1505671570665288,1.3363131877206376,0.08351957423253985,,10.0,16.0,,16.0,3.0,3.0,6.0,9.0,0.1875,0.1875,0.375,0.5625,400.0,True
blocks.1.0.conv_pw,conv,6,64,1,False,16.0,0,112.0,112.0,102400,8.908385081906582,1.617246314334592,0.025269473661478,2.625553264141582,0.04102426975221222,1.2811764660499367,0.02001838228203026,15.143403868462713,10,64,0.8217666742851238,38,3,5,11,15,0.046875,0.078125,0.171875,0.234375,timm:mobilenetv3_large_100.ra_in1k_random,random_init(seed=2),imagenet_val[6400],1600.0,True,0.1875,0.3125,0.6875,0.9375,0.25,6400.0,2.265044304572529,1.5074998637327803,0.023554685370824693,2.1064606394736023,0.032913447491775036,1.2395443483130841,0.01936788044239194,12.520008300010044,10.0,64.0,0.8460186541595437,41.0,3.0,3.0,5.0,9.0,0.046875,0.046875,0.078125,0.140625,100.0,True
blocks.1.0.bn1.act,act,7,64,1,False,,0,112.0,112.0,102400,3.645734984668899,2.0886374062519035,0.03263495947268599,3.696828716448832,0.057762948694513,1.4932706655343364,0.023332354148974006,2.342502664639267,10,64,0.99547045191084,64,4,8,24,53,0.0625,0.125,0.375,0.828125,timm:mobilenetv3_large_100.ra_in1k_random,random_init(seed=2),imagenet_val[6400],1600.0,True,,,,,,6400.0,0.9177669483852338,1.9495361028957587,0.03046150160774623,2.7818576143381906,0.04346652522403423,1.4532257622632196,0.022706652535362807,3.491540436708432,10.0,64.0,0.9910565636406404,64.0,3.0,4.0,7.0,18.0,0.046875,0.0625,0.109375,0.28125,100.0,True
blocks.1.0.conv_dw,conv,8,64,64,True,64.0,0,56.0,56.0,102400,7.651500497613576,2.5208876831418823,0.03938887004909191,4.891272323854364,0.07642613006022443,1.6856304439956311,0.026337975687431736,1.9782264000222214,10,64,0.9522771281702365,64,7,14,39,58,0.109375,0.21875,0.609375,0.90625,timm:mobilenetv3_large_100.ra_in1k_random,random_init(seed=2),imagenet_val[6400],1600.0,True,0.109375,0.21875,0.609375,0.90625,1.0,6400.0,1.8956445333637153,2.0171330224712607,0.03151770347611345,2.7724995554291687,0.04332030555358076,1.5072224622550399,0.023550350972734998,3.6524431075025587,10.0,64.0,0.9732625474299375,64.0,3.0,4.0,7.0,17.0,0.046875,0.0625,0.109375,0.265625,100.0,True
blocks.1.0.bn2.act,act,9,64,1,False,,0,56.0,56.0,102400,5.111790455525971,2.203432278567318,0.03442862935261434,3.666920189672903,0.05729562796363911,1.571102286932936,0.024548473233327126,3.4269364237734266,10,64,0.8383216174093455,64,4,7,23,45,0.0625,0.109375,0.359375,0.703125,timm:mobilenetv3_large_100.ra_in1k_random,random_init(seed=2),imagenet_val[6400],1600.0,True,,,,,,6400.0,1.3359336434014526,1.9122133347657535,0.0298783333557149,2.5767723629876946,0.04026206817168273,1.4534567586867575,0.022710261854480586,5.276562584709026,10.0,64.0,0.9089134656168826,64.0,2.0,3.0,5.0,12.0,0.03125,0.046875,0.078125,0.1875,100.0,True
