layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,model
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,512,9.093107474993351,1.5825801058222366,0.024727814153472447,2.576626913377179,0.04025979552151842,1.2697670104164756,0.01984010953775743,3.6465328144707567,10,64,0.9307392910403125,64,3,5,16,37,0.046875,0.078125,0.25,0.578125,1,timm:resnet18.tv_in1k_random
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,512,9.093107474993351,1.5825801058222366,0.024727814153472447,2.576626913377179,0.04025979552151842,1.2697670104164756,0.01984010953775743,3.6465328144707567,10,64,0.9307392910403125,64,3,5,16,37,0.046875,0.078125,0.25,0.578125,2,timm:resnet18.tv_in1k_random
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,512,9.093107474993351,1.5825801058222366,0.024727814153472447,2.576626913377179,0.04025979552151842,1.2697670104164756,0.01984010953775743,3.6465328144707567,10,64,0.9307392910403125,64,3,5,16,37,0.046875,0.078125,0.25,0.578125,5,timm:resnet18.tv_in1k_random
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,1024,9.466021903049601,1.5972576052518128,0.024957150082059575,2.7259544620266927,0.04259303846916707,1.2731436702059922,0.019892869846968628,3.471817370840059,10,64,0.9227921912242198,64,4,6,18,40,0.0625,0.09375,0.28125,0.625,10,timm:resnet18.tv_in1k_random
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,2048,9.714829837100684,1.545241986700631,0.02414440604219736,2.5928749649933627,0.04051367132802129,1.250571379177397,0.019540177799646827,3.4093214386549304,10,64,0.9197285334690015,64,3,6,18,40,0.046875,0.09375,0.28125,0.625,25,timm:resnet18.tv_in1k_random
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,3584,9.187122897361908,1.5505890685417176,0.024227954195964338,2.62573995111013,0.04102718673609578,1.2523349521463654,0.01956773362728696,3.3510301716446653,10,64,0.9168397883360687,64,4,6,18,41,0.0625,0.09375,0.28125,0.640625,50,timm:resnet18.tv_in1k_random
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,6656,9.1455111252985,1.530879069637048,0.023919985463078875,2.5782512240897058,0.04028517537640165,1.2439025411957552,0.019435977206183674,3.304883940268863,10,64,0.913370230795593,64,3,6,19,41,0.046875,0.09375,0.296875,0.640625,100,timm:resnet18.tv_in1k_random
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,16384,9.029794864996067,1.5173992963614398,0.023709364005647496,2.5327151808252713,0.03957367470039486,1.2382245346250307,0.019347258353516104,3.300048282973049,10,64,0.9117736205648503,64,3,5,18,41,0.046875,0.078125,0.28125,0.640625,250,timm:resnet18.tv_in1k_random
act1,act,1,64,1,False,,0,112.0,112.0,512,2.962235252684576,2.426813564440667,0.037918961944385425,4.90102502444997,0.07657851600703078,1.6090008088139773,0.025140637637718396,2.0785937352455695,10,64,0.9746668825624999,64,7,13,36,58,0.109375,0.203125,0.5625,0.90625,1,timm:resnet18.tv_in1k_random
act1,act,1,64,1,False,,0,112.0,112.0,512,2.962235252684576,2.426813564440667,0.037918961944385425,4.90102502444997,0.07657851600703078,1.6090008088139773,0.025140637637718396,2.0785937352455695,10,64,0.9746668825624999,64,7,13,36,58,0.109375,0.203125,0.5625,0.90625,2,timm:resnet18.tv_in1k_random
act1,act,1,64,1,False,,0,112.0,112.0,512,2.962235252684576,2.426813564440667,0.037918961944385425,4.90102502444997,0.07657851600703078,1.6090008088139773,0.025140637637718396,2.0785937352455695,10,64,0.9746668825624999,64,7,13,36,58,0.109375,0.203125,0.5625,0.90625,5,timm:resnet18.tv_in1k_random
act1,act,1,64,1,False,,0,112.0,112.0,1024,3.1314780248044665,2.398007113125234,0.03746886114258178,4.966025624081701,0.07759415037627658,1.5980372813937715,0.02496933252177768,1.8851306425993115,10,64,0.986745030470575,64,7,14,39,60,0.109375,0.21875,0.609375,0.9375,10,timm:resnet18.tv_in1k_random
