layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,model
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,512,7.717263650987478,1.7389540903516254,0.027171157661744147,2.9480077009809276,0.04606262032782699,1.3372785715426745,0.02089497768035429,3.6075902355173284,10,64,0.9387431807070077,64,3,6,18,39,0.046875,0.09375,0.28125,0.609375,1,timm:resnext50_32x4d.tv_in1k_random
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,512,7.717263650987478,1.7389540903516254,0.027171157661744147,2.9480077009809276,0.04606262032782699,1.3372785715426745,0.02089497768035429,3.6075902355173284,10,64,0.9387431807070077,64,3,6,18,39,0.046875,0.09375,0.28125,0.609375,2,timm:resnext50_32x4d.tv_in1k_random
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,512,7.717263650987478,1.7389540903516254,0.027171157661744147,2.9480077009809276,0.04606262032782699,1.3372785715426745,0.02089497768035429,3.6075902355173284,10,64,0.9387431807070077,64,3,6,18,39,0.046875,0.09375,0.28125,0.609375,5,timm:resnext50_32x4d.tv_in1k_random
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,1024,7.8711784633343385,1.7655448055315386,0.02758663758643029,3.1402713328225595,0.04906673957535249,1.3441254360395816,0.021001959938118462,3.4210777744568603,10,64,0.9182849978535436,64,4,7,21,42,0.0625,0.109375,0.328125,0.65625,10,timm:resnext50_32x4d.tv_in1k_random
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,2048,8.018940442362712,1.706910288684702,0.02667047326069847,2.996163083626592,0.0468150481816655,1.3195383035229722,0.02061778599254644,3.352311512942998,10,64,0.9209461427610008,64,4,7,20,42,0.0625,0.109375,0.3125,0.65625,25,timm:resnext50_32x4d.tv_in1k_random
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,3584,7.548428909473266,1.7194954521914054,0.02686711644049071,3.053464764155624,0.047710386939931626,1.3240041852629307,0.020687565394733293,3.3124673519231873,10,64,0.9149641419137863,64,4,7,21,43,0.0625,0.109375,0.328125,0.671875,50,timm:resnext50_32x4d.tv_in1k_random
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,6656,7.542972682138776,1.689172788165664,0.0263933248150885,2.989648500221958,0.04671325781596809,1.3112084746048929,0.02048763241570145,3.262003283790665,10,64,0.9142540440672949,64,4,7,21,43,0.0625,0.109375,0.328125,0.671875,100,timm:resnext50_32x4d.tv_in1k_random
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,16384,7.471035423571283,1.68737350068308,0.026365210948173123,2.978393160243852,0.04653739312881019,1.3103529810019512,0.020474265328155487,3.258762076154836,10,64,0.9151371689426787,64,4,7,21,43,0.0625,0.109375,0.328125,0.671875,250,timm:resnext50_32x4d.tv_in1k_random
act1,act,1,64,1,False,,0,112.0,112.0,512,2.378875261650161,2.8109004379459352,0.04392031934290524,5.934869351245734,0.09273233361321459,1.748072802188577,0.027313637534196515,2.054350208842371,10,64,0.9755140717447258,64,8,16,39,59,0.125,0.25,0.609375,0.921875,1,timm:resnext50_32x4d.tv_in1k_random
act1,act,1,64,1,False,,0,112.0,112.0,512,2.378875261650161,2.8109004379459352,0.04392031934290524,5.934869351245734,0.09273233361321459,1.748072802188577,0.027313637534196515,2.054350208842371,10,64,0.9755140717447258,64,8,16,39,59,0.125,0.25,0.609375,0.921875,2,timm:resnext50_32x4d.tv_in1k_random
