layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,model,weights,source,n_over_C,n_over_C_ok,k_star_rmax_0.9,k_star_rmax_0.95,k_star_rmax_0.99,k_star_rmax_0.999,r_max_over_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,pooled_n_over_C_ok
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,102400,7.469870124938056,1.709327588732338,0.026708243573942782,3.0186463142191577,0.04716634865967434,1.3199168397941168,0.020623700621783075,3.2465897341513643,10,64,0.9178384830851811,64,4,7,21,43,0.0625,0.109375,0.328125,0.671875,timm:resnext50_32x4d.tv_in1k_random,random_init(seed=2),imagenet_val[6400],1600.0,True,0.0625,0.109375,0.328125,0.671875,1.0,6400.0,1.9554169328630346,1.5031204466302421,0.023486256978597533,1.8467337326275723,0.028855214572305818,1.2497230609336905,0.019526922827088913,6.612793611806494,10.0,64.0,0.9820000523321707,53.0,2.0,2.0,3.0,3.0,0.03125,0.03125,0.046875,0.046875,100.0,True
act1,act,1,64,1,False,,0,112.0,112.0,102400,2.436501897723233,2.7477260237572785,0.042933219121207476,5.988841996132004,0.09357565618956257,1.7256894326127994,0.02696389738457499,1.713616033699086,10,64,0.9948302418807763,64,9,18,45,62,0.140625,0.28125,0.703125,0.96875,timm:resnext50_32x4d.tv_in1k_random,random_init(seed=2),imagenet_val[6400],1600.0,True,,,,,,6400.0,0.6090325478399476,2.2381697430722243,0.034971402235503504,3.255174572435018,0.050862102694297154,1.5721431897467317,0.024564737339792683,3.3677773707220378,10.0,64.0,0.9892529844950222,64.0,3.0,4.0,8.0,14.0,0.046875,0.0625,0.125,0.21875,100.0,True
layer1.0.conv1,conv,2,128,1,False,64.0,0,56.0,56.0,102400,6.940856395618919,2.584703557401084,0.02019299654219597,5.1334818562267905,0.0401053270017718,1.6702529024743054,0.01304885080058051,9.45616272232623,10,128,0.634040842683253,94,6,12,35,57,0.046875,0.09375,0.2734375,0.4453125,timm:resnext50_32x4d.tv_in1k_random,random_init(seed=2),imagenet_val[6400],800.0,True,0.09375,0.1875,0.546875,0.890625,0.5,6400.0,1.8164859347147906,2.3809070441269897,0.018600836282242107,3.473427113270059,0.027136149322422337,1.632508160685498,0.012753970005355454,8.561294800811877,10.0,128.0,0.7298331272686005,94.0,4.0,5.0,7.0,20.0,0.03125,0.0390625,0.0546875,0.15625,50.0,True
layer1.0.act1,act,3,128,1,False,,0,56.0,56.0,102400,2.79256875078422,3.440300656261188,0.026877348877040533,6.99540049273906,0.05465156634952391,2.1115271459597764,0.016496305827810753,2.3583972767609636,10,128,0.7925347446106643,128,9,20,61,105,0.0703125,0.15625,0.4765625,0.8203125,timm:resnext50_32x4d.tv_in1k_random,random_init(seed=2),imagenet_val[6400],800.0,True,,,,,,6400.0,0.7107874011712106,2.892177084451584,0.022595133472278,4.100365463694368,0.03203410518511225,1.9880963965739613,0.015532003098234073,3.1719176341695956,10.0,128.0,0.8973392317021046,128.0,4.0,5.0,11.0,39.0,0.03125,0.0390625,0.0859375,0.3046875,50.0,True
layer1.0.conv2,conv,4,128,32,False,128.0,0,56.0,56.0,102400,0.18440431340673183,4.343042156396358,0.033930016846846545,10.05719794512917,0.07857185894632164,2.473192241685677,0.01932181438816935,1.6898136757589017,10,128,0.9504235102838815,128,16,34,86,119,0.125,0.265625,0.671875,0.9296875,timm:resnext50_32x4d.tv_in1k_random,random_init(seed=2),imagenet_val[6400],800.0,True,0.125,0.265625,0.671875,0.9296875,1.0,6400.0,0.045462736937119774,3.01681469449833,0.023568864800768204,4.114090418609522,0.03214133139538689,2.1680112149778132,0.016937587617014166,3.725987162897,10.0,128.0,0.9480020636380795,128.0,4.0,5.0,10.0,33.0,0.03125,0.0390625,0.078125,0.2578125,50.0,True
layer1.0.act2,act,5,128,1,False,,0,56.0,56.0,102400,0.06445041032755033,4.540763780351154,0.03547471703399339,10.776752421501376,0.0841933782929795,2.412164106997987,0.018845032085921774,3.128745092871596,10,128,0.5905725509007473,128,18,34,71,100,0.140625,0.265625,0.5546875,0.78125,timm:resnext50_32x4d.tv_in1k_random,random_init(seed=2),imagenet_val[6400],800.0,True,,,,,,6400.0,0.015362218293170818,3.0696118338741814,0.023981342452142042,4.364697603735867,0.03409920002918646,2.065512669273672,0.016136817728700563,4.38425110458314,10.0,128.0,0.750200206068616,128.0,4.0,5.0,12.0,36.0,0.03125,0.0390625,0.09375,0.28125,50.0,True
layer1.0.conv3,conv,6,256,1,False,128.0,0,56.0,56.0,102400,0.1313683183235853,4.203491161761699,0.016419887350631636,9.782495226720169,0.03821287197937566,2.28466224918772,0.008924461910889532,8.16284516150309,10,256,0.6880099374053728,189,16,29,62,94,0.0625,0.11328125,0.2421875,0.3671875,timm:resnext50_32x4d.tv_in1k_random,random_init(seed=2),imagenet_val[6400],400.0,True,0.125,0.2265625,0.484375,0.734375,0.5,6400.0,0.03142555118942943,2.966724714989102,0.011588768417926179,4.210060589003616,0.016445549175795375,2.0104007680963507,0.00785312800037637,7.563180179844788,10.0,256.0,0.8171072263265176,191.0,4.0,5.0,11.0,33.0,0.015625,0.01953125,0.04296875,0.12890625,25.0,False
layer1.0.downsample.0,conv,7,256,1,False,64.0,0,56.0,56.0,102400,7.013159155026771,2.480659122185656,0.009690074696037719,5.112036747314971,0.019968893544199104,1.6219233354244234,0.006335638029001654,9.671204433858975,10,256,0.8171009643479918,159,6,13,40,60,0.0234375,0.05078125,0.15625,0.234375,timm:resnext50_32x4d.tv_in1k_random,random_init(seed=2),imagenet_val[6400],400.0,True,0.09375,0.203125,0.625,0.9375,0.25,6400.0,1.8048690977700657,2.2116736614451495,0.008639350240020115,3.304822316877844,0.012909462175304079,1.55049385154576,0.006056616607600625,8.544646127692978,10.0,256.0,0.8680408413030696,160.0,4.0,5.0,8.0,22.0,0.015625,0.01953125,0.03125,0.0859375,25.0,False
layer1.0.act3,act,8,256,1,False,,0,56.0,56.0,102400,3.052849208829214,3.2641519757169397,0.012750593655144296,7.32134185039397,0.028598991603101444,1.954390346332838,0.007634337290362649,2.2994702975523973,10,256,0.8291337161859973,256,10,25,88,195,0.0390625,0.09765625,0.34375,0.76171875,timm:resnext50_32x4d.tv_in1k_random,random_init(seed=2),imagenet_val[6400],400.0,True,,,,,,6400.0,0.7747633612239363,2.762057832637887,0.010789288408741746,4.05496693943591,0.015839714607171523,1.8498969573128001,0.0072261599895031255,3.0496086375996105,10.0,256.0,0.9181342638597206,256.0,4.0,5.0,11.0,46.0,0.015625,0.01953125,0.04296875,0.1796875,25.0,False
layer1.0,block,9,256,1,False,,0,56.0,56.0,102400,3.0457280777589824,3.282762612847199,0.012823291456434372,7.36690096126727,0.028776956879950272,1.961947116557412,0.007663855924052391,2.3010970381899516,10,256,0.8252520567087678,256,10,25,88,195,0.0390625,0.09765625,0.34375,0.76171875,timm:resnext50_32x4d.tv_in1k_random,random_init(seed=2),imagenet_val[6400],400.0,True,,,,,,6400.0,0.7747633612239363,2.762057832637887,0.010789288408741746,4.05496693943591,0.015839714607171523,1.8498969573128001,0.0072261599895031255,3.0496086375996105,10.0,256.0,0.9181342638597206,256.0,4.0,5.0,11.0,46.0,0.015625,0.01953125,0.04296875,0.1796875,25.0,False
