layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,model,weights,source,n_over_C,n_over_C_ok,k_star_rmax_0.9,k_star_rmax_0.95,k_star_rmax_0.99,k_star_rmax_0.999,r_max_over_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,pooled_n_over_C_ok
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,102400,7.244269580596278,1.8241459809427472,0.028502280952230424,3.245687059325638,0.05071386030196309,1.3701911788162695,0.02140923716900421,3.2873963884925876,10,64,0.9137136378166789,64,4,7,21,43,0.0625,0.109375,0.328125,0.671875,timm:resnet34.tv_in1k_random,random_init(seed=3),imagenet_val[6400],1600.0,True,0.0625,0.109375,0.328125,0.671875,1.0,6400.0,1.9897893503042747,1.54985985962396,0.024216560306624373,1.8643087171226636,0.029129823705041618,1.280150040312623,0.020002344379884733,6.635015719208957,10.0,64.0,0.9864648892187112,54.0,2.0,2.0,3.0,3.0,0.03125,0.03125,0.046875,0.046875,100.0,True
act1,act,1,64,1,False,,0,112.0,112.0,102400,2.3973523522767417,2.9451825969106684,0.046018478076729194,6.36326143289125,0.09942595988892577,1.8010775480409735,0.02814183668814021,1.6782827338779227,10,64,0.9881448064639959,64,9,19,45,61,0.140625,0.296875,0.703125,0.953125,timm:resnet34.tv_in1k_random,random_init(seed=3),imagenet_val[6400],1600.0,True,,,,,,6400.0,0.6325763903635154,2.307455646844078,0.03605399448193872,3.2782168611618894,0.05122213845565452,1.6140348264104543,0.025219294162663348,3.3548832225318224,10.0,64.0,0.9893077617359681,64.0,3.0,4.0,7.0,13.0,0.046875,0.0625,0.109375,0.203125,100.0,True
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,102400,5.818360684390361,4.0868324701734595,0.0638567573464603,9.690917499298106,0.1514205859265329,2.146138902566611,0.033533420352603295,1.578791198501,10,64,0.9952743612916507,64,14,26,51,63,0.21875,0.40625,0.796875,0.984375,timm:resnet34.tv_in1k_random,random_init(seed=3),imagenet_val[6400],1600.0,True,0.21875,0.40625,0.796875,0.984375,1.0,6400.0,1.4842603977142428,2.4944364545159687,0.03897556960181201,3.643115060098089,0.05692367281403264,1.6896132966568036,0.026400207760262556,3.7781477000182235,10.0,64.0,0.9449562921157517,64.0,4.0,5.0,7.0,21.0,0.0625,0.078125,0.109375,0.328125,100.0,True
layer1.0.act1,act,3,64,1,False,,0,56.0,56.0,102400,2.1021470101313136,5.254225112372027,0.08209726738081292,11.928542651982411,0.18638347893722518,2.5682790178672055,0.040129359654175085,2.1390018467562553,10,64,0.6956149060388912,64,19,31,49,58,0.296875,0.484375,0.765625,0.90625,timm:resnet34.tv_in1k_random,random_init(seed=3),imagenet_val[6400],1600.0,True,,,,,,6400.0,0.5186467281499118,2.9541173249420645,0.04615808320221976,4.415138395444583,0.0689865374288216,1.9001988911558976,0.0296906076743109,3.3908117274811147,10.0,64.0,0.8269733615285884,64.0,4.0,6.0,12.0,35.0,0.0625,0.09375,0.1875,0.546875,100.0,True
layer1.0.conv2,conv,4,64,1,False,64.0,0,56.0,56.0,102400,3.5385596855495556,7.964239619259818,0.12444124405093465,17.35111302109251,0.27111114095457045,3.532196221591268,0.05519056596236356,1.4168659008155748,10,64,0.9841624885627606,64,26,39,57,63,0.40625,0.609375,0.890625,0.984375,timm:resnet34.tv_in1k_random,random_init(seed=3),imagenet_val[6400],1600.0,True,0.40625,0.609375,0.890625,0.984375,1.0,6400.0,0.8140818473769842,3.605917769766918,0.056342465152608094,4.953482830812806,0.0773981692314501,2.3240710378352176,0.036313609966175275,4.16533245439409,10.0,64.0,0.9248065755680801,64.0,5.0,6.0,12.0,30.0,0.078125,0.09375,0.1875,0.46875,100.0,True
layer1.0.act2,act,5,64,1,False,,0,56.0,56.0,102400,3.336912146591139,3.0644819818047697,0.04788253096569953,6.165450928126986,0.09633517075198415,1.8544470729161835,0.028975735514315367,1.344518955928266,10,64,0.9947158022724752,64,7,15,45,62,0.109375,0.234375,0.703125,0.96875,timm:resnet34.tv_in1k_random,random_init(seed=3),imagenet_val[6400],1600.0,True,,,,,,6400.0,0.9035377388926226,2.5572375070844178,0.03995683604819403,3.669140135004431,0.05733031460944423,1.7212614149800227,0.026894709609062855,2.7538440839422798,10.0,64.0,0.9939900277643253,64.0,4.0,5.0,7.0,23.0,0.0625,0.078125,0.109375,0.359375,100.0,True
layer1.0,block,6,64,1,False,,0,56.0,56.0,102400,3.3412378615001717,3.0481948614614947,0.047628044710335854,6.142545325303186,0.09597727070786229,1.8476568734059329,0.0288696386469677,1.3394989060539928,10,64,0.9942702752518537,64,7,15,46,62,0.109375,0.234375,0.71875,0.96875,timm:resnet34.tv_in1k_random,random_init(seed=3),imagenet_val[6400],1600.0,True,,,,,,6400.0,0.9035377388926226,2.5572375070844178,0.03995683604819403,3.669140135004431,0.05733031460944423,1.7212614149800227,0.026894709609062855,2.7538440839422798,10.0,64.0,0.9939900277643253,64.0,4.0,5.0,7.0,23.0,0.0625,0.078125,0.109375,0.359375,100.0,True
layer1.1.conv1,conv,7,64,1,False,64.0,0,56.0,56.0,102400,6.1364107820270695,4.346893162455068,0.06792020566336043,9.61741644662868,0.15027213197857311,2.273369514186384,0.03552139865916225,1.5944085610060224,10,64,0.9964524806881226,64,13,25,51,63,0.203125,0.390625,0.796875,0.984375,timm:resnet34.tv_in1k_random,random_init(seed=3),imagenet_val[6400],1600.0,True,0.203125,0.390625,0.796875,0.984375,1.0,6400.0,1.5817333528829751,2.7452682063917213,0.042894815724870645,3.892371609243019,0.06081830639442217,1.8079102227282238,0.028248597230128496,3.72459352198417,10.0,64.0,0.9519908871333307,64.0,4.0,5.0,7.0,20.0,0.0625,0.078125,0.109375,0.3125,100.0,True
layer1.1.act1,act,8,64,1,False,,0,56.0,56.0,102400,2.473434878137775,5.250651705734158,0.08204143290209621,11.030542156757559,0.17235222119933685,2.674374380348387,0.041787099692943544,2.4459956572744996,10,64,0.6628146759335347,64,16,28,47,57,0.25,0.4375,0.734375,0.890625,timm:resnet34.tv_in1k_random,random_init(seed=3),imagenet_val[6400],1600.0,True,,,,,,6400.0,0.6081534070071428,3.2532867942199495,0.05083260615968671,4.553818643247334,0.0711534163007396,2.1133914423223508,0.03302174128628673,3.3333506062130667,10.0,64.0,0.8167187540405996,64.0,4.0,6.0,11.0,33.0,0.0625,0.09375,0.171875,0.515625,100.0,True
layer1.1.conv2,conv,9,64,1,False,64.0,0,56.0,56.0,102400,4.798403600846415,5.660715696362946,0.08844868275567103,13.287271300730046,0.20761361407390697,2.6553118822062363,0.04148924815947244,1.5053245754581044,10,64,0.9879576837634763,64,21,34,55,63,0.328125,0.53125,0.859375,0.984375,timm:resnet34.tv_in1k_random,random_init(seed=3),imagenet_val[6400],1600.0,True,0.328125,0.53125,0.859375,0.984375,1.0,6400.0,1.1533161800196092,2.9401090074373895,0.04593920324120921,4.317257846986519,0.06745715385916436,1.8876165072435926,0.029494007925681135,4.081865296205876,10.0,64.0,0.9441761462784759,64.0,4.0,6.0,10.0,27.0,0.0625,0.09375,0.15625,0.421875,100.0,True
layer1.1.act2,act,10,64,1,False,,0,56.0,56.0,102400,3.333726848194844,3.0497402928114603,0.04765219207517907,6.14651376129996,0.09603927752031187,1.8482732937340394,0.028879270214594365,1.3394092749165962,10,64,0.9942541876208953,64,7,15,46,62,0.109375,0.234375,0.71875,0.96875,timm:resnet34.tv_in1k_random,random_init(seed=3),imagenet_val[6400],1600.0,True,,,,,,6400.0,0.9035377388926226,2.5572375070844178,0.03995683604819403,3.669140135004431,0.05733031460944423,1.7212614149800227,0.026894709609062855,2.7538440839422798,10.0,64.0,0.9939900277643253,64.0,4.0,5.0,7.0,23.0,0.0625,0.078125,0.109375,0.359375,100.0,True
layer1.1,block,11,64,1,False,,0,56.0,56.0,102400,3.347690408278849,3.0559409667869377,0.0477490776060459,6.153958445903653,0.09615560071724458,1.850995675512913,0.028921807429889267,1.3405522114638777,10,64,0.9942914423254632,64,7,15,46,62,0.109375,0.234375,0.71875,0.96875,timm:resnet34.tv_in1k_random,random_init(seed=3),imagenet_val[6400],1600.0,True,,,,,,6400.0,0.9035377388926226,2.5572375070844178,0.03995683604819403,3.669140135004431,0.05733031460944423,1.7212614149800227,0.026894709609062855,2.7538440839422798,10.0,64.0,0.9939900277643253,64.0,4.0,5.0,7.0,23.0,0.0625,0.078125,0.109375,0.359375,100.0,True
layer1.2.conv1,conv,12,64,1,False,64.0,0,56.0,56.0,102400,6.688651295792808,4.150365209945786,0.0648494564054029,9.178140861045945,0.1434084509538429,2.2207646083427455,0.0346994470053554,1.6895884996528219,10,64,0.9958231591277117,64,13,24,50,62,0.203125,0.375,0.78125,0.96875,timm:resnet34.tv_in1k_random,random_init(seed=3),imagenet_val[6400],1600.0,True,0.203125,0.375,0.78125,0.96875,1.0,6400.0,1.6747756908580533,2.8633749811917593,0.04474023408112124,3.9244680956887485,0.061319813995136696,1.8956888465711401,0.029620138227674064,3.846050285943094,10.0,64.0,0.9662214102850313,64.0,4.0,5.0,7.0,20.0,0.0625,0.078125,0.109375,0.3125,100.0,True
