layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,model
features.0,conv,0,64,1,False,27.0,0,224.0,224.0,512,7.002924148558699,1.4395893347041795,0.022493583354752805,2.0127685237515553,0.03144950818361805,1.210938382003607,0.01892091221880636,9.959880496446972,10,64,0.963276784067388,46,2,3,7,12,0.03125,0.046875,0.109375,0.1875,1,timm:vgg16_bn.tv_in1k_random
features.0,conv,0,64,1,False,27.0,0,224.0,224.0,512,7.002924148558699,1.4395893347041795,0.022493583354752805,2.0127685237515553,0.03144950818361805,1.210938382003607,0.01892091221880636,9.959880496446972,10,64,0.963276784067388,46,2,3,7,12,0.03125,0.046875,0.109375,0.1875,2,timm:vgg16_bn.tv_in1k_random
features.0,conv,0,64,1,False,27.0,0,224.0,224.0,512,7.002924148558699,1.4395893347041795,0.022493583354752805,2.0127685237515553,0.03144950818361805,1.210938382003607,0.01892091221880636,9.959880496446972,10,64,0.963276784067388,46,2,3,7,12,0.03125,0.046875,0.109375,0.1875,5,timm:vgg16_bn.tv_in1k_random
features.0,conv,0,64,1,False,27.0,0,224.0,224.0,1024,7.299525109277781,1.48505840995531,0.023204037655551717,2.1630087807750673,0.03379701219961043,1.2288676231777078,0.019201056612151685,10.772929834683872,10,64,0.9502168897062874,45,2,4,7,13,0.03125,0.0625,0.109375,0.203125,10,timm:vgg16_bn.tv_in1k_random
features.0,conv,0,64,1,False,27.0,0,224.0,224.0,2048,7.547779471926971,1.405764780443586,0.02196507469443103,2.0102576095121667,0.031410275148627605,1.192276844587764,0.018629325696683813,10.7860935859177,10,64,0.9476141258577911,45,2,4,7,13,0.03125,0.0625,0.109375,0.203125,25,timm:vgg16_bn.tv_in1k_random
features.0,conv,0,64,1,False,27.0,0,224.0,224.0,3584,7.173319064785308,1.3987588436328104,0.021855606931762663,2.012780177545899,0.031449690274154674,1.1884974399222274,0.018570272498784804,11.087136019836775,10,64,0.940813669407806,45,2,4,7,13,0.03125,0.0625,0.109375,0.203125,50,timm:vgg16_bn.tv_in1k_random
features.0,conv,0,64,1,False,27.0,0,224.0,224.0,6656,7.168115158493073,1.387599819885317,0.021681247185708078,1.9888085730667686,0.03107513395416826,1.1835485953173528,0.018492946801833637,11.440630626530853,10,64,0.9413464436018772,46,2,4,7,13,0.03125,0.0625,0.109375,0.203125,100,timm:vgg16_bn.tv_in1k_random
features.0,conv,0,64,1,False,27.0,0,224.0,224.0,16384,7.121673259698611,1.386921290579324,0.021670645165301938,1.9824810680866605,0.03097626668885407,1.1833540953746862,0.01848990774022947,11.99088880789508,10,64,0.92863333215691,45,2,4,7,13,0.03125,0.0625,0.109375,0.203125,250,timm:vgg16_bn.tv_in1k_random
features.2,act,1,64,1,False,,0,224.0,224.0,512,2.498462164471994,2.0002551448039445,0.03125398663756163,3.5041361635848514,0.0547521275560133,1.4466866919201697,0.022604479561252652,2.9367511402293793,10,64,0.9832382358851467,64,4,7,19,44,0.0625,0.109375,0.296875,0.6875,1,timm:vgg16_bn.tv_in1k_random
features.2,act,1,64,1,False,,0,224.0,224.0,512,2.498462164471994,2.0002551448039445,0.03125398663756163,3.5041361635848514,0.0547521275560133,1.4466866919201697,0.022604479561252652,2.9367511402293793,10,64,0.9832382358851467,64,4,7,19,44,0.0625,0.109375,0.296875,0.6875,2,timm:vgg16_bn.tv_in1k_random
features.2,act,1,64,1,False,,0,224.0,224.0,512,2.498462164471994,2.0002551448039445,0.03125398663756163,3.5041361635848514,0.0547521275560133,1.4466866919201697,0.022604479561252652,2.9367511402293793,10,64,0.9832382358851467,64,4,7,19,44,0.0625,0.109375,0.296875,0.6875,5,timm:vgg16_bn.tv_in1k_random
features.2,act,1,64,1,False,,0,224.0,224.0,1024,2.6429060508068263,1.9464749082666566,0.03041367044166651,3.4640257054807067,0.05412540164813604,1.424229761597978,0.022253590024968406,2.7135546794482415,10,64,0.9907644617176251,64,4,8,21,48,0.0625,0.125,0.328125,0.75,10,timm:vgg16_bn.tv_in1k_random
features.2,act,1,64,1,False,,0,224.0,224.0,2048,2.619154156299067,1.990690972676307,0.031104546448067295,3.519811128891254,0.05499704888892584,1.445912450408214,0.022592382037628343,2.6472725242793618,10,64,0.9909076440564474,64,4,8,21,48,0.0625,0.125,0.328125,0.75,25,timm:vgg16_bn.tv_in1k_random
