layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,model,weights,source,n_over_C,n_over_C_ok,k_star_rmax_0.9,k_star_rmax_0.95,k_star_rmax_0.99,k_star_rmax_0.999,r_max_over_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,pooled_n_over_C_ok
features.0,conv,0,64,1,False,27.0,0,224.0,224.0,102400,7.0913636928265085,1.3895018740494205,0.021710966782022195,1.982832934460122,0.030981764600939408,1.1847294389262017,0.018511397483221902,13.055908233334092,10,64,0.9171133407057956,46,2,4,7,13,0.03125,0.0625,0.109375,0.203125,timm:vgg16_bn.tv_in1k_random,random_init(seed=3),imagenet_val[6400],1600.0,True,0.07407407407407407,0.14814814814814814,0.25925925925925924,0.48148148148148145,0.421875,6400.0,1.8523617793305605,1.4444270333140004,0.022569172395531256,1.7642552505385476,0.027566488289664806,1.2211197777065468,0.019079996526664793,6.279660752649653,10.0,64.0,0.9325135128966341,40.0,2.0,2.0,3.0,3.0,0.03125,0.03125,0.046875,0.046875,100.0,True
features.2,act,1,64,1,False,,0,224.0,224.0,102400,2.35931665365102,2.0741853946546276,0.032409146791478556,3.6977410216075848,0.05777720346261851,1.4820269816704934,0.02315667158860146,2.587334258465353,10,64,0.9939947482256835,64,5,8,22,50,0.078125,0.125,0.34375,0.78125,timm:vgg16_bn.tv_in1k_random,random_init(seed=3),imagenet_val[6400],1600.0,True,,,,,,6400.0,0.5960180786534743,2.06749779773883,0.03230465308966922,2.9904673862507756,0.04672605291016837,1.4963634213795358,0.023380678459055247,4.014882945546048,10.0,64.0,0.9883994021864041,64.0,3.0,4.0,7.0,11.0,0.046875,0.0625,0.109375,0.171875,100.0,True
features.3,conv,2,64,1,False,64.0,0,224.0,224.0,102400,5.421815333673756,1.847456300604599,0.02886650469694686,3.4590605959159157,0.054047821811186184,1.3769913723140348,0.021515490192406794,2.1488616065220283,10,64,0.9910001668365599,64,4,9,29,56,0.0625,0.140625,0.453125,0.875,timm:vgg16_bn.tv_in1k_random,random_init(seed=3),imagenet_val[6400],1600.0,True,0.0625,0.140625,0.453125,0.875,1.0,6400.0,1.379874840041153,1.819225547055231,0.028425399172737984,2.639114909186965,0.04123617045604633,1.381693919486759,0.02158896749198061,5.111554018771669,10.0,64.0,0.9657776654124306,64.0,3.0,4.0,6.0,11.0,0.046875,0.0625,0.09375,0.171875,100.0,True
features.5,act,3,64,1,False,,0,224.0,224.0,102400,2.1806277497566247,2.021972560844969,0.03159332126320264,3.8603016567369535,0.0603172133865149,1.452701543428334,0.022698461616067717,2.05828703204599,10,64,0.8967356976814366,64,5,11,34,56,0.078125,0.171875,0.53125,0.875,timm:vgg16_bn.tv_in1k_random,random_init(seed=3),imagenet_val[6400],1600.0,True,,,,,,6400.0,0.542628806103876,1.9697734730607153,0.030777710516573676,2.9238769339293404,0.045685577092645945,1.4497001295564806,0.02265156452432001,3.760185683767451,10.0,64.0,0.9847329985442745,64.0,3.0,4.0,8.0,19.0,0.046875,0.0625,0.125,0.296875,100.0,True
features.7,conv,4,128,1,False,128.0,0,112.0,112.0,102400,5.048587783313057,2.1008771573495917,0.016413102791793685,4.808885683871986,0.03756941940524989,1.4693665778987408,0.011479426389833913,1.6691543344914457,10,128,0.9882343783350525,128,8,19,69,117,0.0625,0.1484375,0.5390625,0.9140625,timm:vgg16_bn.tv_in1k_random,random_init(seed=3),imagenet_val[6400],800.0,True,0.0625,0.1484375,0.5390625,0.9140625,1.0,6400.0,1.2169794671239549,1.8398348566381757,0.014373709817485748,2.785415410961981,0.021761057898140476,1.3873802690916839,0.01083890835227878,5.927442735880586,10.0,128.0,0.9255181293833917,128.0,3.0,4.0,8.0,21.0,0.0234375,0.03125,0.0625,0.1640625,50.0,True
features.9,act,5,128,1,False,,0,112.0,112.0,102400,2.0773385761863077,2.386527217754862,0.01864474388870986,5.4968271915455515,0.04294396243394962,1.5918789620154328,0.012436554390745569,1.8843150389504704,10,128,0.8354384986095704,128,9,24,74,110,0.0703125,0.1875,0.578125,0.859375,timm:vgg16_bn.tv_in1k_random,random_init(seed=3),imagenet_val[6400],800.0,True,,,,,,6400.0,0.5048835993789214,2.0899083810842365,0.016327409227220598,3.121752002019483,0.024388687515777212,1.5149684798956857,0.011835691249185045,3.1891915679433414,10.0,128.0,0.9647187488619673,128.0,3.0,5.0,10.0,30.0,0.0234375,0.0390625,0.078125,0.234375,50.0,True
features.10,conv,6,128,1,False,128.0,0,112.0,112.0,102400,4.1260224437436275,2.735131029148184,0.021368211165220186,6.672635567933156,0.05212996537447778,1.7299208309659624,0.013515006491921581,1.4165859858028762,10,128,0.9908210179607854,128,13,33,89,123,0.1015625,0.2578125,0.6953125,0.9609375,timm:vgg16_bn.tv_in1k_random,random_init(seed=3),imagenet_val[6400],800.0,True,0.1015625,0.2578125,0.6953125,0.9609375,1.0,6400.0,0.9876344220095348,2.198285651234345,0.01717410665026832,3.208838912534521,0.025069054004175945,1.583648169867744,0.01237225132709175,3.986729094549553,10.0,128.0,0.9457164887171775,128.0,3.0,5.0,9.0,27.0,0.0234375,0.0390625,0.0703125,0.2109375,50.0,True
features.12,act,7,128,1,False,,0,112.0,112.0,102400,1.7951907849690512,3.5155557363627357,0.027465279190333872,8.244677728179717,0.06441154475140404,2.123045518638516,0.016586293114363406,2.4472422797931626,10,128,0.5900867274422626,128,17,37,81,105,0.1328125,0.2890625,0.6328125,0.8203125,timm:vgg16_bn.tv_in1k_random,random_init(seed=3),imagenet_val[6400],800.0,True,,,,,,6400.0,0.428510657572222,2.6229866438082268,0.02049208315475177,3.6459430437562093,0.028483930029345385,1.9181266693376549,0.014985364604200429,3.9196166618206583,10.0,128.0,0.777861695171123,128.0,3.0,5.0,11.0,34.0,0.0234375,0.0390625,0.0859375,0.265625,50.0,True
features.14,conv,8,256,1,False,256.0,0,56.0,56.0,102400,4.05033753418348,4.513857951684682,0.01763225762376829,12.3822324333383,0.048368095442727736,2.467271086399076,0.009637777681246391,1.4580012658374528,10,256,0.9881102834087448,256,25,63,173,242,0.09765625,0.24609375,0.67578125,0.9453125,timm:vgg16_bn.tv_in1k_random,random_init(seed=3),imagenet_val[6400],400.0,True,0.09765625,0.24609375,0.67578125,0.9453125,1.0,6400.0,0.9483977757535741,2.791149507616546,0.010902927764127133,3.9066964529485233,0.01526053301933017,2.0522518767293145,0.008016608893473885,4.598700216866525,10.0,256.0,0.9376601939230664,256.0,4.0,5.0,12.0,39.0,0.015625,0.01953125,0.046875,0.15234375,25.0,False
features.16,act,9,256,1,False,,0,56.0,56.0,102400,2.0173115105261434,4.383537421144953,0.017123193051347473,12.083548376357387,0.04720136084514604,2.463523346778972,0.00962313807335536,2.440616653519164,10,256,0.384708521011077,255,28,64,149,208,0.109375,0.25,0.58203125,0.8125,timm:vgg16_bn.tv_in1k_random,random_init(seed=3),imagenet_val[6400],400.0,True,,,,,,6400.0,0.48873767564616527,2.6403957169056786,0.010314045769162807,3.7451472884551453,0.014629481595527911,1.9242090045966291,0.0075164414242055826,3.4207487280725424,10.0,256.0,0.7673525084151287,256.0,3.0,5.0,13.0,51.0,0.01171875,0.01953125,0.05078125,0.19921875,25.0,False
features.17,conv,10,256,1,False,256.0,0,56.0,56.0,102400,4.238222371613716,4.691860816832679,0.018327581315752652,14.193965927993997,0.05544517940622655,2.4963439355322237,0.009751343498172749,1.3451992828302934,10,256,0.9918401106888679,256,36,84,192,247,0.140625,0.328125,0.75,0.96484375,timm:vgg16_bn.tv_in1k_random,random_init(seed=3),imagenet_val[6400],400.0,True,0.140625,0.328125,0.75,0.96484375,1.0,6400.0,0.9932052655719031,2.525185944609797,0.00986400759613202,3.6101176797672525,0.01410202218659083,1.815735361490403,0.007092716255821887,3.572216504685645,10.0,256.0,0.9449299444663048,256.0,3.0,5.0,12.0,45.0,0.01171875,0.01953125,0.046875,0.17578125,25.0,False
features.19,act,11,256,1,False,,0,56.0,56.0,102400,2.0840109130067486,4.139003097418928,0.016167980849292687,12.554985760585147,0.04904291312728573,2.245729964139719,0.008772382672420777,2.9030411020761773,10,256,0.27674459996220346,254,34,73,152,205,0.1328125,0.28515625,0.59375,0.80078125,timm:vgg16_bn.tv_in1k_random,random_init(seed=3),imagenet_val[6400],400.0,True,,,,,,6400.0,0.503251529963949,2.2761281369257347,0.008891125534866151,3.3356438028135686,0.013029858604740503,1.643017088799439,0.006418035503122809,3.6957669589098066,10.0,256.0,0.6371752943815807,255.0,3.0,5.0,13.0,54.0,0.01171875,0.01953125,0.05078125,0.2109375,25.0,False
features.20,conv,12,256,1,False,256.0,0,56.0,56.0,102400,4.394327549359375,4.529904865004468,0.017694940878923704,14.462073646567864,0.05649247518190572,2.360098553451763,0.009219134974420949,1.2934416844012857,10,256,0.9913023692240277,256,41,91,197,248,0.16015625,0.35546875,0.76953125,0.96875,timm:vgg16_bn.tv_in1k_random,random_init(seed=3),imagenet_val[6400],400.0,True,0.16015625,0.35546875,0.76953125,0.96875,1.0,6400.0,1.0005158865580226,2.2669816992264247,0.008855397262603221,3.274685699701842,0.01279174101446032,1.6532220630101888,0.00645789868363355,3.568817625677836,10.0,256.0,0.9332338303624128,256.0,3.0,5.0,12.0,48.0,0.01171875,0.01953125,0.046875,0.1875,25.0,False
features.22,act,13,256,1,False,,0,56.0,56.0,102400,2.074058642534788,4.057326610910721,0.015848932073870003,13.107808070263944,0.05120237527446853,2.1575263608867092,0.008427837347213708,2.703712233130151,10,256,0.5791882852600323,256,38,76,145,195,0.1484375,0.296875,0.56640625,0.76171875,timm:vgg16_bn.tv_in1k_random,random_init(seed=3),imagenet_val[6400],400.0,True,,,,,,6400.0,0.4851833724855505,2.0260801948230385,0.007914375761027494,3.011124535653303,0.011762205217395716,1.5043775879964514,0.005876474953111138,3.795477086599168,10.0,256.0,0.7168641263870509,255.0,3.0,5.0,13.0,55.0,0.01171875,0.01953125,0.05078125,0.21484375,25.0,False
features.24,conv,14,512,1,False,512.0,0,28.0,28.0,102400,5.1549279029929105,4.810002698686295,0.00939453652087167,15.811437531019907,0.030881713927773256,2.397019976887091,0.0046816796423576,1.3367009131638496,10,512,0.9811519559073874,512,41,123,346,484,0.080078125,0.240234375,0.67578125,0.9453125,timm:vgg16_bn.tv_in1k_random,random_init(seed=3),imagenet_val[6400],200.0,True,0.080078125,0.240234375,0.67578125,0.9453125,1.0,6400.0,1.1472466146790148,2.013873079772623,0.003933345858930904,3.004233405587829,0.005867643370288728,1.5008361498031046,0.0029313206050841888,3.599453068893671,10.0,512.0,0.9491458364523655,512.0,3.0,5.0,14.0,67.0,0.005859375,0.009765625,0.02734375,0.130859375,12.5,False
features.26,act,15,512,1,False,,0,28.0,28.0,102400,2.293994080855371,4.787320036658139,0.009350234446597928,16.52753498279426,0.03228034176327004,2.3608732845866585,0.004611080633958317,2.8648154528694088,10,512,0.3833229437770854,508,48,120,269,367,0.09375,0.234375,0.525390625,0.716796875,timm:vgg16_bn.tv_in1k_random,random_init(seed=3),imagenet_val[6400],200.0,True,,,,,,6400.0,0.5149406543695343,1.9698618171780287,0.0038473863616758372,2.979489309107719,0.005819315056851014,1.4758991368557886,0.002882615501671462,3.558956162477678,10.0,512.0,0.6891304060855354,510.0,3.0,5.0,15.0,88.0,0.005859375,0.009765625,0.029296875,0.171875,12.5,False
features.27,conv,16,512,1,False,512.0,0,28.0,28.0,102400,5.0073676302855095,5.345186432004609,0.010439817250009002,19.227300611449827,0.037553321506737944,2.516037870370001,0.004914136465566408,1.259052430067429,10,512,0.9896552405019027,512,57,155,378,493,0.111328125,0.302734375,0.73828125,0.962890625,timm:vgg16_bn.tv_in1k_random,random_init(seed=3),imagenet_val[6400],200.0,True,0.111328125,0.302734375,0.73828125,0.962890625,1.0,6400.0,0.9913536752881732,1.9687302746398634,0.003845176317655983,2.96814800096451,0.005797164064383809,1.4772958033039416,0.002885343365828011,3.0884625271109893,10.0,512.0,0.9504650348047977,512.0,3.0,5.0,15.0,82.0,0.005859375,0.009765625,0.029296875,0.16015625,12.5,False
features.29,act,17,512,1,False,,0,28.0,28.0,102400,2.402085803062713,4.542462434427901,0.008871996942241995,17.582938286205223,0.03434167634024458,2.2372707394450866,0.004369669412978685,2.2676110225589055,10,512,0.6053538239613256,511,58,136,287,396,0.11328125,0.265625,0.560546875,0.7734375,timm:vgg16_bn.tv_in1k_random,random_init(seed=3),imagenet_val[6400],200.0,True,,,,,,6400.0,0.5117430532796231,1.757750889626359,0.0034331072063014823,2.6854369787194368,0.0052449940990614,1.36457468691378,0.0026651849353784766,3.036327823075153,10.0,512.0,0.747239310780211,511.0,2.0,4.0,15.0,97.0,0.00390625,0.0078125,0.029296875,0.189453125,12.5,False
features.30,conv,18,512,1,False,512.0,0,28.0,28.0,102400,4.9781224573655605,4.978185314577088,0.009723018192533375,20.24078724193093,0.03953278758189635,2.356959140128815,0.004603435820564092,1.234486256349388,10,512,0.9898219202384896,512,70,176,391,495,0.13671875,0.34375,0.763671875,0.966796875,timm:vgg16_bn.tv_in1k_random,random_init(seed=3),imagenet_val[6400],200.0,True,0.13671875,0.34375,0.763671875,0.966796875,1.0,6400.0,0.9211952571316354,1.7332851791619215,0.003385322615550628,2.6986642178839566,0.005270828550554603,1.3492803418183454,0.002635313167613956,3.023686132296363,10.0,512.0,0.9473369012916586,512.0,2.0,4.0,17.0,90.0,0.00390625,0.0078125,0.033203125,0.17578125,12.5,False
features.32,act,19,512,1,False,,0,28.0,28.0,102400,2.2084449734177505,4.394109284481265,0.00858224469625247,18.141524158077722,0.03543266437124555,2.172790421751153,0.004243731292482721,2.434821773147719,10,512,0.6320422919602395,512,65,140,275,383,0.126953125,0.2734375,0.537109375,0.748046875,timm:vgg16_bn.tv_in1k_random,random_init(seed=3),imagenet_val[6400],200.0,True,,,,,,6400.0,0.4443130858343184,1.6051994002193004,0.003135155078553321,2.4610771391659134,0.004806791287433425,1.2888854332178856,0.002517354361753683,3.1500790385201967,10.0,512.0,0.7735743965138547,512.0,2.0,4.0,16.0,102.0,0.00390625,0.0078125,0.03125,0.19921875,12.5,False
features.34,conv,20,512,1,False,512.0,0,14.0,14.0,102400,6.018633213201225,5.166081663850467,0.010090003249707944,16.435056205987664,0.032099719152319656,2.5388301001883895,0.004958652539430448,1.1695356415508036,10,512,0.98833920712742,512,42,139,379,494,0.08203125,0.271484375,0.740234375,0.96484375,timm:vgg16_bn.tv_in1k_random,random_init(seed=3),imagenet_val[6400],200.0,True,0.08203125,0.271484375,0.740234375,0.96484375,1.0,6400.0,1.0294397343265735,1.6296446853733997,0.0031828997761199213,2.571116901617947,0.005021712698472553,1.2997552189624524,0.00253858441203604,2.42025657784958,10.0,512.0,0.9512282101200596,512.0,2.0,4.0,21.0,152.0,0.00390625,0.0078125,0.041015625,0.296875,12.5,False
features.36,act,21,512,1,False,,0,14.0,14.0,102400,2.6690493924438847,4.959559230083511,0.009686639121256857,17.08248405930061,0.03336422667832151,2.398725727427645,0.004685011186382119,2.5609127484410075,10,512,0.3767433891310902,507,49,130,283,390,0.095703125,0.25390625,0.552734375,0.76171875,timm:vgg16_bn.tv_in1k_random,random_init(seed=3),imagenet_val[6400],200.0,True,,,,,,6400.0,0.49074659709582275,1.5528176851169697,0.0030328470412440815,2.443444884878388,0.004772353290778101,1.262938946633323,0.002466677630143209,3.1015659203488477,10.0,512.0,0.5756388482671524,507.0,2.0,4.0,23.0,173.0,0.00390625,0.0078125,0.044921875,0.337890625,12.5,False
features.37,conv,22,512,1,False,512.0,0,14.0,14.0,102400,6.0973413757499175,5.039718086300443,0.009843199387305553,17.440953877655726,0.03406436304229634,2.4463202680486096,0.004777969273532441,1.2013119027099972,10,512,0.9897823311533408,512,49,149,379,493,0.095703125,0.291015625,0.740234375,0.962890625,timm:vgg16_bn.tv_in1k_random,random_init(seed=3),imagenet_val[6400],200.0,True,0.095703125,0.291015625,0.740234375,0.962890625,1.0,6400.0,0.8984746634886556,1.5669429687589504,0.003060435485857325,2.4969671525020063,0.004876888969730481,1.2683846296823245,0.00247731372984829,2.561291219397422,10.0,512.0,0.9513998286766996,512.0,2.0,4.0,23.0,146.0,0.00390625,0.0078125,0.044921875,0.28515625,12.5,False
features.39,act,23,512,1,False,,0,14.0,14.0,102400,2.8450306961860186,4.635970281972597,0.009054629456977728,17.31639392558309,0.03382108188590447,2.2774295854384756,0.004448104659059523,2.2297568804424897,10,512,0.5616315030615173,511,55,138,294,397,0.107421875,0.26953125,0.57421875,0.775390625,timm:vgg16_bn.tv_in1k_random,random_init(seed=3),imagenet_val[6400],200.0,True,,,,,,6400.0,0.46164416468211084,1.458624070416521,0.0028488751375322675,2.305387848123806,0.0045027106408668085,1.2171363130136839,0.0023772193613548513,2.7564883568113436,10.0,512.0,0.7143038632202865,512.0,2.0,4.0,24.0,174.0,0.00390625,0.0078125,0.046875,0.33984375,12.5,False
features.40,conv,24,512,1,False,512.0,0,14.0,14.0,102400,6.637331486888126,5.0843595128674215,0.009930389673569183,17.00250347597156,0.033208014601506956,2.510550864981121,0.0049034196581662515,1.1992636561900603,10,512,0.9888569336987756,512,49,149,378,493,0.095703125,0.291015625,0.73828125,0.962890625,timm:vgg16_bn.tv_in1k_random,random_init(seed=3),imagenet_val[6400],200.0,True,0.095703125,0.291015625,0.73828125,0.962890625,1.0,6400.0,0.8326455131081796,1.4765451085131,0.0028838771650646485,2.362853577894262,0.004614948394324731,1.2249747067545975,0.0023925287241300733,2.58206159033498,10.0,512.0,0.9504609112279557,512.0,2.0,5.0,24.0,149.0,0.00390625,0.009765625,0.046875,0.291015625,12.5,False
