layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,model
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,512,8.054473516759106,1.729608556944618,0.027025133702259656,2.892497809518672,0.04519527827372925,1.3370673590060707,0.020891677484469854,3.663360228725068,10,64,0.9233213061873197,64,3,7,18,38,0.046875,0.109375,0.28125,0.59375,1,timm:wide_resnet50_2.tv_in1k_random
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,512,8.054473516759106,1.729608556944618,0.027025133702259656,2.892497809518672,0.04519527827372925,1.3370673590060707,0.020891677484469854,3.663360228725068,10,64,0.9233213061873197,64,3,7,18,38,0.046875,0.109375,0.28125,0.59375,2,timm:wide_resnet50_2.tv_in1k_random
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,512,8.054473516759106,1.729608556944618,0.027025133702259656,2.892497809518672,0.04519527827372925,1.3370673590060707,0.020891677484469854,3.663360228725068,10,64,0.9233213061873197,64,3,7,18,38,0.046875,0.109375,0.28125,0.59375,5,timm:wide_resnet50_2.tv_in1k_random
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,1024,8.624714228279117,1.7201075633062153,0.026876680676659614,2.9876282004636696,0.04668169063224484,1.3281312433357522,0.020752050677121128,3.447416781799783,10,64,0.9163125033668768,64,4,7,20,41,0.0625,0.109375,0.3125,0.640625,10,timm:wide_resnet50_2.tv_in1k_random
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,2048,8.867405509617663,1.6031012967123752,0.025048457761130863,2.7197330001470124,0.04249582812729707,1.2770712288189578,0.019954237950296216,3.3508911663455074,10,64,0.9167649186803694,64,3,6,20,41,0.046875,0.09375,0.3125,0.640625,25,timm:wide_resnet50_2.tv_in1k_random
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,3584,8.37678480328936,1.621004169601036,0.025328190150016187,2.792275608439704,0.043629306381870375,1.2837633307026965,0.020058802042229634,3.3219746328977835,10,64,0.9153933667577745,64,4,7,20,41,0.0625,0.109375,0.3125,0.640625,50,timm:wide_resnet50_2.tv_in1k_random
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,6656,8.420159752736755,1.6158635680853037,0.02524786825133287,2.7796261591202858,0.043431658736254465,1.2816417573842795,0.020025652459129368,3.2921322674647477,10,64,0.9121191266844396,64,4,7,20,42,0.0625,0.109375,0.3125,0.65625,100,timm:wide_resnet50_2.tv_in1k_random
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,16384,8.337734140987779,1.5968534868597635,0.024950835732183804,2.7263446286220248,0.04259913482221914,1.2734815820899574,0.019898149720155585,3.2939393167265134,10,64,0.9144422606800723,64,3,6,20,41,0.046875,0.09375,0.3125,0.640625,250,timm:wide_resnet50_2.tv_in1k_random
act1,act,1,64,1,False,,0,112.0,112.0,512,3.0229321977163712,2.35367281807497,0.036776137782421406,4.655375145012539,0.07274023664082092,1.5819608439433595,0.02471813818661499,2.0980409212378737,10,64,0.9827163744797697,64,6,12,34,58,0.09375,0.1875,0.53125,0.90625,1,timm:wide_resnet50_2.tv_in1k_random
act1,act,1,64,1,False,,0,112.0,112.0,512,3.0229321977163712,2.35367281807497,0.036776137782421406,4.655375145012539,0.07274023664082092,1.5819608439433595,0.02471813818661499,2.0980409212378737,10,64,0.9827163744797697,64,6,12,34,58,0.09375,0.1875,0.53125,0.90625,2,timm:wide_resnet50_2.tv_in1k_random
act1,act,1,64,1,False,,0,112.0,112.0,512,3.0229321977163712,2.35367281807497,0.036776137782421406,4.655375145012539,0.07274023664082092,1.5819608439433595,0.02471813818661499,2.0980409212378737,10,64,0.9827163744797697,64,6,12,34,58,0.09375,0.1875,0.53125,0.90625,5,timm:wide_resnet50_2.tv_in1k_random
act1,act,1,64,1,False,,0,112.0,112.0,1024,3.138761977305271,2.3268412583109623,0.036356894661108786,4.816164504320447,0.07525257038000699,1.5669259578976782,0.02448321809215122,1.890006679175849,10,64,0.9821917019164293,64,7,14,39,60,0.109375,0.21875,0.609375,0.9375,10,timm:wide_resnet50_2.tv_in1k_random
act1,act,1,64,1,False,,0,112.0,112.0,2048,3.1180312611907506,2.320162581320193,0.03625254033312802,4.801912760721053,0.07502988688626645,1.566104545525512,0.024470383523836126,1.847521158209801,10,64,0.9898223763105453,64,7,15,40,60,0.109375,0.234375,0.625,0.9375,25,timm:wide_resnet50_2.tv_in1k_random
act1,act,1,64,1,False,,0,112.0,112.0,3584,2.905257358539156,2.3714509849762324,0.03705392164025363,5.008399357498248,0.07825623996091012,1.5836700689820582,0.02474484482784466,1.793304006685099,10,64,0.9934220369762224,64,8,16,41,61,0.125,0.25,0.640625,0.953125,50,timm:wide_resnet50_2.tv_in1k_random
act1,act,1,64,1,False,,0,112.0,112.0,6656,2.885564720755559,2.391347370812648,0.03736480266894762,5.019011748456791,0.07842205856963735,1.5941708620371093,0.024908919719329833,1.7501171360720436,10,64,0.9945045808244537,64,8,16,42,61,0.125,0.25,0.65625,0.953125,100,timm:wide_resnet50_2.tv_in1k_random
