layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,model
features.conv0,conv,0,64,1,False,64.0,0,112.0,112.0,512,217.63155092138595,5.604569766850177,0.08757140260703401,7.102621298193956,0.11097845778428056,4.095365335339709,0.06399008336468295,39.56694352181166,10,64,0.4526780671263104,39,6,8,13,21,0.09375,0.125,0.203125,0.328125,1,timm:densenet121.ra_in1k
features.conv0,conv,0,64,1,False,64.0,0,112.0,112.0,512,217.63155092138595,5.604569766850177,0.08757140260703401,7.102621298193956,0.11097845778428056,4.095365335339709,0.06399008336468295,39.56694352181166,10,64,0.4526780671263104,39,6,8,13,21,0.09375,0.125,0.203125,0.328125,2,timm:densenet121.ra_in1k
features.conv0,conv,0,64,1,False,64.0,0,112.0,112.0,512,217.63155092138595,5.604569766850177,0.08757140260703401,7.102621298193956,0.11097845778428056,4.095365335339709,0.06399008336468295,39.56694352181166,10,64,0.4526780671263104,39,6,8,13,21,0.09375,0.125,0.203125,0.328125,5,timm:densenet121.ra_in1k
features.conv0,conv,0,64,1,False,64.0,0,112.0,112.0,1024,250.10190980377635,5.7042341098625995,0.08912865796660312,7.363854104502492,0.11506022038285144,3.6938919376800907,0.05771706152625142,45.806080002767004,10,64,0.5305350072533364,39,6,9,13,21,0.09375,0.140625,0.203125,0.328125,10,timm:densenet121.ra_in1k
features.conv0,conv,0,64,1,False,64.0,0,112.0,112.0,2048,233.79828911360562,5.765230314858093,0.0900817236696577,7.327429199949999,0.11449108124921874,3.84279070908642,0.060043604829475315,37.547303781713836,10,64,0.4673612476136588,39,6,8,13,21,0.09375,0.125,0.203125,0.328125,25,timm:densenet121.ra_in1k
features.conv0,conv,0,64,1,False,64.0,0,112.0,112.0,3584,224.22154515190857,5.822381278197398,0.09097470747183434,7.408317690261481,0.11575496391033564,3.897063170813542,0.060891612043961596,37.15220952978908,10,64,0.4624538244468288,39,6,9,14,21,0.09375,0.140625,0.21875,0.328125,50,timm:densenet121.ra_in1k
features.conv0,conv,0,64,1,False,64.0,0,112.0,112.0,6656,217.96342349939945,5.834897020456446,0.09117026594463197,7.395871616451837,0.11556049400705995,3.9659089653938406,0.06196732758427876,37.75891278972356,10,64,0.502516565179783,39,6,9,14,21,0.09375,0.140625,0.21875,0.328125,100,timm:densenet121.ra_in1k
features.conv0,conv,0,64,1,False,64.0,0,112.0,112.0,16384,211.97552765833203,5.805954606276627,0.0907180407230723,7.321506208930279,0.1143985345145356,3.9544850880227926,0.061788829500356135,41.57089755491216,10,64,0.47522975345549756,39,6,8,14,21,0.09375,0.125,0.21875,0.328125,250,timm:densenet121.ra_in1k
features.norm0.act,act,1,64,1,False,,0,112.0,112.0,512,4975.823265241785,2.084630228095401,0.03257234731399064,2.9822866396348275,0.04659822874429418,1.4971023251969355,0.023392223831202118,29.165390769967697,10,64,0.42154526350740884,39,3,4,6,11,0.046875,0.0625,0.09375,0.171875,1,timm:densenet121.ra_in1k
features.norm0.act,act,1,64,1,False,,0,112.0,112.0,512,4975.823265241785,2.084630228095401,0.03257234731399064,2.9822866396348275,0.04659822874429418,1.4971023251969355,0.023392223831202118,29.165390769967697,10,64,0.42154526350740884,39,3,4,6,11,0.046875,0.0625,0.09375,0.171875,2,timm:densenet121.ra_in1k
features.norm0.act,act,1,64,1,False,,0,112.0,112.0,512,4975.823265241785,2.084630228095401,0.03257234731399064,2.9822866396348275,0.04659822874429418,1.4971023251969355,0.023392223831202118,29.165390769967697,10,64,0.42154526350740884,39,3,4,6,11,0.046875,0.0625,0.09375,0.171875,5,timm:densenet121.ra_in1k
features.norm0.act,act,1,64,1,False,,0,112.0,112.0,1024,5225.920489405027,2.5943632722198284,0.04053692612843482,3.4411155478238578,0.05376743043474778,1.7757720017639749,0.027746437527562107,38.20844441206389,10,64,0.3979296654477402,39,3,4,6,12,0.046875,0.0625,0.09375,0.1875,10,timm:densenet121.ra_in1k
features.norm0.act,act,1,64,1,False,,0,112.0,112.0,2048,4957.329303981555,2.6936605078913063,0.04208844543580166,3.618579002337188,0.056540296911518566,1.7935135535273505,0.028023649273864852,37.47252725545187,10,64,0.40507655528562536,39,4,4,6,12,0.0625,0.0625,0.09375,0.1875,25,timm:densenet121.ra_in1k
features.norm0.act,act,1,64,1,False,,0,112.0,112.0,3584,4846.890391022913,2.8028831247052177,0.04379504882351903,3.7141887674254286,0.05803419949102232,1.8464430155048421,0.02885067211726316,43.41154492137887,10,64,0.4541771661234888,39,4,4,6,12,0.0625,0.0625,0.09375,0.1875,50,timm:densenet121.ra_in1k
features.norm0.act,act,1,64,1,False,,0,112.0,112.0,6656,4609.634589305059,2.9334346652055494,0.04583491664383671,3.842147963096113,0.06003356192337676,1.9139584902124411,0.029905601409569393,37.684167045992744,10,64,0.40377096301618587,39,4,4,6,12,0.0625,0.0625,0.09375,0.1875,100,timm:densenet121.ra_in1k
features.norm0.act,act,1,64,1,False,,0,112.0,112.0,16384,4446.524398865049,2.961818342199547,0.04627841159686792,3.866402346831089,0.06041253666923577,1.935003377185308,0.030234427768520436,31.743963972904332,10,64,0.36529987296913013,39,4,4,6,12,0.0625,0.0625,0.09375,0.1875,250,timm:densenet121.ra_in1k
