layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,model,weights,source,n_over_C,n_over_C_ok,k_star_rmax_0.9,k_star_rmax_0.95,k_star_rmax_0.99,k_star_rmax_0.999,r_max_over_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,pooled_n_over_C_ok
features.conv0,conv,0,64,1,False,64.0,0,112.0,112.0,102400,212.8645619851081,5.8132881839004655,0.09083262787344477,7.322990936079252,0.11442173337623832,4.0252788681015135,0.06289498231408615,29.89828361281207,10,64,0.48947457850118403,39,6,8,14,21,0.09375,0.125,0.21875,0.328125,timm:densenet121.ra_in1k,timm/densenet121.ra_in1k,imagenet_val[6400],1600.0,True,0.09375,0.125,0.21875,0.328125,1.0,6400.0,39.07035630148197,2.828550816906861,0.044196106514169706,2.9314310253682194,0.04580360977137843,2.2337086585565196,0.03490169778994562,35.71581343497412,10.0,64.0,0.47046435867840164,36.0,3.0,3.0,3.0,3.0,0.046875,0.046875,0.046875,0.046875,100.0,True
features.norm0.act,act,1,64,1,False,,0,112.0,112.0,102400,4596.024324090492,2.9222389535023874,0.0456599836484748,3.8243511090293367,0.059755486078583386,1.9127262551578792,0.029886347736841862,42.6165925871721,10,64,0.43991126146575155,39,4,4,6,12,0.0625,0.0625,0.09375,0.1875,timm:densenet121.ra_in1k,timm/densenet121.ra_in1k,imagenet_val[6400],1600.0,True,,,,,,6400.0,1795.1609193845127,2.038881567836808,0.03185752449745013,2.6342080651856716,0.04115950101852612,1.5103586448922037,0.023599353826440683,36.946768355504325,10.0,64.0,0.4500114550159183,39.0,3.0,3.0,5.0,6.0,0.046875,0.046875,0.078125,0.09375,100.0,True
features.denseblock1.denselayer1.norm1.act,act,2,64,1,False,,0,56.0,56.0,102400,103.16516056873925,4.185051794534969,0.06539143428960889,9.511491254266433,0.14861705084791302,2.1548660633732175,0.033669782240206524,37.88404183152254,10,64,0.5271683080050731,39,15,21,30,35,0.234375,0.328125,0.46875,0.546875,timm:densenet121.ra_in1k,timm/densenet121.ra_in1k,imagenet_val[6400],1600.0,True,,,,,,6400.0,17.477886185718983,1.9380189759751347,0.03028154649961148,3.511681592227978,0.05487002487856216,1.409796215117252,0.022028065861207063,40.00105784943045,10.0,64.0,0.4730249656301966,39.0,5.0,8.0,13.0,27.0,0.078125,0.125,0.203125,0.421875,100.0,True
features.denseblock1.denselayer1.conv1,conv,3,128,1,False,64.0,0,56.0,56.0,102400,113.55566944201618,2.191622216115384,0.017122048563401437,3.603011535856824,0.02814852762388144,1.5506203891610602,0.012114221790320782,33.07667577358767,10,128,0.5404391827278763,60,4,7,15,25,0.03125,0.0546875,0.1171875,0.1953125,timm:densenet121.ra_in1k,timm/densenet121.ra_in1k,imagenet_val[6400],800.0,True,0.0625,0.109375,0.234375,0.390625,0.5,6400.0,21.343953611022922,1.303751016795098,0.010185554818711704,1.8502214668825658,0.014454855210020046,1.1442194792415854,0.008939214681574886,31.726361429618866,10.0,128.0,0.5177450061173203,59.0,2.0,4.0,8.0,14.0,0.015625,0.03125,0.0625,0.109375,50.0,True
features.denseblock1.denselayer1.norm2.act,act,4,128,1,False,,0,56.0,56.0,102400,23.127358559071904,5.752179917152653,0.044938905602755104,12.804973016341332,0.10003885169016666,2.7594374565708075,0.021558105129459434,17.290782129232547,10,128,0.38402005771186076,83,19,29,53,73,0.1484375,0.2265625,0.4140625,0.5703125,timm:densenet121.ra_in1k,timm/densenet121.ra_in1k,imagenet_val[6400],800.0,True,,,,,,6400.0,4.169817098511803,2.4012527357031828,0.018759786997681115,4.438371745598828,0.034674779262490844,1.606842756568923,0.01255345903569471,20.401783928030905,10.0,128.0,0.40364843790311977,82.0,6.0,9.0,22.0,50.0,0.046875,0.0703125,0.171875,0.390625,50.0,True
features.denseblock1.denselayer1.conv2,conv,5,32,1,False,32.0,0,56.0,56.0,102400,54.95859083292262,5.808170042971848,0.18150531384287025,9.288804935911138,0.29027515424722306,2.9955804888038737,0.09361189027512105,12.411509093258312,10,32,0.27648734642891337,30,9,13,21,28,0.28125,0.40625,0.65625,0.875,timm:densenet121.ra_in1k,timm/densenet121.ra_in1k,imagenet_val[6400],3200.0,True,0.28125,0.40625,0.65625,0.875,1.0,6400.0,10.164517319744977,2.333593511615824,0.0729247972379945,3.009057657131583,0.09403305178536196,1.825624312341645,0.0570507597606764,13.421956468801785,10.0,32.0,0.34201586752075575,30.0,2.0,4.0,8.0,15.0,0.0625,0.125,0.25,0.46875,200.0,True
features.denseblock1.denselayer1,block,6,32,1,False,,0,56.0,56.0,102400,55.09719808422224,5.787867062879123,0.18087084571497258,9.261240311191157,0.28941375972472366,2.9848925666749953,0.0932778927085936,12.408904329287225,10,32,0.2766143694103207,30,9,13,21,28,0.28125,0.40625,0.65625,0.875,timm:densenet121.ra_in1k,timm/densenet121.ra_in1k,imagenet_val[6400],3200.0,True,,,,,,6400.0,10.164517319744977,2.333593511615824,0.0729247972379945,3.009057657131583,0.09403305178536196,1.825624312341645,0.0570507597606764,13.421956468801785,10.0,32.0,0.34201586752075575,30.0,2.0,4.0,8.0,15.0,0.0625,0.125,0.25,0.46875,200.0,True
features.denseblock1.denselayer2.norm1.act,act,7,96,1,False,,0,56.0,56.0,102400,173.29515665395303,5.839613147164878,0.06082930361630081,12.175888436462644,0.12683217121315254,2.7039447350476977,0.028166090990080186,17.665886374079687,10,96,0.4089271780403453,68,16,24,39,50,0.16666666666666666,0.25,0.40625,0.5208333333333334,timm:densenet121.ra_in1k,timm/densenet121.ra_in1k,imagenet_val[6400],1066.6666666666667,True,,,,,,6400.0,23.30982950845974,2.001341724659878,0.02084730963187373,3.350585584538588,0.03490193317227696,1.4512354947610757,0.015117036403761205,17.582447984734312,10.0,96.0,0.40547299713262486,67.0,4.0,6.0,15.0,33.0,0.041666666666666664,0.0625,0.15625,0.34375,66.66666666666667,True
features.denseblock1.denselayer2.conv1,conv,8,128,1,False,96.0,0,56.0,56.0,102400,311.9959076431403,4.12576758383511,0.032232559248711795,6.371841650314721,0.04978001289308376,2.373540553523159,0.01854328557439968,19.543256396636053,10,128,0.4121053148349254,88,6,9,17,30,0.046875,0.0703125,0.1328125,0.234375,timm:densenet121.ra_in1k,timm/densenet121.ra_in1k,imagenet_val[6400],800.0,True,0.0625,0.09375,0.17708333333333334,0.3125,0.75,6400.0,40.13432541596164,1.9240804043492081,0.015031878158978189,2.8088510884901745,0.02194414912882949,1.426272994606927,0.011142757770366617,16.343033959563584,10.0,128.0,0.3771896115348984,88.0,3.0,4.0,7.0,16.0,0.0234375,0.03125,0.0546875,0.125,50.0,True
features.denseblock1.denselayer2.norm2.act,act,9,128,1,False,,0,56.0,56.0,102400,32.308548828937575,14.640368282979434,0.11437787721077683,29.019883508136296,0.2267178399073148,6.077784288643984,0.04748268975503112,8.460563910525261,10,128,0.13201275387502087,112,37,55,88,107,0.2890625,0.4296875,0.6875,0.8359375,timm:densenet121.ra_in1k,timm/densenet121.ra_in1k,imagenet_val[6400],800.0,True,,,,,,6400.0,3.5205871341123904,4.049235945444504,0.03163465582378519,6.780039674200668,0.05296905995469272,2.5309774351486887,0.01977326121209913,7.947573053680924,10.0,128.0,0.1715452912280786,112.0,6.0,12.0,33.0,79.0,0.046875,0.09375,0.2578125,0.6171875,50.0,True
