layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,model
features.conv0,conv,0,64,1,False,64.0,0,112.0,112.0,512,226.4951597837117,5.15278966170565,0.08051233846415078,7.324932410508464,0.11445206891419475,3.2654787020357614,0.05102310471930877,6.634643180399662,10,64,0.9194780551643214,62,7,10,18,30,0.109375,0.15625,0.28125,0.46875,1,timm:densenet121.tv_in1k
features.conv0,conv,0,64,1,False,64.0,0,112.0,112.0,512,226.4951597837117,5.15278966170565,0.08051233846415078,7.324932410508464,0.11445206891419475,3.2654787020357614,0.05102310471930877,6.634643180399662,10,64,0.9194780551643214,62,7,10,18,30,0.109375,0.15625,0.28125,0.46875,2,timm:densenet121.tv_in1k
features.conv0,conv,0,64,1,False,64.0,0,112.0,112.0,512,226.4951597837117,5.15278966170565,0.08051233846415078,7.324932410508464,0.11445206891419475,3.2654787020357614,0.05102310471930877,6.634643180399662,10,64,0.9194780551643214,62,7,10,18,30,0.109375,0.15625,0.28125,0.46875,5,timm:densenet121.tv_in1k
features.conv0,conv,0,64,1,False,64.0,0,112.0,112.0,1024,264.8536906719073,5.093442681800105,0.07958504190312664,7.587967233969467,0.11856198803077292,2.936370566762229,0.045880790105659826,7.763393783691877,10,64,0.5350599027289579,62,7,11,18,30,0.109375,0.171875,0.28125,0.46875,10,timm:densenet121.tv_in1k
features.conv0,conv,0,64,1,False,64.0,0,112.0,112.0,2048,243.3319691347749,5.31168852658875,0.08299513322794921,7.699791450088909,0.1203092414076392,3.052497241144114,0.04769526939287678,7.730243043861887,10,64,0.5122275574624477,62,7,10,18,30,0.109375,0.15625,0.28125,0.46875,25,timm:densenet121.tv_in1k
features.conv0,conv,0,64,1,False,64.0,0,112.0,112.0,3584,233.94839594231763,5.418865179304313,0.08466976842662989,7.807502285467841,0.12199222321043501,3.1848610812799723,0.049763454394999566,7.585153006907097,10,64,0.5336245391485454,62,7,11,19,31,0.109375,0.171875,0.296875,0.484375,50,timm:densenet121.tv_in1k
features.conv0,conv,0,64,1,False,64.0,0,112.0,112.0,6656,226.04274610769443,5.512461864036292,0.08613221662556707,7.847886574608373,0.12262322772825583,3.3714845215956797,0.052679445649932495,8.71662737534645,10,64,0.45445479474415296,62,7,10,19,31,0.109375,0.15625,0.296875,0.484375,100,timm:densenet121.tv_in1k
features.conv0,conv,0,64,1,False,64.0,0,112.0,112.0,16384,219.1121514488396,5.517496710433608,0.08621088610052513,7.769073154398523,0.12139176803747692,3.4467932912524675,0.053856145175819804,7.586340839694896,10,64,0.5139731106253588,62,7,10,19,31,0.109375,0.15625,0.296875,0.484375,250,timm:densenet121.tv_in1k
features.norm0.act,act,1,64,1,False,,0,112.0,112.0,512,0.2965185784547063,3.6441433055898225,0.056939739149840976,6.357293713269594,0.0993327142698374,2.0799419441890405,0.03249909287795376,5.24793243931656,10,64,0.3357828064149839,62,7,10,21,40,0.109375,0.15625,0.328125,0.625,1,timm:densenet121.tv_in1k
features.norm0.act,act,1,64,1,False,,0,112.0,112.0,512,0.2965185784547063,3.6441433055898225,0.056939739149840976,6.357293713269594,0.0993327142698374,2.0799419441890405,0.03249909287795376,5.24793243931656,10,64,0.3357828064149839,62,7,10,21,40,0.109375,0.15625,0.328125,0.625,2,timm:densenet121.tv_in1k
features.norm0.act,act,1,64,1,False,,0,112.0,112.0,512,0.2965185784547063,3.6441433055898225,0.056939739149840976,6.357293713269594,0.0993327142698374,2.0799419441890405,0.03249909287795376,5.24793243931656,10,64,0.3357828064149839,62,7,10,21,40,0.109375,0.15625,0.328125,0.625,5,timm:densenet121.tv_in1k
features.norm0.act,act,1,64,1,False,,0,112.0,112.0,1024,0.34538631223125044,4.205311429589384,0.06570799108733412,6.845027704953402,0.10695355788989691,2.5610679727826784,0.04001668707472935,6.300338346007862,10,64,0.2752535243437083,62,7,10,22,42,0.109375,0.15625,0.34375,0.65625,10,timm:densenet121.tv_in1k
features.norm0.act,act,1,64,1,False,,0,112.0,112.0,2048,0.31059971023596444,4.404609316049986,0.06882202056328103,7.2929964025490275,0.11395306878982855,2.5957269051048195,0.040558232892262805,5.0823946646285565,10,64,0.27792051357719405,62,8,11,23,44,0.125,0.171875,0.359375,0.6875,25,timm:densenet121.tv_in1k
features.norm0.act,act,1,64,1,False,,0,112.0,112.0,3584,0.2877349445471022,4.7276543471318035,0.07386959917393443,7.675485025254461,0.11992945351960095,2.83751488105249,0.04433617001644516,4.93008393618344,10,64,0.30034974378985124,62,8,12,24,45,0.125,0.1875,0.375,0.703125,50,timm:densenet121.tv_in1k
features.norm0.act,act,1,64,1,False,,0,112.0,112.0,6656,0.27455988949099763,4.814550894043119,0.07522735771942374,7.8365964061333555,0.12244681884583368,2.816833798926492,0.04401302810822644,5.056511303340768,10,64,0.2739399344767889,62,8,12,24,45,0.125,0.1875,0.375,0.703125,100,timm:densenet121.tv_in1k
features.norm0.act,act,1,64,1,False,,0,112.0,112.0,16384,0.2708696218617769,4.767849722556807,0.07449765191495011,7.717093811754242,0.12057959080866003,2.8027222661987383,0.043792535409355286,6.251239104595328,10,64,0.2636277666207367,62,8,12,23,45,0.125,0.1875,0.359375,0.703125,250,timm:densenet121.tv_in1k
features.denseblock1.denselayer1.norm1.act,act,2,64,1,False,,0,56.0,56.0,512,1.2719970355922112,5.579241482231713,0.08717564815987051,11.497473332980645,0.17964802082782258,2.6408902828941114,0.04126391067022049,10.66856549907131,10,64,0.25512044566291314,54,15,23,40,50,0.234375,0.359375,0.625,0.78125,1,timm:densenet121.tv_in1k
features.denseblock1.denselayer1.norm1.act,act,2,64,1,False,,0,56.0,56.0,512,1.2719970355922112,5.579241482231713,0.08717564815987051,11.497473332980645,0.17964802082782258,2.6408902828941114,0.04126391067022049,10.66856549907131,10,64,0.25512044566291314,54,15,23,40,50,0.234375,0.359375,0.625,0.78125,2,timm:densenet121.tv_in1k
features.denseblock1.denselayer1.norm1.act,act,2,64,1,False,,0,56.0,56.0,512,1.2719970355922112,5.579241482231713,0.08717564815987051,11.497473332980645,0.17964802082782258,2.6408902828941114,0.04126391067022049,10.66856549907131,10,64,0.25512044566291314,54,15,23,40,50,0.234375,0.359375,0.625,0.78125,5,timm:densenet121.tv_in1k
features.denseblock1.denselayer1.norm1.act,act,2,64,1,False,,0,56.0,56.0,1024,1.4905638401269585,5.370061023957847,0.08390720349934136,11.772455818690121,0.18394462216703314,2.537485001861634,0.039648203154088034,10.476317532263922,10,64,0.24595394549431693,54,16,26,42,51,0.25,0.40625,0.65625,0.796875,10,timm:densenet121.tv_in1k
features.denseblock1.denselayer1.norm1.act,act,2,64,1,False,,0,56.0,56.0,2048,1.4313846962576495,5.482789888474313,0.08566859200741114,11.928269567893935,0.18637921199834273,2.5791394707753157,0.04029905423086431,10.472776645452962,10,64,0.24377344024378522,54,16,26,43,51,0.25,0.40625,0.671875,0.796875,25,timm:densenet121.tv_in1k
features.denseblock1.denselayer1.norm1.act,act,2,64,1,False,,0,56.0,56.0,3584,1.4156711383238474,5.438076655161248,0.0849699477368945,11.819647613300717,0.1846819939578237,2.5702753223493158,0.04016055191170806,11.774868098188866,10,64,0.26738658460093456,54,16,26,43,51,0.25,0.40625,0.671875,0.796875,50,timm:densenet121.tv_in1k
features.denseblock1.denselayer1.norm1.act,act,2,64,1,False,,0,56.0,56.0,6656,1.4122880419841393,5.499758574772349,0.08593372773081795,11.866730451365676,0.1854176633025887,2.592799038492481,0.040512484976445017,11.5588189201169,10,64,0.2662506792223879,54,17,26,43,52,0.265625,0.40625,0.671875,0.8125,100,timm:densenet121.tv_in1k
features.denseblock1.denselayer1.norm1.act,act,2,64,1,False,,0,56.0,56.0,16384,1.3601338815707111,5.387368499407337,0.08417763280323964,11.628119004121057,0.18168935943939152,2.5604524240265274,0.04000706912541449,8.817758911042594,10,64,0.2125612588385758,54,16,26,43,52,0.25,0.40625,0.671875,0.8125,250,timm:densenet121.tv_in1k
features.denseblock1.denselayer1.conv1,conv,3,128,1,False,64.0,0,56.0,56.0,512,1.8532518231096478,4.079269045769573,0.03186928942007479,6.628219658246159,0.05178296608004812,2.2492589492325017,0.01757233554087892,8.632653088490127,10,128,0.8844952399899183,91,6,9,17,31,0.046875,0.0703125,0.1328125,0.2421875,1,timm:densenet121.tv_in1k
features.denseblock1.denselayer1.conv1,conv,3,128,1,False,64.0,0,56.0,56.0,512,1.8532518231096478,4.079269045769573,0.03186928942007479,6.628219658246159,0.05178296608004812,2.2492589492325017,0.01757233554087892,8.632653088490127,10,128,0.8844952399899183,91,6,9,17,31,0.046875,0.0703125,0.1328125,0.2421875,2,timm:densenet121.tv_in1k
