layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,model,weights,source,n_over_C,n_over_C_ok,k_star_rmax_0.9,k_star_rmax_0.95,k_star_rmax_0.99,k_star_rmax_0.999,r_max_over_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,pooled_n_over_C_ok
features.conv0,conv,0,64,1,False,64.0,0,112.0,112.0,102400,220.83735117050514,5.46932602641419,0.08545821916272171,7.708424361449737,0.12044413064765214,3.4287305460867157,0.05357391478260493,7.592158984148652,10,64,0.5055629344735229,62,7,10,19,31,0.109375,0.15625,0.296875,0.484375,timm:densenet121.tv_in1k,timm/densenet121.tv_in1k,imagenet_val[6400],1600.0,True,0.109375,0.15625,0.296875,0.484375,1.0,6400.0,30.884814677078833,2.538350627028699,0.03966172854732342,2.7422138846111404,0.04284709194704907,2.0349337361067574,0.031795839626668085,9.496494175717725,10.0,64.0,0.8214489151984021,55.0,3.0,3.0,3.0,4.0,0.046875,0.046875,0.046875,0.0625,100.0,True
features.norm0.act,act,1,64,1,False,,0,112.0,112.0,102400,0.274715445871551,4.688281204948248,0.07325439382731637,7.641409364376087,0.11939702131837636,2.741199729889498,0.04283124577952341,6.2953402662571705,10,64,0.2630902191435154,62,8,12,23,45,0.125,0.1875,0.359375,0.703125,timm:densenet121.tv_in1k,timm/densenet121.tv_in1k,imagenet_val[6400],1600.0,True,,,,,,6400.0,0.09362752640079579,2.5055919321397155,0.039149873939683055,3.2022206367078936,0.05003469744856084,1.8807186930836963,0.029386229579432755,8.4186193197542,10.0,64.0,0.5244084671504293,62.0,3.0,4.0,7.0,14.0,0.046875,0.0625,0.109375,0.21875,100.0,True
features.denseblock1.denselayer1.norm1.act,act,2,64,1,False,,0,56.0,56.0,102400,1.342897672773318,5.451242153481393,0.08517565864814676,11.674596398572888,0.18241556872770137,2.5860551637717775,0.04040711193393402,10.323762459560488,10,64,0.2388416401082314,54,16,26,43,52,0.25,0.40625,0.671875,0.8125,timm:densenet121.tv_in1k,timm/densenet121.tv_in1k,imagenet_val[6400],1600.0,True,,,,,,6400.0,0.18172107042175487,1.957930527964204,0.03059266449944069,3.2940415531020473,0.05146939926721949,1.4304848526387774,0.022351325822480898,12.073369841982318,10.0,64.0,0.3274253987431106,54.0,4.0,6.0,13.0,31.0,0.0625,0.09375,0.203125,0.484375,100.0,True
features.denseblock1.denselayer1.conv1,conv,3,128,1,False,64.0,0,56.0,56.0,102400,1.7733152874241045,4.306048507893684,0.03364100396791941,7.030502952619331,0.054925804317338525,2.3174200013067576,0.018104843760209044,10.870967105316463,10,128,0.8125050863007452,89,7,9,18,33,0.0546875,0.0703125,0.140625,0.2578125,timm:densenet121.tv_in1k,timm/densenet121.tv_in1k,imagenet_val[6400],800.0,True,0.109375,0.140625,0.28125,0.515625,0.5,6400.0,0.24749976754073844,1.7374501910803475,0.013573829617815215,2.540531906157293,0.01984790551685385,1.34527080501582,0.010509928164186094,9.853694272871993,10.0,128.0,0.8768754441139388,91.0,3.0,4.0,7.0,16.0,0.0234375,0.03125,0.0546875,0.125,50.0,True
features.denseblock1.denselayer1.norm2.act,act,4,128,1,False,,0,56.0,56.0,102400,0.587445089061402,9.671713114663692,0.0755602587083101,20.03640981472349,0.15653445167752728,4.3264138526851745,0.033800108224102926,2.516944232766628,10,128,0.5326295076227092,127,27,44,87,115,0.2109375,0.34375,0.6796875,0.8984375,timm:densenet121.tv_in1k,timm/densenet121.tv_in1k,imagenet_val[6400],800.0,True,,,,,,6400.0,0.08451805393460307,2.9187034059099926,0.022802370358671817,4.589876502005513,0.03585841017191807,2.015089897026045,0.015742889820515978,3.3216931701705708,10.0,128.0,0.6863556834341902,127.0,4.0,7.0,22.0,65.0,0.03125,0.0546875,0.171875,0.5078125,50.0,True
features.denseblock1.denselayer1.conv2,conv,5,32,1,False,32.0,0,56.0,56.0,102400,1.9675446539380264,9.16457863700408,0.2863930824063775,12.617850215881045,0.39430781924628266,5.9309855255885005,0.18534329767464064,3.1053635300977382,10,32,0.9302768874177717,32,12,16,24,31,0.375,0.5,0.75,0.96875,timm:densenet121.tv_in1k,timm/densenet121.tv_in1k,imagenet_val[6400],3200.0,True,0.375,0.5,0.75,0.96875,1.0,6400.0,0.180063640033226,2.568170535435982,0.08025532923237444,3.5546208888643274,0.11108190277701023,1.9035778250538264,0.059486807032932076,4.466641466009156,10.0,32.0,0.9881108080493,32.0,3.0,5.0,10.0,19.0,0.09375,0.15625,0.3125,0.59375,200.0,True
features.denseblock1.denselayer1,block,6,32,1,False,,0,56.0,56.0,102400,1.9710624715361784,9.16213122432962,0.28631660076030063,12.610282819502666,0.3940713381094583,5.935717595578098,0.18549117486181557,3.118224549447566,10,32,0.9308816536678599,32,12,16,24,31,0.375,0.5,0.75,0.96875,timm:densenet121.tv_in1k,timm/densenet121.tv_in1k,imagenet_val[6400],3200.0,True,,,,,,6400.0,0.180063640033226,2.568170535435982,0.08025532923237444,3.5546208888643274,0.11108190277701023,1.9035778250538264,0.059486807032932076,4.466641466009156,10.0,32.0,0.9881108080493,32.0,3.0,5.0,10.0,19.0,0.09375,0.15625,0.3125,0.59375,200.0,True
features.denseblock1.denselayer2.norm1.act,act,7,96,1,False,,0,56.0,56.0,102400,1.3950002494858278,8.911026749087378,0.09282319530299353,22.61296210929,0.23555168863843748,3.3845391820512267,0.035255616479700276,2.8895919589350614,10,96,0.18226385465905282,94,32,48,74,89,0.3333333333333333,0.5,0.7708333333333334,0.9270833333333334,timm:densenet121.tv_in1k,timm/densenet121.tv_in1k,imagenet_val[6400],1066.6666666666667,True,,,,,,6400.0,0.24040850178527207,3.507508122124416,0.036536542938796,6.2356193936687525,0.06495436868404951,2.037375236029893,0.021222658708644718,3.560828488551961,10.0,96.0,0.9694878033152255,94.0,7.0,10.0,23.0,51.0,0.07291666666666667,0.10416666666666667,0.23958333333333334,0.53125,66.66666666666667,True
features.denseblock1.denselayer2.conv1,conv,8,128,1,False,96.0,0,56.0,56.0,102400,0.9309682769522398,5.811823583005924,0.04540487174223378,11.457444554665829,0.08951128558332679,2.7127647610590273,0.02119347469577365,7.391594525107764,10,128,0.6501939176698563,108,13,19,34,56,0.1015625,0.1484375,0.265625,0.4375,timm:densenet121.tv_in1k,timm/densenet121.tv_in1k,imagenet_val[6400],800.0,True,0.13541666666666666,0.19791666666666666,0.3541666666666667,0.5833333333333334,0.75,6400.0,0.135874006758255,3.0593175535119532,0.023900918386812135,5.293041414788057,0.041351886053031695,1.8502074681057885,0.014454745844576473,7.90550477099934,10.0,128.0,0.777848197013,110.0,6.0,8.0,14.0,30.0,0.046875,0.0625,0.109375,0.234375,50.0,True
features.denseblock1.denselayer2.norm2.act,act,9,128,1,False,,0,56.0,56.0,102400,0.5425289851273007,17.74439425539804,0.13862808012029718,34.638300328341735,0.2706117213151698,7.0798855766105975,0.05531160606727029,1.7155592277002432,10,128,0.9818978426428275,127,42,65,105,124,0.328125,0.5078125,0.8203125,0.96875,timm:densenet121.tv_in1k,timm/densenet121.tv_in1k,imagenet_val[6400],800.0,True,,,,,,6400.0,0.07248843099817967,6.4966008255013445,0.050754693949229254,10.902890916598956,0.08517883528592934,3.466524966682303,0.02708222630220549,2.61543919868813,10.0,128.0,0.9909655976646581,127.0,10.0,17.0,44.0,96.0,0.078125,0.1328125,0.34375,0.75,50.0,True
