layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,model
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,512,4.054952754970722,1.2832903847155108,0.04010282452235971,1.6647722722992808,0.052024133509352526,1.1379117498171079,0.03555974218178462,11.600720480547412,10,32,0.9801030201314322,29,2,2,5,8,0.0625,0.0625,0.15625,0.25,1,timm:efficientnet_b0.ra4_e3600_r224_in1k
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,512,4.054952754970722,1.2832903847155108,0.04010282452235971,1.6647722722992808,0.052024133509352526,1.1379117498171079,0.03555974218178462,11.600720480547412,10,32,0.9801030201314322,29,2,2,5,8,0.0625,0.0625,0.15625,0.25,2,timm:efficientnet_b0.ra4_e3600_r224_in1k
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,512,4.054952754970722,1.2832903847155108,0.04010282452235971,1.6647722722992808,0.052024133509352526,1.1379117498171079,0.03555974218178462,11.600720480547412,10,32,0.9801030201314322,29,2,2,5,8,0.0625,0.0625,0.15625,0.25,5,timm:efficientnet_b0.ra4_e3600_r224_in1k
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,512,4.054952754970722,1.2832903847155108,0.04010282452235971,1.6647722722992808,0.052024133509352526,1.1379117498171079,0.03555974218178462,11.600720480547412,10,32,0.9801030201314322,29,2,2,5,8,0.0625,0.0625,0.15625,0.25,10,timm:efficientnet_b0.ra4_e3600_r224_in1k
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,1024,4.409589287511088,1.2490829664757659,0.039033842702367684,1.6178991263661222,0.05055934769894132,1.1209791130623732,0.03503059728319916,11.526135630243765,10,32,0.9912242519942739,29,2,2,5,8,0.0625,0.0625,0.15625,0.25,25,timm:efficientnet_b0.ra4_e3600_r224_in1k
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,2048,4.565171213420235,1.2257822878931806,0.03830569649666189,1.5687773455421339,0.049024292048191684,1.1098985780071844,0.03468433056272451,12.6038556907032,10,32,0.9660123661852154,30,1,2,5,8,0.03125,0.0625,0.15625,0.25,50,timm:efficientnet_b0.ra4_e3600_r224_in1k
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,3584,4.341905557905208,1.2205647169756708,0.03814264740548971,1.5654462522578898,0.048920195383059056,1.107208498299453,0.034600265571857906,12.270596392619627,10,32,0.9779161983440459,30,1,2,5,8,0.03125,0.0625,0.15625,0.25,100,timm:efficientnet_b0.ra4_e3600_r224_in1k
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,8192,4.331501009867109,1.2046828438340755,0.03764633886981486,1.5306455231248453,0.047832672597651414,1.0996703159505545,0.03436469737345483,12.252766631982212,10,32,0.9778847840608322,28,1,2,5,8,0.03125,0.0625,0.15625,0.25,250,timm:efficientnet_b0.ra4_e3600_r224_in1k
bn1.act,act,1,32,1,False,,0,112.0,112.0,512,138.54781909114925,6.1390626701234305,0.1918457084413572,8.713586566814472,0.27229958021295225,3.222962804569646,0.10071758764280143,11.380513858625342,10,32,0.7882796689487408,32,8,11,16,21,0.25,0.34375,0.5,0.65625,1,timm:efficientnet_b0.ra4_e3600_r224_in1k
bn1.act,act,1,32,1,False,,0,112.0,112.0,512,138.54781909114925,6.1390626701234305,0.1918457084413572,8.713586566814472,0.27229958021295225,3.222962804569646,0.10071758764280143,11.380513858625342,10,32,0.7882796689487408,32,8,11,16,21,0.25,0.34375,0.5,0.65625,2,timm:efficientnet_b0.ra4_e3600_r224_in1k
bn1.act,act,1,32,1,False,,0,112.0,112.0,512,138.54781909114925,6.1390626701234305,0.1918457084413572,8.713586566814472,0.27229958021295225,3.222962804569646,0.10071758764280143,11.380513858625342,10,32,0.7882796689487408,32,8,11,16,21,0.25,0.34375,0.5,0.65625,5,timm:efficientnet_b0.ra4_e3600_r224_in1k
bn1.act,act,1,32,1,False,,0,112.0,112.0,512,138.54781909114925,6.1390626701234305,0.1918457084413572,8.713586566814472,0.27229958021295225,3.222962804569646,0.10071758764280143,11.380513858625342,10,32,0.7882796689487408,32,8,11,16,21,0.25,0.34375,0.5,0.65625,10,timm:efficientnet_b0.ra4_e3600_r224_in1k
