layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,model,weights,source,n_over_C,n_over_C_ok,k_star_rmax_0.9,k_star_rmax_0.95,k_star_rmax_0.99,k_star_rmax_0.999,r_max_over_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,pooled_n_over_C_ok
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,102400,4.249185603224596,1.218927358390034,0.03809147994968856,1.5578211269560798,0.04868191021737749,1.1065383547733212,0.03457932358666629,12.99193287000656,10,32,0.975728967410775,29,1,2,5,8,0.03125,0.0625,0.15625,0.25,timm:efficientnet_b0.ra4_e3600_r224_in1k,timm/efficientnet_b0.ra4_e3600_r224_in1k,imagenet_val[6400],3200.0,True,0.037037037037037035,0.07407407407407407,0.18518518518518517,0.2962962962962963,0.84375,6400.0,1.0987891528550233,1.2918473454005726,0.04037022954376789,1.5499691677719827,0.04843653649287446,1.1451535641692951,0.03578604888029047,9.838040956836254,10.0,32.0,0.8864884544738934,25.0,2.0,2.0,3.0,3.0,0.0625,0.0625,0.09375,0.09375,200.0,True
bn1.act,act,1,32,1,False,,0,112.0,112.0,102400,150.68337097091245,6.747439856681535,0.21085749552129796,9.237109318336225,0.28865966619800704,3.677028023885489,0.11490712574642153,11.162951038021752,10,32,0.7846165913842845,32,9,11,16,22,0.28125,0.34375,0.5,0.6875,timm:efficientnet_b0.ra4_e3600_r224_in1k,timm/efficientnet_b0.ra4_e3600_r224_in1k,imagenet_val[6400],3200.0,True,,,,,,6400.0,15.446660112483464,2.142677567710259,0.0669586739909456,3.1176092523630095,0.09742528913634405,1.5319211062874583,0.04787253457148307,10.9930236005458,10.0,32.0,0.7970437722848829,32.0,3.0,4.0,8.0,15.0,0.09375,0.125,0.25,0.46875,200.0,True
blocks.0.0.conv_dw,conv,2,32,32,True,32.0,0,112.0,112.0,102400,1.5499158430954882,9.272779622633237,0.28977436320728867,12.38169129823737,0.38692785306991784,5.3999854683422415,0.16874954588569505,8.896108642254713,10,32,0.8383605899958976,32,12,15,19,23,0.375,0.46875,0.59375,0.71875,timm:efficientnet_b0.ra4_e3600_r224_in1k,timm/efficientnet_b0.ra4_e3600_r224_in1k,imagenet_val[6400],3200.0,True,0.375,0.46875,0.59375,0.71875,1.0,6400.0,0.2268985273836088,2.30482432231741,0.07202576007241906,2.8993797357388593,0.09060561674183935,1.7404965306988718,0.05439051658433974,11.993576301949957,10.0,32.0,0.8434580218313993,32.0,3.0,4.0,6.0,10.0,0.09375,0.125,0.1875,0.3125,200.0,True
blocks.0.0.bn1.act,act,3,32,1,False,,0,112.0,112.0,102400,962.9317499595667,11.052966196108665,0.3454051936283958,14.435478939561293,0.4511087168612904,6.3329166110577635,0.1979036440955551,5.215591106815681,10,32,0.8161180802255038,32,13,16,23,27,0.40625,0.5,0.71875,0.84375,timm:efficientnet_b0.ra4_e3600_r224_in1k,timm/efficientnet_b0.ra4_e3600_r224_in1k,imagenet_val[6400],3200.0,True,,,,,,6400.0,105.01007556961113,3.58919003112735,0.11216218847272968,5.253864602574646,0.1641832688304577,2.1439875756897866,0.06699961174030583,8.044102821957859,10.0,32.0,0.8780533562795945,32.0,5.0,7.0,11.0,15.0,0.15625,0.21875,0.34375,0.46875,200.0,True
blocks.0.0.se.conv_reduce,conv_gap,4,8,1,False,8.0,0,1.0,1.0,6400,11.548624125240034,2.7239257943184914,0.3404907242898114,3.4381957856213763,0.42977447320267204,1.9226708374307138,0.24033385467883922,,10,8,,8,4,4,5,7,0.5,0.5,0.625,0.875,timm:efficientnet_b0.ra4_e3600_r224_in1k,timm/efficientnet_b0.ra4_e3600_r224_in1k,imagenet_val[6400],800.0,True,0.5,0.5,0.625,0.875,1.0,6400.0,11.548624125240034,2.7239257943184914,0.3404907242898114,3.4381957856213763,0.42977447320267204,1.9226708374307138,0.24033385467883922,,10.0,8.0,,8.0,4.0,4.0,5.0,7.0,0.5,0.5,0.625,0.875,800.0,True
blocks.0.0.se.act1,act,5,8,1,False,,0,1.0,1.0,6400,3.05473114476254,3.3626780247947194,0.42033475309933993,4.1287096254892965,0.5160887031861621,2.3276388804677666,0.2909548600584708,,10,8,,8,4,5,6,7,0.5,0.625,0.75,0.875,timm:efficientnet_b0.ra4_e3600_r224_in1k,timm/efficientnet_b0.ra4_e3600_r224_in1k,imagenet_val[6400],800.0,True,,,,,,6400.0,3.05473114476254,3.3626780247947194,0.42033475309933993,4.1287096254892965,0.5160887031861621,2.3276388804677666,0.2909548600584708,,10.0,8.0,,8.0,4.0,5.0,6.0,7.0,0.5,0.625,0.75,0.875,800.0,True
blocks.0.0.se.conv_expand,conv_gap,6,32,1,False,8.0,0,1.0,1.0,6400,0.7010227313954099,2.6292981010696974,0.08216556565842804,3.102809282755462,0.09696279008610818,2.0636242618266274,0.0644882581820821,3.3079999449923045,10,32,0.8559945845297235,20,3,3,5,6,0.09375,0.09375,0.15625,0.1875,timm:efficientnet_b0.ra4_e3600_r224_in1k,timm/efficientnet_b0.ra4_e3600_r224_in1k,imagenet_val[6400],200.0,True,0.375,0.375,0.625,0.75,0.25,6400.0,0.7010227313954099,2.6292981010696974,0.08216556565842804,3.102809282755462,0.09696279008610818,2.0636242618266274,0.0644882581820821,3.3079999449923045,10.0,32.0,0.8559945845297235,20.0,3.0,3.0,5.0,6.0,0.09375,0.09375,0.15625,0.1875,200.0,True
blocks.0.0.conv_pw,conv,7,16,1,False,16.0,0,112.0,112.0,102400,0.3525187115850855,3.897867507345302,0.24361671920908137,6.482086055172293,0.4051303784482683,2.2099038969642204,0.13811899356026378,,10,16,,16,8,11,15,16,0.5,0.6875,0.9375,1.0,timm:efficientnet_b0.ra4_e3600_r224_in1k,timm/efficientnet_b0.ra4_e3600_r224_in1k,imagenet_val[6400],6400.0,True,0.5,0.6875,0.9375,1.0,1.0,6400.0,0.07165029293468368,2.5375646413663016,0.15859779008539385,3.0651776685782037,0.19157360428613773,1.8047650703582694,0.11279781689739184,,10.0,16.0,,16.0,3.0,3.0,4.0,6.0,0.1875,0.1875,0.25,0.375,400.0,True
blocks.0.0,block,8,16,1,False,,0,112.0,112.0,102400,99.67234665785443,4.6819173276736095,0.2926198329796006,7.953881873361954,0.49711761708512214,2.4065620645843913,0.15041012903652445,,10,16,,16,10,12,15,16,0.625,0.75,0.9375,1.0,timm:efficientnet_b0.ra4_e3600_r224_in1k,timm/efficientnet_b0.ra4_e3600_r224_in1k,imagenet_val[6400],6400.0,True,,,,,,6400.0,15.71995496424436,2.061801440245478,0.12886259001534237,2.713760014157747,0.1696100008848592,1.5223318516436557,0.09514574072772848,,10.0,16.0,,16.0,3.0,3.0,5.0,8.0,0.1875,0.1875,0.3125,0.5,400.0,True
blocks.1.0.conv_pw,conv,9,96,1,False,16.0,0,112.0,112.0,102400,22.393992501198888,5.985367624581494,0.0623475794227239,8.048136527678182,0.08383475549664772,3.699683714983429,0.038538372031077385,11.479998099516234,10,96,0.7323706782623483,54,8,10,14,16,0.08333333333333333,0.10416666666666667,0.14583333333333334,0.16666666666666666,timm:efficientnet_b0.ra4_e3600_r224_in1k,timm/efficientnet_b0.ra4_e3600_r224_in1k,imagenet_val[6400],1066.6666666666667,True,0.5,0.625,0.875,1.0,0.16666666666666666,6400.0,5.007239859975628,3.2088586080853254,0.033425610500888804,3.649492915652954,0.03801555120471827,2.273810749064518,0.02368552863608873,9.928779532913953,10.0,96.0,0.8642346725841904,54.0,3.0,4.0,4.0,6.0,0.03125,0.041666666666666664,0.041666666666666664,0.0625,66.66666666666667,True
