layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,model
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,512,251.92178048287266,2.3490756529920844,0.07340861415600264,3.3003358539349663,0.1031354954354677,1.6391835524252412,0.051224486013288786,10.794329625683746,10,32,0.9608539487659682,28,3,5,7,8,0.09375,0.15625,0.21875,0.25,1,timm:efficientnet_b0.ra_in1k
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,512,251.92178048287266,2.3490756529920844,0.07340861415600264,3.3003358539349663,0.1031354954354677,1.6391835524252412,0.051224486013288786,10.794329625683746,10,32,0.9608539487659682,28,3,5,7,8,0.09375,0.15625,0.21875,0.25,2,timm:efficientnet_b0.ra_in1k
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,512,251.92178048287266,2.3490756529920844,0.07340861415600264,3.3003358539349663,0.1031354954354677,1.6391835524252412,0.051224486013288786,10.794329625683746,10,32,0.9608539487659682,28,3,5,7,8,0.09375,0.15625,0.21875,0.25,5,timm:efficientnet_b0.ra_in1k
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,512,251.92178048287266,2.3490756529920844,0.07340861415600264,3.3003358539349663,0.1031354954354677,1.6391835524252412,0.051224486013288786,10.794329625683746,10,32,0.9608539487659682,28,3,5,7,8,0.09375,0.15625,0.21875,0.25,10,timm:efficientnet_b0.ra_in1k
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,1024,268.68081424203416,2.282558905038626,0.07132996578245707,3.2923281088374092,0.10288525340116904,1.5931679403226642,0.049786498135083256,10.798023731310128,10,32,0.9743342923495415,28,4,5,7,8,0.125,0.15625,0.21875,0.25,25,timm:efficientnet_b0.ra_in1k
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,2048,271.5710432757719,2.1521252405685956,0.06725391376776861,3.1410341975654585,0.09815731867392058,1.5305231181798815,0.0478288474431213,10.604085429217694,10,32,0.9732509225386436,27,4,5,7,8,0.125,0.15625,0.21875,0.25,50,timm:efficientnet_b0.ra_in1k
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,3584,258.26576142080216,2.1616356330842845,0.06755111353388389,3.176926930472161,0.09927896657725503,1.530339322930396,0.04782310384157488,11.043253905923267,10,32,0.9715347487981699,27,4,5,7,8,0.125,0.15625,0.21875,0.25,100,timm:efficientnet_b0.ra_in1k
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,8192,252.76962827500807,2.068587868827744,0.064643370900867,3.0603389466291584,0.0956355920821612,1.4877587755215307,0.046492461735047834,11.841185752266421,10,32,0.9482151464700727,28,4,5,7,8,0.125,0.15625,0.21875,0.25,250,timm:efficientnet_b0.ra_in1k
bn1.act,act,1,32,1,False,,0,112.0,112.0,512,162.25327072358178,3.5736760893120154,0.11167737779100048,4.428508537005022,0.13839089178140693,2.8648813189373827,0.08952754121679321,8.482004914001704,10,32,0.7887546765238268,32,3,5,9,15,0.09375,0.15625,0.28125,0.46875,1,timm:efficientnet_b0.ra_in1k
bn1.act,act,1,32,1,False,,0,112.0,112.0,512,162.25327072358178,3.5736760893120154,0.11167737779100048,4.428508537005022,0.13839089178140693,2.8648813189373827,0.08952754121679321,8.482004914001704,10,32,0.7887546765238268,32,3,5,9,15,0.09375,0.15625,0.28125,0.46875,2,timm:efficientnet_b0.ra_in1k
bn1.act,act,1,32,1,False,,0,112.0,112.0,512,162.25327072358178,3.5736760893120154,0.11167737779100048,4.428508537005022,0.13839089178140693,2.8648813189373827,0.08952754121679321,8.482004914001704,10,32,0.7887546765238268,32,3,5,9,15,0.09375,0.15625,0.28125,0.46875,5,timm:efficientnet_b0.ra_in1k
bn1.act,act,1,32,1,False,,0,112.0,112.0,512,162.25327072358178,3.5736760893120154,0.11167737779100048,4.428508537005022,0.13839089178140693,2.8648813189373827,0.08952754121679321,8.482004914001704,10,32,0.7887546765238268,32,3,5,9,15,0.09375,0.15625,0.28125,0.46875,10,timm:efficientnet_b0.ra_in1k
bn1.act,act,1,32,1,False,,0,112.0,112.0,1024,172.23003876012922,3.6344303880146223,0.11357594962545695,4.560842095871819,0.14252631549599434,2.909005059434229,0.09090640810731966,8.472530318163964,10,32,0.7886953827056751,32,4,6,10,16,0.125,0.1875,0.3125,0.5,25,timm:efficientnet_b0.ra_in1k
bn1.act,act,1,32,1,False,,0,112.0,112.0,2048,169.4716157456642,3.6516115124456876,0.11411285976392774,4.614613384149079,0.14420666825465872,2.8572150908272254,0.08928797158835079,8.469696858197493,10,32,0.7895187390213156,32,4,6,10,16,0.125,0.1875,0.3125,0.5,50,timm:efficientnet_b0.ra_in1k
bn1.act,act,1,32,1,False,,0,112.0,112.0,3584,162.06787471997546,3.6153987359593174,0.11298121049872867,4.648727131576587,0.14527272286176834,2.7203808366725535,0.0850119011460173,8.429736422320481,10,32,0.7853761607096283,32,4,6,10,16,0.125,0.1875,0.3125,0.5,100,timm:efficientnet_b0.ra_in1k
bn1.act,act,1,32,1,False,,0,112.0,112.0,8192,157.29653928860236,3.608642954476343,0.11277009232738572,4.607156528754293,0.14397364152357164,2.7732932124168346,0.08666541288802608,8.292974771980798,10,32,0.7759629185666864,32,4,6,10,17,0.125,0.1875,0.3125,0.53125,250,timm:efficientnet_b0.ra_in1k
