layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,model,weights,source,n_over_C,n_over_C_ok,k_star_rmax_0.9,k_star_rmax_0.95,k_star_rmax_0.99,k_star_rmax_0.999,r_max_over_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,pooled_n_over_C_ok
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,102400,251.6392731548876,2.134388642454492,0.06669964507670287,3.1330539162638162,0.09790793488324426,1.518969228974948,0.04746778840546712,12.257260757107575,10,32,0.9509012419300562,29,4,5,7,8,0.125,0.15625,0.21875,0.25,timm:efficientnet_b0.ra_in1k,timm/efficientnet_b0.ra_in1k,imagenet_val[6400],3200.0,True,0.14814814814814814,0.18518518518518517,0.25925925925925924,0.2962962962962963,0.84375,6400.0,65.64415666635877,2.0542609659830586,0.06419565518697058,2.3489712749918534,0.07340535234349542,1.5896595915996932,0.04967686223749041,8.137563072673194,10.0,32.0,0.9692508374405523,25.0,2.0,3.0,3.0,3.0,0.0625,0.09375,0.09375,0.09375,200.0,True
bn1.act,act,1,32,1,False,,0,112.0,112.0,102400,153.90694677091733,3.5718251839116615,0.11161953699723942,4.566363081756754,0.14269884630489857,2.736499151696728,0.08551559849052275,8.234211564624015,10,32,0.769072630138079,32,4,6,10,16,0.125,0.1875,0.3125,0.5,timm:efficientnet_b0.ra_in1k,timm/efficientnet_b0.ra_in1k,imagenet_val[6400],3200.0,True,,,,,,6400.0,30.005524635312362,2.375770644233918,0.07424283263230994,2.8408357482217865,0.08877611713193083,1.9750032556414636,0.06171885173879574,9.266778761208991,10.0,32.0,0.7534343238160075,32.0,2.0,3.0,5.0,9.0,0.0625,0.09375,0.15625,0.28125,200.0,True
blocks.0.0.conv_dw,conv,2,32,32,True,32.0,0,112.0,112.0,102400,449.8079010173112,3.4303122439022,0.10719725762194375,4.708963754959985,0.14715511734249953,2.2674158226705408,0.0708567444584544,7.334800820295639,10,32,0.9203370248686498,32,4,6,11,17,0.125,0.1875,0.34375,0.53125,timm:efficientnet_b0.ra_in1k,timm/efficientnet_b0.ra_in1k,imagenet_val[6400],3200.0,True,0.125,0.1875,0.34375,0.53125,1.0,6400.0,10.359077687972139,2.227172926252515,0.0695991539453911,2.6006495624718258,0.08127029882724456,1.9596784688834306,0.061239952152607205,9.435789421538148,10.0,32.0,0.761774730735827,32.0,2.0,3.0,5.0,12.0,0.0625,0.09375,0.15625,0.375,200.0,True
blocks.0.0.bn1.act,act,3,32,1,False,,0,112.0,112.0,102400,72.92673946119939,8.389314233151817,0.26216606978599427,12.684553262658321,0.39639228945807253,4.818187332822579,0.1505683541507056,3.5418057778589707,10,32,0.8494448237194148,32,13,17,24,30,0.40625,0.53125,0.75,0.9375,timm:efficientnet_b0.ra_in1k,timm/efficientnet_b0.ra_in1k,imagenet_val[6400],3200.0,True,,,,,,6400.0,6.483574222593817,2.658504266841168,0.0830782583387865,4.38831165816074,0.13713473931752312,1.7056574616429954,0.053301795676343605,5.644786608422677,10.0,32.0,0.9523283865041123,32.0,5.0,6.0,11.0,19.0,0.15625,0.1875,0.34375,0.59375,200.0,True
blocks.0.0.se.conv_reduce,conv_gap,4,8,1,False,8.0,0,1.0,1.0,6400,5.327756175426015,1.7878483198674973,0.22348103998343716,2.629701441429368,0.328712680178671,1.35969342656083,0.16996167832010375,,10,8,,8,3,4,6,7,0.375,0.5,0.75,0.875,timm:efficientnet_b0.ra_in1k,timm/efficientnet_b0.ra_in1k,imagenet_val[6400],800.0,True,0.375,0.5,0.75,0.875,1.0,6400.0,5.327756175426015,1.7878483198674973,0.22348103998343716,2.629701441429368,0.328712680178671,1.35969342656083,0.16996167832010375,,10.0,8.0,,8.0,3.0,4.0,6.0,7.0,0.375,0.5,0.75,0.875,800.0,True
blocks.0.0.se.act1,act,5,8,1,False,,0,1.0,1.0,6400,0.019543350202561146,3.2456519078252173,0.40570648847815216,4.389758204911502,0.5487197756139377,2.0095011189361274,0.2511876398670159,,10,8,,8,4,5,7,8,0.5,0.625,0.875,1.0,timm:efficientnet_b0.ra_in1k,timm/efficientnet_b0.ra_in1k,imagenet_val[6400],800.0,True,,,,,,6400.0,0.019543350202561146,3.2456519078252173,0.40570648847815216,4.389758204911502,0.5487197756139377,2.0095011189361274,0.2511876398670159,,10.0,8.0,,8.0,4.0,5.0,7.0,8.0,0.5,0.625,0.875,1.0,800.0,True
blocks.0.0.se.conv_expand,conv_gap,6,32,1,False,8.0,0,1.0,1.0,6400,0.06572157780793077,1.9142359604634571,0.059819873764483035,2.7324760867219138,0.0853898777100598,1.4181241471099493,0.044316379597185915,5.877621937723675,10,32,0.95555356674975,23,3,4,5,7,0.09375,0.125,0.15625,0.21875,timm:efficientnet_b0.ra_in1k,timm/efficientnet_b0.ra_in1k,imagenet_val[6400],200.0,True,0.375,0.5,0.625,0.875,0.25,6400.0,0.06572157780793077,1.9142359604634571,0.059819873764483035,2.7324760867219138,0.0853898777100598,1.4181241471099493,0.044316379597185915,5.877621937723675,10.0,32.0,0.95555356674975,23.0,3.0,4.0,5.0,7.0,0.09375,0.125,0.15625,0.21875,200.0,True
blocks.0.0.conv_pw,conv,7,16,1,False,16.0,0,112.0,112.0,102400,56.83641872648411,8.311718887787016,0.5194824304866885,10.708488150292085,0.6692805093932553,4.291263320913876,0.26820395755711723,,10,16,,16,10,12,15,16,0.625,0.75,0.9375,1.0,timm:efficientnet_b0.ra_in1k,timm/efficientnet_b0.ra_in1k,imagenet_val[6400],6400.0,True,0.625,0.75,0.9375,1.0,1.0,6400.0,3.303482213390832,2.6823558240527157,0.16764723900329473,3.598194450456885,0.2248871531535553,1.8198487130049792,0.1137405445628112,,10.0,16.0,,16.0,3.0,4.0,7.0,11.0,0.1875,0.25,0.4375,0.6875,400.0,True
blocks.0.0,block,8,16,1,False,,0,112.0,112.0,102400,496.4467165009976,9.903441966812728,0.6189651229257955,11.818925925697105,0.738682870356069,6.021181767365785,0.37632386046036154,,10,16,,16,11,13,15,16,0.6875,0.8125,0.9375,1.0,timm:efficientnet_b0.ra_in1k,timm/efficientnet_b0.ra_in1k,imagenet_val[6400],6400.0,True,,,,,,6400.0,18.85212416051861,3.539077590026039,0.22119234937662743,4.626731502415397,0.2891707189009623,2.249621400176717,0.1406013375110448,,10.0,16.0,,16.0,4.0,5.0,8.0,13.0,0.25,0.3125,0.5,0.8125,400.0,True
blocks.1.0.conv_pw,conv,9,96,1,False,16.0,0,112.0,112.0,102400,4778.026414190804,6.830109762404597,0.07114697669171456,9.300605268886281,0.09688130488423209,3.9898050460671333,0.04156046922986597,11.70548224030222,10,96,0.7250183040005114,54,9,11,14,16,0.09375,0.11458333333333333,0.14583333333333334,0.16666666666666666,timm:efficientnet_b0.ra_in1k,timm/efficientnet_b0.ra_in1k,imagenet_val[6400],1066.6666666666667,True,0.5625,0.6875,0.875,1.0,0.16666666666666666,6400.0,149.2438943802726,3.3834664146249227,0.03524444181900961,4.474406281502841,0.04660839876565459,2.1990694135059616,0.022906973057353768,11.110698644800419,10.0,96.0,0.7969495523177099,56.0,4.0,5.0,8.0,13.0,0.041666666666666664,0.052083333333333336,0.08333333333333333,0.13541666666666666,66.66666666666667,True
