layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,model
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,512,152.10198964576475,2.8554378797691573,0.08923243374278617,4.039082944207843,0.1262213420064951,1.8771594842895691,0.058661233884049035,42.120923833641946,10,32,0.656593578210319,23,5,6,7,9,0.15625,0.1875,0.21875,0.28125,1,timm:mobilenetv2_100.ra_in1k
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,512,152.10198964576475,2.8554378797691573,0.08923243374278617,4.039082944207843,0.1262213420064951,1.8771594842895691,0.058661233884049035,42.120923833641946,10,32,0.656593578210319,23,5,6,7,9,0.15625,0.1875,0.21875,0.28125,2,timm:mobilenetv2_100.ra_in1k
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,512,152.10198964576475,2.8554378797691573,0.08923243374278617,4.039082944207843,0.1262213420064951,1.8771594842895691,0.058661233884049035,42.120923833641946,10,32,0.656593578210319,23,5,6,7,9,0.15625,0.1875,0.21875,0.28125,5,timm:mobilenetv2_100.ra_in1k
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,512,152.10198964576475,2.8554378797691573,0.08923243374278617,4.039082944207843,0.1262213420064951,1.8771594842895691,0.058661233884049035,42.120923833641946,10,32,0.656593578210319,23,5,6,7,9,0.15625,0.1875,0.21875,0.28125,10,timm:mobilenetv2_100.ra_in1k
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,1024,166.60668760554927,3.0575676023808067,0.09554898757440021,4.356257474755697,0.13613304608611554,1.924299747341482,0.06013436710442131,34.02713284269095,10,32,0.4994551774048033,24,5,6,7,9,0.15625,0.1875,0.21875,0.28125,25,timm:mobilenetv2_100.ra_in1k
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,2048,168.92027053341582,2.9293639247187375,0.09154262264746055,4.224470947647726,0.13201471711399143,1.8600168232065715,0.05812552572520536,39.38998433276618,10,32,0.6114577096996365,24,5,6,7,9,0.15625,0.1875,0.21875,0.28125,50,timm:mobilenetv2_100.ra_in1k
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,3584,158.62293523715334,2.8996142720936926,0.0906129460029279,4.232208135198029,0.1322565042249384,1.8354869957299054,0.05735896861655954,37.41227112854636,10,32,0.561284010584163,24,5,6,7,9,0.15625,0.1875,0.21875,0.28125,100,timm:mobilenetv2_100.ra_in1k
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,8192,154.7800781894814,2.7373631826890406,0.08554259945903252,4.04154244647137,0.1262982014522303,1.7668813849773213,0.05521504328054129,35.512441529765,10,32,0.5668477186615783,24,5,6,7,9,0.15625,0.1875,0.21875,0.28125,250,timm:mobilenetv2_100.ra_in1k
blocks.0.0.conv_dw,conv,1,32,32,True,32.0,0,112.0,112.0,512,70.05103587171102,6.499169225512131,0.2030990382972541,8.87713157104906,0.27741036159528315,4.168204751019026,0.13025639846934456,32.81010115818694,10,32,0.3955272128461441,24,8,10,17,22,0.25,0.3125,0.53125,0.6875,1,timm:mobilenetv2_100.ra_in1k
blocks.0.0.conv_dw,conv,1,32,32,True,32.0,0,112.0,112.0,512,70.05103587171102,6.499169225512131,0.2030990382972541,8.87713157104906,0.27741036159528315,4.168204751019026,0.13025639846934456,32.81010115818694,10,32,0.3955272128461441,24,8,10,17,22,0.25,0.3125,0.53125,0.6875,2,timm:mobilenetv2_100.ra_in1k
