layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,model,weights,source,n_over_C,n_over_C_ok,k_star_rmax_0.9,k_star_rmax_0.95,k_star_rmax_0.99,k_star_rmax_0.999,r_max_over_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,pooled_n_over_C_ok
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,102400,152.16062124721554,2.6861912758619004,0.08394347737068439,3.93489415279501,0.12296544227484406,1.7546378414278758,0.05483243254462112,37.3123363635823,10,32,0.6643670567027514,24,5,6,7,9,0.15625,0.1875,0.21875,0.28125,timm:mobilenetv2_100.ra_in1k,timm/mobilenetv2_100.ra_in1k,imagenet_val[6400],3200.0,True,0.18518518518518517,0.2222222222222222,0.25925925925925924,0.3333333333333333,0.84375,6400.0,42.13477062416343,2.4441001394319266,0.0763781293572477,2.6848815711014935,0.08390254909692167,1.8289424403456152,0.05715445126080047,34.62657549684484,10.0,32.0,0.5243869041639913,21.0,3.0,3.0,3.0,3.0,0.09375,0.09375,0.09375,0.09375,200.0,True
blocks.0.0.conv_dw,conv,1,32,32,True,32.0,0,112.0,112.0,102400,74.81019445229319,6.404298455428928,0.200134326732154,9.029541127416381,0.2821731602317619,3.5848977388948784,0.11202805434046495,46.30528014776059,10,32,0.4856581454469825,24,9,11,17,22,0.28125,0.34375,0.53125,0.6875,timm:mobilenetv2_100.ra_in1k,timm/mobilenetv2_100.ra_in1k,imagenet_val[6400],3200.0,True,0.28125,0.34375,0.53125,0.6875,1.0,6400.0,4.773695160987263,2.575454025255106,0.08048293828922207,3.1795068913260978,0.09935959035394056,1.8196326612244278,0.05686352066326337,41.90437652710907,10.0,32.0,0.4645798575855212,24.0,3.0,3.0,6.0,10.0,0.09375,0.09375,0.1875,0.3125,200.0,True
blocks.0.0.conv_pw,conv,2,16,1,False,16.0,0,112.0,112.0,102400,138.352477389841,4.949036788673939,0.3093147992921212,7.927231189407102,0.4954519493379439,2.5500735359896023,0.15937959599935014,,10,16,,16,9,11,14,16,0.5625,0.6875,0.875,1.0,timm:mobilenetv2_100.ra_in1k,timm/mobilenetv2_100.ra_in1k,imagenet_val[6400],6400.0,True,0.5625,0.6875,0.875,1.0,1.0,6400.0,19.21888391234634,1.8157018592587562,0.11348136620367226,2.310175931021566,0.14438599568884788,1.3980376333599607,0.08737735208499754,,10.0,16.0,,16.0,3.0,3.0,3.0,7.0,0.1875,0.1875,0.1875,0.4375,400.0,True
blocks.0.0,block,3,16,1,False,,0,112.0,112.0,102400,752.2166158316762,9.189686312192082,0.5743553945120051,11.291995492955182,0.7057497183096989,5.411062747864473,0.33819142174152955,,10,16,,16,11,12,15,16,0.6875,0.75,0.9375,1.0,timm:mobilenetv2_100.ra_in1k,timm/mobilenetv2_100.ra_in1k,imagenet_val[6400],6400.0,True,,,,,,6400.0,55.057084538603334,2.5875172898192704,0.1617198306137044,3.043013831658532,0.19018836447865825,1.866927032221718,0.11668293951385737,,10.0,16.0,,16.0,3.0,3.0,4.0,10.0,0.1875,0.1875,0.25,0.625,400.0,True
blocks.1.0.conv_pw,conv,4,96,1,False,16.0,0,112.0,112.0,102400,9366.376431785586,7.247148471823518,0.07549112991482831,9.582030153731955,0.09981281410137453,4.39623050819154,0.04579406779366187,15.894554198618907,10,96,0.531933986140676,52,10,11,14,16,0.10416666666666667,0.11458333333333333,0.14583333333333334,0.16666666666666666,timm:mobilenetv2_100.ra_in1k,timm/mobilenetv2_100.ra_in1k,imagenet_val[6400],1066.6666666666667,True,0.625,0.6875,0.875,1.0,0.16666666666666666,6400.0,709.4667851783926,2.6893918254511595,0.02801449818178291,3.027514300256993,0.031536607294343676,2.015758323515861,0.020997482536623552,12.027513444755467,10.0,96.0,0.8884338728675749,48.0,3.0,3.0,4.0,8.0,0.03125,0.03125,0.041666666666666664,0.08333333333333333,66.66666666666667,True
blocks.1.0.conv_dw,conv,5,96,96,True,96.0,0,56.0,56.0,102400,144.02396348950555,13.028652898631131,0.13571513436074095,22.76403909541377,0.23712540724389344,5.931940103050967,0.06179104274011424,4.221220422259607,10,96,0.29407146735468126,94,25,34,55,75,0.2604166666666667,0.3541666666666667,0.5729166666666666,0.78125,timm:mobilenetv2_100.ra_in1k,timm/mobilenetv2_100.ra_in1k,imagenet_val[6400],1066.6666666666667,True,0.2604166666666667,0.3541666666666667,0.5729166666666666,0.78125,1.0,6400.0,10.826669835847827,4.452490052871729,0.04638010471741385,6.617482660619716,0.06893211104812204,2.6557302665319904,0.027663856943041566,6.651609893201617,10.0,96.0,0.5251813172192822,94.0,6.0,10.0,18.0,35.0,0.0625,0.10416666666666667,0.1875,0.3645833333333333,66.66666666666667,True
blocks.1.0.conv_pwl,conv,6,24,1,False,24.0,0,56.0,56.0,102400,153.40833699060119,9.980268002606143,0.4158445001085893,13.58810055707943,0.5661708565449762,4.680635612056314,0.19502648383567975,3.19043355884695,10,24,0.8763145189827587,24,13,16,21,24,0.5416666666666666,0.6666666666666666,0.875,1.0,timm:mobilenetv2_100.ra_in1k,timm/mobilenetv2_100.ra_in1k,imagenet_val[6400],4266.666666666667,True,0.5416666666666666,0.6666666666666666,0.875,1.0,1.0,6400.0,21.23443322479985,3.9315380044003123,0.16381408351667967,6.584026548575164,0.27433443952396513,2.184852867804736,0.09103553615853066,6.696369888376765,10.0,24.0,0.9156240068538858,24.0,7.0,10.0,15.0,19.0,0.2916666666666667,0.4166666666666667,0.625,0.7916666666666666,266.6666666666667,True
blocks.1.0,block,7,24,1,False,,0,56.0,56.0,102400,1034.468173035287,11.308395677271427,0.4711831532196428,14.83553171625405,0.6181471548439187,5.506858107400579,0.22945242114169082,3.0780389008496782,10,24,0.8473236549226806,24,14,17,21,24,0.5833333333333334,0.7083333333333334,0.875,1.0,timm:mobilenetv2_100.ra_in1k,timm/mobilenetv2_100.ra_in1k,imagenet_val[6400],4266.666666666667,True,,,,,,6400.0,133.0211462434512,4.630940267173823,0.19295584446557598,7.582395307598003,0.31593313781658344,2.4221797778063934,0.10092415740859972,6.712961032729212,10.0,24.0,0.9196595085506152,24.0,8.0,10.0,15.0,19.0,0.3333333333333333,0.4166666666666667,0.625,0.7916666666666666,266.6666666666667,True
blocks.1.1.conv_pw,conv,8,144,1,False,24.0,0,56.0,56.0,102400,8138.290960028899,5.9625183466866725,0.04140637740754634,9.53310636018656,0.06620212750129556,3.051693821499549,0.02119231820485798,11.886271568578065,10,144,0.7821953314341111,79,10,14,20,24,0.06944444444444445,0.09722222222222222,0.1388888888888889,0.16666666666666666,timm:mobilenetv2_100.ra_in1k,timm/mobilenetv2_100.ra_in1k,imagenet_val[6400],711.1111111111111,True,0.4166666666666667,0.5833333333333334,0.8333333333333334,1.0,0.16666666666666666,6400.0,1375.2858864213474,2.8174904652184294,0.019565906008461316,4.773297831150464,0.033147901605211555,1.7745216031379023,0.012323066688457654,12.002344301318358,10.0,144.0,0.6773138562031741,81.0,6.0,8.0,12.0,17.0,0.041666666666666664,0.05555555555555555,0.08333333333333333,0.11805555555555555,44.44444444444444,False
blocks.1.1.conv_dw,conv,9,144,144,True,144.0,0,56.0,56.0,102400,59.854211399392604,31.86101777672628,0.22125706789393249,51.98395598449608,0.3609996943367783,10.753712047218793,0.07467855588346384,3.1483089640382853,10,144,0.20944837945041428,140,53,72,107,130,0.3680555555555556,0.5,0.7430555555555556,0.9027777777777778,timm:mobilenetv2_100.ra_in1k,timm/mobilenetv2_100.ra_in1k,imagenet_val[6400],711.1111111111111,True,0.3680555555555556,0.5,0.7430555555555556,0.9027777777777778,1.0,6400.0,3.8638638587823806,3.2965662581304263,0.022892821237016848,5.7911013906270234,0.04021598187935433,1.989597535434234,0.013816649551626625,4.9835681080641026,10.0,144.0,0.45304099646756757,140.0,7.0,10.0,20.0,45.0,0.04861111111111111,0.06944444444444445,0.1388888888888889,0.3125,44.44444444444444,False
