layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,model
conv_stem,conv,0,16,1,False,16.0,0,112.0,112.0,512,0.6527926917761974,1.2362633578022841,0.07726645986264276,1.579376851919026,0.09871105324493913,1.1151436392190477,0.06969647745119048,,10,16,,16,2,2,5,8,0.125,0.125,0.3125,0.5,1,timm:mobilenetv3_large_100.ra4_e3600_r224_in1k
conv_stem,conv,0,16,1,False,16.0,0,112.0,112.0,512,0.6527926917761974,1.2362633578022841,0.07726645986264276,1.579376851919026,0.09871105324493913,1.1151436392190477,0.06969647745119048,,10,16,,16,2,2,5,8,0.125,0.125,0.3125,0.5,2,timm:mobilenetv3_large_100.ra4_e3600_r224_in1k
conv_stem,conv,0,16,1,False,16.0,0,112.0,112.0,512,0.6527926917761974,1.2362633578022841,0.07726645986264276,1.579376851919026,0.09871105324493913,1.1151436392190477,0.06969647745119048,,10,16,,16,2,2,5,8,0.125,0.125,0.3125,0.5,5,timm:mobilenetv3_large_100.ra4_e3600_r224_in1k
conv_stem,conv,0,16,1,False,16.0,0,112.0,112.0,512,0.6527926917761974,1.2362633578022841,0.07726645986264276,1.579376851919026,0.09871105324493913,1.1151436392190477,0.06969647745119048,,10,16,,16,2,2,5,8,0.125,0.125,0.3125,0.5,10,timm:mobilenetv3_large_100.ra4_e3600_r224_in1k
conv_stem,conv,0,16,1,False,16.0,0,112.0,112.0,512,0.6527926917761974,1.2362633578022841,0.07726645986264276,1.579376851919026,0.09871105324493913,1.1151436392190477,0.06969647745119048,,10,16,,16,2,2,5,8,0.125,0.125,0.3125,0.5,25,timm:mobilenetv3_large_100.ra4_e3600_r224_in1k
conv_stem,conv,0,16,1,False,16.0,0,112.0,112.0,1024,0.7028693057091057,1.231025029917627,0.07693906436985169,1.585477220975457,0.09909232631096607,1.1121504914145564,0.06950940571340977,,10,16,,16,2,2,5,8,0.125,0.125,0.3125,0.5,50,timm:mobilenetv3_large_100.ra4_e3600_r224_in1k
conv_stem,conv,0,16,1,False,16.0,0,112.0,112.0,2048,0.7465612864951434,1.1892278026845222,0.07432673766778264,1.4972897087077,0.09358060679423125,1.0922254941502643,0.06826409338439152,,10,16,,16,1,2,5,8,0.0625,0.125,0.3125,0.5,100,timm:mobilenetv3_large_100.ra4_e3600_r224_in1k
conv_stem,conv,0,16,1,False,16.0,0,112.0,112.0,4096,0.7063641301648778,1.185909886614191,0.07411936791338694,1.493676335495755,0.09335477096848468,1.0905563253052,0.068159770331575,,10,16,,16,1,2,5,8,0.0625,0.125,0.3125,0.5,250,timm:mobilenetv3_large_100.ra4_e3600_r224_in1k
bn1.act,act,1,16,1,False,,0,112.0,112.0,512,59.225439822399714,2.9508703095815427,0.18442939434884642,4.80210914583508,0.3001318216146925,1.8028102507938026,0.11267564067461266,,10,16,,16,6,7,9,10,0.375,0.4375,0.5625,0.625,1,timm:mobilenetv3_large_100.ra4_e3600_r224_in1k
bn1.act,act,1,16,1,False,,0,112.0,112.0,512,59.225439822399714,2.9508703095815427,0.18442939434884642,4.80210914583508,0.3001318216146925,1.8028102507938026,0.11267564067461266,,10,16,,16,6,7,9,10,0.375,0.4375,0.5625,0.625,2,timm:mobilenetv3_large_100.ra4_e3600_r224_in1k
bn1.act,act,1,16,1,False,,0,112.0,112.0,512,59.225439822399714,2.9508703095815427,0.18442939434884642,4.80210914583508,0.3001318216146925,1.8028102507938026,0.11267564067461266,,10,16,,16,6,7,9,10,0.375,0.4375,0.5625,0.625,5,timm:mobilenetv3_large_100.ra4_e3600_r224_in1k
