layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,model,weights,source,n_over_C,n_over_C_ok,k_star_rmax_0.9,k_star_rmax_0.95,k_star_rmax_0.99,k_star_rmax_0.999,r_max_over_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,pooled_n_over_C_ok
conv_stem,conv,0,16,1,False,16.0,0,112.0,112.0,102400,0.6957617072796921,1.189663667064416,0.074353979191526,1.49546678592524,0.0934666741203275,1.0924724579411476,0.06827952862132172,,10,16,,16,1,2,5,8,0.0625,0.125,0.3125,0.5,timm:mobilenetv3_large_100.ra4_e3600_r224_in1k,timm/mobilenetv3_large_100.ra4_e3600_r224_in1k,imagenet_val[6400],6400.0,True,0.0625,0.125,0.3125,0.5,1.0,6400.0,0.17870265700694685,1.2697542868468699,0.07935964292792937,1.532780209087624,0.0957987630679765,1.133143782852441,0.07082148642827757,,10.0,16.0,,16.0,2.0,2.0,3.0,3.0,0.125,0.125,0.1875,0.1875,400.0,True
bn1.act,act,1,16,1,False,,0,112.0,112.0,102400,63.833239770302406,2.7115193641716173,0.16946996026072608,4.561105770456146,0.28506911065350915,1.706595046143165,0.10666219038394781,,10,16,,16,6,8,9,10,0.375,0.5,0.5625,0.625,timm:mobilenetv3_large_100.ra4_e3600_r224_in1k,timm/mobilenetv3_large_100.ra4_e3600_r224_in1k,imagenet_val[6400],6400.0,True,,,,,,6400.0,4.451939467997642,4.162486555071392,0.260155409691962,4.64684252560838,0.29042765785052377,2.890306082840653,0.1806441301775408,,10.0,16.0,,16.0,4.0,5.0,5.0,8.0,0.25,0.3125,0.3125,0.5,400.0,True
blocks.0.0.conv_dw,conv,2,16,16,True,16.0,0,112.0,112.0,102400,0.6513679916801727,2.3823059386230847,0.1488941211639428,3.2399161381083927,0.20249475863177455,1.7335849534069019,0.10834905958793137,,10,16,,16,3,5,7,10,0.1875,0.3125,0.4375,0.625,timm:mobilenetv3_large_100.ra4_e3600_r224_in1k,timm/mobilenetv3_large_100.ra4_e3600_r224_in1k,imagenet_val[6400],6400.0,True,0.1875,0.3125,0.4375,0.625,1.0,6400.0,0.026338010769161792,2.8411419886798637,0.17757137429249148,3.1175165147579724,0.19484478217237328,2.1670275266272685,0.13543922041420428,,10.0,16.0,,16.0,3.0,3.0,4.0,6.0,0.1875,0.1875,0.25,0.375,400.0,True
blocks.0.0.bn1.act,act,3,16,1,False,,0,112.0,112.0,102400,19.222820120331285,8.488985351201123,0.5305615844500702,10.702311294778273,0.668894455923642,4.89783271581145,0.30611454473821564,,10,16,,16,10,12,15,16,0.625,0.75,0.9375,1.0,timm:mobilenetv3_large_100.ra4_e3600_r224_in1k,timm/mobilenetv3_large_100.ra4_e3600_r224_in1k,imagenet_val[6400],6400.0,True,,,,,,6400.0,0.8160407758985005,2.117516666295282,0.1323447916434551,3.193369616861664,0.199585601053854,1.515114422650741,0.09469465141567131,,10.0,16.0,,16.0,3.0,5.0,9.0,14.0,0.1875,0.3125,0.5625,0.875,400.0,True
blocks.0.0.conv_pw,conv,4,16,1,False,16.0,0,112.0,112.0,102400,0.27193639918612755,7.272278585717087,0.45451741160731796,8.987421229049453,0.5617138268155908,4.3889029328884455,0.27430643330552784,,10,16,,16,8,10,12,14,0.5,0.625,0.75,0.875,timm:mobilenetv3_large_100.ra4_e3600_r224_in1k,timm/mobilenetv3_large_100.ra4_e3600_r224_in1k,imagenet_val[6400],6400.0,True,0.5,0.625,0.75,0.875,1.0,6400.0,0.007908170364766428,1.9593943265504745,0.12246214540940466,2.8362513428914706,0.17726570893071691,1.4636881824625758,0.09148051140391099,,10.0,16.0,,16.0,3.0,5.0,8.0,12.0,0.1875,0.3125,0.5,0.75,400.0,True
blocks.0.0,block,5,16,1,False,,0,112.0,112.0,102400,113.07465943556437,6.638111690400591,0.41488198065003695,10.083143856125393,0.630196491007837,3.0499775165030245,0.19062359478143903,,10,16,,16,11,13,15,16,0.6875,0.8125,0.9375,1.0,timm:mobilenetv3_large_100.ra4_e3600_r224_in1k,timm/mobilenetv3_large_100.ra4_e3600_r224_in1k,imagenet_val[6400],6400.0,True,,,,,,6400.0,3.9392618543335476,4.67903643903526,0.29243977743970373,5.495506875567773,0.3434691797229858,3.2535000098437363,0.20334375061523352,,10.0,16.0,,16.0,5.0,5.0,8.0,13.0,0.3125,0.3125,0.5,0.8125,400.0,True
blocks.1.0.conv_pw,conv,6,64,1,False,16.0,0,112.0,112.0,102400,5.406632835484672,6.464479583290674,0.10100749348891679,9.111231661811177,0.14236299471579963,3.378296353356096,0.052785880521189,18.54639515526696,10,64,0.7906571110175284,35,9,11,14,16,0.140625,0.171875,0.21875,0.25,timm:mobilenetv3_large_100.ra4_e3600_r224_in1k,timm/mobilenetv3_large_100.ra4_e3600_r224_in1k,imagenet_val[6400],1600.0,True,0.5625,0.6875,0.875,1.0,0.25,6400.0,0.36477335226805485,3.3227113991098496,0.0519173656110914,4.173499133937359,0.06521092396777123,2.207799708264864,0.0344968704416385,15.328462693682017,10.0,64.0,0.8721486727095373,39.0,4.0,5.0,7.0,10.0,0.0625,0.078125,0.109375,0.15625,100.0,True
blocks.1.0.bn1.act,act,7,64,1,False,,0,112.0,112.0,102400,539.806167783107,7.73333864238207,0.12083341628721984,11.821892450611541,0.18471706954080533,4.130761070162263,0.06454314172128536,5.182610103151265,10,64,0.9750153410829653,64,12,16,23,37,0.1875,0.25,0.359375,0.578125,timm:mobilenetv3_large_100.ra4_e3600_r224_in1k,timm/mobilenetv3_large_100.ra4_e3600_r224_in1k,imagenet_val[6400],1600.0,True,,,,,,6400.0,64.88078957022246,2.4414505748758994,0.03814766523243593,3.908636006897254,0.06107243760776959,1.6392515643407024,0.025613305692823475,6.554835768723539,10.0,64.0,0.9532915913154513,64.0,4.0,6.0,10.0,19.0,0.0625,0.09375,0.15625,0.296875,100.0,True
blocks.1.0.conv_dw,conv,8,64,64,True,64.0,0,56.0,56.0,102400,6.5329954674390205,4.542689156993224,0.07097951807801912,8.439058038425507,0.13186028185039855,2.436218580829725,0.03806591532546445,3.7825005816090695,10,64,0.9522049994332659,64,10,14,27,47,0.15625,0.21875,0.421875,0.734375,timm:mobilenetv3_large_100.ra4_e3600_r224_in1k,timm/mobilenetv3_large_100.ra4_e3600_r224_in1k,imagenet_val[6400],1600.0,True,0.15625,0.21875,0.421875,0.734375,1.0,6400.0,1.610666362220489,2.2799888445658274,0.03562482569634105,3.610249693319808,0.056410151458122,1.580067769609957,0.024688558900155578,7.5487800522403745,10.0,64.0,0.9479602703591329,64.0,4.0,6.0,10.0,18.0,0.0625,0.09375,0.15625,0.28125,100.0,True
blocks.1.0.bn2.act,act,9,64,1,False,,0,56.0,56.0,102400,234.16726950812478,9.366193081877594,0.1463467669043374,19.235626201747785,0.30055665940230913,3.9371856259356814,0.06151852540524502,2.2214692761362658,10,64,0.8292410487647426,64,25,35,51,60,0.390625,0.546875,0.796875,0.9375,timm:mobilenetv3_large_100.ra4_e3600_r224_in1k,timm/mobilenetv3_large_100.ra4_e3600_r224_in1k,imagenet_val[6400],1600.0,True,,,,,,6400.0,39.51245021957821,4.053226715633125,0.06333166743176757,5.788159619995177,0.09043999406242464,2.564233886079851,0.04006615446999767,3.7162067454608545,10.0,64.0,0.9881057434350584,64.0,5.0,8.0,14.0,33.0,0.078125,0.125,0.21875,0.515625,100.0,True
blocks.1.0.conv_pwl,conv,10,24,1,False,24.0,0,56.0,56.0,102400,4.387464677112314,5.060936109751414,0.2108723379063089,8.837351619776818,0.36822298415736743,2.602031157312202,0.10841796488800842,3.2135477687979375,10,24,0.6711036673980866,24,11,15,21,23,0.4583333333333333,0.625,0.875,0.9583333333333334,timm:mobilenetv3_large_100.ra4_e3600_r224_in1k,timm/mobilenetv3_large_100.ra4_e3600_r224_in1k,imagenet_val[6400],4266.666666666667,True,0.4583333333333333,0.625,0.875,0.9583333333333334,1.0,6400.0,1.0122862212855281,3.5669175586925497,0.1486215649455229,5.064089073147302,0.21100371138113758,2.191658659941126,0.09131911083088025,5.915754783757823,10.0,24.0,0.8918758863872468,24.0,5.0,6.0,11.0,18.0,0.20833333333333334,0.25,0.4583333333333333,0.75,266.6666666666667,True
blocks.1.0,block,11,24,1,False,,0,56.0,56.0,102400,185.03041854291484,6.385195275058678,0.2660498031274449,9.475329953844183,0.3948054147435076,3.647563108949807,0.15198179620624194,3.6544440337980633,10,24,0.7299443108192585,24,10,14,19,23,0.4166666666666667,0.5833333333333334,0.7916666666666666,0.9583333333333334,timm:mobilenetv3_large_100.ra4_e3600_r224_in1k,timm/mobilenetv3_large_100.ra4_e3600_r224_in1k,imagenet_val[6400],4266.666666666667,True,,,,,,6400.0,36.52250593637438,3.876438304281972,0.1615182626784155,5.259645077053441,0.21915187821056004,2.7234013685321767,0.11347505702217403,7.011189592103493,10.0,24.0,0.8447100893998463,24.0,5.0,7.0,11.0,18.0,0.20833333333333334,0.2916666666666667,0.4583333333333333,0.75,266.6666666666667,True
blocks.1.1.conv_pw,conv,12,72,1,False,24.0,0,56.0,56.0,102400,8.986557324147116,4.684116309497356,0.06505717096524105,7.073153696317037,0.09823824578218107,2.8099118351914965,0.03902655326654856,16.759399190544887,10,72,0.8528086799088046,47,7,11,18,22,0.09722222222222222,0.1527777777777778,0.25,0.3055555555555556,timm:mobilenetv3_large_100.ra4_e3600_r224_in1k,timm/mobilenetv3_large_100.ra4_e3600_r224_in1k,imagenet_val[6400],1422.2222222222222,True,0.2916666666666667,0.4583333333333333,0.75,0.9166666666666666,0.3333333333333333,6400.0,1.8317786531639126,2.818230587978846,0.03914209149970619,3.910833229870199,0.05431712819264165,2.0841074539172757,0.028945936859962162,16.04706839397455,10.0,72.0,0.8981927499277593,48.0,4.0,6.0,9.0,17.0,0.05555555555555555,0.08333333333333333,0.125,0.2361111111111111,88.88888888888889,True
blocks.1.1.bn1.act,act,13,72,1,False,,0,56.0,56.0,102400,318.12775035233307,2.9844031276141636,0.04145004343908561,6.579271278627564,0.09137876775871617,1.7784282753212217,0.024700392712794745,3.6175215154666027,10,72,0.8764840364018961,72,9,14,31,53,0.125,0.19444444444444445,0.4305555555555556,0.7361111111111112,timm:mobilenetv3_large_100.ra4_e3600_r224_in1k,timm/mobilenetv3_large_100.ra4_e3600_r224_in1k,imagenet_val[6400],1422.2222222222222,True,,,,,,6400.0,64.73764980203848,1.811675426152067,0.025162158696556483,3.0419439964177895,0.0422492221724693,1.3653962986373305,0.018963837481074036,4.47921763784838,10.0,72.0,0.95770993540224,72.0,4.0,6.0,14.0,29.0,0.05555555555555555,0.08333333333333333,0.19444444444444445,0.4027777777777778,88.88888888888889,True
blocks.1.1.conv_dw,conv,14,72,72,True,72.0,0,56.0,56.0,102400,1.3554028766108517,6.566828582124043,0.0912059525295006,11.687662972619487,0.16232865239749286,3.318952296592407,0.04609655967489454,3.316745992096667,10,72,0.9100541733459317,72,13,20,38,58,0.18055555555555555,0.2777777777777778,0.5277777777777778,0.8055555555555556,timm:mobilenetv3_large_100.ra4_e3600_r224_in1k,timm/mobilenetv3_large_100.ra4_e3600_r224_in1k,imagenet_val[6400],1422.2222222222222,True,0.18055555555555555,0.2777777777777778,0.5277777777777778,0.8055555555555556,1.0,6400.0,0.26803785585787593,3.2767642130774575,0.04551061407052024,4.240465416750639,0.05889535301042554,2.2511644648286264,0.03126617312261981,5.506825829230283,10.0,72.0,0.9812522657776295,72.0,3.0,5.0,9.0,17.0,0.041666666666666664,0.06944444444444445,0.125,0.2361111111111111,88.88888888888889,True
blocks.1.1.bn2.act,act,15,72,1,False,,0,56.0,56.0,102400,58.242522240993935,7.5556484285948375,0.10493956150826163,17.55494228315788,0.24381864282163723,3.3368810470916075,0.04634557009849455,1.7694257917145049,10,72,0.9301054315221378,72,26,40,61,70,0.3611111111111111,0.5555555555555556,0.8472222222222222,0.9722222222222222,timm:mobilenetv3_large_100.ra4_e3600_r224_in1k,timm/mobilenetv3_large_100.ra4_e3600_r224_in1k,imagenet_val[6400],1422.2222222222222,True,,,,,,6400.0,7.777163142888678,2.376900324017619,0.033012504500244705,3.900573735607877,0.05417463521677607,1.6484423238661963,0.022895032275919394,3.257861626103837,10.0,72.0,0.9751436106264348,72.0,4.0,7.0,18.0,43.0,0.05555555555555555,0.09722222222222222,0.25,0.5972222222222222,88.88888888888889,True
blocks.1.1.conv_pwl,conv,16,24,1,False,24.0,0,56.0,56.0,102400,0.9398815236911137,3.8051518908413895,0.15854799545172457,6.940202752715268,0.2891751146964695,2.1957047344032263,0.0914876972668011,2.7386039294036766,10,24,0.9034287342709411,24,9,13,20,24,0.375,0.5416666666666666,0.8333333333333334,1.0,timm:mobilenetv3_large_100.ra4_e3600_r224_in1k,timm/mobilenetv3_large_100.ra4_e3600_r224_in1k,imagenet_val[6400],4266.666666666667,True,0.375,0.5416666666666666,0.8333333333333334,1.0,1.0,6400.0,0.13389364130207554,2.4795038050660465,0.10331265854441861,3.2663868683396284,0.1360994528474845,1.8656630884040184,0.0777359620168341,3.4998388836035246,10.0,24.0,0.9519358410668814,24.0,3.0,4.0,10.0,19.0,0.125,0.16666666666666666,0.4166666666666667,0.7916666666666666,266.6666666666667,True
blocks.1.1,block,17,24,1,False,,0,56.0,56.0,102400,278.2624649221953,7.682948951573426,0.3201228729822261,12.201681700781531,0.5084034041992305,3.5368896113183568,0.1473704004715982,2.217985005119342,10,24,0.8380407061163071,24,13,17,22,24,0.5416666666666666,0.7083333333333334,0.9166666666666666,1.0,timm:mobilenetv3_large_100.ra4_e3600_r224_in1k,timm/mobilenetv3_large_100.ra4_e3600_r224_in1k,imagenet_val[6400],4266.666666666667,True,,,,,,6400.0,39.426754344693975,3.366456618412728,0.140269025767197,5.215659376463141,0.21731914068596422,2.2034312891592176,0.09180963704830074,3.482434369438995,10.0,24.0,0.965130582226453,24.0,6.0,8.0,15.0,22.0,0.25,0.3333333333333333,0.625,0.9166666666666666,266.6666666666667,True
blocks.2.0.conv_pw,conv,18,72,1,False,24.0,0,56.0,56.0,102400,12.166228971322413,6.0157509385300045,0.08355209636847229,10.331053775949036,0.14348685799929217,2.822030637103249,0.03919486995976735,17.752341109527567,10,72,0.8337660488052587,46,12,15,21,24,0.16666666666666666,0.20833333333333334,0.2916666666666667,0.3333333333333333,timm:mobilenetv3_large_100.ra4_e3600_r224_in1k,timm/mobilenetv3_large_100.ra4_e3600_r224_in1k,imagenet_val[6400],1422.2222222222222,True,0.5,0.625,0.875,1.0,0.3333333333333333,6400.0,1.941721538509941,3.3237385318976442,0.04616303516524506,5.2303031272338645,0.07264309898935922,1.9883884428473786,0.027616506150658037,16.80596858410016,10.0,72.0,0.8544125208289267,47.0,6.0,7.0,12.0,20.0,0.08333333333333333,0.09722222222222222,0.16666666666666666,0.2777777777777778,88.88888888888889,True
blocks.2.0.bn1.act,act,19,72,1,False,,0,56.0,56.0,102400,1147.953866555787,4.285539873617659,0.0595213871335786,7.23269845958018,0.10045414527194695,2.3867514051178524,0.03314932507108129,3.147974719037076,10,72,0.9717590031701382,72,7,11,25,52,0.09722222222222222,0.1527777777777778,0.3472222222222222,0.7222222222222222,timm:mobilenetv3_large_100.ra4_e3600_r224_in1k,timm/mobilenetv3_large_100.ra4_e3600_r224_in1k,imagenet_val[6400],1422.2222222222222,True,,,,,,6400.0,207.26971495921353,3.027855414467734,0.042053547423162974,4.638765159859424,0.06442729388693644,1.8957034242828343,0.026329214226150477,4.163560723237298,10.0,72.0,0.9872405832076177,72.0,5.0,6.0,10.0,23.0,0.06944444444444445,0.08333333333333333,0.1388888888888889,0.3194444444444444,88.88888888888889,True
blocks.2.0.conv_dw,conv,20,72,72,True,72.0,0,28.0,28.0,102400,39.744719167584016,4.951728020532686,0.06877400028517619,7.744984816395219,0.1075692335610447,3.282225447113174,0.04558646454323853,2.864964212043169,10,72,0.9662956844732284,72,7,11,28,56,0.09722222222222222,0.1527777777777778,0.3888888888888889,0.7777777777777778,timm:mobilenetv3_large_100.ra4_e3600_r224_in1k,timm/mobilenetv3_large_100.ra4_e3600_r224_in1k,imagenet_val[6400],1422.2222222222222,True,0.09722222222222222,0.1527777777777778,0.3888888888888889,0.7777777777777778,1.0,6400.0,7.585490625493236,4.402535095280864,0.06114632076778978,5.7045466274059216,0.07922981426952669,2.908720085633568,0.040398890078244,4.959588228856231,10.0,72.0,0.9283569711086593,72.0,5.0,6.0,11.0,26.0,0.06944444444444445,0.08333333333333333,0.1527777777777778,0.3611111111111111,88.88888888888889,True
blocks.2.0.bn2.act,act,21,72,1,False,,0,28.0,28.0,102400,3650.0214274270793,2.353107156051157,0.03268204383404385,4.035762757393921,0.05605226051936001,1.62997163642226,0.022638494950309167,3.30770689571932,10,72,0.940079671240222,72,5,8,23,47,0.06944444444444445,0.1111111111111111,0.3194444444444444,0.6527777777777778,timm:mobilenetv3_large_100.ra4_e3600_r224_in1k,timm/mobilenetv3_large_100.ra4_e3600_r224_in1k,imagenet_val[6400],1422.2222222222222,True,,,,,,6400.0,707.9562379964184,1.459425937119698,0.020269804682218028,2.2752341727497383,0.03160047462152414,1.2132218355001771,0.016850303270835795,4.3861444910831535,10.0,72.0,0.9806455693814653,72.0,3.0,5.0,10.0,25.0,0.041666666666666664,0.06944444444444445,0.1388888888888889,0.3472222222222222,88.88888888888889,True
blocks.2.0.se.conv_reduce,conv_gap,22,24,1,False,24.0,0,1.0,1.0,6400,190.90809930295015,1.1094909663188017,0.04622879026328341,1.297416318305603,0.054059013262733456,1.054205640720306,0.04392523503001275,72.34661486233612,10,24,0.48092746643901063,18,1,2,3,12,0.041666666666666664,0.08333333333333333,0.125,0.5,timm:mobilenetv3_large_100.ra4_e3600_r224_in1k,timm/mobilenetv3_large_100.ra4_e3600_r224_in1k,imagenet_val[6400],266.6666666666667,True,0.041666666666666664,0.08333333333333333,0.125,0.5,1.0,6400.0,190.90809930295015,1.1094909663188017,0.04622879026328341,1.297416318305603,0.054059013262733456,1.054205640720306,0.04392523503001275,72.34661486233612,10.0,24.0,0.48092746643901063,18.0,1.0,2.0,3.0,12.0,0.041666666666666664,0.08333333333333333,0.125,0.5,266.6666666666667,True
blocks.2.0.se.act1,act,23,24,1,False,,0,1.0,1.0,6400,8.03063813134559,2.020272936027742,0.0841780390011559,3.396367088066377,0.14151529533609905,1.4550066770177807,0.0606252782090742,79.57691086753563,10,24,0.5497175423003238,17,4,7,12,15,0.16666666666666666,0.2916666666666667,0.5,0.625,timm:mobilenetv3_large_100.ra4_e3600_r224_in1k,timm/mobilenetv3_large_100.ra4_e3600_r224_in1k,imagenet_val[6400],266.6666666666667,True,,,,,,6400.0,8.03063813134559,2.020272936027742,0.0841780390011559,3.396367088066377,0.14151529533609905,1.4550066770177807,0.0606252782090742,79.57691086753563,10.0,24.0,0.5497175423003238,17.0,4.0,7.0,12.0,15.0,0.16666666666666666,0.2916666666666667,0.5,0.625,266.6666666666667,True
blocks.2.0.se.conv_expand,conv_gap,24,72,1,False,24.0,0,1.0,1.0,6400,1.0634922607633532,1.9892079011154824,0.027627887515492812,3.0528765973274203,0.04240106385176973,1.4674952320741594,0.020381878223252214,23.383716968718932,10,72,0.41256683068939526,43,3,6,10,14,0.041666666666666664,0.08333333333333333,0.1388888888888889,0.19444444444444445,timm:mobilenetv3_large_100.ra4_e3600_r224_in1k,timm/mobilenetv3_large_100.ra4_e3600_r224_in1k,imagenet_val[6400],88.88888888888889,True,0.125,0.25,0.4166666666666667,0.5833333333333334,0.3333333333333333,6400.0,1.0634922607633532,1.9892079011154824,0.027627887515492812,3.0528765973274203,0.04240106385176973,1.4674952320741594,0.020381878223252214,23.383716968718932,10.0,72.0,0.41256683068939526,43.0,3.0,6.0,10.0,14.0,0.041666666666666664,0.08333333333333333,0.1388888888888889,0.19444444444444445,88.88888888888889,True
blocks.2.0.conv_pwl,conv,25,40,1,False,40.0,0,28.0,28.0,102400,0.1092700309070468,10.260104368172072,0.2565026092043018,18.368826471508147,0.45922066178770365,3.9556650566376486,0.09889162641594121,2.121088915525264,10,40,0.7598224445871193,40,21,27,35,39,0.525,0.675,0.875,0.975,timm:mobilenetv3_large_100.ra4_e3600_r224_in1k,timm/mobilenetv3_large_100.ra4_e3600_r224_in1k,imagenet_val[6400],2560.0,True,0.525,0.675,0.875,0.975,1.0,6400.0,0.011980978112839985,7.259264230232971,0.18148160575582428,12.456370189986922,0.31140925474967307,3.2665668397305807,0.08166417099326452,2.9648358955946357,10.0,40.0,0.9127825826401298,40.0,13.0,18.0,29.0,37.0,0.325,0.45,0.725,0.925,160.0,True
blocks.2.0,block,26,40,1,False,,0,28.0,28.0,102400,327.53015109147503,8.077877894219931,0.20194694735549829,15.444644708148807,0.3861161177037202,3.3015196963618156,0.08253799240904539,2.8459218029826014,10,40,0.7335534787885625,40,18,24,32,38,0.45,0.6,0.8,0.95,timm:mobilenetv3_large_100.ra4_e3600_r224_in1k,timm/mobilenetv3_large_100.ra4_e3600_r224_in1k,imagenet_val[6400],2560.0,True,,,,,,6400.0,38.36780560575542,6.523832201081214,0.16309580502703036,11.184889104609338,0.2796222276152335,3.0005180702551133,0.07501295175637783,3.7184475464018174,10.0,40.0,0.8676825681320663,40.0,11.0,16.0,27.0,35.0,0.275,0.4,0.675,0.875,160.0,True
blocks.2.1.conv_pw,conv,27,120,1,False,40.0,0,28.0,28.0,102400,21.459358785526717,5.594967111269711,0.0466247259272476,10.766482485495247,0.08972068737912706,2.625926910512159,0.021882724254267995,13.22489403711041,10,120,0.8154147684621101,77,12,17,28,37,0.1,0.14166666666666666,0.23333333333333334,0.30833333333333335,timm:mobilenetv3_large_100.ra4_e3600_r224_in1k,timm/mobilenetv3_large_100.ra4_e3600_r224_in1k,imagenet_val[6400],853.3333333333334,True,0.3,0.425,0.7,0.925,0.3333333333333333,6400.0,2.7840911569828286,6.166152737128117,0.05138460614273431,9.22056534233908,0.07683804451949233,3.2415169207818333,0.02701264100651528,13.18765889425539,10.0,120.0,0.8464080750257121,81.0,9.0,12.0,20.0,32.0,0.075,0.1,0.16666666666666666,0.26666666666666666,53.333333333333336,True
blocks.2.1.bn1.act,act,28,120,1,False,,0,28.0,28.0,102400,230.34919781255473,7.529575646316766,0.06274646371930638,15.397129785792089,0.12830941488160075,3.16606523350508,0.026383876945875667,3.640848419878648,10,120,0.9367942042413266,120,17,24,47,81,0.14166666666666666,0.2,0.39166666666666666,0.675,timm:mobilenetv3_large_100.ra4_e3600_r224_in1k,timm/mobilenetv3_large_100.ra4_e3600_r224_in1k,imagenet_val[6400],853.3333333333334,True,,,,,,6400.0,34.44637540159131,6.134033101786609,0.05111694251488841,9.819273545978499,0.08182727954982082,3.5334088133594026,0.029445073444661688,4.230027092413384,10.0,120.0,0.9447267096393549,120.0,10.0,15.0,29.0,58.0,0.08333333333333333,0.125,0.24166666666666667,0.48333333333333334,53.333333333333336,True
blocks.2.1.conv_dw,conv,29,120,120,True,120.0,0,28.0,28.0,102400,4.6183916808952645,9.617274977929474,0.08014395814941229,19.6097980361,0.16341498363416665,4.212373597832451,0.03510311331527042,2.675423336337848,10,120,0.9169028589465186,120,24,37,70,102,0.2,0.30833333333333335,0.5833333333333334,0.85,timm:mobilenetv3_large_100.ra4_e3600_r224_in1k,timm/mobilenetv3_large_100.ra4_e3600_r224_in1k,imagenet_val[6400],853.3333333333334,True,0.2,0.30833333333333335,0.5833333333333334,0.85,1.0,6400.0,0.8387333873946056,3.581627998875513,0.029846899990629276,5.956813083739285,0.04964010903116071,2.273633599493866,0.018946946662448883,4.744305740653714,10.0,120.0,0.9576354654794643,120.0,7.0,11.0,21.0,42.0,0.058333333333333334,0.09166666666666666,0.175,0.35,53.333333333333336,True
blocks.2.1.bn2.act,act,30,120,1,False,,0,28.0,28.0,102400,5833.22881614788,2.827659661750162,0.02356383051458468,5.483907069912647,0.04569922558260539,1.7948257958161042,0.014956881631800869,2.9557929746786686,10,120,0.9050577699544382,120,7,15,39,81,0.058333333333333334,0.125,0.325,0.675,timm:mobilenetv3_large_100.ra4_e3600_r224_in1k,timm/mobilenetv3_large_100.ra4_e3600_r224_in1k,imagenet_val[6400],853.3333333333334,True,,,,,,6400.0,619.6638855158627,1.7951423183434143,0.014959519319528453,3.0294731724003277,0.02524560977000273,1.3677803564344175,0.01139816963695348,4.264815380316624,10.0,120.0,0.9135565372215299,120.0,3.0,7.0,19.0,45.0,0.025,0.058333333333333334,0.15833333333333333,0.375,53.333333333333336,True
blocks.2.1.se.conv_reduce,conv_gap,31,32,1,False,32.0,0,1.0,1.0,6400,134.89103850822207,1.4371692422247615,0.0449115388195238,1.9166747627620262,0.05989608633631332,1.2131522342822278,0.03791100732131962,21.800266218945648,10,32,0.3663352827197205,28,2,3,6,16,0.0625,0.09375,0.1875,0.5,timm:mobilenetv3_large_100.ra4_e3600_r224_in1k,timm/mobilenetv3_large_100.ra4_e3600_r224_in1k,imagenet_val[6400],200.0,True,0.0625,0.09375,0.1875,0.5,1.0,6400.0,134.89103850822207,1.4371692422247615,0.0449115388195238,1.9166747627620262,0.05989608633631332,1.2131522342822278,0.03791100732131962,21.800266218945648,10.0,32.0,0.3663352827197205,28.0,2.0,3.0,6.0,16.0,0.0625,0.09375,0.1875,0.5,200.0,True
