layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,model,weights,source,n_over_C,n_over_C_ok,k_star_rmax_0.9,k_star_rmax_0.95,k_star_rmax_0.99,k_star_rmax_0.999,r_max_over_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,pooled_n_over_C_ok
conv_stem,conv,0,16,1,False,16.0,0,112.0,112.0,102400,190.91891255651714,2.21375424914494,0.13835964057155875,3.403156273172148,0.21269726707325926,1.5348431102700806,0.09592769439188004,,10,16,,16,4,6,7,8,0.25,0.375,0.4375,0.5,timm:mobilenetv3_large_100.ra_in1k,timm/mobilenetv3_large_100.ra_in1k,imagenet_val[6400],6400.0,True,0.25,0.375,0.4375,0.5,1.0,6400.0,49.30814208394287,2.158162545594169,0.13488515909963555,2.4988889397407825,0.1561805587337989,1.6013888177089075,0.10008680110680672,,10.0,16.0,,14.0,3.0,3.0,3.0,3.0,0.1875,0.1875,0.1875,0.1875,400.0,True
bn1.act,act,1,16,1,False,,0,112.0,112.0,102400,65.038618018932,1.9562370059247212,0.12226481287029507,3.0709196564524035,0.19193247852827522,1.4275971698376184,0.08922482311485115,,10,16,,16,4,6,7,11,0.25,0.375,0.4375,0.6875,timm:mobilenetv3_large_100.ra_in1k,timm/mobilenetv3_large_100.ra_in1k,imagenet_val[6400],6400.0,True,,,,,,6400.0,14.42285910990119,1.604964984819073,0.10031031155119206,2.058305386852191,0.12864408667826194,1.2935399111856316,0.08084624444910198,,10.0,16.0,,16.0,2.0,3.0,3.0,7.0,0.125,0.1875,0.1875,0.4375,400.0,True
blocks.0.0.conv_dw,conv,2,16,16,True,16.0,0,112.0,112.0,102400,217.2590385314211,1.484703701799521,0.09279398136247007,2.1765154569586076,0.13603221605991297,1.228219180226483,0.07676369876415519,,10,16,,16,2,4,8,12,0.125,0.25,0.5,0.75,timm:mobilenetv3_large_100.ra_in1k,timm/mobilenetv3_large_100.ra_in1k,imagenet_val[6400],6400.0,True,0.125,0.25,0.5,0.75,1.0,6400.0,41.271349316410074,1.0025842537674934,0.06266151586046834,1.0119029719795212,0.06324393574872007,1.0012915424192717,0.06258072140120448,,10.0,16.0,,16.0,1.0,1.0,1.0,2.0,0.0625,0.0625,0.0625,0.125,400.0,True
blocks.0.0.bn1.act,act,3,16,1,False,,0,112.0,112.0,102400,180.92152397051396,7.511067271924281,0.46944170449526756,9.281167663816783,0.5800729789885489,4.301135788508951,0.26882098678180943,,10,16,,16,8,10,13,16,0.5,0.625,0.8125,1.0,timm:mobilenetv3_large_100.ra_in1k,timm/mobilenetv3_large_100.ra_in1k,imagenet_val[6400],6400.0,True,,,,,,6400.0,7.719503003850342,1.3409012718497169,0.0838063294906073,1.8602872210920849,0.1162679513182553,1.1629525666672975,0.0726845354167061,,10.0,16.0,,16.0,2.0,3.0,7.0,12.0,0.125,0.1875,0.4375,0.75,400.0,True
blocks.0.0.conv_pw,conv,4,16,1,False,16.0,0,112.0,112.0,102400,855.6938952696219,4.473613890542569,0.27960086815891055,6.450291278767194,0.40314320492294964,2.4387646271020267,0.15242278919387667,,10,16,,16,7,8,10,12,0.4375,0.5,0.625,0.75,timm:mobilenetv3_large_100.ra_in1k,timm/mobilenetv3_large_100.ra_in1k,imagenet_val[6400],6400.0,True,0.4375,0.5,0.625,0.75,1.0,6400.0,78.9415224995221,1.0645313229618518,0.06653320768511574,1.2015772284985458,0.07509857678115911,1.0319573420606283,0.06449733387878927,,10.0,16.0,,16.0,1.0,1.0,3.0,8.0,0.0625,0.0625,0.1875,0.5,400.0,True
blocks.0.0,block,5,16,1,False,,0,112.0,112.0,102400,81.13524069135327,8.021144443553295,0.5013215277220809,10.508991090585171,0.6568119431615732,4.109074789235214,0.25681717432720086,,10,16,,16,10,12,14,16,0.625,0.75,0.875,1.0,timm:mobilenetv3_large_100.ra_in1k,timm/mobilenetv3_large_100.ra_in1k,imagenet_val[6400],6400.0,True,,,,,,6400.0,6.187975459878439,3.039363658621062,0.18996022866381637,3.5776175765484926,0.22360109853428078,2.27868679052753,0.14241792440797063,,10.0,16.0,,16.0,3.0,3.0,7.0,11.0,0.1875,0.1875,0.4375,0.6875,400.0,True
blocks.1.0.conv_pw,conv,6,64,1,False,16.0,0,112.0,112.0,102400,960.0784667268549,5.649807758103578,0.08827824622036841,8.105610038261835,0.12665015684784117,3.528922678956975,0.05513941685870274,18.444494778247556,10,64,0.815623005338544,36,9,11,14,15,0.140625,0.171875,0.21875,0.234375,timm:mobilenetv3_large_100.ra_in1k,timm/mobilenetv3_large_100.ra_in1k,imagenet_val[6400],1600.0,True,0.5625,0.6875,0.875,0.9375,0.25,6400.0,70.38720369332377,3.1752806214267926,0.049613759709793634,3.509245171792998,0.054831955809265594,2.8533256541804954,0.04458321334657024,16.055413098504054,10.0,64.0,0.8790935787579619,40.0,3.0,3.0,6.0,11.0,0.046875,0.046875,0.09375,0.171875,100.0,True
blocks.1.0.bn1.act,act,7,64,1,False,,0,112.0,112.0,102400,232.46124045817476,9.593119018403073,0.149892484662548,13.802575744730174,0.21566524601140896,4.906274914693486,0.07666054554208572,5.9601404577498185,10,64,0.9061728813658942,64,13,16,25,39,0.203125,0.25,0.390625,0.609375,timm:mobilenetv3_large_100.ra_in1k,timm/mobilenetv3_large_100.ra_in1k,imagenet_val[6400],1600.0,True,,,,,,6400.0,28.284250824846943,3.7352443355560836,0.058363192743063806,5.123743802110268,0.08005849690797294,2.602117515192253,0.040658086174878955,7.276064497188457,10.0,64.0,0.8830295274482804,64.0,5.0,6.0,12.0,24.0,0.078125,0.09375,0.1875,0.375,100.0,True
blocks.1.0.conv_dw,conv,8,64,64,True,64.0,0,56.0,56.0,102400,478.0255493609218,13.56523693573701,0.21195682712089078,20.72461556064562,0.3238221181350878,5.809865504328083,0.09077914850512629,3.553087011812704,10,64,0.8560375339047244,64,20,27,41,55,0.3125,0.421875,0.640625,0.859375,timm:mobilenetv3_large_100.ra_in1k,timm/mobilenetv3_large_100.ra_in1k,imagenet_val[6400],1600.0,True,0.3125,0.421875,0.640625,0.859375,1.0,6400.0,64.20381582393006,4.5177089617467585,0.0705892025272931,5.704805969863614,0.08913759327911897,3.2806712351639056,0.051260488049436025,6.783265433613533,10.0,64.0,0.9533305286164871,64.0,5.0,6.0,12.0,22.0,0.078125,0.09375,0.1875,0.34375,100.0,True
blocks.1.0.bn2.act,act,9,64,1,False,,0,56.0,56.0,102400,739.38801970585,21.59736864635359,0.33745888509927485,33.700066396932144,0.5265635374520647,7.880714649681944,0.12313616640128038,1.9809854347194884,10,64,0.8065774988915378,64,34,43,55,62,0.53125,0.671875,0.859375,0.96875,timm:mobilenetv3_large_100.ra_in1k,timm/mobilenetv3_large_100.ra_in1k,imagenet_val[6400],1600.0,True,,,,,,6400.0,52.34322922549397,3.3078651157768952,0.05168539243401399,6.288507767573971,0.09825793386834329,1.9226906223073614,0.030042040973552522,3.536802724475087,10.0,64.0,0.9529828889943416,64.0,7.0,11.0,23.0,45.0,0.109375,0.171875,0.359375,0.703125,100.0,True
blocks.1.0.conv_pwl,conv,10,24,1,False,24.0,0,56.0,56.0,102400,3105.9322921159155,7.35399421689745,0.3064164257040604,12.094585822676754,0.5039410759448647,3.2220338190380047,0.13425140912658354,3.3868710498993075,10,24,0.8888656689795502,24,13,16,21,24,0.5416666666666666,0.6666666666666666,0.875,1.0,timm:mobilenetv3_large_100.ra_in1k,timm/mobilenetv3_large_100.ra_in1k,imagenet_val[6400],4266.666666666667,True,0.5416666666666666,0.6666666666666666,0.875,1.0,1.0,6400.0,537.3117657723716,3.2610652108234426,0.13587771711764343,5.489574696860894,0.22873227903587057,1.9237010594762065,0.0801542108115086,6.988479901370148,10.0,24.0,0.9288436493444355,24.0,6.0,8.0,13.0,17.0,0.25,0.3333333333333333,0.5416666666666666,0.7083333333333334,266.6666666666667,True
blocks.1.0,block,11,24,1,False,,0,56.0,56.0,102400,1327.2670201945307,8.502260113498782,0.35426083806244923,13.109025568080627,0.5462093986700262,3.737779683914564,0.15574082016310684,3.4263030266592,10,24,0.752043870284569,24,14,17,21,23,0.5833333333333334,0.7083333333333334,0.875,0.9583333333333334,timm:mobilenetv3_large_100.ra_in1k,timm/mobilenetv3_large_100.ra_in1k,imagenet_val[6400],4266.666666666667,True,,,,,,6400.0,181.5689482029665,3.1252544389610626,0.13021893495671094,5.770591164409732,0.24044129851707216,1.8411527719301555,0.07671469883042314,7.2122187475889,10.0,24.0,0.9367209934073211,24.0,8.0,10.0,14.0,18.0,0.3333333333333333,0.4166666666666667,0.5833333333333334,0.75,266.6666666666667,True
blocks.1.1.conv_pw,conv,12,72,1,False,24.0,0,56.0,56.0,102400,10661.543522294063,3.4887547078198016,0.04845492649749725,6.125752571773039,0.08507989683018109,2.024113397796804,0.02811268608051117,16.798620226563393,10,72,0.8611585106997626,47,7,11,17,22,0.09722222222222222,0.1527777777777778,0.2361111111111111,0.3055555555555556,timm:mobilenetv3_large_100.ra_in1k,timm/mobilenetv3_large_100.ra_in1k,imagenet_val[6400],1422.2222222222222,True,0.2916666666666667,0.4583333333333333,0.7083333333333334,0.9166666666666666,0.3333333333333333,6400.0,1829.5080678496176,1.5903230698580084,0.02208782041469456,2.5389431784031933,0.03526309970004435,1.2702564338058027,0.017642450469525037,16.11202157617224,10.0,72.0,0.90446279707564,47.0,3.0,5.0,10.0,16.0,0.041666666666666664,0.06944444444444445,0.1388888888888889,0.2222222222222222,88.88888888888889,True
blocks.1.1.bn1.act,act,13,72,1,False,,0,56.0,56.0,102400,153.75158919677366,9.086503089000153,0.1262014317916688,15.203900759270573,0.2111652883232024,4.3506773501136635,0.06042607430713422,3.237435650258252,10,72,0.8673008598893633,72,15,22,42,61,0.20833333333333334,0.3055555555555556,0.5833333333333334,0.8472222222222222,timm:mobilenetv3_large_100.ra_in1k,timm/mobilenetv3_large_100.ra_in1k,imagenet_val[6400],1422.2222222222222,True,,,,,,6400.0,22.713077775029436,3.6991141866082122,0.05137658592511406,6.003505993885564,0.08338202769285505,2.1771080581566187,0.030237611918841927,4.250959882627041,10.0,72.0,0.9569253849000237,72.0,6.0,9.0,17.0,35.0,0.08333333333333333,0.125,0.2361111111111111,0.4861111111111111,88.88888888888889,True
blocks.1.1.conv_dw,conv,14,72,72,True,72.0,0,56.0,56.0,102400,107.74879638635596,17.83144028636101,0.2476588928661251,29.823064121504842,0.4142092239097895,6.50349028360548,0.090326253938965,2.3404373426250613,10,72,0.8042848537436736,72,31,41,58,68,0.4305555555555556,0.5694444444444444,0.8055555555555556,0.9444444444444444,timm:mobilenetv3_large_100.ra_in1k,timm/mobilenetv3_large_100.ra_in1k,imagenet_val[6400],1422.2222222222222,True,0.4305555555555556,0.5694444444444444,0.8055555555555556,0.9444444444444444,1.0,6400.0,7.942527930160066,2.078121735120551,0.02886280187667432,3.5231272332324175,0.04893232268378358,1.4784224837102509,0.020533645607086818,4.911675645479563,10.0,72.0,0.9356385760108596,72.0,4.0,6.0,14.0,27.0,0.05555555555555555,0.08333333333333333,0.19444444444444445,0.375,88.88888888888889,True
blocks.1.1.bn2.act,act,15,72,1,False,,0,56.0,56.0,102400,198.04778432298912,25.093729036575926,0.34852401439688785,40.750072709231844,0.5659732320726645,8.083058417902771,0.1122647002486496,1.3769610218808983,10,72,0.8541099931344674,72,44,54,66,71,0.6111111111111112,0.75,0.9166666666666666,0.9861111111111112,timm:mobilenetv3_large_100.ra_in1k,timm/mobilenetv3_large_100.ra_in1k,imagenet_val[6400],1422.2222222222222,True,,,,,,6400.0,12.129524157416142,2.525303173897276,0.03507365519301772,5.266216385531877,0.07314189424349829,1.630578416296007,0.022646922448555654,2.570523274794931,10.0,72.0,0.9862266275922095,72.0,7.0,12.0,32.0,60.0,0.09722222222222222,0.16666666666666666,0.4444444444444444,0.8333333333333334,88.88888888888889,True
blocks.1.1.conv_pwl,conv,16,24,1,False,24.0,0,56.0,56.0,102400,304.5432671128638,5.226296938782678,0.21776237244927824,10.134561774659545,0.422273407277481,2.46963059958771,0.10290127498282126,3.3024250005493148,10,24,0.8793833812938778,24,13,16,20,24,0.5416666666666666,0.6666666666666666,0.8333333333333334,1.0,timm:mobilenetv3_large_100.ra_in1k,timm/mobilenetv3_large_100.ra_in1k,imagenet_val[6400],4266.666666666667,True,0.5416666666666666,0.6666666666666666,0.8333333333333334,1.0,1.0,6400.0,44.383370766431824,1.2999248482277523,0.05416353534282301,1.8678088234406138,0.07782536764335891,1.1428951456452001,0.04762063106855,3.9457809657721126,10.0,24.0,0.8900543171206386,24.0,2.0,4.0,11.0,19.0,0.08333333333333333,0.16666666666666666,0.4583333333333333,0.7916666666666666,266.6666666666667,True
blocks.1.1,block,17,24,1,False,,0,56.0,56.0,102400,1772.0138149269117,13.555002766889656,0.5647917819537357,17.147856069786855,0.7144940029077856,6.91688468813865,0.28820352867244375,2.1141120482753033,10,24,0.8645017039713361,24,16,19,23,24,0.6666666666666666,0.7916666666666666,0.9583333333333334,1.0,timm:mobilenetv3_large_100.ra_in1k,timm/mobilenetv3_large_100.ra_in1k,imagenet_val[6400],4266.666666666667,True,,,,,,6400.0,113.33709152341162,8.077372477665417,0.3365571865693924,11.0225956848998,0.45927482020415833,3.9323842120511427,0.16384934216879762,5.04820422635485,10.0,24.0,0.8716117176158223,24.0,10.0,13.0,18.0,22.0,0.4166666666666667,0.5416666666666666,0.75,0.9166666666666666,266.6666666666667,True
blocks.2.0.conv_pw,conv,18,72,1,False,24.0,0,56.0,56.0,102400,20179.71250958342,9.737390677275545,0.1352415371843826,13.730403569636627,0.19070004957828648,5.093515963997759,0.07074327727774665,17.990588117438808,10,72,0.8271252437125998,47,14,17,21,24,0.19444444444444445,0.2361111111111111,0.2916666666666667,0.3333333333333333,timm:mobilenetv3_large_100.ra_in1k,timm/mobilenetv3_large_100.ra_in1k,imagenet_val[6400],1422.2222222222222,True,0.5833333333333334,0.7083333333333334,0.875,1.0,0.3333333333333333,6400.0,1613.929456204753,5.60448992222739,0.07784013780871374,8.282132444672142,0.11502961728711308,2.880589448248703,0.04000818678123199,17.806300883348438,10.0,72.0,0.8609803521624928,47.0,8.0,10.0,16.0,21.0,0.1111111111111111,0.1388888888888889,0.2222222222222222,0.2916666666666667,88.88888888888889,True
blocks.2.0.bn1.act,act,19,72,1,False,,0,56.0,56.0,102400,355.54317194520854,13.787325423675469,0.1914906308843815,22.136300958302417,0.3074486244208669,6.370127952390882,0.08847399933876225,3.77556337262863,10,72,0.8366067761597121,72,22,30,44,58,0.3055555555555556,0.4166666666666667,0.6111111111111112,0.8055555555555556,timm:mobilenetv3_large_100.ra_in1k,timm/mobilenetv3_large_100.ra_in1k,imagenet_val[6400],1422.2222222222222,True,,,,,,6400.0,43.253275916774605,6.870183245790874,0.09541921174709547,9.893795346911913,0.13741382426266546,3.8270419707460768,0.05315336070480662,5.004818567865425,10.0,72.0,0.9518154510802075,72.0,9.0,12.0,22.0,37.0,0.125,0.16666666666666666,0.3055555555555556,0.5138888888888888,88.88888888888889,True
blocks.2.0.conv_dw,conv,20,72,72,True,72.0,0,28.0,28.0,102400,1338.6074773357034,12.080806521218236,0.1677889794613644,20.74680351566042,0.28815004882861694,5.677494905356662,0.07885409590773142,2.614197608705012,10,72,0.7595417085067486,72,23,33,52,66,0.3194444444444444,0.4583333333333333,0.7222222222222222,0.9166666666666666,timm:mobilenetv3_large_100.ra_in1k,timm/mobilenetv3_large_100.ra_in1k,imagenet_val[6400],1422.2222222222222,True,0.3194444444444444,0.4583333333333333,0.7222222222222222,0.9166666666666666,1.0,6400.0,230.46573474162244,7.357103181645915,0.10218198863397104,10.665220359890919,0.14812806055404054,4.04202209210433,0.056139195723671244,5.826381579351185,10.0,72.0,0.8972180598257986,72.0,10.0,13.0,24.0,38.0,0.1388888888888889,0.18055555555555555,0.3333333333333333,0.5277777777777778,88.88888888888889,True
blocks.2.0.bn2.act,act,21,72,1,False,,0,28.0,28.0,102400,528.5696015392306,21.68041968734418,0.3011169401020025,35.81687300013996,0.4974565694463883,7.9977734450198374,0.11108018673638663,1.8364951465652348,10,72,0.7966261418238766,72,38,48,62,69,0.5277777777777778,0.6666666666666666,0.8611111111111112,0.9583333333333334,timm:mobilenetv3_large_100.ra_in1k,timm/mobilenetv3_large_100.ra_in1k,imagenet_val[6400],1422.2222222222222,True,,,,,,6400.0,57.98520628838229,8.404331867413084,0.1167268314918484,14.267467729335284,0.1981592740185456,3.7228160204548835,0.05170577806187338,3.423623426557308,10.0,72.0,0.9471164915354678,72.0,14.0,21.0,36.0,59.0,0.19444444444444445,0.2916666666666667,0.5,0.8194444444444444,88.88888888888889,True
blocks.2.0.se.conv_reduce,conv_gap,22,24,1,False,24.0,0,1.0,1.0,6400,0.16669474681969368,1.0000477385658435,0.04166865577357681,1.0002887312668194,0.04167869713611747,1.0000238692041552,0.0416676612168398,29.373898897139576,10,24,0.8314666504387225,9,1,1,1,1,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,timm:mobilenetv3_large_100.ra_in1k,timm/mobilenetv3_large_100.ra_in1k,imagenet_val[6400],266.6666666666667,True,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,1.0,6400.0,0.16669474681969368,1.0000477385658435,0.04166865577357681,1.0002887312668194,0.04167869713611747,1.0000238692041552,0.0416676612168398,29.373898897139576,10.0,24.0,0.8314666504387225,9.0,1.0,1.0,1.0,1.0,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,266.6666666666667,True
blocks.2.0.se.act1,act,23,24,1,False,,0,1.0,1.0,6400,0.1666947468196937,1.0000477385658428,0.041668655773576785,1.0002887312668058,0.04167869713611691,1.0000238692041548,0.041667661216839784,128.1647258154878,10,24,0.940544675393361,9,1,1,1,1,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,timm:mobilenetv3_large_100.ra_in1k,timm/mobilenetv3_large_100.ra_in1k,imagenet_val[6400],266.6666666666667,True,,,,,,6400.0,0.1666947468196937,1.0000477385658428,0.041668655773576785,1.0002887312668058,0.04167869713611691,1.0000238692041548,0.041667661216839784,128.1647258154878,10.0,24.0,0.940544675393361,9.0,1.0,1.0,1.0,1.0,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,266.6666666666667,True
blocks.2.0.se.conv_expand,conv_gap,24,72,1,False,24.0,0,1.0,1.0,6400,0.08444435736831327,1.0000000844287769,0.01388889006151079,1.000000860822982,0.013888900844763638,1.0000000422143878,0.01388888947519983,2.6036839137547494,10,72,0.6749498101739578,39,1,1,1,1,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,timm:mobilenetv3_large_100.ra_in1k,timm/mobilenetv3_large_100.ra_in1k,imagenet_val[6400],88.88888888888889,True,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.3333333333333333,6400.0,0.08444435736831327,1.0000000844287769,0.01388889006151079,1.000000860822982,0.013888900844763638,1.0000000422143878,0.01388888947519983,2.6036839137547494,10.0,72.0,0.6749498101739578,39.0,1.0,1.0,1.0,1.0,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,88.88888888888889,True
blocks.2.0.conv_pwl,conv,25,40,1,False,40.0,0,28.0,28.0,102400,2352.855643407863,14.761868235217158,0.3690467058804289,21.146758599403654,0.5286689649850913,6.874088469652284,0.1718522117413071,2.7030332236046024,10,40,0.7805338252102434,40,21,26,33,38,0.525,0.65,0.825,0.95,timm:mobilenetv3_large_100.ra_in1k,timm/mobilenetv3_large_100.ra_in1k,imagenet_val[6400],2560.0,True,0.525,0.65,0.825,0.95,1.0,6400.0,380.4626222994534,8.408556123832657,0.21021390309581642,12.696216150042376,0.3174054037510594,3.954194421966026,0.09885486054915064,4.663229250797516,10.0,40.0,0.891133379599878,40.0,12.0,17.0,24.0,32.0,0.3,0.425,0.6,0.8,160.0,True
blocks.2.0,block,26,40,1,False,,0,28.0,28.0,102400,2110.232097313835,18.5548274580935,0.4638706864523375,24.476055434996336,0.6119013858749084,8.834925621020714,0.22087314052551785,2.7066716608250143,10,40,0.7632873512193706,40,23,27,33,38,0.575,0.675,0.825,0.95,timm:mobilenetv3_large_100.ra_in1k,timm/mobilenetv3_large_100.ra_in1k,imagenet_val[6400],2560.0,True,,,,,,6400.0,311.4487159601213,11.174588639629214,0.2793647159907303,15.281658498983456,0.38204146247458637,5.710399964355048,0.1427599991088762,4.587983728477523,10.0,40.0,0.8737682727714968,40.0,14.0,19.0,25.0,33.0,0.35,0.475,0.625,0.825,160.0,True
blocks.2.1.conv_pw,conv,27,120,1,False,40.0,0,28.0,28.0,102400,9169.829979501235,10.946098690311002,0.09121748908592502,15.126058123615278,0.12605048436346064,5.818268965848935,0.04848557471540779,13.319013867200194,10,120,0.8206184978130892,78,14,18,27,37,0.11666666666666667,0.15,0.225,0.30833333333333335,timm:mobilenetv3_large_100.ra_in1k,timm/mobilenetv3_large_100.ra_in1k,imagenet_val[6400],853.3333333333334,True,0.35,0.45,0.675,0.925,0.3333333333333333,6400.0,1805.4826320726088,8.280352563036256,0.06900293802530214,10.7389555026809,0.08949129585567417,4.681506931179315,0.03901255775982762,13.01959746645168,10.0,120.0,0.8658232461846697,80.0,9.0,11.0,18.0,27.0,0.075,0.09166666666666666,0.15,0.225,53.333333333333336,True
blocks.2.1.bn1.act,act,28,120,1,False,,0,28.0,28.0,102400,170.3567356513284,13.145645098570249,0.1095470424880854,20.003261950835505,0.16669384959029587,6.878391475414888,0.05731992896179073,3.0078648672309933,10,120,0.9055902416041905,120,18,28,59,95,0.15,0.23333333333333334,0.49166666666666664,0.7916666666666666,timm:mobilenetv3_large_100.ra_in1k,timm/mobilenetv3_large_100.ra_in1k,imagenet_val[6400],853.3333333333334,True,,,,,,6400.0,35.788759019975856,8.45076271602756,0.070423022633563,11.719772305237951,0.09766476921031626,4.967745346505733,0.04139787788754778,3.798399574810362,10.0,120.0,0.900846528469691,120.0,10.0,13.0,26.0,65.0,0.08333333333333333,0.10833333333333334,0.21666666666666667,0.5416666666666666,53.333333333333336,True
