layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,model
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,512,692.408045505591,2.7364779524238214,0.04275746800662221,5.2957845777089165,0.08274663402670182,1.7087737876861389,0.02669959043259592,6.37384755169585,10,64,0.9253301938503683,64,7,10,19,30,0.109375,0.15625,0.296875,0.46875,1,timm:resnet101.tv2_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,512,692.408045505591,2.7364779524238214,0.04275746800662221,5.2957845777089165,0.08274663402670182,1.7087737876861389,0.02669959043259592,6.37384755169585,10,64,0.9253301938503683,64,7,10,19,30,0.109375,0.15625,0.296875,0.46875,2,timm:resnet101.tv2_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,512,692.408045505591,2.7364779524238214,0.04275746800662221,5.2957845777089165,0.08274663402670182,1.7087737876861389,0.02669959043259592,6.37384755169585,10,64,0.9253301938503683,64,7,10,19,30,0.109375,0.15625,0.296875,0.46875,5,timm:resnet101.tv2_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,1024,743.564768667803,2.8122203317761785,0.04394094268400279,5.62919610138664,0.08795618908416625,1.7280118436156002,0.027000185056493754,6.135441984644284,10,64,0.9210502359948145,64,7,11,20,32,0.109375,0.171875,0.3125,0.5,10,timm:resnet101.tv2_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,2048,748.6758303584431,2.793150084890278,0.043642970076410596,5.583425686153877,0.08724102634615433,1.7210609305420843,0.026891577039720067,6.098601451178337,10,64,0.9228723349702418,64,7,11,20,32,0.109375,0.171875,0.3125,0.5,25,timm:resnet101.tv2_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,3584,726.2415655765567,2.7687697178282065,0.043262026841065726,5.5246592214161,0.08632280033462657,1.7131079396246391,0.026767311556634987,6.076745274781752,10,64,0.9226321357771284,64,7,11,20,32,0.109375,0.171875,0.3125,0.5,50,timm:resnet101.tv2_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,6656,729.4290093810557,2.639515712429022,0.041242433006703466,5.3067608391019325,0.0829181381109677,1.6658568397478015,0.0260290131210594,6.043316279255845,10,64,0.9228707068774289,64,7,11,20,32,0.109375,0.171875,0.3125,0.5,100,timm:resnet101.tv2_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,16384,715.7928160326352,2.607537099561946,0.040742767180655406,5.206079234172396,0.08134498803394369,1.6553895965962786,0.025865462446816853,6.041628838561799,10,64,0.9210487357719883,64,7,11,20,32,0.109375,0.171875,0.3125,0.5,250,timm:resnet101.tv2_in1k
act1,act,1,64,1,False,,0,112.0,112.0,512,280.816356815704,2.4632791562949734,0.03848873681710896,6.069118890687888,0.09482998266699826,1.5878259807229225,0.024809780948795664,2.8622474769248645,10,64,0.8579503839299476,64,12,19,38,56,0.1875,0.296875,0.59375,0.875,1,timm:resnet101.tv2_in1k
act1,act,1,64,1,False,,0,112.0,112.0,512,280.816356815704,2.4632791562949734,0.03848873681710896,6.069118890687888,0.09482998266699826,1.5878259807229225,0.024809780948795664,2.8622474769248645,10,64,0.8579503839299476,64,12,19,38,56,0.1875,0.296875,0.59375,0.875,2,timm:resnet101.tv2_in1k
act1,act,1,64,1,False,,0,112.0,112.0,512,280.816356815704,2.4632791562949734,0.03848873681710896,6.069118890687888,0.09482998266699826,1.5878259807229225,0.024809780948795664,2.8622474769248645,10,64,0.8579503839299476,64,12,19,38,56,0.1875,0.296875,0.59375,0.875,5,timm:resnet101.tv2_in1k
act1,act,1,64,1,False,,0,112.0,112.0,1024,306.8654138149283,2.8888224249131897,0.04513785038926859,7.559831673812314,0.11812236990331741,1.7270007516924468,0.02698438674519448,2.6684316788998768,10,64,0.8377683631802586,64,14,22,42,58,0.21875,0.34375,0.65625,0.90625,10,timm:resnet101.tv2_in1k
act1,act,1,64,1,False,,0,112.0,112.0,2048,313.0360538448536,2.57787633726489,0.04027931776976391,6.682033127780342,0.10440676762156785,1.624582915112699,0.02538410804863592,2.5677804549969205,10,64,0.8286868912611227,64,13,21,42,58,0.203125,0.328125,0.65625,0.90625,25,timm:resnet101.tv2_in1k
act1,act,1,64,1,False,,0,112.0,112.0,3584,299.74865802597714,2.7769216006358874,0.04338940000993574,7.273796307411154,0.11365306730329928,1.691018923434706,0.02642217067866728,2.5320316839572934,10,64,0.8292897660478464,64,14,22,43,58,0.21875,0.34375,0.671875,0.90625,50,timm:resnet101.tv2_in1k
act1,act,1,64,1,False,,0,112.0,112.0,6656,295.91705336485177,2.71404546654818,0.042406960414815315,7.1413038462844165,0.11158287259819401,1.6696728666716787,0.02608863854174498,2.4931826492388165,10,64,0.8232893544610148,64,14,22,44,58,0.21875,0.34375,0.6875,0.90625,100,timm:resnet101.tv2_in1k
act1,act,1,64,1,False,,0,112.0,112.0,16384,286.8556582800044,2.630491867467782,0.0411014354291841,6.873078936137301,0.10739185837714532,1.6420929597363085,0.02565770249587982,2.4735055681628406,10,64,0.8245214053434462,64,14,22,43,58,0.21875,0.34375,0.671875,0.90625,250,timm:resnet101.tv2_in1k
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,512,1413.5192503210624,2.749104374430905,0.04295475585048289,4.595928545400996,0.07181138352189056,1.7970162266200813,0.02807837854093877,6.040608174762232,10,64,0.839812608694977,64,5,8,16,30,0.078125,0.125,0.25,0.46875,1,timm:resnet101.tv2_in1k
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,512,1413.5192503210624,2.749104374430905,0.04295475585048289,4.595928545400996,0.07181138352189056,1.7970162266200813,0.02807837854093877,6.040608174762232,10,64,0.839812608694977,64,5,8,16,30,0.078125,0.125,0.25,0.46875,2,timm:resnet101.tv2_in1k
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,512,1413.5192503210624,2.749104374430905,0.04295475585048289,4.595928545400996,0.07181138352189056,1.7970162266200813,0.02807837854093877,6.040608174762232,10,64,0.839812608694977,64,5,8,16,30,0.078125,0.125,0.25,0.46875,5,timm:resnet101.tv2_in1k
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,1024,1599.4673727054703,2.9051572850787952,0.045393082579356175,4.793215713028807,0.0748939955160751,1.8925330338062751,0.02957082865322305,5.9105985878306715,10,64,0.8298887503331219,64,6,9,16,31,0.09375,0.140625,0.25,0.484375,10,timm:resnet101.tv2_in1k
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,2048,1614.3248168674068,2.8605282442005002,0.044695753815632816,4.723167830811003,0.07379949735642193,1.865846885266538,0.029153857582289656,5.845147547112974,10,64,0.8243267172378874,64,5,8,16,32,0.078125,0.125,0.25,0.5,25,timm:resnet101.tv2_in1k
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,3584,1562.1153471359899,2.9056901520979346,0.04540140862653023,4.787574780065229,0.0748058559385192,1.889268047472262,0.029519813241754095,5.821346358833619,10,64,0.8226480171621684,64,5,8,16,32,0.078125,0.125,0.25,0.5,50,timm:resnet101.tv2_in1k
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,6656,1563.867488155172,2.8932126671886986,0.045206447924823416,4.771267192424402,0.07455104988163128,1.8821673079012673,0.0294088641859573,5.806991859870542,10,64,0.8231022832759349,64,5,8,16,32,0.078125,0.125,0.25,0.5,100,timm:resnet101.tv2_in1k
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,16384,1511.8309115060722,2.8148181398981635,0.043981533435908805,4.669557965567724,0.07296184321199568,1.8411328306552388,0.028767700478988106,5.801960975185672,10,64,0.8199616589080846,64,5,8,16,32,0.078125,0.125,0.25,0.5,250,timm:resnet101.tv2_in1k
layer1.0.act1,act,3,64,1,False,,0,56.0,56.0,512,68.87641269026905,3.822004620251474,0.05971882219142928,9.197434966263398,0.1437099213478656,2.056527188642831,0.032133237322544236,2.3411461129716176,10,64,0.9340243821111571,64,14,23,44,59,0.21875,0.359375,0.6875,0.921875,1,timm:resnet101.tv2_in1k
layer1.0.act1,act,3,64,1,False,,0,56.0,56.0,512,68.87641269026905,3.822004620251474,0.05971882219142928,9.197434966263398,0.1437099213478656,2.056527188642831,0.032133237322544236,2.3411461129716176,10,64,0.9340243821111571,64,14,23,44,59,0.21875,0.359375,0.6875,0.921875,2,timm:resnet101.tv2_in1k
layer1.0.act1,act,3,64,1,False,,0,56.0,56.0,512,68.87641269026905,3.822004620251474,0.05971882219142928,9.197434966263398,0.1437099213478656,2.056527188642831,0.032133237322544236,2.3411461129716176,10,64,0.9340243821111571,64,14,23,44,59,0.21875,0.359375,0.6875,0.921875,5,timm:resnet101.tv2_in1k
layer1.0.act1,act,3,64,1,False,,0,56.0,56.0,1024,72.86299138861142,3.97403291756582,0.06209426433696594,9.631639581836978,0.1504943684662028,2.110677166630873,0.03297933072860739,2.2303585314289283,10,64,0.930376897016568,64,15,25,46,60,0.234375,0.390625,0.71875,0.9375,10,timm:resnet101.tv2_in1k
layer1.0.act1,act,3,64,1,False,,0,56.0,56.0,2048,73.48744901076503,3.9175145381911474,0.06121116465923668,9.569427940641065,0.14952231157251664,2.0858523601575136,0.03259144312746115,2.1582287676391614,10,64,0.9302129042875773,64,15,25,46,60,0.234375,0.390625,0.71875,0.9375,25,timm:resnet101.tv2_in1k
layer1.0.act1,act,3,64,1,False,,0,56.0,56.0,3584,71.49573672068739,4.060164446797671,0.06344006948121361,9.905184522395615,0.15476850816243148,2.1303480072688488,0.03328668761357576,2.145358424302483,10,64,0.9271367319148596,64,16,26,47,60,0.25,0.40625,0.734375,0.9375,50,timm:resnet101.tv2_in1k
layer1.0.act1,act,3,64,1,False,,0,56.0,56.0,6656,71.0162556789526,3.981559014343407,0.06221185959911574,9.796575250970024,0.15307148829640663,2.1036722408099378,0.03286987876265528,2.136994929888237,10,64,0.9258037389823262,64,16,26,47,60,0.25,0.40625,0.734375,0.9375,100,timm:resnet101.tv2_in1k
