layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,model,weights,source,n_over_C,n_over_C_ok,k_star_rmax_0.9,k_star_rmax_0.95,k_star_rmax_0.99,k_star_rmax_0.999,r_max_over_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,pooled_n_over_C_ok
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,102400,713.5085069729942,2.6008304341075608,0.04063797553293064,5.180572253160202,0.08094644145562815,1.6534338431440139,0.025834903799125217,6.040635401836514,10,64,0.9202126486616918,64,7,11,20,32,0.109375,0.171875,0.3125,0.5,timm:resnet101.tv2_in1k,timm/resnet101.tv2_in1k,imagenet_val[6400],1600.0,True,0.109375,0.171875,0.3125,0.5,1.0,6400.0,149.83145039266054,1.664915827483048,0.026014309804422625,2.0711367154407085,0.03236151117876107,1.323938754760543,0.020686543043133485,8.373007297750828,10.0,64.0,0.9837061225721269,56.0,3.0,3.0,3.0,3.0,0.046875,0.046875,0.046875,0.046875,100.0,True
act1,act,1,64,1,False,,0,112.0,112.0,102400,285.19445550621947,2.618696238758972,0.04091712873060894,6.839249858862549,0.10686327904472732,1.638061115304194,0.02559470492662803,2.472218148481166,10,64,0.8253346179304727,64,14,22,43,58,0.21875,0.34375,0.671875,0.90625,timm:resnet101.tv2_in1k,timm/resnet101.tv2_in1k,imagenet_val[6400],1600.0,True,,,,,,6400.0,54.5836403695906,1.4262697214159108,0.022285464397123606,1.983914369407455,0.030998662021991485,1.2032656389036183,0.018801025607869035,4.506450903168249,10.0,64.0,0.9252848342219683,64.0,2.0,3.0,6.0,19.0,0.03125,0.046875,0.09375,0.296875,100.0,True
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,102400,1498.902221098564,2.828009946579823,0.04418765541530974,4.702052522671131,0.07346957066673643,1.84589008301882,0.028842032547169064,5.8012079371592105,10,64,0.8213129141770533,64,5,8,16,32,0.078125,0.125,0.25,0.5,timm:resnet101.tv2_in1k,timm/resnet101.tv2_in1k,imagenet_val[6400],1600.0,True,0.078125,0.125,0.25,0.5,1.0,6400.0,344.8771174067755,1.9697809224832858,0.03077782691380134,2.577346064252245,0.04027103225394133,1.51904909947936,0.023735142179365,6.553649108270375,10.0,64.0,0.8698915996580402,63.0,2.0,3.0,7.0,14.0,0.03125,0.046875,0.109375,0.21875,100.0,True
layer1.0.act1,act,3,64,1,False,,0,56.0,56.0,102400,69.24796486926698,3.8627226542952147,0.06035504147336273,9.572654567994412,0.1495727276249127,2.0631432584955474,0.03223661341399293,2.1139840633563485,10,64,0.9220233529815444,64,16,26,47,60,0.25,0.40625,0.734375,0.9375,timm:resnet101.tv2_in1k,timm/resnet101.tv2_in1k,imagenet_val[6400],1600.0,True,,,,,,6400.0,14.078744580050113,2.0818193937763803,0.03252842802775594,3.415416812455238,0.0533658876946131,1.5055928430240808,0.023524888172251263,2.9134953792968457,10.0,64.0,0.9843234860073538,64.0,4.0,6.0,16.0,42.0,0.0625,0.09375,0.25,0.65625,100.0,True
layer1.0.conv2,conv,4,64,1,False,64.0,0,56.0,56.0,102400,1598.1104689083597,2.454986482138636,0.03835916378341619,5.1224907933941894,0.08003891864678421,1.6044945917989586,0.025070227996858728,3.4498301055299367,10,64,0.9262485530317945,64,8,13,28,47,0.125,0.203125,0.4375,0.734375,timm:resnet101.tv2_in1k,timm/resnet101.tv2_in1k,imagenet_val[6400],1600.0,True,0.125,0.203125,0.4375,0.734375,1.0,6400.0,328.6133368924134,1.2834867731443758,0.02005448083038087,1.7796892345652793,0.02780764429008249,1.1362184532643724,0.01775341333225582,5.526587799227975,10.0,64.0,0.9685500043055405,64.0,2.0,3.0,9.0,17.0,0.03125,0.046875,0.140625,0.265625,100.0,True
layer1.0.act2,act,5,64,1,False,,0,56.0,56.0,102400,122.28050131367077,1.3539362499843097,0.02115525390600484,2.463321099979086,0.03848939218717322,1.1642175337315546,0.01819089896455554,2.9549518310220164,10,64,0.6163869241586963,63,6,15,35,53,0.09375,0.234375,0.546875,0.828125,timm:resnet101.tv2_in1k,timm/resnet101.tv2_in1k,imagenet_val[6400],1600.0,True,,,,,,6400.0,30.938843011763918,1.0811894342982968,0.016893584910910888,1.292648314293957,0.02019762991084308,1.0399228738077257,0.016248794903245715,5.56728994184345,10.0,64.0,0.24459397024901997,63.0,1.0,1.0,7.0,24.0,0.015625,0.015625,0.109375,0.375,100.0,True
layer1.0.conv3,conv,6,256,1,False,64.0,0,56.0,56.0,102400,2475.842131419598,1.0419097814316045,0.004069960083717205,1.1737147291322532,0.004584823160672864,1.0207561726075687,0.003987328799248315,9.73781932769427,10,256,0.6363485245365694,150,1,1,6,25,0.00390625,0.00390625,0.0234375,0.09765625,timm:resnet101.tv2_in1k,timm/resnet101.tv2_in1k,imagenet_val[6400],400.0,True,0.015625,0.015625,0.09375,0.390625,0.25,6400.0,691.3724092008976,1.0094112435874945,0.00394301267026365,1.0410265684159117,0.004066510032874655,1.0046964393519737,0.003924595466218647,8.434994363351274,10.0,256.0,0.6105394874459509,151.0,1.0,1.0,1.0,7.0,0.00390625,0.00390625,0.00390625,0.02734375,25.0,False
layer1.0.downsample.0,conv,7,256,1,False,64.0,0,56.0,56.0,102400,10083.285702998006,1.3930597192966485,0.005441639528502533,2.2719678414810716,0.008874874380785436,1.1834167533812723,0.004622721692895595,10.536271705685792,10,256,0.6571976376055956,152,3,6,19,39,0.01171875,0.0234375,0.07421875,0.15234375,timm:resnet101.tv2_in1k,timm/resnet101.tv2_in1k,imagenet_val[6400],400.0,True,0.046875,0.09375,0.296875,0.609375,0.25,6400.0,2717.486859890499,1.2736692055835828,0.00497527033431087,1.7276224549145944,0.0067485252145101345,1.1313330648459414,0.004419269784554459,9.291662296796567,10.0,256.0,0.6527181288395381,154.0,2.0,3.0,6.0,14.0,0.0078125,0.01171875,0.0234375,0.0546875,25.0,False
layer1.0.act3,act,8,256,1,False,,0,56.0,56.0,102400,147.81097460695435,31.177878931592236,0.12178858957653217,58.944862761273676,0.2302533701612253,11.809132179421503,0.04612942257586525,3.251997007890399,10,256,0.20253914384670035,244,70,104,175,220,0.2734375,0.40625,0.68359375,0.859375,timm:resnet101.tv2_in1k,timm/resnet101.tv2_in1k,imagenet_val[6400],400.0,True,,,,,,6400.0,20.09662919404577,8.505331208190336,0.0332239500319935,14.42246223574703,0.05633774310838684,4.432551407530428,0.017314653935665735,4.330812121488992,10.0,256.0,0.2867722710314049,244.0,14.0,22.0,58.0,139.0,0.0546875,0.0859375,0.2265625,0.54296875,25.0,False
layer1.0,block,9,256,1,False,,0,56.0,56.0,102400,147.65110897294284,31.148337584120952,0.12167319368797247,58.89793423895653,0.23007005562092395,11.804922064523293,0.04611297681454411,3.5396959575145104,10,256,0.1852200137103739,244,70,104,175,220,0.2734375,0.40625,0.68359375,0.859375,timm:resnet101.tv2_in1k,timm/resnet101.tv2_in1k,imagenet_val[6400],400.0,True,,,,,,6400.0,20.09662919404577,8.505331208190336,0.0332239500319935,14.42246223574703,0.05633774310838684,4.432551407530428,0.017314653935665735,4.330812121488992,10.0,256.0,0.2867722710314049,244.0,14.0,22.0,58.0,139.0,0.0546875,0.0859375,0.2265625,0.54296875,25.0,False
