layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,model,weights,source,n_over_C,n_over_C_ok,k_star_rmax_0.9,k_star_rmax_0.95,k_star_rmax_0.99,k_star_rmax_0.999,r_max_over_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,pooled_n_over_C_ok
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,102400,947.3115028834328,1.5004325475175113,0.023444258554961114,2.401118085527328,0.0375174700863645,1.231049923366465,0.019235155052601014,8.946704639973497,10,64,0.3141262582483154,60,3,5,12,27,0.046875,0.078125,0.1875,0.421875,timm:resnet18.a2_in1k,timm/resnet18.a2_in1k,imagenet_val[6400],1600.0,True,0.046875,0.078125,0.1875,0.421875,1.0,6400.0,229.72473391822365,1.380104602481561,0.021564134413774392,1.6907145766281044,0.02641741525981413,1.1878087495011487,0.018559511710955448,11.99099474312603,10.0,64.0,0.5780849588065189,48.0,2.0,2.0,3.0,3.0,0.03125,0.03125,0.046875,0.046875,100.0,True
act1,act,1,64,1,False,,0,112.0,112.0,102400,29.666316656173848,5.582076243920571,0.08721994131125892,13.090658880118967,0.20454154500185887,2.5452333492125643,0.03976927108144632,7.637144778434661,10,64,0.2044853884592045,60,18,27,44,54,0.28125,0.421875,0.6875,0.84375,timm:resnet18.a2_in1k,timm/resnet18.a2_in1k,imagenet_val[6400],1600.0,True,,,,,,6400.0,5.088714822910553,2.6025709172306226,0.04066517058172848,3.674151430160846,0.05740861609626322,1.7705042969797287,0.02766412964030826,5.201151600988085,10.0,64.0,0.3101420121729964,60.0,3.0,5.0,9.0,22.0,0.046875,0.078125,0.140625,0.34375,100.0,True
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,102400,3396.058428416396,4.119896151045417,0.06437337736008464,9.06410935823453,0.14162670872241453,2.1684651131782378,0.033882267393409965,2.5463446897111157,10,64,0.9707358580103489,64,12,19,39,58,0.1875,0.296875,0.609375,0.90625,timm:resnet18.a2_in1k,timm/resnet18.a2_in1k,imagenet_val[6400],1600.0,True,0.1875,0.296875,0.609375,0.90625,1.0,6400.0,668.7380282599637,2.0014706208026056,0.03127297845004071,3.231222706790566,0.05048785479360259,1.4552976786350584,0.022739026228672788,5.055037561340144,10.0,64.0,0.973831173128309,64.0,4.0,6.0,11.0,22.0,0.0625,0.09375,0.171875,0.34375,100.0,True
layer1.0.act1,act,3,64,1,False,,0,56.0,56.0,102400,13.977206475607183,17.99189687328361,0.2811233886450564,30.390336979814723,0.47484901530960505,6.59363293828804,0.10302551466075062,1.760335010239528,10,64,0.7531114121073577,64,34,44,57,63,0.53125,0.6875,0.890625,0.984375,timm:resnet18.a2_in1k,timm/resnet18.a2_in1k,imagenet_val[6400],1600.0,True,,,,,,6400.0,1.418213217013536,4.552410182913422,0.07113140910802222,8.472751326474238,0.13238673947615998,2.646765296842316,0.041355707763161186,2.6514645218819815,10.0,64.0,0.8392419316288592,64.0,10.0,17.0,37.0,56.0,0.15625,0.265625,0.578125,0.875,100.0,True
layer1.0.conv2,conv,4,64,1,False,64.0,0,56.0,56.0,102400,636.8787155763131,6.464206735280675,0.10100323023876055,16.495087482032986,0.2577357419067654,2.739888390420495,0.04281075610032024,2.0006067207637135,10,64,0.9509908750224124,64,24,34,52,62,0.375,0.53125,0.8125,0.96875,timm:resnet18.a2_in1k,timm/resnet18.a2_in1k,imagenet_val[6400],1600.0,True,0.375,0.53125,0.8125,0.96875,1.0,6400.0,100.56829142788408,2.1716590611791293,0.033932172830923896,4.201971965517524,0.06565581196121131,1.5027867241826813,0.023481042565354396,4.952040160662223,10.0,64.0,0.9236444202682366,64.0,6.0,10.0,21.0,35.0,0.09375,0.15625,0.328125,0.546875,100.0,True
layer1.0.act2,act,5,64,1,False,,0,56.0,56.0,102400,71.96964447217,26.336425369634078,0.41150664640053247,36.73093485721064,0.5739208571439163,12.139623546535054,0.18968161791461022,1.8105145144757824,10,64,0.9233982376774985,64,35,44,57,63,0.546875,0.6875,0.890625,0.984375,timm:resnet18.a2_in1k,timm/resnet18.a2_in1k,imagenet_val[6400],1600.0,True,,,,,,6400.0,7.0659946378572105,8.320291164542338,0.13000454944597403,12.585678395321407,0.196651224926897,4.518595014755242,0.07060304710555065,3.1882109805473275,10.0,64.0,0.9694127819703549,64.0,12.0,17.0,32.0,54.0,0.1875,0.265625,0.5,0.84375,100.0,True
layer1.0,block,6,64,1,False,,0,56.0,56.0,102400,72.18001137793405,26.34116830345441,0.41158075474147515,36.73593701230718,0.5739990158172997,12.121766221372859,0.18940259720895092,1.8133995381369559,10,64,0.9232944950468478,64,35,44,57,63,0.546875,0.6875,0.890625,0.984375,timm:resnet18.a2_in1k,timm/resnet18.a2_in1k,imagenet_val[6400],1600.0,True,,,,,,6400.0,7.0659946378572105,8.320291164542338,0.13000454944597403,12.585678395321407,0.196651224926897,4.518595014755242,0.07060304710555065,3.1882109805473275,10.0,64.0,0.9694127819703549,64.0,12.0,17.0,32.0,54.0,0.1875,0.265625,0.5,0.84375,100.0,True
layer1.1.conv1,conv,7,64,1,False,64.0,0,56.0,56.0,102400,3422.3585677668466,10.418071756666112,0.162782371197908,22.14470624541998,0.34601103508468717,3.7926549098741407,0.05926023296678345,2.0741791357838237,10,64,0.9623210150286005,64,26,36,53,63,0.40625,0.5625,0.828125,0.984375,timm:resnet18.a2_in1k,timm/resnet18.a2_in1k,imagenet_val[6400],1600.0,True,0.40625,0.5625,0.828125,0.984375,1.0,6400.0,451.15178690007554,3.281740403313146,0.05127719380176791,5.839073366560967,0.09123552135251511,1.9358795488878313,0.030248117951372364,4.806618790430152,10.0,64.0,0.9796790610976754,64.0,7.0,10.0,17.0,31.0,0.109375,0.15625,0.265625,0.484375,100.0,True
layer1.1.act1,act,8,64,1,False,,0,56.0,56.0,102400,8.882320003076938,33.615964398978974,0.5252494437340465,44.08505497106316,0.6888289839228618,13.28829750666707,0.20762964854167296,1.914556124718338,10,64,0.44062869444442443,64,42,49,57,60,0.65625,0.765625,0.890625,0.9375,timm:resnet18.a2_in1k,timm/resnet18.a2_in1k,imagenet_val[6400],1600.0,True,,,,,,6400.0,0.43408465347810965,8.533943894488646,0.1333428733513851,14.067032011456723,0.2197973751790113,3.915449096560959,0.061178892133764984,2.8137956593689633,10.0,64.0,0.8056456103111262,64.0,13.0,21.0,41.0,58.0,0.203125,0.328125,0.640625,0.90625,100.0,True
layer1.1.conv2,conv,9,64,1,False,64.0,0,56.0,56.0,102400,252.0661505638657,24.00863575879646,0.37513493373119466,36.38717402294492,0.5685495941085144,7.816593777009024,0.122134277765766,1.7735165165247375,10,64,0.9211277990843724,64,35,44,58,63,0.546875,0.6875,0.90625,0.984375,timm:resnet18.a2_in1k,timm/resnet18.a2_in1k,imagenet_val[6400],1600.0,True,0.546875,0.6875,0.90625,0.984375,1.0,6400.0,22.416205736177613,5.2734051756499944,0.08239695586953116,8.930029431387632,0.13953170986543176,2.7747969891574633,0.043356202955585364,4.510918300071548,10.0,64.0,0.8882039143927754,64.0,9.0,14.0,28.0,42.0,0.140625,0.21875,0.4375,0.65625,100.0,True
