layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,model
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,512,2554.547040451594,1.634896264203951,0.025545254128186735,2.6106130303129245,0.040790828598639445,1.2911659656812704,0.02017446821376985,7.765666531874844,10,64,0.44894311398720155,61,3,5,11,25,0.046875,0.078125,0.171875,0.390625,1,timm:resnet18.a3_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,512,2554.547040451594,1.634896264203951,0.025545254128186735,2.6106130303129245,0.040790828598639445,1.2911659656812704,0.02017446821376985,7.765666531874844,10,64,0.44894311398720155,61,3,5,11,25,0.046875,0.078125,0.171875,0.390625,2,timm:resnet18.a3_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,512,2554.547040451594,1.634896264203951,0.025545254128186735,2.6106130303129245,0.040790828598639445,1.2911659656812704,0.02017446821376985,7.765666531874844,10,64,0.44894311398720155,61,3,5,11,25,0.046875,0.078125,0.171875,0.390625,5,timm:resnet18.a3_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,1024,2732.317088924136,1.6277075382485353,0.025432930285133364,2.6627587360700335,0.041605605251094274,1.2863255225657722,0.02009883629009019,7.517688125032725,10,64,0.43462309596615156,61,3,5,12,27,0.046875,0.078125,0.1875,0.421875,10,timm:resnet18.a3_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,2048,2817.252662318937,1.566166517910431,0.024471351842350483,2.532435129670213,0.039569298901097075,1.2596067994290545,0.019681356241078977,7.490906954173409,10,64,0.433490709393899,61,3,5,12,26,0.046875,0.078125,0.1875,0.40625,25,timm:resnet18.a3_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,3584,2677.4654156520533,1.582886789411147,0.02473260608454917,2.586476979068661,0.04041370279794783,1.2663547822721832,0.019786793473002863,7.445447566455771,10,64,0.43085117157883424,61,4,5,12,27,0.0625,0.078125,0.1875,0.421875,50,timm:resnet18.a3_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,6656,2646.2142071026597,1.5510168805406417,0.024234638758447526,2.505601585868654,0.03915002477919772,1.2528801227052855,0.019576251917270086,7.411092923324938,10,64,0.4288446609112274,61,3,5,12,27,0.046875,0.078125,0.1875,0.421875,100,timm:resnet18.a3_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,16384,2613.6730459365112,1.5408482600382514,0.024075754063097678,2.475126675407629,0.0386738543032442,1.248658229136205,0.019510284830253202,7.417805460770029,10,64,0.4286962564432123,61,3,5,12,26,0.046875,0.078125,0.1875,0.40625,250,timm:resnet18.a3_in1k
act1,act,1,64,1,False,,0,112.0,112.0,512,29.62758473080898,5.868868180882334,0.09170106532628647,12.623592712788252,0.19724363613731644,2.6635946777301793,0.04161866683953405,6.121595457843649,10,64,0.19226325403472888,61,15,23,40,55,0.234375,0.359375,0.625,0.859375,1,timm:resnet18.a3_in1k
act1,act,1,64,1,False,,0,112.0,112.0,512,29.62758473080898,5.868868180882334,0.09170106532628647,12.623592712788252,0.19724363613731644,2.6635946777301793,0.04161866683953405,6.121595457843649,10,64,0.19226325403472888,61,15,23,40,55,0.234375,0.359375,0.625,0.859375,2,timm:resnet18.a3_in1k
