layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,model
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,512,91.93989718124023,5.782764726554119,0.09035569885240811,8.457896886349817,0.13215463884921588,3.3328072932796857,0.05207511395749509,6.163347585418857,10,64,0.7570281926820365,64,8,11,21,35,0.125,0.171875,0.328125,0.546875,1,timm:resnet18.fb_ssl_yfcc100m_ft_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,512,91.93989718124023,5.782764726554119,0.09035569885240811,8.457896886349817,0.13215463884921588,3.3328072932796857,0.05207511395749509,6.163347585418857,10,64,0.7570281926820365,64,8,11,21,35,0.125,0.171875,0.328125,0.546875,2,timm:resnet18.fb_ssl_yfcc100m_ft_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,512,91.93989718124023,5.782764726554119,0.09035569885240811,8.457896886349817,0.13215463884921588,3.3328072932796857,0.05207511395749509,6.163347585418857,10,64,0.7570281926820365,64,8,11,21,35,0.125,0.171875,0.328125,0.546875,5,timm:resnet18.fb_ssl_yfcc100m_ft_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,1024,101.92694837734261,6.125759623023889,0.09571499410974826,9.16192389742759,0.1431550608973061,3.3844459702566434,0.05288196828526005,5.966604647571009,10,64,0.7456444964730043,64,9,12,23,37,0.140625,0.1875,0.359375,0.578125,10,timm:resnet18.fb_ssl_yfcc100m_ft_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,2048,101.74678193081925,5.889628870501793,0.09202545110159052,8.888313650660034,0.13887990079156304,3.1690385183063587,0.049516226848536855,5.94840596127809,10,64,0.7470444095883391,64,8,12,23,37,0.125,0.1875,0.359375,0.578125,25,timm:resnet18.fb_ssl_yfcc100m_ft_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,3584,98.96183427980804,5.979279021923572,0.09342623471755582,9.031889889584477,0.14112327952475745,3.2507484816917986,0.050792945026434354,5.910403628399075,10,64,0.7447089627318235,64,8,13,23,37,0.125,0.203125,0.359375,0.578125,50,timm:resnet18.fb_ssl_yfcc100m_ft_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,6656,94.7810825306189,5.796211511154326,0.09056580486178635,8.85023207775449,0.1382848762149139,3.1256426775684294,0.04883816683700671,5.859466902920574,10,64,0.74258492966251,64,8,12,23,37,0.125,0.1875,0.359375,0.578125,100,timm:resnet18.fb_ssl_yfcc100m_ft_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,16384,92.48006879314477,5.730451210101245,0.08953830015783196,8.755055342897423,0.13679773973277223,3.0911575459761442,0.048299336655877254,5.86095453984799,10,64,0.7425989590671089,64,8,12,23,37,0.125,0.1875,0.359375,0.578125,250,timm:resnet18.fb_ssl_yfcc100m_ft_in1k
act1,act,1,64,1,False,,0,112.0,112.0,512,34.84677822762505,8.154943014216954,0.1274209845971399,15.363138660775485,0.24004904157461696,3.5863208045617667,0.056036262571277605,4.389980833006521,10,64,0.1818669924966696,63,18,26,43,58,0.28125,0.40625,0.671875,0.90625,1,timm:resnet18.fb_ssl_yfcc100m_ft_in1k
act1,act,1,64,1,False,,0,112.0,112.0,512,34.84677822762505,8.154943014216954,0.1274209845971399,15.363138660775485,0.24004904157461696,3.5863208045617667,0.056036262571277605,4.389980833006521,10,64,0.1818669924966696,63,18,26,43,58,0.28125,0.40625,0.671875,0.90625,2,timm:resnet18.fb_ssl_yfcc100m_ft_in1k
act1,act,1,64,1,False,,0,112.0,112.0,512,34.84677822762505,8.154943014216954,0.1274209845971399,15.363138660775485,0.24004904157461696,3.5863208045617667,0.056036262571277605,4.389980833006521,10,64,0.1818669924966696,63,18,26,43,58,0.28125,0.40625,0.671875,0.90625,5,timm:resnet18.fb_ssl_yfcc100m_ft_in1k
act1,act,1,64,1,False,,0,112.0,112.0,1024,40.53678447336747,9.635883490877342,0.15056067954495847,17.920880371669934,0.2800137558073427,3.9913583927003735,0.062364974885943336,4.430914748747521,10,64,0.1464767118576873,63,20,29,47,59,0.3125,0.453125,0.734375,0.921875,10,timm:resnet18.fb_ssl_yfcc100m_ft_in1k
act1,act,1,64,1,False,,0,112.0,112.0,2048,38.95368574685803,9.171100296869087,0.14329844213857948,17.68426100981243,0.27631657827831924,3.7764702627239233,0.0590073478550613,4.202398723523547,10,64,0.15642547190868494,63,21,30,47,59,0.328125,0.46875,0.734375,0.921875,25,timm:resnet18.fb_ssl_yfcc100m_ft_in1k
act1,act,1,64,1,False,,0,112.0,112.0,3584,37.000909357420795,9.028678713390754,0.14107310489673053,17.58359904647483,0.27474373510116923,3.7287035822022783,0.0582609934719106,4.048421612800813,10,64,0.15994381915145828,63,21,30,48,60,0.328125,0.46875,0.75,0.9375,50,timm:resnet18.fb_ssl_yfcc100m_ft_in1k
act1,act,1,64,1,False,,0,112.0,112.0,6656,36.54747478860402,8.848186493010445,0.1382529139532882,17.609126708566933,0.2751426048213583,3.617610506510031,0.05652516416421923,2.3344832476294606,10,64,0.886141841558319,63,21,31,49,60,0.328125,0.484375,0.765625,0.9375,100,timm:resnet18.fb_ssl_yfcc100m_ft_in1k
act1,act,1,64,1,False,,0,112.0,112.0,16384,35.5203933393068,8.564500814403841,0.13382032522506002,17.19540414163625,0.2686781897130664,3.547039060103062,0.05542248531411034,2.3434583723795357,10,64,0.8877930910459393,63,21,30,49,60,0.328125,0.46875,0.765625,0.9375,250,timm:resnet18.fb_ssl_yfcc100m_ft_in1k
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,512,191.63806585323087,10.261021871285582,0.16032846673883722,16.927232511470727,0.2644880079917301,4.432454343487142,0.06925709911698659,3.1017961685576005,10,64,0.9724864577104504,64,17,23,39,58,0.265625,0.359375,0.609375,0.90625,1,timm:resnet18.fb_ssl_yfcc100m_ft_in1k
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,512,191.63806585323087,10.261021871285582,0.16032846673883722,16.927232511470727,0.2644880079917301,4.432454343487142,0.06925709911698659,3.1017961685576005,10,64,0.9724864577104504,64,17,23,39,58,0.265625,0.359375,0.609375,0.90625,2,timm:resnet18.fb_ssl_yfcc100m_ft_in1k
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,512,191.63806585323087,10.261021871285582,0.16032846673883722,16.927232511470727,0.2644880079917301,4.432454343487142,0.06925709911698659,3.1017961685576005,10,64,0.9724864577104504,64,17,23,39,58,0.265625,0.359375,0.609375,0.90625,5,timm:resnet18.fb_ssl_yfcc100m_ft_in1k
