layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,model,weights,source,n_over_C,n_over_C_ok,k_star_rmax_0.9,k_star_rmax_0.95,k_star_rmax_0.99,k_star_rmax_0.999,r_max_over_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,pooled_n_over_C_ok
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,102400,92.60641571713681,5.659259424990999,0.08842592851548436,8.644429561955759,0.13506921190555873,3.0794666837956375,0.048116666934306836,5.8470750518387735,10,64,0.742006963698423,64,8,12,23,37,0.125,0.1875,0.359375,0.578125,timm:resnet18.fb_ssl_yfcc100m_ft_in1k,timm/resnet18.fb_ssl_yfcc100m_ft_in1k,imagenet_val[6400],1600.0,True,0.125,0.1875,0.359375,0.578125,1.0,6400.0,15.11929357903138,2.7244616639988926,0.042569713499982696,2.8768855510255285,0.04495133673477388,2.0777308121647455,0.03246454394007415,8.660583674529182,10.0,64.0,0.92966513477627,53.0,3.0,3.0,3.0,3.0,0.046875,0.046875,0.046875,0.046875,100.0,True
act1,act,1,64,1,False,,0,112.0,112.0,102400,35.54393008139134,8.666971584861866,0.13542143101346665,17.281378811842387,0.2700215439350373,3.579259010037023,0.05592592203182849,4.264374350790157,10,64,0.13736152306028304,63,21,30,49,60,0.328125,0.46875,0.765625,0.9375,timm:resnet18.fb_ssl_yfcc100m_ft_in1k,timm/resnet18.fb_ssl_yfcc100m_ft_in1k,imagenet_val[6400],1600.0,True,,,,,,6400.0,6.188766310392265,3.4648731899122778,0.05413864359237934,4.277685800904315,0.06683884063912993,2.66018201803674,0.04156534403182406,6.018720442325124,10.0,64.0,0.29575445295486524,63.0,3.0,4.0,9.0,24.0,0.046875,0.0625,0.140625,0.375,100.0,True
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,102400,210.31536659324192,10.480355925510251,0.16375556133609767,17.564376410002303,0.274443381406286,4.417441753385778,0.06902252739665278,2.968608355218528,10,64,0.9784549439087683,64,18,23,41,59,0.28125,0.359375,0.640625,0.921875,timm:resnet18.fb_ssl_yfcc100m_ft_in1k,timm/resnet18.fb_ssl_yfcc100m_ft_in1k,imagenet_val[6400],1600.0,True,0.28125,0.359375,0.640625,0.921875,1.0,6400.0,20.241919937787426,3.273568552972577,0.05114950864019652,5.697864313779734,0.08902912990280834,1.9129629586267234,0.029890046228542553,4.908278792341004,10.0,64.0,0.9663771310025757,64.0,7.0,8.0,13.0,27.0,0.109375,0.125,0.203125,0.421875,100.0,True
layer1.0.act1,act,3,64,1,False,,0,56.0,56.0,102400,59.31541599456696,26.623347635962034,0.4159898068119068,37.886874782493955,0.591982418476468,10.630744865433481,0.16610538852239815,1.5315051081966935,10,64,0.9824756887154974,64,37,47,60,64,0.578125,0.734375,0.9375,1.0,timm:resnet18.fb_ssl_yfcc100m_ft_in1k,timm/resnet18.fb_ssl_yfcc100m_ft_in1k,imagenet_val[6400],1600.0,True,,,,,,6400.0,5.119582214682862,6.629804988509448,0.10359070294546012,12.025840409873831,0.18790375640427862,3.0732560748729303,0.048019626169889536,2.4692281579528292,10.0,64.0,0.95881999912699,64.0,12.0,20.0,40.0,58.0,0.1875,0.3125,0.625,0.90625,100.0,True
layer1.0.conv2,conv,4,64,1,False,64.0,0,56.0,56.0,102400,133.77506172724594,18.319612953009944,0.2862439523907804,28.731660488330316,0.4489321951301612,6.971844668296979,0.10893507294214029,2.221344095023448,10,64,0.9564020245394481,64,28,37,53,63,0.4375,0.578125,0.828125,0.984375,timm:resnet18.fb_ssl_yfcc100m_ft_in1k,timm/resnet18.fb_ssl_yfcc100m_ft_in1k,imagenet_val[6400],1600.0,True,0.4375,0.578125,0.828125,0.984375,1.0,6400.0,11.392916624310368,5.255968447923739,0.08212450699880842,8.829520987402695,0.1379612654281671,2.7106644379204763,0.04235413184250744,4.517495074851613,10.0,64.0,0.9251857735507949,64.0,9.0,12.0,24.0,40.0,0.140625,0.1875,0.375,0.625,100.0,True
layer1.0.act2,act,5,64,1,False,,0,56.0,56.0,102400,321.6716198458155,29.52882767744157,0.4613879324600245,40.07837082233889,0.6262245440990452,13.279968837811158,0.20749951309079934,1.5964142148700708,10,64,0.9376671032582599,64,38,47,59,64,0.59375,0.734375,0.921875,1.0,timm:resnet18.fb_ssl_yfcc100m_ft_in1k,timm/resnet18.fb_ssl_yfcc100m_ft_in1k,imagenet_val[6400],1600.0,True,,,,,,6400.0,21.70376412240418,7.98127855791764,0.12470747746746312,12.978091418048528,0.20278267840700825,3.68623166909099,0.05759736982954672,2.8449036968717984,10.0,64.0,0.9846049581484037,64.0,12.0,18.0,36.0,57.0,0.1875,0.28125,0.5625,0.890625,100.0,True
layer1.0,block,6,64,1,False,,0,56.0,56.0,102400,322.6454407119245,29.509949012011695,0.46109295331268274,40.06137885884959,0.6259590446695248,13.233395782394302,0.20677180909991097,1.597088406535283,10,64,0.9384966669722419,64,38,47,59,64,0.59375,0.734375,0.921875,1.0,timm:resnet18.fb_ssl_yfcc100m_ft_in1k,timm/resnet18.fb_ssl_yfcc100m_ft_in1k,imagenet_val[6400],1600.0,True,,,,,,6400.0,21.70376412240418,7.98127855791764,0.12470747746746312,12.978091418048528,0.20278267840700825,3.68623166909099,0.05759736982954672,2.8449036968717984,10.0,64.0,0.9846049581484037,64.0,12.0,18.0,36.0,57.0,0.1875,0.28125,0.5625,0.890625,100.0,True
layer1.1.conv1,conv,7,64,1,False,64.0,0,56.0,56.0,102400,593.2718217357411,18.376315063826272,0.2871299228722855,28.83758194513066,0.45058721789266654,6.7618094597883385,0.10565327280919279,2.1208598421077336,10,64,0.962426511313029,64,28,38,54,63,0.4375,0.59375,0.84375,0.984375,timm:resnet18.fb_ssl_yfcc100m_ft_in1k,timm/resnet18.fb_ssl_yfcc100m_ft_in1k,imagenet_val[6400],1600.0,True,0.4375,0.59375,0.84375,0.984375,1.0,6400.0,37.26157135668697,2.9930098648383923,0.04676577913809988,5.716547226478294,0.08932105041372335,1.810100161942263,0.02828281503034786,4.448795222027563,10.0,64.0,0.9473352184169422,64.0,7.0,10.0,20.0,38.0,0.109375,0.15625,0.3125,0.59375,100.0,True
layer1.1.act1,act,8,64,1,False,,0,56.0,56.0,102400,67.94160135313663,36.08034895461847,0.5637554524159136,47.374020894576915,0.7402190764777643,13.947649254970926,0.21793201960892072,1.0249521461563351,10,64,0.9646756511275116,64,46,54,62,64,0.71875,0.84375,0.96875,1.0,timm:resnet18.fb_ssl_yfcc100m_ft_in1k,timm/resnet18.fb_ssl_yfcc100m_ft_in1k,imagenet_val[6400],1600.0,True,,,,,,6400.0,2.433292364141447,6.9973793580701225,0.10933405246984566,13.354967757309467,0.20867137120796042,3.176423009718331,0.04963160952684892,2.1710387868254326,10.0,64.0,0.9809714585347127,64.0,15.0,24.0,46.0,61.0,0.234375,0.375,0.71875,0.953125,100.0,True
layer1.1.conv2,conv,9,64,1,False,64.0,0,56.0,56.0,102400,77.41348392852267,23.791288036873585,0.37173887557614976,36.35748898307687,0.5680857653605761,8.666490596825296,0.13541391557539526,1.5663092547230655,10,64,0.9313055812126482,64,37,46,59,64,0.578125,0.71875,0.921875,1.0,timm:resnet18.fb_ssl_yfcc100m_ft_in1k,timm/resnet18.fb_ssl_yfcc100m_ft_in1k,imagenet_val[6400],1600.0,True,0.578125,0.71875,0.921875,1.0,1.0,6400.0,5.465522206499715,4.728551965653737,0.07388362446333964,7.881510457155763,0.12314860089305879,2.625882041929948,0.041029406905155434,4.063525422639391,10.0,64.0,0.9068854586442057,64.0,8.0,13.0,26.0,44.0,0.125,0.203125,0.40625,0.6875,100.0,True
layer1.1.act2,act,10,64,1,False,,0,56.0,56.0,102400,661.883727932072,35.16316390546068,0.5494244360228231,45.53814594632778,0.7115335304113716,15.023519247420401,0.23474248824094376,1.3112255605767624,10,64,0.9197693720172285,64,43,51,60,64,0.671875,0.796875,0.9375,1.0,timm:resnet18.fb_ssl_yfcc100m_ft_in1k,timm/resnet18.fb_ssl_yfcc100m_ft_in1k,imagenet_val[6400],1600.0,True,,,,,,6400.0,30.265998930683804,7.876127878347786,0.12306449809918416,14.279517518525955,0.22311746122696804,3.484852132628272,0.05445081457231675,2.5067812788535875,10.0,64.0,0.9908582317503644,64.0,15.0,22.0,43.0,60.0,0.234375,0.34375,0.671875,0.9375,100.0,True
layer1.1,block,11,64,1,False,,0,56.0,56.0,102400,660.9852120527137,35.16822849603568,0.5495035702505575,45.55078661343321,0.7117310408348939,14.975331156103687,0.2339895493141201,1.311960189088331,10,64,0.9182617649165008,64,43,51,60,64,0.671875,0.796875,0.9375,1.0,timm:resnet18.fb_ssl_yfcc100m_ft_in1k,timm/resnet18.fb_ssl_yfcc100m_ft_in1k,imagenet_val[6400],1600.0,True,,,,,,6400.0,30.265998930683804,7.876127878347786,0.12306449809918416,14.279517518525955,0.22311746122696804,3.484852132628272,0.05445081457231675,2.5067812788535875,10.0,64.0,0.9908582317503644,64.0,15.0,22.0,43.0,60.0,0.234375,0.34375,0.671875,0.9375,100.0,True
layer2.0.conv1,conv,12,128,1,False,128.0,0,28.0,28.0,102400,1798.043514872389,37.04021088550596,0.2893766475430153,54.123202264097614,0.4228375176882626,16.912346096463192,0.1321277038786187,2.1713457689600775,10,128,0.9225461237171902,128,50,66,99,122,0.390625,0.515625,0.7734375,0.953125,timm:resnet18.fb_ssl_yfcc100m_ft_in1k,timm/resnet18.fb_ssl_yfcc100m_ft_in1k,imagenet_val[6400],800.0,True,0.390625,0.515625,0.7734375,0.953125,1.0,6400.0,56.73831832884377,6.758158086774433,0.05279811005292526,12.082270023974859,0.09439273456230358,3.3955171023182302,0.026527477361861174,3.8419139713232346,10.0,128.0,0.9503267888831203,128.0,12.0,19.0,40.0,71.0,0.09375,0.1484375,0.3125,0.5546875,50.0,True
layer2.0.act1,act,13,128,1,False,,0,28.0,28.0,102400,227.2911084342734,46.055112539008526,0.3598055667110041,77.54507919772838,0.605820931232253,11.031216436929407,0.08618137841351099,1.061708875260748,10,128,0.9649778498516942,128,84,102,121,127,0.65625,0.796875,0.9453125,0.9921875,timm:resnet18.fb_ssl_yfcc100m_ft_in1k,timm/resnet18.fb_ssl_yfcc100m_ft_in1k,imagenet_val[6400],800.0,True,,,,,,6400.0,6.053268160344141,8.100829158430242,0.06328772780023627,18.541658088587873,0.14485670381709276,3.4813901885877017,0.02719836084834142,2.002134944870235,10.0,128.0,0.9882546143653018,128.0,25.0,42.0,87.0,121.0,0.1953125,0.328125,0.6796875,0.9453125,50.0,True
layer2.0.conv2,conv,14,128,1,False,128.0,0,28.0,28.0,102400,314.5561948125226,24.377941749085213,0.19045266991472823,48.02301332246109,0.37517979158172726,7.391546583007914,0.05774645767974933,1.693742606367292,10,128,0.9369809713344138,128,56,75,108,125,0.4375,0.5859375,0.84375,0.9765625,timm:resnet18.fb_ssl_yfcc100m_ft_in1k,timm/resnet18.fb_ssl_yfcc100m_ft_in1k,imagenet_val[6400],800.0,True,0.4375,0.5859375,0.84375,0.9765625,1.0,6400.0,26.98838135184814,5.399544316618106,0.04218393997357895,11.117630935980532,0.08685649168734791,2.6162296517655657,0.02043929415441848,3.958670850409058,10.0,128.0,0.9347232895795173,128.0,13.0,20.0,42.0,72.0,0.1015625,0.15625,0.328125,0.5625,50.0,True
layer2.0.downsample.0,conv,15,128,1,False,64.0,0,28.0,28.0,102400,216.9879231197653,9.859995967361012,0.07703121849500791,19.702704946898255,0.15392738239764261,3.7246476061840696,0.029098809423313044,10.717755441920504,10,128,0.6392775645153712,94,23,31,48,61,0.1796875,0.2421875,0.375,0.4765625,timm:resnet18.fb_ssl_yfcc100m_ft_in1k,timm/resnet18.fb_ssl_yfcc100m_ft_in1k,imagenet_val[6400],800.0,True,0.359375,0.484375,0.75,0.953125,0.5,6400.0,26.2656788398641,3.0827616276090666,0.024084075215695833,6.185464955999729,0.04832394496874788,1.8188773571747363,0.014209979352927627,10.90408477134798,10.0,128.0,0.7439508628045467,96.0,8.0,11.0,20.0,40.0,0.0625,0.0859375,0.15625,0.3125,50.0,True
layer2.0.act2,act,16,128,1,False,,0,28.0,28.0,102400,337.0400041799698,48.888859525488186,0.38194421504287646,75.75426150514811,0.5918301680089696,17.58926874818731,0.13741616209521335,1.1512720274668518,10,128,0.9767646717960573,128,80,99,121,128,0.625,0.7734375,0.9453125,1.0,timm:resnet18.fb_ssl_yfcc100m_ft_in1k,timm/resnet18.fb_ssl_yfcc100m_ft_in1k,imagenet_val[6400],800.0,True,,,,,,6400.0,21.39622139495367,14.376082311402358,0.11231314305783092,25.762397588298526,0.20126873115858224,6.306567583766136,0.04927005924817294,2.3280968963659436,10.0,128.0,0.9840996822155917,128.0,27.0,41.0,82.0,119.0,0.2109375,0.3203125,0.640625,0.9296875,50.0,True
layer2.0,block,17,128,1,False,,0,28.0,28.0,102400,338.69647822924225,48.581564941305345,0.379543476103948,75.51861398246777,0.5899891717380294,17.453323847661682,0.1363540925598569,1.151750977114116,10,128,0.9771147944828704,128,80,99,121,128,0.625,0.7734375,0.9453125,1.0,timm:resnet18.fb_ssl_yfcc100m_ft_in1k,timm/resnet18.fb_ssl_yfcc100m_ft_in1k,imagenet_val[6400],800.0,True,,,,,,6400.0,21.39622139495367,14.376082311402358,0.11231314305783092,25.762397588298526,0.20126873115858224,6.306567583766136,0.04927005924817294,2.3280968963659436,10.0,128.0,0.9840996822155917,128.0,27.0,41.0,82.0,119.0,0.2109375,0.3203125,0.640625,0.9296875,50.0,True
layer2.1.conv1,conv,18,128,1,False,128.0,0,28.0,28.0,102400,460.8368265058217,35.57211101458817,0.27790711730147005,59.331606118765684,0.4635281728028569,11.305421063556981,0.08832360205903891,1.5469520039183942,10,128,0.9592507981504982,128,63,83,114,127,0.4921875,0.6484375,0.890625,0.9921875,timm:resnet18.fb_ssl_yfcc100m_ft_in1k,timm/resnet18.fb_ssl_yfcc100m_ft_in1k,imagenet_val[6400],800.0,True,0.4921875,0.6484375,0.890625,0.9921875,1.0,6400.0,25.74962029400589,8.702378781762473,0.06798733423251932,15.233830365109347,0.11901429972741677,4.160313876826988,0.032502452162710846,3.1079581612463136,10.0,128.0,0.9536909341267651,128.0,15.0,24.0,52.0,93.0,0.1171875,0.1875,0.40625,0.7265625,50.0,True
