layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,model,weights,source,n_over_C,n_over_C_ok,k_star_rmax_0.9,k_star_rmax_0.95,k_star_rmax_0.99,k_star_rmax_0.999,r_max_over_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,pooled_n_over_C_ok
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,102400,199.88156626456487,4.967390756027393,0.07761548056292801,7.820849070137781,0.12220076672090283,2.650177705655875,0.041409026650873045,14.463818389079227,10,64,0.435693452469356,56,7,11,19,31,0.109375,0.171875,0.296875,0.484375,timm:resnet18.tv_in1k,timm/resnet18.tv_in1k,imagenet_val[6400],1600.0,True,0.109375,0.171875,0.296875,0.484375,1.0,6400.0,36.055569333676004,2.5550880160067413,0.03992325025010533,2.766066126396227,0.04321978322494105,1.9310005125221548,0.030171883008158668,12.929721457503792,10.0,64.0,0.5485422746702824,45.0,3.0,3.0,3.0,3.0,0.046875,0.046875,0.046875,0.046875,100.0,True
act1,act,1,64,1,False,,0,112.0,112.0,102400,2.6633573161854693,7.644624967703424,0.119447265120366,15.41810801713076,0.2409079377676681,3.209146477106419,0.050142913704787795,8.04896003948742,10,64,0.22284890122599177,56,19,26,39,51,0.296875,0.40625,0.609375,0.796875,timm:resnet18.tv_in1k,timm/resnet18.tv_in1k,imagenet_val[6400],1600.0,True,,,,,,6400.0,0.4775009648225851,3.338890534962605,0.0521701646087907,4.2433333641971185,0.06630208381557998,2.4029652339932945,0.03754633178114523,9.949643617852335,10.0,64.0,0.3145689643269537,56.0,3.0,5.0,10.0,25.0,0.046875,0.078125,0.15625,0.390625,100.0,True
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,102400,36.448774786300845,6.309998301099227,0.09859372345467542,12.090820951723877,0.18891907737068558,2.884121898281505,0.04506440466064852,3.069531049602481,10,64,0.972696279124631,64,14,19,36,56,0.21875,0.296875,0.5625,0.875,timm:resnet18.tv_in1k,timm/resnet18.tv_in1k,imagenet_val[6400],1600.0,True,0.21875,0.296875,0.5625,0.875,1.0,6400.0,5.524721519756994,2.6907189912008733,0.042042484237513646,4.579919436967264,0.0715612412026135,1.7095336826317564,0.026711463791121194,5.395197013541294,10.0,64.0,0.9849772977233688,64.0,6.0,7.0,11.0,20.0,0.09375,0.109375,0.171875,0.3125,100.0,True
layer1.0.act1,act,3,64,1,False,,0,56.0,56.0,102400,1.0705733817865406,19.528744703095224,0.3051366359858629,32.05512674635004,0.5008613554117194,7.337161983626943,0.11464315599417098,1.6982173837234722,10,64,0.9697908865223654,64,34,44,58,64,0.53125,0.6875,0.90625,1.0,timm:resnet18.tv_in1k,timm/resnet18.tv_in1k,imagenet_val[6400],1600.0,True,,,,,,6400.0,0.1250528971738894,5.463658413741204,0.08536966271470631,10.01189572549031,0.1564358707107861,2.9056443527533746,0.04540069301177148,2.757154430752773,10.0,64.0,0.9775221156037169,64.0,11.0,18.0,36.0,56.0,0.171875,0.28125,0.5625,0.875,100.0,True
layer1.0.conv2,conv,4,64,1,False,64.0,0,56.0,56.0,102400,6.199290789320392,7.333892050909979,0.11459206329546842,15.247594571811442,0.23824366518455378,3.123354399020027,0.048802412484687925,2.475448472925928,10,64,0.9655468255634729,64,18,27,46,60,0.28125,0.421875,0.71875,0.9375,timm:resnet18.tv_in1k,timm/resnet18.tv_in1k,imagenet_val[6400],1600.0,True,0.28125,0.421875,0.71875,0.9375,1.0,6400.0,0.9291756882691555,2.524316220946348,0.03944244095228669,4.5330711704258695,0.07082923703790421,1.6717139032901418,0.026120529738908466,5.09795440430716,10.0,64.0,0.9478642873249385,64.0,6.0,9.0,18.0,32.0,0.09375,0.140625,0.28125,0.5,100.0,True
layer1.0.act2,act,5,64,1,False,,0,56.0,56.0,102400,6.5630356906943526,23.739064035743517,0.37092287555849246,33.9436824875252,0.5303700388675813,10.446068745024228,0.16321982414100356,1.8177902602975824,10,64,0.947042352886037,64,33,43,57,63,0.515625,0.671875,0.890625,0.984375,timm:resnet18.tv_in1k,timm/resnet18.tv_in1k,imagenet_val[6400],1600.0,True,,,,,,6400.0,0.7575601005430802,7.29111720295253,0.11392370629613328,10.899934701269917,0.17031147970734245,4.407372194851081,0.06886519054454814,2.9475236672595404,10.0,64.0,0.9904672806469168,64.0,10.0,15.0,31.0,54.0,0.15625,0.234375,0.484375,0.84375,100.0,True
layer1.0,block,6,64,1,False,,0,56.0,56.0,102400,6.582763304276474,23.706835895454326,0.37041931086647384,33.93730246617237,0.5302703510339433,10.327669368192803,0.16136983387801254,1.8169361202804646,10,64,0.9474232066599603,64,33,43,57,63,0.515625,0.671875,0.890625,0.984375,timm:resnet18.tv_in1k,timm/resnet18.tv_in1k,imagenet_val[6400],1600.0,True,,,,,,6400.0,0.7575601005430802,7.29111720295253,0.11392370629613328,10.899934701269917,0.17031147970734245,4.407372194851081,0.06886519054454814,2.9475236672595404,10.0,64.0,0.9904672806469168,64.0,10.0,15.0,31.0,54.0,0.15625,0.234375,0.484375,0.84375,100.0,True
layer1.1.conv1,conv,7,64,1,False,64.0,0,56.0,56.0,102400,29.830561843459094,16.83485399834148,0.2630445937240856,26.77117039122649,0.4182995373629139,6.521950136559614,0.10190547088374396,2.3934053806509508,10,64,0.9515865006119743,64,26,34,51,62,0.40625,0.53125,0.796875,0.96875,timm:resnet18.tv_in1k,timm/resnet18.tv_in1k,imagenet_val[6400],1600.0,True,0.40625,0.53125,0.796875,0.96875,1.0,6400.0,2.5758807704580033,4.160710693744414,0.06501110458975647,7.047222241166449,0.11011284751822577,2.2560663724470924,0.03525103706948582,4.4773255751733565,10.0,64.0,0.9633100200333852,64.0,7.0,10.0,18.0,35.0,0.109375,0.15625,0.28125,0.546875,100.0,True
layer1.1.act1,act,8,64,1,False,,0,56.0,56.0,102400,1.3136139373713962,33.41912401843793,0.5221738127880926,45.17036990152382,0.7057870297113097,13.200112275384294,0.2062517543028796,1.1563909983084784,10,64,0.9563624485030056,64,44,52,61,64,0.6875,0.8125,0.953125,1.0,timm:resnet18.tv_in1k,timm/resnet18.tv_in1k,imagenet_val[6400],1600.0,True,,,,,,6400.0,0.06643348287181575,9.104140986797576,0.14225220291871213,15.038828952109617,0.23498170237671276,4.103671270875474,0.06411986360742929,2.454043569872476,10.0,64.0,0.9897583354541267,64.0,14.0,22.0,43.0,60.0,0.21875,0.34375,0.671875,0.9375,100.0,True
layer1.1.conv2,conv,9,64,1,False,64.0,0,56.0,56.0,102400,3.609446126123495,24.10542654002237,0.37664728968784955,33.92150430256054,0.5300235047275085,9.849373404628995,0.15389645944732805,2.105574722169027,10,64,0.945001754165102,64,31,40,55,63,0.484375,0.625,0.859375,0.984375,timm:resnet18.tv_in1k,timm/resnet18.tv_in1k,imagenet_val[6400],1600.0,True,0.484375,0.625,0.859375,0.984375,1.0,6400.0,0.25953012573237755,5.4261668037924435,0.08478385630925693,8.511260756012943,0.13298844931270223,3.070153844572489,0.047971153821445144,4.143683726951522,10.0,64.0,0.9198134518350374,64.0,8.0,12.0,25.0,42.0,0.125,0.1875,0.390625,0.65625,100.0,True
