layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,model
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,512,195.51202626984175,5.478702799695283,0.08560473124523879,7.67551831766956,0.11992997371358688,3.389378629418406,0.052959041084662595,14.557766175393095,10,64,0.3375313715183612,58,7,10,18,31,0.109375,0.15625,0.28125,0.484375,1,timm:resnet34.gluon_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,512,195.51202626984175,5.478702799695283,0.08560473124523879,7.67551831766956,0.11992997371358688,3.389378629418406,0.052959041084662595,14.557766175393095,10,64,0.3375313715183612,58,7,10,18,31,0.109375,0.15625,0.28125,0.484375,2,timm:resnet34.gluon_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,512,195.51202626984175,5.478702799695283,0.08560473124523879,7.67551831766956,0.11992997371358688,3.389378629418406,0.052959041084662595,14.557766175393095,10,64,0.3375313715183612,58,7,10,18,31,0.109375,0.15625,0.28125,0.484375,5,timm:resnet34.gluon_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,1024,219.69037843454657,5.931681482352621,0.0926825231617597,8.253262750551125,0.12895723047736132,3.5030418275504123,0.05473502855547519,13.323798619578602,10,64,0.3065839713987669,58,7,10,19,32,0.109375,0.15625,0.296875,0.5,10,timm:resnet34.gluon_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,2048,209.7643102949904,5.763212618906837,0.09005019717041933,8.113625168246813,0.12677539325385645,3.3063648248071,0.051661950387610935,13.323905730729436,10,64,0.306140295508052,58,7,10,19,32,0.109375,0.15625,0.296875,0.5,25,timm:resnet34.gluon_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,3584,199.7248003038447,5.870584568556022,0.09172788388368784,8.306762236099024,0.12979315993904725,3.322179947182635,0.051909061674728675,12.189176742696521,10,64,0.2775997757625307,58,7,10,19,32,0.109375,0.15625,0.296875,0.5,50,timm:resnet34.gluon_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,6656,197.44744297069394,5.854763158161615,0.09148067434627523,8.305056595061778,0.12976650929784028,3.3244694569671833,0.05194483526511224,10.640543253207648,10,64,0.25248484398995286,58,7,10,20,32,0.109375,0.15625,0.3125,0.5,100,timm:resnet34.gluon_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,16384,190.38456339740122,5.669144170270053,0.08858037766046958,8.08637193049177,0.12634956141393391,3.195789803452361,0.04993421567894314,12.04068171139427,10,64,0.2768679443002524,58,7,10,19,32,0.109375,0.15625,0.296875,0.5,250,timm:resnet34.gluon_in1k
act1,act,1,64,1,False,,0,112.0,112.0,512,2.110300534042127,8.857315170346283,0.13839554953666067,15.410228363083075,0.24078481817317304,4.237366800176368,0.06620885625275574,8.21177925920125,10,64,0.20741748505676494,58,17,24,40,53,0.265625,0.375,0.625,0.828125,1,timm:resnet34.gluon_in1k
act1,act,1,64,1,False,,0,112.0,112.0,512,2.110300534042127,8.857315170346283,0.13839554953666067,15.410228363083075,0.24078481817317304,4.237366800176368,0.06620885625275574,8.21177925920125,10,64,0.20741748505676494,58,17,24,40,53,0.265625,0.375,0.625,0.828125,2,timm:resnet34.gluon_in1k
act1,act,1,64,1,False,,0,112.0,112.0,512,2.110300534042127,8.857315170346283,0.13839554953666067,15.410228363083075,0.24078481817317304,4.237366800176368,0.06620885625275574,8.21177925920125,10,64,0.20741748505676494,58,17,24,40,53,0.265625,0.375,0.625,0.828125,5,timm:resnet34.gluon_in1k
act1,act,1,64,1,False,,0,112.0,112.0,1024,2.2491743778508733,9.698504211253637,0.15153912830083807,16.820116474285946,0.2628143199107179,4.436138032171165,0.06931465675267445,6.1249628416701825,10,64,0.18859116017613753,58,19,26,42,54,0.296875,0.40625,0.65625,0.84375,10,timm:resnet34.gluon_in1k
act1,act,1,64,1,False,,0,112.0,112.0,2048,2.252045533842419,9.783508227414163,0.1528673160533463,17.171508412370525,0.26830481894328945,4.334408112993917,0.06772512676552996,6.190525205109633,10,64,0.1797805104988205,58,19,27,42,54,0.296875,0.421875,0.65625,0.84375,25,timm:resnet34.gluon_in1k
act1,act,1,64,1,False,,0,112.0,112.0,3584,2.183221962779463,9.979595439177919,0.15593117873715498,17.52810655326097,0.27387666489470264,4.342325853726956,0.06784884146448368,6.275938054841405,10,64,0.17610076680127906,58,19,28,43,54,0.296875,0.4375,0.671875,0.84375,50,timm:resnet34.gluon_in1k
act1,act,1,64,1,False,,0,112.0,112.0,6656,2.121736074856744,9.967943938021532,0.15574912403158644,17.745206595426907,0.2772688530535454,4.233517940258954,0.06614871781654616,6.2539868710652025,10,64,0.17506882897964327,58,20,28,43,54,0.3125,0.4375,0.671875,0.84375,100,timm:resnet34.gluon_in1k
act1,act,1,64,1,False,,0,112.0,112.0,16384,2.0826097474166683,9.92696742514652,0.15510886601791438,17.720755141868807,0.2768867990917001,4.21709298903139,0.06589207795361547,7.837496005674533,10,64,0.19623846430385028,58,20,28,43,54,0.3125,0.4375,0.671875,0.84375,250,timm:resnet34.gluon_in1k
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,512,29.186001316675238,7.876846348467387,0.12307572419480292,13.594289623242421,0.21241077536316283,3.4353731164714887,0.05367770494486701,3.6473624070262436,10,64,0.9748257243358036,64,14,19,32,52,0.21875,0.296875,0.5,0.8125,1,timm:resnet34.gluon_in1k
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,512,29.186001316675238,7.876846348467387,0.12307572419480292,13.594289623242421,0.21241077536316283,3.4353731164714887,0.05367770494486701,3.6473624070262436,10,64,0.9748257243358036,64,14,19,32,52,0.21875,0.296875,0.5,0.8125,2,timm:resnet34.gluon_in1k
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,512,29.186001316675238,7.876846348467387,0.12307572419480292,13.594289623242421,0.21241077536316283,3.4353731164714887,0.05367770494486701,3.6473624070262436,10,64,0.9748257243358036,64,14,19,32,52,0.21875,0.296875,0.5,0.8125,5,timm:resnet34.gluon_in1k
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,1024,34.42411029349297,7.570809877111747,0.11829390432987105,13.702749996830025,0.21410546870046915,3.2606217693427877,0.05094721514598106,3.585158920225837,10,64,0.974794177090562,64,15,19,33,53,0.234375,0.296875,0.515625,0.828125,10,timm:resnet34.gluon_in1k
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,2048,33.20991690379753,7.7028511387638225,0.12035704904318473,13.747259741801397,0.21480093346564683,3.35046674846339,0.05235104294474047,3.524883253997931,10,64,0.9770963160511588,64,15,19,33,53,0.234375,0.296875,0.515625,0.828125,25,timm:resnet34.gluon_in1k
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,3584,32.62316462874141,7.7012649144222785,0.1203322642878481,13.77492032498181,0.21523313007784078,3.350575183810108,0.05235273724703294,3.50628513108048,10,64,0.9761132441316404,64,15,19,33,53,0.234375,0.296875,0.515625,0.828125,50,timm:resnet34.gluon_in1k
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,6656,31.616975631358738,7.8500945302349106,0.12265772703492048,13.974753564235026,0.2183555244411723,3.4016841678961827,0.053151315123377854,3.48985784998058,10,64,0.9758685937045098,64,15,20,33,54,0.234375,0.3125,0.515625,0.84375,100,timm:resnet34.gluon_in1k
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,16384,31.284553689247762,7.6809106185540506,0.12001422841490704,13.842615566354606,0.21629086822429072,3.3134577905701494,0.051772777977658585,3.4916705074828793,10,64,0.9757557590506675,64,15,20,33,54,0.234375,0.3125,0.515625,0.84375,250,timm:resnet34.gluon_in1k
layer1.0.act1,act,3,64,1,False,,0,56.0,56.0,512,1.199265690932302,19.269292381436234,0.30108269345994115,29.9429439907819,0.46785849985596717,7.281464125107815,0.11377287695480962,1.9995990362197889,10,64,0.9694054589336373,64,30,39,55,63,0.46875,0.609375,0.859375,0.984375,1,timm:resnet34.gluon_in1k
layer1.0.act1,act,3,64,1,False,,0,56.0,56.0,512,1.199265690932302,19.269292381436234,0.30108269345994115,29.9429439907819,0.46785849985596717,7.281464125107815,0.11377287695480962,1.9995990362197889,10,64,0.9694054589336373,64,30,39,55,63,0.46875,0.609375,0.859375,0.984375,2,timm:resnet34.gluon_in1k
layer1.0.act1,act,3,64,1,False,,0,56.0,56.0,512,1.199265690932302,19.269292381436234,0.30108269345994115,29.9429439907819,0.46785849985596717,7.281464125107815,0.11377287695480962,1.9995990362197889,10,64,0.9694054589336373,64,30,39,55,63,0.46875,0.609375,0.859375,0.984375,5,timm:resnet34.gluon_in1k
layer1.0.act1,act,3,64,1,False,,0,56.0,56.0,1024,1.3008828302155013,20.160007621961228,0.3150001190931442,31.00392437015451,0.48443631828366424,7.766516448376266,0.12135181950587916,1.9226024180310115,10,64,0.967942022113914,64,31,41,56,63,0.484375,0.640625,0.875,0.984375,10,timm:resnet34.gluon_in1k
layer1.0.act1,act,3,64,1,False,,0,56.0,56.0,2048,1.271832975910284,20.597021167576624,0.32182845574338476,31.683538749500276,0.4950552929609418,7.973182078300728,0.12458096997344888,1.8467937339631801,10,64,0.9762549035975776,64,32,42,57,63,0.5,0.65625,0.890625,0.984375,25,timm:resnet34.gluon_in1k
layer1.0.act1,act,3,64,1,False,,0,56.0,56.0,3584,1.2106772996910258,21.183652651592748,0.3309945726811367,32.261602593473626,0.5040875405230254,8.19473905479304,0.12804279773114124,1.816661949301958,10,64,0.9783998188163056,64,32,42,57,64,0.5,0.65625,0.890625,1.0,50,timm:resnet34.gluon_in1k
layer1.0.act1,act,3,64,1,False,,0,56.0,56.0,6656,1.1940814706362908,21.56792416502204,0.33699881507846935,32.59285904518676,0.5092634225810432,8.501583203350107,0.13283723755234542,1.7900736993593651,10,64,0.9820529700396875,64,32,43,58,64,0.5,0.671875,0.90625,1.0,100,timm:resnet34.gluon_in1k
layer1.0.act1,act,3,64,1,False,,0,56.0,56.0,16384,1.1613717432323987,21.52842756313697,0.33638168067401514,32.67939625484581,0.5106155664819658,8.344830537170838,0.13038797714329434,1.779287075298233,10,64,0.9848245779752672,64,33,43,58,64,0.515625,0.671875,0.90625,1.0,250,timm:resnet34.gluon_in1k
layer1.0.conv2,conv,4,64,1,False,64.0,0,56.0,56.0,512,7.138486373214572,8.065169240836457,0.12601826938806965,15.408298396702186,0.24075466244847166,3.369469855169015,0.05264796648701586,3.1027092773729805,10,64,0.9659312220907601,64,17,23,40,57,0.265625,0.359375,0.625,0.890625,1,timm:resnet34.gluon_in1k
layer1.0.conv2,conv,4,64,1,False,64.0,0,56.0,56.0,512,7.138486373214572,8.065169240836457,0.12601826938806965,15.408298396702186,0.24075466244847166,3.369469855169015,0.05264796648701586,3.1027092773729805,10,64,0.9659312220907601,64,17,23,40,57,0.265625,0.359375,0.625,0.890625,2,timm:resnet34.gluon_in1k
layer1.0.conv2,conv,4,64,1,False,64.0,0,56.0,56.0,512,7.138486373214572,8.065169240836457,0.12601826938806965,15.408298396702186,0.24075466244847166,3.369469855169015,0.05264796648701586,3.1027092773729805,10,64,0.9659312220907601,64,17,23,40,57,0.265625,0.359375,0.625,0.890625,5,timm:resnet34.gluon_in1k
