layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,model,weights,source,n_over_C,n_over_C_ok,k_star_rmax_0.9,k_star_rmax_0.95,k_star_rmax_0.99,k_star_rmax_0.999,r_max_over_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,pooled_n_over_C_ok
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,102400,190.13967321388054,5.625967488798307,0.08790574201247355,8.014493498620828,0.12522646091595044,3.2034831911023005,0.050054424860973445,13.02734764015217,10,64,0.30317637890525106,58,7,10,19,32,0.109375,0.15625,0.296875,0.5,timm:resnet34.gluon_in1k,timm/resnet34.gluon_in1k,imagenet_val[6400],1600.0,True,0.109375,0.15625,0.296875,0.5,1.0,6400.0,37.65145543097103,2.6845728039222276,0.04194645006128481,2.8398611554445066,0.044372830553820415,2.097904996993904,0.03277976557802975,15.33985651008191,10.0,64.0,0.40676082448880635,47.0,3.0,3.0,3.0,3.0,0.046875,0.046875,0.046875,0.046875,100.0,True
act1,act,1,64,1,False,,0,112.0,112.0,102400,2.084026391519942,9.841403795259275,0.15377193430092617,17.58792280211779,0.2748112937830905,4.199764606160272,0.06562132197125425,6.198373891447521,10,64,0.17441430800710234,58,20,28,43,54,0.3125,0.4375,0.671875,0.84375,timm:resnet34.gluon_in1k,timm/resnet34.gluon_in1k,imagenet_val[6400],1600.0,True,,,,,,6400.0,0.386936750397721,3.6482158382275545,0.05700337247230554,4.5132064541192705,0.0705188508456136,2.8601566044984947,0.04468994694528898,4.444257780905482,10.0,64.0,0.9377846020525336,58.0,4.0,5.0,9.0,24.0,0.0625,0.078125,0.140625,0.375,100.0,True
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,102400,30.60361008252888,7.880250965804984,0.12312892134070287,14.031160580835822,0.21923688407555972,3.384109938762982,0.052876717793171595,3.487842301707621,10,64,0.9759925038677874,64,15,20,33,54,0.234375,0.3125,0.515625,0.84375,timm:resnet34.gluon_in1k,timm/resnet34.gluon_in1k,imagenet_val[6400],1600.0,True,0.234375,0.3125,0.515625,0.84375,1.0,6400.0,4.675256108418252,3.643743034238291,0.0569334849099733,5.632507945154275,0.08800793664303555,2.100196574204084,0.03281557147193881,5.393386025937459,10.0,64.0,0.9845586522264432,64.0,6.0,7.0,11.0,18.0,0.09375,0.109375,0.171875,0.28125,100.0,True
layer1.0.act1,act,3,64,1,False,,0,56.0,56.0,102400,1.1566586007156037,21.38972529906343,0.33421445779786607,32.53833013152783,0.5084114083051223,8.327126527758244,0.13011135199622256,1.768846592455623,10,64,0.9862416782044393,64,33,43,58,64,0.515625,0.671875,0.90625,1.0,timm:resnet34.gluon_in1k,timm/resnet34.gluon_in1k,imagenet_val[6400],1600.0,True,,,,,,6400.0,0.14169390632452505,6.447050155015185,0.10073515867211226,10.81425507574701,0.16897273555854703,3.2681505056335323,0.05106485165052394,2.875423241607018,10.0,64.0,0.9784756661112722,64.0,11.0,17.0,34.0,55.0,0.171875,0.265625,0.53125,0.859375,100.0,True
layer1.0.conv2,conv,4,64,1,False,64.0,0,56.0,56.0,102400,7.38973687695397,8.12043068973433,0.12688172952709892,16.231763757879385,0.2536213087168654,3.2943498904897117,0.051474217038901746,2.999315528313589,10,64,0.9692803659374435,64,18,25,42,58,0.28125,0.390625,0.65625,0.90625,timm:resnet34.gluon_in1k,timm/resnet34.gluon_in1k,imagenet_val[6400],1600.0,True,0.28125,0.390625,0.65625,0.90625,1.0,6400.0,1.1554432299842903,2.767621868615379,0.043244091697115294,5.030496969972681,0.07860151515582314,1.7398214460366377,0.027184710094322464,5.346479464827347,10.0,64.0,0.9493635818858845,64.0,6.0,9.0,17.0,31.0,0.09375,0.140625,0.265625,0.484375,100.0,True
layer1.0.act2,act,5,64,1,False,,0,56.0,56.0,102400,7.67572277407429,20.70880466056633,0.3235750728213489,30.819316362799555,0.48155181816874304,9.549203080242373,0.14920629812878708,1.9462882623224373,10,64,0.9428974013593192,64,30,41,56,63,0.46875,0.640625,0.875,0.984375,timm:resnet34.gluon_in1k,timm/resnet34.gluon_in1k,imagenet_val[6400],1600.0,True,,,,,,6400.0,0.816553877628362,6.3299624165805755,0.09890566275907149,9.9165788504706,0.15494654453860313,3.5958152603687323,0.05618461344326144,2.944949214429218,10.0,64.0,0.982718178217286,64.0,9.0,13.0,30.0,53.0,0.140625,0.203125,0.46875,0.828125,100.0,True
layer1.0,block,6,64,1,False,,0,56.0,56.0,102400,7.627577332443492,20.671520043002573,0.3229925006719152,30.791859114022916,0.48112279865660806,9.513160353034031,0.14864313051615674,1.9489812717417143,10,64,0.9439196191546024,64,30,41,56,63,0.46875,0.640625,0.875,0.984375,timm:resnet34.gluon_in1k,timm/resnet34.gluon_in1k,imagenet_val[6400],1600.0,True,,,,,,6400.0,0.816553877628362,6.3299624165805755,0.09890566275907149,9.9165788504706,0.15494654453860313,3.5958152603687323,0.05618461344326144,2.944949214429218,10.0,64.0,0.982718178217286,64.0,9.0,13.0,30.0,53.0,0.140625,0.203125,0.46875,0.828125,100.0,True
layer1.1.conv1,conv,7,64,1,False,64.0,0,56.0,56.0,102400,29.03597457975724,11.317324092174628,0.17683318894022856,21.494734737447754,0.33585523027262115,4.176469909546067,0.0652573423366573,2.451929048958411,10,64,0.9467583842267425,64,24,32,49,62,0.375,0.5,0.765625,0.96875,timm:resnet34.gluon_in1k,timm/resnet34.gluon_in1k,imagenet_val[6400],1600.0,True,0.375,0.5,0.765625,0.96875,1.0,6400.0,3.3298093042873242,3.356415497439516,0.05244399214749244,5.971193455032519,0.0932998977348831,1.9657776102986497,0.030715275160916402,4.938746125299048,10.0,64.0,0.9712274571603846,64.0,7.0,10.0,16.0,31.0,0.109375,0.15625,0.25,0.484375,100.0,True
layer1.1.act1,act,8,64,1,False,,0,56.0,56.0,102400,0.7126658386188105,34.275115781184475,0.5355486840810074,45.69438443246236,0.7139747567572243,12.683191110761022,0.19817486110564098,1.215110011673146,10,64,0.9383532519969685,64,43,52,61,64,0.671875,0.8125,0.953125,1.0,timm:resnet34.gluon_in1k,timm/resnet34.gluon_in1k,imagenet_val[6400],1600.0,True,,,,,,6400.0,0.047754446291436756,7.926607149577108,0.12385323671214231,14.228301141277955,0.22231720533246804,3.882282750607016,0.06066066797823463,2.4043596899665833,10.0,64.0,0.978260821082977,64.0,16.0,24.0,44.0,61.0,0.25,0.375,0.6875,0.953125,100.0,True
layer1.1.conv2,conv,9,64,1,False,64.0,0,56.0,56.0,102400,1.7552121605959494,7.430731737470951,0.1161051833979836,19.873054151836424,0.3105164711224441,2.9154710930771945,0.045554235829331165,1.9288864257706109,10,64,0.9395286247472193,64,28,38,54,63,0.4375,0.59375,0.84375,0.984375,timm:resnet34.gluon_in1k,timm/resnet34.gluon_in1k,imagenet_val[6400],1600.0,True,0.4375,0.59375,0.84375,0.984375,1.0,6400.0,0.24604489269847218,2.0034544180286793,0.031303975281698114,4.008928849693366,0.06263951327645885,1.4308773421141234,0.02235745847053318,4.593558300566271,10.0,64.0,0.9264920109002681,64.0,6.0,11.0,21.0,38.0,0.09375,0.171875,0.328125,0.59375,100.0,True
